datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:59:00,58.71,-0.03,-0.02,-0.0511,-0.0341,0,0,1,58.71,58.65,58.66,58.7156,-0.0007,58.7054,-0.0013,0.3314,46.7703,23.7882,0,0,-0.05,0.06,0,3,10
2024-01-04 11:00:00,58.65,-0.06,-0.07,-0.1022,-0.1192,0,0,0,58.69,58.65,58.69,58.7122,-0.0004,58.7023,-0.0003,0.4747,51.3166,22.3271,0,0,0.04,0.04,1,3,11
2024-01-04 11:01:00,58.69,0.04,-0.01,0.0682,-0.017,1,0,1,58.76,58.69,58.76,58.7189,0.0007,58.7139,0.0013,0.8584,59.9188,22.4707,1,1,0.07,0.07,1,3,11
2024-01-04 11:02:00,58.76,0.07,0.04,0.1193,0.0681,1,1,7,58.76,58.73,58.73,58.72,0.0001,58.7171,0.0004,0.6718,55.4007,22.604,1,1,-0.03,0.03,0,3,11
2024-01-04 11:03:00,58.73,-0.03,-0.01,-0.0511,-0.017,0,0,4,58.74,58.72,58.72,58.7178,-0.0002,58.7177,0.0001,0.5589,53.9407,22.4192,1,1,-0.01,0.02,0,3,11
2024-01-04 11:04:00,58.72,-0.01,-0.02,-0.017,-0.034,0,0,4,58.74,58.69,58.69,58.7122,-0.0006,58.7121,-0.0006,0.2376,49.7083,21.3823,0,0,-0.03,0.05,0,3,11
2024-01-04 11:05:00,58.69,-0.03,-0.02,-0.0511,-0.0341,0,0,1,58.69,58.65,58.67,58.7067,-0.0006,58.7037,-0.0009,0.0812,47.0574,20.2662,0,0,-0.02,0.04,0,3,11
2024-01-04 11:06:00,58.67,-0.02,-0.07,-0.0341,-0.1192,0,0,1,58.67,58.63,58.65,58.6978,-0.001,58.693,-0.0012,-0.0354,44.5016,19.6593,0,0,-0.02,0.04,0,3,11
2024-01-04 11:07:00,58.65,-0.02,-0.06,-0.0341,-0.1022,0,0,0,58.66,58.58,58.58,58.6833,-0.0016,58.6704,-0.0025,-0.2782,36.9396,20.0197,0,0,-0.07,0.08,0,3,11
2024-01-04 11:08:00,58.59,-0.06,-0.06,-0.1023,-0.1023,0,0,0,58.63,58.58,58.63,58.68,-0.0004,58.6623,-0.0009,0.0966,44.2295,20.3544,0,0,0.04,0.05,1,3,11
