datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 11:01:00,158.54,-0.13,-0.03,-0.0819,-0.0189,0,0,2,158.58,158.49,158.5,158.5489,-0.0009,158.551,-0.0014,0.1863,45.2386,12.5221,0,0,-0.04,0.09,0,3,11
2024-01-04 11:02:00,158.5,-0.04,-0.05,-0.0252,-0.0315,0,0,0,158.56,158.46,158.54,158.5478,-0.0001,158.5488,-0.0002,0.3716,49.2158,12.3187,0,0,0.04,0.1,1,3,11
2024-01-04 11:03:00,158.54,0.04,0.01,0.0252,0.0063,1,1,2,158.57,158.52,158.54,158.5489,0.0001,158.547,-0.0002,0.3581,49.2158,11.9557,0,0,0.0,0.05,0,3,11
2024-01-04 11:04:00,158.54,0.0,0.04,0.0,0.0252,0,1,1,158.59,158.51,158.59,158.5589,0.0011,158.5556,0.001,0.651,54.0535,11.2689,1,1,0.05,0.08,1,3,11
2024-01-04 11:05:00,158.58,0.04,0.01,0.0252,0.0063,1,1,6,158.64,158.57,158.58,158.56,0.0001,158.5605,0.0005,0.5777,52.9667,11.0973,1,1,0.0,0.07,0,3,11
2024-01-04 11:06:00,158.59,0.01,0.02,0.0063,0.0126,1,1,6,158.63,158.58,158.58,158.5611,0.0001,158.5644,0.0004,0.5851,52.9667,10.938,1,1,-0.01,0.05,0,3,11
2024-01-04 11:07:00,158.58,-0.01,0.04,-0.0063,0.0252,0,1,4,158.58,158.53,158.56,158.5644,0.0004,158.5635,-0.0001,0.4797,50.6068,10.3996,0,0,-0.02,0.05,0,3,11
2024-01-04 11:08:00,158.57,-0.01,-0.1,-0.0063,-0.063,0,0,4,158.63,158.57,158.61,158.5611,-0.0004,158.5728,0.001,0.8712,55.8972,10.2132,1,1,0.04,0.06,1,3,11
2024-01-04 11:09:00,158.62,0.05,0.08,0.0315,0.0505,1,1,7,158.64,158.58,158.61,158.5678,0.0007,158.5803,0.0008,0.8444,55.8972,10.1901,1,1,-0.01,0.06,0,3,11
2024-01-04 11:10:00,158.61,-0.01,0.11,-0.0063,0.0694,0,1,6,158.68,158.61,158.66,158.5856,0.002,158.5962,0.0018,1.0704,60.7704,10.7438,1,1,0.05,0.07,1,3,11
2024-01-04 11:11:00,158.67,0.06,0.13,0.0378,0.082,1,1,7,158.76,158.67,158.73,158.6067,0.0023,158.623,0.003,1.2204,66.3725,12.2039,1,1,0.06,0.09,1,3,11
2024-01-04 11:12:00,158.72,0.05,0.18,0.0315,0.1135,1,1,7,158.79,158.71,158.78,158.6333,0.003,158.6544,0.0035,1.1961,69.7008,13.8605,1,1,0.06,0.08,1,3,11
2024-01-04 11:13:00,158.77,0.05,0.19,0.0315,0.1198,1,1,7,158.83,158.77,158.83,158.66,0.003,158.6895,0.0039,1.1609,72.6193,15.7714,1,1,0.06,0.06,1,3,11
2024-01-04 11:14:00,158.84,0.07,0.25,0.0441,0.1576,1,1,7,158.84,158.81,158.81,158.6856,0.0028,158.7136,0.0027,1.0072,69.7262,17.6362,1,1,-0.03,0.03,0,3,11
2024-01-04 11:15:00,158.81,-0.03,0.23,-0.0189,0.145,0,1,6,158.81,158.74,158.75,158.7044,0.0021,158.7209,0.0008,0.8176,61.7749,17.9666,1,1,-0.06,0.07,0,3,11
2024-01-04 11:16:00,158.78,-0.03,0.21,-0.0189,0.1324,0,1,5,158.79,158.74,158.76,158.7267,0.0025,158.7287,0.0009,0.8086,62.5416,18.2735,1,1,-0.02,0.05,0,3,11
2024-01-04 11:17:00,158.76,-0.02,0.14,-0.0126,0.0883,0,1,3,158.77,158.69,158.69,158.7356,0.001,158.721,-0.0009,0.6201,54.3273,17.661,0,0,-0.07,0.08,0,3,11
2024-01-04 11:18:00,158.69,-0.07,0.08,-0.0441,0.0504,0,1,1,158.69,158.65,158.66,158.7411,0.0006,158.7088,-0.0014,0.5298,51.2222,16.455,0,0,-0.03,0.04,0,3,11
2024-01-04 11:19:00,158.65,-0.04,-0.02,-0.0252,-0.0126,0,0,0,158.7,158.65,158.68,158.7433,0.0002,158.703,-0.0006,0.5762,53.1449,15.487,0,0,0.03,0.05,1,3,11
2024-01-04 11:20:00,158.68,0.03,-0.04,0.0189,-0.0252,1,0,1,158.72,158.65,158.72,158.7422,-0.0001,158.7064,0.0004,0.6604,56.8115,14.8941,0,1,0.04,0.07,1,3,11
2024-01-04 11:21:00,158.71,0.03,-0.06,0.0189,-0.0378,1,0,3,158.72,158.64,158.64,158.7267,-0.0017,158.6931,-0.0015,0.4261,48.6172,14.1659,0,0,-0.07,0.08,0,3,11
2024-01-04 11:22:00,158.65,-0.06,-0.19,-0.0378,-0.1196,0,0,0,158.65,158.62,158.62,158.7033,-0.0026,158.6785,-0.0016,0.351,46.7998,13.1744,0,0,-0.03,0.03,0,3,11
2024-01-04 11:23:00,158.63,-0.02,-0.18,-0.0126,-0.1133,0,0,0,158.63,158.6,158.63,158.6833,-0.0022,158.6688,-0.0011,0.3593,47.8495,12.6009,0,0,0.0,0.03,0,3,11
2024-01-04 11:24:00,158.63,0.0,-0.15,0.0,-0.0945,0,0,0,158.66,158.62,158.65,158.6722,-0.0012,158.665,-0.0004,0.4106,49.9755,11.8817,0,0,0.02,0.04,1,3,11
2024-01-04 11:25:00,158.65,0.02,-0.11,0.0126,-0.0693,1,0,2,158.66,158.59,158.59,158.6533,-0.0021,158.65,-0.0017,0.2118,44.1595,11.3861,0,0,-0.06,0.07,0,3,11
2024-01-04 11:26:00,158.59,-0.06,-0.1,-0.0378,-0.063,0,0,0,158.63,158.58,158.58,158.6411,-0.0014,158.636,-0.0016,0.179,43.2559,11.099,0,0,-0.01,0.05,0,3,11
2024-01-04 11:27:00,158.59,0.0,-0.06,0.0,-0.0378,0,0,0,158.67,158.59,158.67,158.6422,0.0001,158.6428,0.0008,0.4528,52.6467,10.5391,1,1,0.08,0.08,1,3,11
