datetime,open,high,low,close,volume
2024-01-02 09:30:00,187.80,188.44,186.01,186.19,21173591
2024-01-02 10:30:00,186.18,186.90,185.18,186.80,9166397
2024-01-02 11:30:00,186.80,187.35,186.57,186.62,6143754
2024-01-02 12:30:00,186.62,187.04,185.26,185.29,5381701
2024-01-02 13:30:00,185.29,185.54,184.23,184.49,7228643
2024-01-02 14:30:00,184.49,184.68,183.88,184.42,8238940
2024-01-02 15:30:00,184.42,185.64,184.41,185.52,9447841
2024-01-03 09:30:00,184.67,185.88,183.63,183.96,15935130
2024-01-03 10:30:00,183.96,184.27,183.45,184.20,7486162
2024-01-03 11:30:00,184.19,184.38,183.43,183.93,5295920
2024-01-03 12:30:00,183.93,184.55,183.85,184.47,3968490
2024-01-03 13:30:00,184.48,184.82,183.80,184.74,4500805
2024-01-03 14:30:00,184.75,184.94,184.21,184.39,4256338
2024-01-03 15:30:00,184.39,184.52,183.75,184.25,5053608
2024-01-04 09:30:00,182.15,183.09,181.23,181.68,16075231
2024-01-04 10:30:00,181.67,182.35,180.88,182.12,10313237
2024-01-04 11:30:00,182.13,182.44,181.32,182.14,7509793
2024-01-04 12:30:00,182.13,182.99,181.96,182.91,4961844
2024-01-04 13:30:00,182.91,183.07,182.42,182.50,4172442
2024-01-04 14:30:00,182.50,182.66,181.87,181.94,6011068
2024-01-04 15:30:00,181.95,182.41,181.43,181.92,7594098
2024-01-05 09:30:00,181.99,182.76,181.52,182.07,13194900
2024-01-05 10:30:00,182.07,182.74,181.96,182.09,5524889
2024-01-05 11:30:00,182.08,182.23,181.32,181.37,4494198
2024-01-05 12:30:00,181.36,181.86,181.21,181.74,4262774
2024-01-05 13:30:00,181.74,182.23,180.42,181.12,9901415
2024-01-05 14:30:00,181.11,181.39,180.17,180.28,7993182
2024-01-05 15:30:00,180.28,181.26,180.24,181.17,6775472
2024-01-08 09:30:00,182.09,183.88,181.50,183.81,13311025
2024-01-08 10:30:00,183.82,183.88,183.21,183.24,5198974
2024-01-08 11:30:00,183.24,184.57,183.24,183.99,5720535
2024-01-08 12:30:00,184.00,184.47,183.96,184.12,4151910
2024-01-08 13:30:00,184.12,184.88,184.05,184.83,3724042
2024-01-08 14:30:00,184.84,185.42,184.70,185.22,5370765
2024-01-08 15:30:00,185.21,185.60,184.91,185.55,6759299
2024-01-09 09:30:00,183.92,184.23,182.73,183.52,10523629
2024-01-09 10:30:00,183.53,184.26,183.21,184.23,4602813
2024-01-09 11:30:00,184.23,184.83,184.15,184.44,3908469
2024-01-09 12:30:00,184.44,184.92,184.39,184.40,2818553
2024-01-09 13:30:00,184.40,184.73,184.04,184.32,3180445
2024-01-09 14:30:00,184.31,184.90,184.30,184.77,3646429
2024-01-09 15:30:00,184.78,185.15,184.41,185.11,6123108
2024-01-10 09:30:00,184.35,184.96,183.92,184.55,8558186
2024-01-10 10:30:00,184.54,185.01,184.22,184.51,5574178
2024-01-10 11:30:00,184.51,184.55,184.05,184.27,3427864
2024-01-10 12:30:00,184.27,184.57,184.08,184.38,3133102
2024-01-10 13:30:00,184.38,185.68,184.35,185.62,3976057
2024-01-10 14:30:00,185.63,186.40,185.62,185.82,7533201
2024-01-10 15:30:00,185.83,186.27,185.27,186.14,5937690
2024-01-11 09:30:00,186.54,187.05,183.62,184.37,13337967
2024-01-11 10:30:00,184.37,184.88,183.84,184.19,5619114
2024-01-11 11:30:00,184.18,184.45,183.84,184.05,3849444
2024-01-11 12:30:00,184.07,184.78,184.07,184.65,4000614
2024-01-11 13:30:00,184.67,185.54,184.56,185.51,3924789
2024-01-11 14:30:00,185.52,185.70,184.76,185.37,4502053
2024-01-11 15:30:00,185.37,185.77,185.32,185.58,5030776
2024-01-12 09:30:00,186.06,186.74,185.49,185.79,8367726
2024-01-12 10:30:00,185.80,186.06,185.19,185.88,4645419
2024-01-12 11:30:00,185.88,185.93,185.39,185.62,3521446
2024-01-12 12:30:00,185.62,185.84,185.43,185.79,2308362
2024-01-12 13:30:00,185.80,186.07,185.60,185.61,2732716
2024-01-12 14:30:00,185.60,185.61,185.22,185.51,3823230
2024-01-12 15:30:00,185.52,185.98,185.47,185.92,4865441
2024-01-16 09:30:00,182.50,182.85,180.93,182.76,16725135
2024-01-16 10:30:00,182.77,184.26,182.52,183.95,11408997
2024-01-16 11:30:00,183.96,184.16,182.38,182.41,5404103
2024-01-16 12:30:00,182.42,182.93,182.21,182.74,4292807
2024-01-16 13:30:00,182.75,182.95,182.14,182.46,6561011
2024-01-16 14:30:00,182.46,183.26,182.27,183.17,4700690
2024-01-16 15:30:00,183.18,183.63,183.13,183.61,4776796
2024-01-17 09:30:00,181.27,181.84,180.30,181.70,12537805
2024-01-17 10:30:00,181.68,182.07,181.30,181.80,5778219
2024-01-17 11:30:00,181.81,182.33,181.49,182.12,4248713
2024-01-17 12:30:00,182.12,182.54,181.83,182.12,3345645
2024-01-17 13:30:00,182.12,182.55,181.37,182.54,5569336
2024-01-17 14:30:00,182.54,182.68,182.05,182.21,4778525
2024-01-17 15:30:00,182.21,182.93,182.18,182.66,4353739
2024-01-18 09:30:00,186.09,187.65,185.83,187.45,19756876
2024-01-18 10:30:00,187.46,188.96,187.27,188.77,11697457
2024-01-18 11:30:00,188.76,188.78,187.68,187.93,8302899
2024-01-18 12:30:00,187.93,187.93,186.75,186.93,5973240
2024-01-18 13:30:00,186.93,188.95,186.92,188.92,6516026
2024-01-18 14:30:00,188.93,189.14,188.71,188.96,7066159
2024-01-18 15:30:00,188.96,188.99,188.51,188.73,6982801
2024-01-19 09:30:00,189.33,189.96,188.82,189.94,16382763
2024-01-19 10:30:00,189.94,190.16,189.58,189.91,7573154
2024-01-19 11:30:00,189.90,190.43,189.33,190.32,5987140
2024-01-19 12:30:00,190.32,190.99,190.28,190.93,7184895
2024-01-19 13:30:00,190.93,191.95,190.93,191.47,6850175
2024-01-19 14:30:00,191.48,191.74,191.17,191.43,6438261
2024-01-19 15:30:00,191.43,191.82,191.32,191.58,5716572
2024-01-22 09:30:00,192.43,194.95,192.43,194.75,14810964
2024-01-22 10:30:00,194.77,195.33,193.15,193.78,10872656
2024-01-22 11:30:00,193.79,193.85,193.03,193.67,5000034
2024-01-22 12:30:00,193.66,194.14,193.51,193.76,5093193
2024-01-22 13:30:00,193.76,194.50,193.74,194.38,4701837
2024-01-22 14:30:00,194.39,194.57,193.71,193.90,4425371
2024-01-22 15:30:00,193.90,193.92,193.46,193.87,4882197
