datetime,open,high,low,close,volume
2019-01-07 09:00:00,37.17,37.21,36.61,36.99,46374928
2019-01-07 10:00:00,37.01,37.21,36.48,36.56,40753404
2019-01-07 11:00:00,36.57,36.97,36.50,36.90,30304556
2019-01-07 12:00:00,36.90,37.03,36.73,36.81,21414864
2019-01-07 13:00:00,36.80,36.83,36.64,36.65,18190608
2019-01-07 14:00:00,36.64,37.10,36.56,37.06,27948276
2019-01-07 15:00:00,37.09,37.10,36.89,36.96,19880384
2019-01-08 09:00:00,37.44,37.51,37.13,37.24,42849344
2019-01-08 10:00:00,37.24,37.56,37.15,37.38,22457412
2019-01-08 11:00:00,37.39,37.68,37.31,37.62,17474608
2019-01-08 12:00:00,37.62,37.78,37.44,37.78,17935384
2019-01-08 13:00:00,37.78,37.86,37.63,37.74,16212288
2019-01-08 14:00:00,37.74,37.96,37.71,37.78,16993084
2019-01-08 15:00:00,37.79,37.82,37.64,37.69,17147488
2019-01-09 09:00:00,37.85,38.20,37.42,38.16,48333116
2019-01-09 10:00:00,38.16,38.32,38.00,38.21,30703856
2019-01-09 11:00:00,38.22,38.57,38.20,38.50,25321600
2019-01-09 12:00:00,38.50,38.59,38.39,38.45,16887476
2019-01-09 13:00:00,38.44,38.63,38.28,38.28,18247448
2019-01-09 14:00:00,38.28,38.62,38.23,38.53,15622044
2019-01-09 15:00:00,38.53,38.53,38.28,38.33,23451504
2019-01-10 09:00:00,38.08,38.20,37.72,38.01,32886392
2019-01-10 10:00:00,38.01,38.17,37.92,38.05,17011772
2019-01-10 11:00:00,38.05,38.31,38.05,38.27,16124888
2019-01-10 12:00:00,38.28,38.41,38.08,38.20,13523396
2019-01-10 13:00:00,38.21,38.38,38.09,38.27,22783044
2019-01-10 14:00:00,38.27,38.40,38.19,38.39,13312408
2019-01-10 15:00:00,38.38,38.49,38.32,38.45,13596232
2019-01-11 09:00:00,38.24,38.42,38.02,38.04,23583000
2019-01-11 10:00:00,38.06,38.24,37.96,38.01,16783360
