datetime,open,high,low,close,volume
2023-02-21 12:30:00,151.94,152.04,151.60,151.85,664063
2023-02-21 13:30:00,151.84,151.96,151.58,151.93,605630
2023-02-21 14:30:00,151.94,153.00,151.92,152.71,849864
2023-02-21 15:30:00,152.71,153.02,151.87,152.03,1040670
2023-02-22 09:30:00,151.00,152.15,150.34,151.84,891568
2023-02-22 10:30:00,151.83,151.92,150.24,151.28,943323
2023-02-22 11:30:00,151.28,151.62,150.63,151.61,522364
2023-02-22 12:30:00,151.62,152.03,151.60,151.91,423044
2023-02-22 13:30:00,151.92,152.02,151.40,151.43,532446
2023-02-22 14:30:00,151.39,151.43,150.67,150.91,793087
2023-02-22 15:30:00,150.91,151.04,150.40,150.70,970181
2023-02-23 09:30:00,150.90,153.57,149.17,152.89,1267748
2023-02-23 10:30:00,152.87,153.25,151.92,152.08,880373
2023-02-23 11:30:00,152.08,152.23,151.25,151.44,518808
2023-02-23 12:30:00,151.44,151.88,151.35,151.67,494739
2023-02-23 13:30:00,151.68,152.40,151.31,152.27,546956
2023-02-23 14:30:00,152.30,153.03,152.27,153.00,698932
2023-02-23 15:30:00,153.02,153.09,152.00,152.07,902365
2023-02-24 09:30:00,151.30,152.02,150.90,151.63,789763
2023-02-24 10:30:00,151.62,152.68,151.49,152.35,634831
2023-02-24 11:30:00,152.37,152.60,151.78,151.93,454628
2023-02-24 12:30:00,151.93,152.06,151.46,151.84,387682
2023-02-24 13:30:00,151.83,152.49,151.61,152.19,668446
2023-02-24 14:30:00,152.20,152.98,151.96,152.91,755905
2023-02-24 15:30:00,152.91,152.93,152.16,152.74,861035
2023-02-27 09:30:00,153.26,154.73,153.10,154.55,1015624
2023-02-27 10:30:00,154.56,154.70,153.54,153.55,812713
2023-02-27 11:30:00,153.56,154.32,153.35,154.12,721533
2023-02-27 12:30:00,154.12,154.74,154.12,154.43,552982
2023-02-27 13:30:00,154.44,154.63,154.21,154.29,889989
2023-02-27 14:30:00,154.29,154.47,154.11,154.24,626774
2023-02-27 15:30:00,154.24,154.41,153.87,154.29,1018844
2023-02-28 09:30:00,153.96,153.96,152.62,153.51,1174248
2023-02-28 10:30:00,153.52,153.71,152.75,153.19,777238
2023-02-28 11:30:00,153.17,153.48,152.97,153.43,547862
2023-02-28 12:30:00,153.43,154.18,153.37,154.13,453501
2023-02-28 13:30:00,154.15,154.37,153.61,154.05,559217
2023-02-28 14:30:00,154.04,154.10,153.73,154.03,663653
2023-02-28 15:30:00,154.03,154.34,153.80,153.84,1070943
2023-03-01 09:30:00,152.76,154.23,152.37,154.18,964122
2023-03-01 10:30:00,154.16,154.68,153.59,154.00,637428
2023-03-01 11:30:00,154.01,154.45,153.80,154.10,490278
2023-03-01 12:30:00,154.12,154.48,154.06,154.40,389072
2023-03-01 13:30:00,154.40,154.76,154.32,154.60,429796
2023-03-01 14:30:00,154.58,155.34,154.40,155.19,790385
2023-03-01 15:30:00,155.19,155.58,155.11,155.32,954242
2023-03-02 09:30:00,155.23,155.77,154.91,155.22,819646
2023-03-02 10:30:00,155.24,155.51,154.95,155.04,440076
2023-03-02 11:30:00,155.04,155.25,154.64,154.85,321327
2023-03-02 12:30:00,154.86,154.93,154.48,154.57,325537
2023-03-02 13:30:00,154.57,155.21,154.52,155.02,368001
2023-03-02 14:30:00,155.01,155.11,154.29,154.75,522703
2023-03-02 15:30:00,154.76,155.13,154.21,154.40,720595
2023-03-03 09:30:00,154.33,155.27,154.01,154.89,719139
2023-03-03 10:30:00,154.91,155.05,154.32,154.99,536153
2023-03-03 11:30:00,154.99,155.75,154.98,155.74,514469
2023-03-03 12:30:00,155.74,155.77,155.50,155.68,501066
2023-03-03 13:30:00,155.68,155.86,155.25,155.85,452427
2023-03-03 14:30:00,155.85,156.15,155.65,155.98,548015
2023-03-03 15:30:00,155.98,156.17,155.74,156.03,769559
2023-03-06 09:30:00,155.79,156.46,155.23,155.23,622794
2023-03-06 10:30:00,155.22,155.44,154.71,155.15,429378
2023-03-06 11:30:00,155.17,155.71,154.80,155.42,294404
2023-03-06 12:30:00,155.43,155.76,155.34,155.41,254596
2023-03-06 13:30:00,155.39,155.50,154.86,154.88,274484
2023-03-06 14:30:00,154.88,154.97,154.54,154.75,383791
2023-03-06 15:30:00,154.78,155.33,154.71,155.28,637065
2023-03-07 09:30:00,155.57,155.67,153.20,153.43,616747
2023-03-07 10:30:00,153.44,153.56,152.73,153.04,438231
2023-03-07 11:30:00,153.04,153.15,152.57,152.75,294272
2023-03-07 12:30:00,152.72,152.78,152.05,152.30,336528
2023-03-07 13:30:00,152.28,152.67,152.16,152.45,316309
2023-03-07 14:30:00,152.45,153.07,152.38,153.06,504802
2023-03-07 15:30:00,153.07,153.27,152.69,152.96,775362
2023-03-08 09:30:00,152.79,153.74,151.23,151.24,601341
2023-03-08 10:30:00,151.26,151.40,150.26,150.36,666845
