datetime,open,high,low,close,volume
2021-03-08 15:30:00,74.11,74.86,73.86,73.95,6806073
2021-03-09 09:30:00,76.58,77.93,75.77,77.57,11543385
2021-03-09 10:30:00,77.58,78.18,77.00,78.05,6102745
2021-03-09 11:30:00,78.07,78.43,77.52,78.07,4956564
2021-03-09 12:30:00,78.07,78.56,77.87,78.28,4040488
2021-03-09 13:30:00,78.27,78.87,78.09,78.19,4078273
2021-03-09 14:30:00,78.20,78.99,78.20,78.90,4298761
2021-03-09 15:30:00,78.92,79.21,78.34,78.53,6093247
2021-03-10 09:30:00,79.82,80.04,77.74,77.80,12886573
2021-03-10 10:30:00,77.81,79.44,77.61,79.10,7559559
2021-03-10 11:30:00,79.11,79.21,78.10,78.11,4262588
2021-03-10 12:30:00,78.11,78.60,77.57,78.29,5682309
2021-03-10 13:30:00,78.27,78.38,77.42,78.13,4617209
2021-03-10 14:30:00,78.13,78.49,77.68,77.69,4145679
2021-03-10 15:30:00,77.69,78.23,77.46,77.48,4298698
2021-03-11 09:30:00,79.46,80.89,79.37,79.78,11938121
2021-03-11 10:30:00,79.78,80.90,79.78,80.83,5969389
2021-03-11 11:30:00,80.83,81.26,80.67,81.24,6570011
2021-03-11 12:30:00,81.24,81.60,81.04,81.33,4994011
2021-03-11 13:30:00,81.34,81.87,81.10,81.53,4619799
2021-03-11 14:30:00,81.55,81.89,81.39,81.53,4201519
2021-03-11 15:30:00,81.53,81.56,81.07,81.23,3394724
2021-03-12 09:30:00,79.80,81.06,79.23,80.21,10430424
2021-03-12 10:30:00,80.19,80.62,79.67,80.36,5481394
2021-03-12 11:30:00,80.36,80.78,80.19,80.72,3039370
2021-03-12 12:30:00,80.73,80.95,80.43,80.93,2817200
2021-03-12 13:30:00,80.94,81.08,80.64,80.83,2594931
2021-03-12 14:30:00,80.83,81.13,80.72,80.92,2748404
2021-03-12 15:30:00,80.92,81.19,80.82,81.05,3153285
2021-03-15 09:30:00,81.94,83.39,81.20,82.64,10854349
2021-03-15 10:30:00,82.63,83.36,82.28,82.45,5435820
2021-03-15 11:30:00,82.46,82.70,82.03,82.29,4397241
2021-03-15 12:30:00,82.27,82.53,81.76,81.95,3919038
2021-03-15 13:30:00,81.95,82.37,81.62,82.27,3680276
2021-03-15 14:30:00,82.37,82.61,82.08,82.25,3538565
2021-03-15 15:30:00,82.24,82.57,82.17,82.50,3503115
2021-03-16 09:30:00,83.35,84.67,83.11,84.25,12253116
2021-03-16 10:30:00,84.25,84.75,84.22,84.39,5476890
2021-03-16 11:30:00,84.39,84.54,83.28,83.35,4865461
2021-03-16 12:30:00,83.34,84.08,83.29,83.73,3962089
