datetime,open,high,low,close,volume
2023-02-22 10:30:00,95.69,96.98,95.65,96.22,8365097
2023-02-22 11:30:00,96.22,96.55,95.71,96.03,4727154
2023-02-22 12:30:00,96.03,96.30,95.88,96.14,3013457
2023-02-22 13:30:00,96.16,96.31,95.25,95.53,5525224
2023-02-22 14:30:00,95.54,95.89,95.12,95.52,6051030
2023-02-22 15:30:00,95.52,95.87,95.19,95.82,5142386
2023-02-23 09:30:00,96.12,96.43,95.18,95.27,11579790
2023-02-23 10:30:00,95.27,95.30,94.25,94.60,7085783
2023-02-23 11:30:00,94.60,94.73,93.67,94.13,6083698
2023-02-23 12:30:00,94.13,94.84,94.07,94.69,4421606
2023-02-23 13:30:00,94.69,95.68,94.56,95.51,5165835
2023-02-23 14:30:00,95.52,96.22,95.52,96.18,4634394
2023-02-23 15:30:00,96.18,96.24,95.72,95.80,4062135
2023-02-24 09:30:00,93.53,94.14,92.32,92.89,14780970
2023-02-24 10:30:00,92.88,93.23,92.40,93.06,6468126
2023-02-24 11:30:00,93.06,93.37,92.78,92.99,5027858
2023-02-24 12:30:00,92.99,93.13,92.62,92.75,3652462
2023-02-24 13:30:00,92.75,93.16,92.61,92.96,3931588
2023-02-24 14:30:00,92.97,93.24,92.67,92.82,4999767
2023-02-24 15:30:00,92.82,93.65,92.53,93.49,8320491
2023-02-27 09:30:00,94.28,94.78,93.62,94.35,10798576
2023-02-27 10:30:00,94.36,94.37,93.23,93.68,7009890
2023-02-27 11:30:00,93.68,93.78,93.38,93.65,3575581
2023-02-27 12:30:00,93.65,94.19,93.64,93.81,4120641
2023-02-27 13:30:00,93.82,93.98,93.45,93.73,3514437
2023-02-27 14:30:00,93.74,93.76,93.21,93.38,4373282
2023-02-27 15:30:00,93.38,93.83,93.14,93.78,5639996
2023-02-28 09:30:00,93.14,93.68,92.92,93.04,8514110
2023-02-28 10:30:00,93.04,93.61,92.98,93.50,4189850
2023-02-28 11:30:00,93.48,93.76,93.17,93.67,3318646
2023-02-28 12:30:00,93.67,94.47,93.45,94.44,4226841
2023-02-28 13:30:00,94.44,94.69,94.29,94.53,4421008
2023-02-28 14:30:00,94.51,94.63,93.97,93.97,3841181
2023-02-28 15:30:00,93.97,94.55,93.86,94.22,6146910
2023-03-01 09:30:00,93.87,94.68,92.71,92.94,10537397
2023-03-01 10:30:00,92.94,93.37,91.93,92.40,7722978
2023-03-01 11:30:00,92.40,93.20,92.35,92.82,4992248
2023-03-01 12:30:00,92.82,92.97,92.20,92.21,4299421
2023-03-01 13:30:00,92.21,92.37,91.64,91.67,5797652
2023-03-01 14:30:00,91.67,92.10,91.59,91.92,6513798
2023-03-01 15:30:00,91.92,92.32,91.84,92.20,6726784
2023-03-02 09:30:00,91.41,91.84,91.01,91.56,10055299
2023-03-02 10:30:00,91.57,91.59,90.76,90.78,7253405
2023-03-02 11:30:00,90.78,90.86,90.39,90.60,6918780
2023-03-02 12:30:00,90.59,91.00,90.53,90.86,4143251
2023-03-02 13:30:00,90.85,91.54,90.76,91.46,7089582
2023-03-02 14:30:00,91.47,91.67,90.72,91.56,7465229
2023-03-02 15:30:00,91.56,92.23,91.56,92.15,6202835
2023-03-03 09:30:00,92.74,94.73,92.66,94.71,16066850
2023-03-03 10:30:00,94.71,94.75,93.76,94.09,6859828
2023-03-03 11:30:00,94.09,94.28,93.91,94.11,5303826
2023-03-03 12:30:00,94.11,94.40,94.04,94.21,3947668
2023-03-03 13:30:00,94.21,94.70,94.05,94.68,4071756
2023-03-03 14:30:00,94.68,94.90,94.56,94.79,4688663
2023-03-03 15:30:00,94.79,94.94,94.44,94.89,5850564
2023-03-06 09:30:00,95.19,96.07,94.68,95.73,11134888
2023-03-06 10:30:00,95.74,96.48,95.68,96.08,6479818
2023-03-06 11:30:00,96.08,96.54,96.00,96.46,4271570
2023-03-06 12:30:00,96.46,96.46,95.11,95.26,4870813
2023-03-06 13:30:00,95.26,95.32,94.47,94.61,5188655
2023-03-06 14:30:00,94.61,94.64,93.98,94.01,6570221
2023-03-06 15:30:00,94.02,94.19,93.74,93.74,5951819
2023-03-07 09:30:00,94.06,95.00,92.78,93.46,14395366
