datetime,open,high,low,close,volume
2021-03-05 11:30:00,47.24,47.59,47.17,47.54,752941
2021-03-05 12:30:00,47.56,47.75,47.44,47.70,637629
2021-03-05 13:30:00,47.71,47.72,47.59,47.70,600088
2021-03-05 14:30:00,47.71,48.03,47.70,48.00,1370687
2021-03-05 15:30:00,47.99,48.12,47.98,48.07,1759290
2021-03-08 09:30:00,47.75,48.29,47.67,48.24,2032053
2021-03-08 10:30:00,48.27,48.46,48.21,48.43,1916822
2021-03-08 11:30:00,48.42,48.42,48.11,48.19,1748614
2021-03-08 12:30:00,48.20,48.37,48.17,48.29,1032256
2021-03-08 13:30:00,48.32,48.32,48.12,48.27,906097
2021-03-08 14:30:00,48.27,48.30,48.13,48.19,1396116
2021-03-08 15:30:00,48.19,48.34,48.14,48.19,2217503
2021-03-09 09:30:00,49.52,49.88,49.45,49.82,4129839
2021-03-09 10:30:00,49.82,49.85,49.25,49.47,3340678
2021-03-09 11:30:00,49.47,49.53,49.33,49.44,1458244
2021-03-09 12:30:00,49.44,49.49,49.31,49.33,1245041
2021-03-09 13:30:00,49.33,49.38,49.07,49.10,895663
2021-03-09 14:30:00,49.11,49.29,49.10,49.16,1272392
2021-03-09 15:30:00,49.17,49.35,49.12,49.29,2768881
2021-03-10 09:30:00,50.20,50.29,49.70,49.88,2916884
2021-03-10 10:30:00,49.86,49.99,49.73,49.94,2944734
2021-03-10 11:30:00,49.93,49.96,49.80,49.86,1054242
2021-03-10 12:30:00,49.86,49.97,49.79,49.90,1421939
2021-03-10 13:30:00,49.90,49.92,49.71,49.77,1358317
2021-03-10 14:30:00,49.78,49.90,49.75,49.85,1046254
2021-03-10 15:30:00,49.85,49.88,49.75,49.81,1815122
2021-03-11 09:30:00,48.95,49.27,48.85,49.08,3595291
2021-03-11 10:30:00,49.08,49.16,48.81,48.84,2015468
2021-03-11 11:30:00,48.83,49.09,48.78,49.03,2013159
2021-03-11 12:30:00,49.03,49.05,48.76,49.01,1045887
2021-03-11 13:30:00,49.01,49.09,48.88,48.91,612970
2021-03-11 14:30:00,48.91,48.92,48.74,48.78,967237
2021-03-11 15:30:00,48.78,48.80,48.59,48.67,2048891
2021-03-12 09:30:00,48.23,48.25,47.88,48.20,2406496
2021-03-12 10:30:00,48.20,48.29,48.08,48.26,1194761
2021-03-12 11:30:00,48.26,48.35,48.13,48.18,2106011
2021-03-12 12:30:00,48.17,48.42,48.17,48.42,765715
2021-03-12 13:30:00,48.41,48.51,48.29,48.43,813570
2021-03-12 14:30:00,48.44,48.46,48.40,48.42,600023
2021-03-12 15:30:00,48.43,48.58,48.37,48.42,958078
2021-03-15 09:30:00,48.56,48.67,48.31,48.34,2069898
2021-03-15 10:30:00,48.33,48.53,48.18,48.28,2217105
2021-03-15 11:30:00,48.28,48.33,48.13,48.29,1693118
2021-03-15 12:30:00,48.30,48.53,48.27,48.40,1023157
2021-03-15 13:30:00,48.40,48.68,48.38,48.63,873731
2021-03-15 14:30:00,48.63,48.66,48.58,48.64,805144
2021-03-15 15:30:00,48.63,48.78,48.61,48.76,1101573
2021-03-16 09:30:00,49.95,50.47,49.95,50.20,3811520
2021-03-16 10:30:00,50.21,50.37,50.14,50.28,3103702
2021-03-16 11:30:00,50.28,50.29,49.95,50.12,1792953
2021-03-16 12:30:00,50.12,50.30,50.00,50.16,1827084
2021-03-16 13:30:00,50.16,50.16,49.88,49.95,1236461
2021-03-16 14:30:00,49.94,49.97,49.85,49.91,1616252
2021-03-16 15:30:00,49.91,50.07,49.89,50.07,3202776
2021-03-17 09:30:00,49.78,49.81,49.10,49.25,3874861
2021-03-17 10:30:00,49.25,49.44,49.17,49.41,1261479
