datetime,open,high,low,close,volume
2021-03-09 09:30:00,36.55,36.60,35.81,36.31,19705105
2021-03-09 10:30:00,36.31,37.16,36.29,36.78,12244100
2021-03-09 11:30:00,36.79,37.00,36.72,36.89,4998386
2021-03-09 12:30:00,36.87,36.92,36.67,36.76,4578352
2021-03-09 13:30:00,36.76,36.95,36.73,36.87,4174873
2021-03-09 14:30:00,36.87,36.90,36.53,36.54,5213231
2021-03-09 15:30:00,36.54,36.54,36.31,36.36,6743738
2021-03-10 09:30:00,36.42,37.10,36.37,36.85,12056978
2021-03-10 10:30:00,36.85,37.20,36.85,37.08,6336810
2021-03-10 11:30:00,37.08,37.19,37.04,37.13,3571284
2021-03-10 12:30:00,37.14,37.36,37.05,37.33,6885779
2021-03-10 13:30:00,37.33,37.53,37.30,37.50,6571607
2021-03-10 14:30:00,37.51,37.51,37.27,37.28,6274892
2021-03-10 15:30:00,37.28,37.39,37.21,37.36,6563956
2021-03-11 09:30:00,37.18,37.62,36.88,37.62,13117566
2021-03-11 10:30:00,37.62,37.79,37.50,37.69,6442336
2021-03-11 11:30:00,37.70,37.77,37.51,37.54,5272592
2021-03-11 12:30:00,37.53,37.61,37.32,37.36,4153922
2021-03-11 13:30:00,37.35,37.40,37.25,37.35,3864422
2021-03-11 14:30:00,37.35,37.36,37.08,37.16,4267738
2021-03-11 15:30:00,37.16,37.26,37.14,37.24,4318105
2021-03-12 09:30:00,37.91,38.18,37.69,37.84,14362841
2021-03-12 10:30:00,37.83,37.99,37.76,37.98,7132796
2021-03-12 11:30:00,37.97,38.00,37.78,37.81,5109391
2021-03-12 12:30:00,37.81,37.86,37.76,37.80,3371402
2021-03-12 13:30:00,37.81,37.84,37.67,37.78,3878330
2021-03-12 14:30:00,37.79,37.90,37.74,37.84,3550097
2021-03-12 15:30:00,37.84,37.97,37.83,37.94,5642707
2021-03-15 09:30:00,38.00,38.07,37.22,37.63,12143560
2021-03-15 10:30:00,37.63,37.68,37.40,37.41,6168534
