datetime,open,high,low,close,volume
2021-03-09 14:30:00,233.24,234.05,232.38,234.00,1831058
2021-03-09 15:30:00,233.96,233.97,229.83,230.49,2148481
2021-03-10 09:30:00,234.08,239.00,232.88,234.96,6470545
2021-03-10 10:30:00,234.97,239.50,233.65,239.22,3317560
2021-03-10 11:30:00,239.22,241.85,238.50,240.64,3419825
2021-03-10 12:30:00,240.73,243.78,239.44,243.72,3488962
2021-03-10 13:30:00,243.74,245.08,242.00,244.89,3694982
2021-03-10 14:30:00,244.90,246.80,244.37,244.43,3971452
2021-03-10 15:30:00,244.37,245.94,243.63,245.32,2363271
2021-03-11 09:30:00,249.26,256.65,246.55,252.76,11336165
2021-03-11 10:30:00,252.80,255.77,252.44,253.79,4286349
2021-03-11 11:30:00,253.80,255.69,251.54,252.24,3769185
2021-03-11 12:30:00,252.20,252.68,249.55,250.26,3211579
2021-03-11 13:30:00,250.23,252.51,249.30,252.31,2544980
2021-03-11 14:30:00,252.27,252.77,249.50,250.68,2636824
2021-03-11 15:30:00,250.67,252.48,250.47,251.99,1688880
2021-03-12 09:30:00,254.02,260.51,253.55,259.21,9287625
2021-03-12 10:30:00,259.16,266.50,258.46,262.96,8091088
2021-03-12 11:30:00,263.00,267.38,261.88,266.77,4860200
2021-03-12 12:30:00,266.76,268.54,265.80,267.59,3652205
2021-03-12 13:30:00,267.55,268.86,266.01,267.42,2781739
2021-03-12 14:30:00,267.49,268.79,266.95,268.20,2798893
2021-03-12 15:30:00,268.29,269.70,267.61,269.15,2569367
2021-03-15 09:30:00,274.14,278.57,267.47,271.58,10588403
2021-03-15 10:30:00,271.58,272.87,266.45,266.71,4708278
2021-03-15 11:30:00,266.64,266.97,264.33,266.80,5280136
2021-03-15 12:30:00,266.87,269.61,266.36,267.40,4242513
2021-03-15 13:30:00,267.42,267.93,265.72,267.51,2993400
2021-03-15 14:30:00,267.47,267.64,265.98,266.44,2602001
2021-03-15 15:30:00,266.46,266.84,265.23,265.60,2058913
2021-03-16 09:30:00,263.76,264.09,255.90,257.99,7841671
2021-03-16 10:30:00,257.91,260.20,257.20,258.64,5196232
2021-03-16 11:30:00,258.61,259.28,255.70,256.33,2670657
2021-03-16 12:30:00,256.26,257.98,255.83,257.60,3106563
2021-03-16 13:30:00,257.73,258.85,256.07,256.22,3332509
2021-03-16 14:30:00,256.20,257.15,254.04,256.15,3851477
2021-03-16 15:30:00,256.16,256.89,254.60,255.20,2047805
2021-03-17 09:30:00,254.40,260.92,253.68,257.16,6982675
2021-03-17 10:30:00,257.10,257.73,254.57,256.18,3446052
2021-03-17 11:30:00,256.14,259.45,256.12,258.12,2234020
2021-03-17 12:30:00,258.16,258.44,256.62,258.29,2662261
2021-03-17 13:30:00,258.11,261.81,257.77,258.84,2841392
2021-03-17 14:30:00,258.76,262.70,258.30,261.61,2635902
2021-03-17 15:30:00,261.57,263.61,261.52,263.59,2018990
2021-03-18 09:30:00,261.05,265.86,259.12,264.16,6600983
2021-03-18 10:30:00,264.11,266.16,263.12,265.81,4472831
2021-03-18 11:30:00,265.85,267.34,264.10,264.95,3116873
2021-03-18 12:30:00,264.89,265.66,262.39,264.40,1948655
2021-03-18 13:30:00,264.25,264.99,260.83,260.92,1864173
2021-03-18 14:30:00,260.97,261.75,257.11,258.05,3039625
2021-03-18 15:30:00,258.00,258.14,254.93,255.98,2423352
2021-03-19 09:30:00,257.71,258.88,251.31,255.10,5316633
2021-03-19 10:30:00,254.94,257.11,253.08,255.40,2696925
2021-03-19 11:30:00,255.42,257.48,255.07,256.86,1258855
2021-03-19 12:30:00,256.73,257.95,255.90,256.34,1078297
2021-03-19 13:30:00,256.32,256.78,255.25,255.89,954309
2021-03-19 14:30:00,255.90,256.50,254.98,255.82,1041620
