datetime,open,high,low,close,volume
2021-03-04 14:30:00,59.33,59.52,59.03,59.24,2432088
2021-03-04 15:30:00,59.24,59.39,59.12,59.33,2236706
2021-03-05 09:30:00,59.62,59.81,59.35,59.57,3158093
2021-03-05 10:30:00,59.55,59.75,59.33,59.68,2087376
2021-03-05 11:30:00,59.68,60.01,59.53,59.99,1617835
2021-03-05 12:30:00,59.99,60.13,59.85,60.00,1383150
2021-03-05 13:30:00,60.01,60.11,59.82,60.08,1262018
2021-03-05 14:30:00,60.09,60.40,60.02,60.25,1119560
2021-03-05 15:30:00,60.25,60.59,60.23,60.43,1837235
2021-03-08 09:30:00,60.55,60.96,60.13,60.92,2079309
2021-03-08 10:30:00,60.92,61.25,60.83,61.24,1139463
2021-03-08 11:30:00,61.26,61.31,61.15,61.26,768952
2021-03-08 12:30:00,61.27,61.72,61.27,61.61,999825
2021-03-08 13:30:00,61.62,61.62,61.10,61.12,1005904
2021-03-08 14:30:00,61.11,61.12,60.70,60.74,1422654
2021-03-08 15:30:00,60.74,60.78,60.43,60.43,1304641
2021-03-09 09:30:00,60.76,61.86,60.67,61.67,2696870
2021-03-09 10:30:00,61.68,61.71,61.32,61.46,1483380
2021-03-09 11:30:00,61.44,61.50,61.27,61.46,753564
2021-03-09 12:30:00,61.46,61.49,61.16,61.19,657569
2021-03-09 13:30:00,61.19,61.25,60.90,60.96,1591989
2021-03-09 14:30:00,60.96,61.15,60.85,60.90,1349291
2021-03-09 15:30:00,60.90,60.91,60.57,60.57,2185086
2021-03-10 09:30:00,61.07,61.07,60.47,60.79,2325432
2021-03-10 10:30:00,60.79,61.19,60.64,61.12,1242063
2021-03-10 11:30:00,61.12,61.24,60.99,61.11,994308
2021-03-10 12:30:00,61.13,61.28,61.00,61.01,1063217
2021-03-10 13:30:00,61.02,61.13,60.97,61.08,749227
2021-03-10 14:30:00,61.09,61.22,61.07,61.20,896571
2021-03-10 15:30:00,61.21,61.24,60.89,60.91,1444542
2021-03-11 09:30:00,61.00,61.18,60.56,60.97,2099974
2021-03-11 10:30:00,60.96,61.10,60.85,60.87,995948
2021-03-11 11:30:00,60.87,60.97,60.75,60.80,1069748
2021-03-11 12:30:00,60.81,60.96,60.80,60.81,966239
2021-03-11 13:30:00,60.81,60.92,60.77,60.81,934954
2021-03-11 14:30:00,60.81,60.83,60.51,60.52,1241117
2021-03-11 15:30:00,60.53,60.53,60.35,60.35,1565915
2021-03-12 09:30:00,60.45,60.94,60.42,60.56,1627630
