datetime,open,high,low,close,volume
2021-03-05 09:30:00,26.82,27.10,26.65,26.77,7382377
2021-03-05 10:30:00,26.77,26.84,26.33,26.37,3830358
2021-03-05 11:30:00,26.36,26.71,26.35,26.65,2356741
2021-03-05 12:30:00,26.63,26.67,26.42,26.63,1919679
2021-03-05 13:30:00,26.64,26.72,26.43,26.58,1825603
2021-03-05 14:30:00,26.59,26.69,26.51,26.68,1665423
2021-03-05 15:30:00,26.68,26.82,26.64,26.77,1804781
2021-03-08 09:30:00,26.42,26.46,25.96,26.15,6041260
2021-03-08 10:30:00,26.15,26.42,26.15,26.41,2074784
2021-03-08 11:30:00,26.40,26.67,26.38,26.66,1475713
2021-03-08 12:30:00,26.67,26.71,26.48,26.51,1233251
2021-03-08 13:30:00,26.52,26.67,26.33,26.66,1220406
2021-03-08 14:30:00,26.66,26.69,26.46,26.54,1166470
2021-03-08 15:30:00,26.53,26.62,26.53,26.55,1211634
2021-03-09 09:30:00,26.29,26.38,25.98,26.18,4530898
2021-03-09 10:30:00,26.18,26.44,26.17,26.34,2155939
2021-03-09 11:30:00,26.35,26.43,26.23,26.28,1221693
2021-03-09 12:30:00,26.27,26.40,26.24,26.32,838639
2021-03-09 13:30:00,26.32,26.33,26.19,26.20,982028
2021-03-09 14:30:00,26.20,26.32,26.20,26.23,1038760
2021-03-09 15:30:00,26.23,26.25,26.10,26.10,1252136
2021-03-10 09:30:00,26.19,26.58,26.07,26.33,4273264
2021-03-10 10:30:00,26.33,26.50,26.25,26.32,1953318
2021-03-10 11:30:00,26.32,26.39,26.22,26.26,1293126
2021-03-10 12:30:00,26.26,26.46,26.24,26.44,1091569
2021-03-10 13:30:00,26.45,26.61,26.41,26.61,1287682
2021-03-10 14:30:00,26.60,26.61,26.47,26.57,1052657
2021-03-10 15:30:00,26.57,26.66,26.57,26.64,1079387
2021-03-11 09:30:00,26.72,26.91,26.51,26.88,3370950
2021-03-11 10:30:00,26.87,26.99,26.80,26.81,1561801
2021-03-11 11:30:00,26.81,26.83,26.70,26.82,986480
2021-03-11 12:30:00,26.82,26.83,26.70,26.71,853913
2021-03-11 13:30:00,26.72,26.73,26.61,26.68,748801
2021-03-11 14:30:00,26.69,26.71,26.59,26.62,929475
2021-03-11 15:30:00,26.62,26.66,26.58,26.65,1195612
2021-03-12 09:30:00,26.76,27.01,26.73,26.78,2591262
2021-03-12 10:30:00,26.78,27.02,26.73,26.99,2140817
2021-03-12 11:30:00,26.99,27.03,26.88,26.89,997327
2021-03-12 12:30:00,26.90,26.94,26.86,26.92,561587
2021-03-12 13:30:00,26.92,26.94,26.80,26.91,889884
2021-03-12 14:30:00,26.91,26.94,26.87,26.92,569695
2021-03-12 15:30:00,26.92,26.97,26.92,26.97,804926
2021-03-15 09:30:00,26.72,26.83,26.23,26.48,3658695
2021-03-15 10:30:00,26.46,26.53,26.32,26.38,1373940
2021-03-15 11:30:00,26.38,26.43,26.21,26.40,1686642
2021-03-15 12:30:00,26.40,26.53,26.33,26.50,1038576
2021-03-15 13:30:00,26.51,26.72,26.49,26.66,1270094
2021-03-15 14:30:00,26.65,26.65,26.43,26.46,1450359
2021-03-15 15:30:00,26.45,26.53,26.44,26.49,1344676
2021-03-16 09:30:00,26.10,26.12,25.75,25.88,3389856
2021-03-16 10:30:00,25.87,25.91,25.69,25.83,1575245
2021-03-16 11:30:00,25.85,26.01,25.79,26.00,1255885
2021-03-16 12:30:00,26.01,26.13,25.98,26.11,1235684
2021-03-16 13:30:00,26.12,26.15,26.03,26.06,1157668
2021-03-16 14:30:00,26.05,26.17,26.02,26.13,878590
2021-03-16 15:30:00,26.12,26.14,26.05,26.08,913557
2021-03-17 09:30:00,25.95,26.38,25.95,26.24,2661097
2021-03-17 10:30:00,26.25,26.25,25.99,26.20,2024878
2021-03-17 11:30:00,26.21,26.31,26.16,26.20,1196117
2021-03-17 12:30:00,26.21,26.31,26.17,26.27,824298
2021-03-17 13:30:00,26.27,26.53,26.26,26.39,1206301
2021-03-17 14:30:00,26.40,26.51,26.33,26.38,852561
2021-03-17 15:30:00,26.38,26.50,26.38,26.47,742317
2021-03-18 09:30:00,26.31,26.44,26.24,26.25,1971119
2021-03-18 10:30:00,26.25,26.28,26.02,26.17,2052981
2021-03-18 11:30:00,26.17,26.25,26.12,26.18,1013202
2021-03-18 12:30:00,26.18,26.18,25.90,26.02,1409596
