datetime,open,high,low,close,volume
2021-03-09 12:30:00,48.31,48.37,47.99,48.04,1902531
2021-03-09 13:30:00,48.05,48.33,48.05,48.16,1988854
2021-03-09 14:30:00,48.17,48.26,48.10,48.17,1917509
2021-03-09 15:30:00,48.17,48.19,47.87,47.89,4284645
2021-03-10 09:30:00,48.29,48.78,48.27,48.34,4618242
2021-03-10 10:30:00,48.35,48.58,48.19,48.48,2083366
2021-03-10 11:30:00,48.48,48.52,48.19,48.22,1385921
2021-03-10 12:30:00,48.22,48.55,48.19,48.54,1849192
2021-03-10 13:30:00,48.55,48.67,48.48,48.66,1706836
2021-03-10 14:30:00,48.67,48.74,48.49,48.51,1809972
2021-03-10 15:30:00,48.51,48.55,48.23,48.26,3284696
2021-03-11 09:30:00,48.50,48.66,48.22,48.42,3693643
2021-03-11 10:30:00,48.41,48.79,48.41,48.75,2012866
2021-03-11 11:30:00,48.74,48.90,48.72,48.85,1482440
2021-03-11 12:30:00,48.86,49.08,48.85,48.94,2040349
2021-03-11 13:30:00,48.94,49.07,48.88,49.00,1838426
2021-03-11 14:30:00,49.00,49.01,48.78,48.79,1810397
2021-03-11 15:30:00,48.79,48.87,48.57,48.80,4469659
2021-03-12 09:30:00,48.81,48.99,48.57,48.66,3067390
2021-03-12 10:30:00,48.65,48.72,48.47,48.72,2313644
2021-03-12 11:30:00,48.72,48.81,48.65,48.78,1132657
2021-03-12 12:30:00,48.76,48.81,48.62,48.80,849652
2021-03-12 13:30:00,48.79,48.87,48.71,48.85,1347776
2021-03-12 14:30:00,48.85,48.90,48.73,48.76,1177730
2021-03-12 15:30:00,48.76,48.88,48.74,48.82,1906238
2021-03-15 09:30:00,48.90,49.32,48.90,49.13,2665711
2021-03-15 10:30:00,49.12,49.29,49.01,49.06,1626989
2021-03-15 11:30:00,49.06,49.08,48.92,49.06,1166601
2021-03-15 12:30:00,49.06,49.19,48.99,49.18,1333116
2021-03-15 13:30:00,49.18,49.30,49.17,49.28,1362162
2021-03-15 14:30:00,49.28,49.34,49.18,49.24,1509112
2021-03-15 15:30:00,49.24,49.43,49.21,49.40,2771074
2021-03-16 09:30:00,49.44,49.48,49.19,49.42,2399942
2021-03-16 10:30:00,49.41,49.61,49.37,49.51,1937098
2021-03-16 11:30:00,49.51,49.69,49.48,49.58,1657669
2021-03-16 12:30:00,49.58,49.74,49.54,49.62,1646277
2021-03-16 13:30:00,49.62,49.64,49.46,49.46,1491760
2021-03-16 14:30:00,49.46,49.63,49.40,49.58,1608464
2021-03-16 15:30:00,49.57,49.68,49.53,49.67,2324653
2021-03-17 09:30:00,49.57,49.61,49.23,49.46,2055608
2021-03-17 10:30:00,49.45,49.49,49.17,49.22,2407243
2021-03-17 11:30:00,49.21,49.29,49.08,49.13,2063809
2021-03-17 12:30:00,49.13,49.14,48.90,49.06,1471669
2021-03-17 13:30:00,49.06,49.38,48.97,49.12,1644892
2021-03-17 14:30:00,49.13,49.44,49.10,49.33,1956268
2021-03-17 15:30:00,49.33,49.46,49.16,49.44,2660399
2021-03-18 09:30:00,48.51,49.57,48.51,49.36,2892856
2021-03-18 10:30:00,49.35,49.52,49.28,49.47,1368161
2021-03-18 11:30:00,49.47,49.52,49.26,49.38,1272141
2021-03-18 12:30:00,49.39,49.39,49.09,49.29,1622774
2021-03-18 13:30:00,49.29,49.35,48.97,48.99,1337880
2021-03-18 14:30:00,49.00,49.08,48.84,48.96,2092953
2021-03-18 15:30:00,48.95,48.99,48.77,48.80,3360621
2021-03-19 09:30:00,48.77,48.90,48.44,48.49,5851208
2021-03-19 10:30:00,48.50,48.65,48.32,48.53,1485871
2021-03-19 11:30:00,48.53,48.96,48.52,48.81,1756136
2021-03-19 12:30:00,48.81,48.97,48.81,48.92,1238611
2021-03-19 13:30:00,48.91,49.09,48.89,49.04,1528736
2021-03-19 14:30:00,49.04,49.15,48.88,48.92,2010701
2021-03-19 15:30:00,48.92,49.19,48.87,49.02,5455680
2021-03-22 09:30:00,48.96,49.83,48.94,49.58,3467692
2021-03-22 10:30:00,49.58,49.77,49.56,49.72,2548108
2021-03-22 11:30:00,49.72,49.94,49.72,49.87,2307686
2021-03-22 12:30:00,49.87,50.16,49.80,50.08,3241873
2021-03-22 13:30:00,50.08,50.25,49.99,50.23,1365261
2021-03-22 14:30:00,50.23,50.33,50.08,50.12,2370108
