datetime,open,high,low,close,volume
2021-03-08 10:30:00,71.08,71.63,71.04,71.63,963651
2021-03-08 11:30:00,71.60,72.07,71.50,72.05,1502036
2021-03-08 12:30:00,72.04,72.44,72.01,72.42,790015
2021-03-08 13:30:00,72.42,72.54,71.85,72.14,1038450
2021-03-08 14:30:00,72.15,72.28,71.86,71.96,723263
2021-03-08 15:30:00,71.97,72.15,71.69,71.73,1105481
2021-03-09 09:30:00,72.44,73.04,71.81,72.66,1897396
2021-03-09 10:30:00,72.71,72.84,72.10,72.12,982131
2021-03-09 11:30:00,72.15,72.35,71.83,72.12,1699981
2021-03-09 12:30:00,72.12,72.27,71.81,71.94,962718
2021-03-09 13:30:00,71.91,72.00,71.62,71.64,513861
2021-03-09 14:30:00,71.64,71.87,71.44,71.47,707623
2021-03-09 15:30:00,71.47,71.57,71.18,71.30,850452
2021-03-10 09:30:00,71.69,72.33,71.13,72.00,1293830
2021-03-10 10:30:00,72.00,72.75,71.87,72.65,1181790
2021-03-10 11:30:00,72.67,72.93,72.43,72.55,784223
2021-03-10 12:30:00,72.55,73.06,72.50,72.98,963112
2021-03-10 13:30:00,72.98,73.08,72.81,72.86,657099
2021-03-10 14:30:00,72.85,72.97,72.77,72.88,696200
2021-03-10 15:30:00,72.88,72.89,72.58,72.71,1149589
2021-03-11 09:30:00,72.92,73.43,72.43,72.61,1400442
2021-03-11 10:30:00,72.60,72.82,72.43,72.54,628282
2021-03-11 11:30:00,72.53,72.87,72.48,72.59,539838
2021-03-11 12:30:00,72.60,72.86,72.56,72.62,473305
2021-03-11 13:30:00,72.61,72.83,72.61,72.69,442176
2021-03-11 14:30:00,72.69,72.70,72.38,72.46,543267
2021-03-11 15:30:00,72.45,72.52,72.33,72.36,765239
2021-03-12 09:30:00,72.62,73.09,72.51,72.97,816123
2021-03-12 10:30:00,72.97,73.28,72.90,73.13,665491
2021-03-12 11:30:00,73.12,73.44,72.99,73.44,493428
2021-03-12 12:30:00,73.43,73.57,73.33,73.43,624566
2021-03-12 13:30:00,73.44,73.76,73.44,73.75,668422
2021-03-12 14:30:00,73.75,74.02,73.73,73.89,1069783
2021-03-12 15:30:00,73.90,74.05,73.87,73.96,1072474
2021-03-15 09:30:00,73.95,74.25,73.58,74.13,959990
2021-03-15 10:30:00,74.12,74.48,74.05,74.20,668274
2021-03-15 11:30:00,74.21,74.91,74.21,74.91,943717
2021-03-15 12:30:00,74.91,75.16,74.83,75.12,895137
2021-03-15 13:30:00,75.12,75.20,74.85,75.00,697417
2021-03-15 14:30:00,75.02,75.06,74.59,74.93,740840
2021-03-15 15:30:00,74.93,75.02,74.56,74.98,871476
2021-03-16 09:30:00,74.99,75.08,74.39,74.48,996345
2021-03-16 10:30:00,74.48,74.82,74.15,74.60,627797
2021-03-16 11:30:00,74.64,74.81,74.43,74.73,418499
2021-03-16 12:30:00,74.74,75.09,74.60,75.04,550833
2021-03-16 13:30:00,75.04,75.21,74.82,75.09,484981
2021-03-16 14:30:00,75.07,75.18,74.93,75.00,551697
2021-03-16 15:30:00,75.01,75.25,74.94,75.06,974726
2021-03-17 09:30:00,73.73,74.07,72.89,73.05,2275046
2021-03-17 10:30:00,73.07,73.36,72.90,73.23,778748
2021-03-17 11:30:00,73.26,73.89,73.26,73.60,975765
2021-03-17 12:30:00,73.59,73.91,73.54,73.89,469692
2021-03-17 13:30:00,73.88,74.39,73.71,73.72,812056
2021-03-17 14:30:00,73.72,74.08,73.70,73.94,817909
2021-03-17 15:30:00,73.94,74.12,73.85,74.06,1095836
2021-03-18 09:30:00,73.95,74.77,73.81,74.54,875473
2021-03-18 10:30:00,74.54,74.82,74.19,74.70,703227
2021-03-18 11:30:00,74.73,75.03,74.54,74.99,595115
2021-03-18 12:30:00,74.98,75.01,74.74,74.94,457704
2021-03-18 13:30:00,74.94,75.29,74.92,75.09,704978
2021-03-18 14:30:00,75.09,75.15,74.82,75.01,857708
2021-03-18 15:30:00,75.01,75.13,74.47,74.47,1796872
2021-03-19 09:30:00,74.69,74.69,73.59,73.61,1415518
2021-03-19 10:30:00,73.61,74.01,73.34,73.84,592656
