datetime,open,high,low,close,volume
2021-03-09 14:30:00,195.68,196.54,195.61,195.87,1925761
2021-03-09 15:30:00,195.86,195.89,194.38,194.76,2336616
2021-03-10 09:30:00,196.69,198.80,195.80,196.00,3938734
2021-03-10 10:30:00,196.00,198.28,196.00,197.23,1701523
2021-03-10 11:30:00,197.22,197.63,195.85,195.89,1261160
2021-03-10 12:30:00,195.87,196.34,195.31,195.84,1019968
2021-03-10 13:30:00,195.86,196.12,194.68,195.06,1736430
2021-03-10 14:30:00,195.09,195.76,194.83,195.09,1418071
2021-03-10 15:30:00,195.10,195.58,194.83,195.00,888857
2021-03-11 09:30:00,196.16,197.26,195.40,196.61,2946167
2021-03-11 10:30:00,196.60,198.04,196.45,197.48,1956834
2021-03-11 11:30:00,197.47,198.99,197.41,198.39,1677308
2021-03-11 12:30:00,198.40,198.44,197.61,197.94,1060883
2021-03-11 13:30:00,197.96,197.96,196.87,197.17,791580
2021-03-11 14:30:00,197.15,197.34,196.70,196.96,756779
2021-03-11 15:30:00,196.96,196.98,196.12,196.78,1340753
2021-03-12 09:30:00,196.56,196.85,195.19,196.31,3006225
2021-03-12 10:30:00,196.30,198.41,196.20,197.33,1851186
2021-03-12 11:30:00,197.34,197.81,195.91,196.45,1613570
2021-03-12 12:30:00,196.48,197.23,196.31,196.61,1080581
2021-03-12 13:30:00,196.62,197.35,196.10,197.14,1201107
2021-03-12 14:30:00,197.16,197.65,196.63,197.06,1571757
2021-03-12 15:30:00,197.07,197.45,196.85,197.16,1332174
2021-03-15 09:30:00,197.63,198.51,195.38,196.79,2701239
2021-03-15 10:30:00,196.72,196.85,195.80,195.93,1688637
2021-03-15 11:30:00,195.93,196.57,195.57,195.61,1197983
2021-03-15 12:30:00,195.60,196.07,195.45,196.05,638032
2021-03-15 13:30:00,196.04,196.08,195.56,195.90,576803
2021-03-15 14:30:00,195.90,195.91,194.81,195.21,1010952
2021-03-15 15:30:00,195.21,196.82,195.18,196.73,1008664
2021-03-16 09:30:00,196.00,196.59,193.79,194.11,1778969
2021-03-16 10:30:00,194.07,194.63,193.73,194.49,1215211
2021-03-16 11:30:00,194.49,194.85,192.88,193.14,1634062
2021-03-16 12:30:00,193.10,193.89,193.06,193.54,628769
2021-03-16 13:30:00,193.57,193.65,192.95,193.00,598930
2021-03-16 14:30:00,192.97,194.68,192.94,194.56,1799258
2021-03-16 15:30:00,194.57,195.02,193.92,194.25,987499
2021-03-17 09:30:00,193.52,194.06,191.80,192.49,2597090
2021-03-17 10:30:00,192.51,192.68,191.78,192.38,1872718
2021-03-17 11:30:00,192.40,196.19,192.28,194.69,5184127
2021-03-17 12:30:00,194.69,194.74,193.88,193.93,882973
2021-03-17 13:30:00,193.93,195.13,193.40,194.10,1035087
2021-03-17 14:30:00,194.06,195.53,193.95,195.04,1026541
2021-03-17 15:30:00,195.04,195.35,194.57,195.25,1006501
2021-03-18 09:30:00,195.03,195.08,191.80,192.79,2572610
2021-03-18 10:30:00,192.75,193.95,192.45,193.44,1036891
2021-03-18 11:30:00,193.49,194.21,193.12,193.98,900329
2021-03-18 12:30:00,193.98,194.70,193.70,194.24,730831
2021-03-18 13:30:00,194.26,194.54,192.80,192.89,633619
2021-03-18 14:30:00,192.92,193.15,192.27,192.80,920065
2021-03-18 15:30:00,192.77,192.94,191.74,192.29,1651227
2021-03-19 09:30:00,191.39,192.99,189.76,192.49,3294762
2021-03-19 10:30:00,192.44,192.48,190.88,191.20,1067483
2021-03-19 11:30:00,191.24,192.35,191.16,191.99,708545
2021-03-19 12:30:00,191.98,192.86,191.87,192.04,646494
2021-03-19 13:30:00,192.06,192.11,191.50,191.90,631517
2021-03-19 14:30:00,191.92,193.45,191.81,192.95,1202902
2021-03-19 15:30:00,192.96,193.96,190.96,191.45,3402544
2021-03-22 09:30:00,193.67,196.33,192.03,195.53,2435959
2021-03-22 10:30:00,195.52,195.81,194.32,194.63,908690
2021-03-22 11:30:00,194.63,194.93,193.26,193.79,675067
2021-03-22 12:30:00,193.79,193.95,193.21,193.32,655271
2021-03-22 13:30:00,193.33,193.70,193.15,193.43,515537
2021-03-22 14:30:00,193.49,193.64,192.97,193.04,561533
2021-03-22 15:30:00,193.02,193.12,192.59,192.87,734643
2021-03-23 09:30:00,191.60,192.34,190.94,191.14,1604011
2021-03-23 10:30:00,191.13,191.15,189.90,190.48,1737754
2021-03-23 11:30:00,190.49,190.73,189.48,189.63,1093950
2021-03-23 12:30:00,189.66,190.21,188.79,190.21,714465
2021-03-23 13:30:00,190.17,190.19,189.40,190.04,142429
2021-03-23 14:30:00,190.10,190.13,188.71,188.86,71916
2021-03-23 15:30:00,188.79,188.91,188.03,188.87,192321
2021-03-24 09:30:00,190.06,190.50,186.62,186.75,2388616
2021-03-24 10:30:00,186.73,186.99,185.92,186.27,2208572
2021-03-24 11:30:00,186.26,187.40,185.70,187.35,1438044
