datetime,open,high,low,close,volume
2021-03-08 11:30:00,35.66,35.83,35.66,35.76,574018
2021-03-08 12:30:00,35.76,35.92,35.74,35.85,403105
2021-03-08 13:30:00,35.86,35.94,35.70,35.92,478284
2021-03-08 14:30:00,35.92,35.94,35.72,35.83,426494
2021-03-08 15:30:00,35.83,35.94,35.83,35.85,408894
2021-03-09 09:30:00,36.00,36.10,35.82,35.88,744792
2021-03-09 10:30:00,35.88,36.02,35.87,35.99,416376
2021-03-09 11:30:00,36.01,36.15,35.96,36.08,355183
2021-03-09 12:30:00,36.08,36.17,35.87,35.91,445597
2021-03-09 13:30:00,35.90,35.90,35.72,35.74,434842
2021-03-09 14:30:00,35.74,35.77,35.63,35.69,552216
2021-03-09 15:30:00,35.69,35.70,35.60,35.61,498219
2021-03-10 09:30:00,35.76,35.87,35.65,35.74,802775
2021-03-10 10:30:00,35.74,35.86,35.71,35.80,1352056
2021-03-10 11:30:00,35.78,35.93,35.75,35.83,632560
2021-03-10 12:30:00,35.85,35.87,35.73,35.84,779418
2021-03-10 13:30:00,35.85,36.06,35.81,36.05,850569
2021-03-10 14:30:00,36.02,36.10,36.01,36.04,400032
2021-03-10 15:30:00,36.04,36.07,35.88,35.91,877346
2021-03-11 09:30:00,36.18,36.44,36.03,36.29,1431039
2021-03-11 10:30:00,36.29,36.37,36.19,36.36,705449
2021-03-11 11:30:00,36.37,36.38,36.21,36.33,737116
2021-03-11 12:30:00,36.32,36.39,36.31,36.33,410236
2021-03-11 13:30:00,36.33,36.37,36.26,36.32,682221
2021-03-11 14:30:00,36.31,36.36,36.19,36.31,727312
2021-03-11 15:30:00,36.31,36.35,36.28,36.33,594248
2021-03-12 09:30:00,36.29,36.56,36.21,36.22,748520
2021-03-12 10:30:00,36.22,36.38,36.18,36.29,479281
2021-03-12 11:30:00,36.28,36.43,36.28,36.32,444950
2021-03-12 12:30:00,36.31,36.36,36.26,36.35,380990
2021-03-12 13:30:00,36.35,36.42,36.30,36.38,472948
2021-03-12 14:30:00,36.38,36.49,36.38,36.42,551719
2021-03-12 15:30:00,36.42,36.49,36.39,36.40,601769
2021-03-15 09:30:00,36.54,36.62,36.34,36.62,801488
2021-03-15 10:30:00,36.62,36.63,36.32,36.37,420392
2021-03-15 11:30:00,36.38,36.42,36.29,36.38,472890
2021-03-15 12:30:00,36.40,36.45,36.36,36.42,294054
2021-03-15 13:30:00,36.42,36.63,36.42,36.61,342948
2021-03-15 14:30:00,36.62,36.62,36.55,36.56,293576
2021-03-15 15:30:00,36.56,36.64,36.52,36.61,334616
2021-03-16 09:30:00,36.52,36.58,36.12,36.28,760829
2021-03-16 10:30:00,36.26,36.28,36.14,36.20,393951
2021-03-16 11:30:00,36.22,36.42,36.15,36.37,548088
2021-03-16 12:30:00,36.37,36.54,36.37,36.48,437075
2021-03-16 13:30:00,36.47,36.50,36.39,36.42,389990
2021-03-16 14:30:00,36.41,36.47,36.37,36.38,576476
2021-03-16 15:30:00,36.38,36.46,36.30,36.45,485036
2021-03-17 09:30:00,36.30,36.44,36.17,36.36,442560
2021-03-17 10:30:00,36.36,36.37,36.11,36.26,344996
2021-03-17 11:30:00,36.28,36.33,36.23,36.23,271825
2021-03-17 12:30:00,36.23,36.33,36.23,36.30,266514
2021-03-17 13:30:00,36.30,36.62,36.29,36.56,411091
2021-03-17 14:30:00,36.55,36.76,36.51,36.63,692443
2021-03-17 15:30:00,36.62,36.70,36.59,36.63,417664
2021-03-18 09:30:00,36.42,36.52,36.29,36.35,552175
2021-03-18 10:30:00,36.33,36.40,36.26,36.37,358853
2021-03-18 11:30:00,36.37,36.40,36.28,36.34,331530
2021-03-18 12:30:00,36.35,36.35,36.15,36.24,423589
2021-03-18 13:30:00,36.24,36.26,36.04,36.04,372817
2021-03-18 14:30:00,36.05,36.07,35.83,35.88,573343
2021-03-18 15:30:00,35.89,35.89,35.73,35.83,549944
2021-03-19 09:30:00,35.84,36.05,35.59,36.02,735334
2021-03-19 10:30:00,36.04,36.27,35.99,36.14,468644
2021-03-19 11:30:00,36.15,36.33,36.15,36.33,303333
2021-03-19 12:30:00,36.33,36.36,36.25,36.25,227222
2021-03-19 13:30:00,36.26,36.34,36.21,36.22,250084
2021-03-19 14:30:00,36.22,36.38,36.19,36.37,342972
2021-03-19 15:30:00,36.38,36.42,36.19,36.28,973416
2021-03-22 09:30:00,36.29,36.40,36.19,36.25,553076
2021-03-22 10:30:00,36.22,36.41,36.22,36.28,767325
2021-03-22 11:30:00,36.28,36.39,36.28,36.33,273528
2021-03-22 12:30:00,36.31,36.35,36.23,36.34,291558
2021-03-22 13:30:00,36.34,36.36,36.26,36.33,279187
2021-03-22 14:30:00,36.34,36.47,36.33,36.37,473980
2021-03-22 15:30:00,36.37,36.41,36.23,36.28,730718
2021-03-23 09:30:00,36.07,36.27,35.93,36.21,482866
2021-03-23 10:30:00,36.19,36.22,36.08,36.22,283159
2021-03-24 09:30:00,36.34,36.85,36.27,36.78,834674
2021-03-24 10:30:00,36.78,37.03,36.76,36.96,766435
2021-03-24 11:30:00,36.96,37.02,36.87,37.00,419715
2021-03-24 12:30:00,37.00,37.05,36.87,36.88,364546
2021-03-24 13:30:00,36.88,36.94,36.76,36.84,484353
2021-03-24 14:30:00,36.83,36.87,36.75,36.85,592385
2021-03-24 15:30:00,36.84,36.87,36.78,36.82,536564
2021-03-25 09:30:00,36.77,36.81,36.18,36.48,1249174
2021-03-25 10:30:00,36.47,36.55,36.29,36.42,565515
2021-03-25 11:30:00,36.42,36.58,36.37,36.51,382072
2021-03-25 12:30:00,36.52,36.61,36.46,36.54,430060
2021-03-25 13:30:00,36.55,36.64,36.46,36.46,368583
2021-03-25 14:30:00,36.47,36.60,36.44,36.58,395826
2021-03-25 15:30:00,36.57,36.72,36.56,36.68,466732
2021-03-26 09:30:00,36.91,37.08,36.78,36.94,660742
2021-03-26 10:30:00,36.95,37.11,36.89,37.11,661059
2021-03-26 11:30:00,37.11,37.16,36.99,37.01,587738
2021-03-26 12:30:00,37.03,37.06,36.87,36.90,400518
2021-03-26 13:30:00,36.89,36.99,36.83,36.96,464130
2021-03-26 14:30:00,36.95,37.01,36.85,36.97,453350
2021-03-26 15:30:00,36.97,37.08,36.96,37.06,881304
2021-03-29 09:30:00,37.10,37.10,36.82,36.95,622848
2021-03-29 10:30:00,36.95,36.99,36.84,36.96,351624
2021-03-29 11:30:00,36.95,37.08,36.95,37.04,306863
2021-03-29 12:30:00,37.05,37.14,37.01,37.09,650197
2021-03-29 13:30:00,37.08,37.22,37.06,37.22,447512
2021-03-29 14:30:00,37.21,37.30,37.15,37.24,715844
2021-03-29 15:30:00,37.25,37.26,37.14,37.20,1159547
2021-03-30 09:30:00,36.85,36.94,36.61,36.74,891797
2021-03-30 10:30:00,36.76,36.79,36.60,36.67,672924
2021-03-30 11:30:00,36.68,36.78,36.64,36.69,336609
2021-03-30 12:30:00,36.68,36.71,36.59,36.62,281296
2021-03-30 13:30:00,36.63,36.69,36.60,36.68,401371
2021-03-30 14:30:00,36.67,36.70,36.60,36.63,427597
2021-03-30 15:30:00,36.63,36.67,36.57,36.65,528742
2021-03-31 09:30:00,36.64,36.76,36.57,36.58,497115
2021-03-31 10:30:00,36.57,36.63,36.42,36.45,548936
2021-03-31 11:30:00,36.44,36.50,36.40,36.48,405754
2021-03-31 12:30:00,36.49,36.54,36.36,36.36,306200
