datetime,open,high,low,close,volume
2021-03-09 15:30:00,2063.66,2065.19,2048.82,2052.01,206927
2021-03-10 09:30:00,2072.45,2073.70,2045.87,2046.69,335985
2021-03-10 10:30:00,2046.44,2050.77,2033.37,2046.53,215528
2021-03-10 11:30:00,2047.64,2060.87,2037.62,2057.22,134714
2021-03-10 12:30:00,2058.50,2060.70,2045.00,2055.64,138940
2021-03-10 13:30:00,2055.64,2058.79,2045.01,2052.47,82564
2021-03-10 14:30:00,2055.41,2068.43,2055.41,2061.06,96405
2021-03-10 15:30:00,2060.99,2067.17,2051.48,2055.03,143042
2021-03-11 09:30:00,2075.00,2100.64,2072.38,2096.08,307343
2021-03-11 10:30:00,2096.55,2104.58,2096.10,2100.21,152448
2021-03-11 11:30:00,2100.49,2117.97,2099.44,2112.53,141881
2021-03-11 12:30:00,2115.00,2119.98,2109.44,2118.15,88159
2021-03-11 13:30:00,2120.45,2125.48,2115.01,2123.88,119833
2021-03-11 14:30:00,2123.15,2123.92,2114.81,2118.75,127249
2021-03-11 15:30:00,2119.94,2124.89,2111.79,2114.77,168816
2021-03-12 09:30:00,2085.00,2090.00,2050.00,2055.68,427303
2021-03-12 10:30:00,2054.98,2061.27,2048.46,2059.17,220181
2021-03-12 11:30:00,2058.91,2068.75,2056.07,2068.41,151153
2021-03-12 12:30:00,2068.40,2072.43,2059.89,2064.81,126478
2021-03-12 13:30:00,2064.81,2065.15,2051.32,2054.95,150394
2021-03-12 14:30:00,2054.94,2061.47,2050.00,2059.33,215463
2021-03-12 15:30:00,2059.49,2067.01,2058.11,2061.92,242379
2021-03-15 09:30:00,2058.35,2062.30,2045.51,2048.75,234522
2021-03-15 10:30:00,2049.16,2060.97,2045.54,2048.32,133755
2021-03-15 11:30:00,2049.77,2053.25,2043.81,2049.23,110007
2021-03-15 12:30:00,2048.54,2054.43,2046.98,2049.03,84721
2021-03-15 13:30:00,2048.36,2058.14,2045.10,2057.09,103248
2021-03-15 14:30:00,2057.28,2060.33,2050.27,2051.60,163904
2021-03-15 15:30:00,2051.52,2066.79,2049.60,2064.88,154337
2021-03-16 09:30:00,2073.50,2109.84,2073.50,2109.84,306510
2021-03-16 10:30:00,2110.00,2123.56,2107.60,2113.58,212041
2021-03-16 11:30:00,2115.78,2118.71,2096.39,2099.55,164147
2021-03-16 12:30:00,2099.61,2104.00,2096.00,2098.80,124648
2021-03-16 13:30:00,2097.00,2097.00,2085.06,2086.50,93130
2021-03-16 14:30:00,2084.92,2098.49,2084.92,2097.41,143919
2021-03-16 15:30:00,2098.08,2104.12,2088.95,2093.05,193008
2021-03-17 09:30:00,2076.03,2085.98,2067.55,2077.52,267974
2021-03-17 10:30:00,2076.33,2080.46,2060.85,2062.00,168496
2021-03-17 11:30:00,2060.86,2066.36,2054.12,2065.48,110162
2021-03-17 12:30:00,2065.51,2069.33,2056.00,2064.59,72527
2021-03-17 13:30:00,2065.53,2089.28,2063.66,2079.66,117233
2021-03-17 14:30:00,2078.50,2109.78,2077.66,2100.81,176973
2021-03-17 15:30:00,2100.48,2102.32,2082.88,2092.03,188998
2021-03-18 09:30:00,2057.96,2075.50,2055.93,2071.22,234917
2021-03-18 10:30:00,2069.01,2074.21,2063.26,2069.69,110543
2021-03-18 11:30:00,2069.68,2069.68,2060.00,2066.03,108449
2021-03-18 12:30:00,2066.15,2066.55,2054.21,2065.28,114017
2021-03-18 13:30:00,2065.28,2071.76,2056.85,2057.19,102629
2021-03-18 14:30:00,2056.79,2057.99,2040.00,2048.44,195486
2021-03-18 15:30:00,2048.63,2048.63,2033.55,2036.22,250656
2021-03-19 09:30:00,2043.25,2043.89,2017.68,2034.17,432709
2021-03-19 10:30:00,2034.17,2047.80,2026.41,2033.99,133765
2021-03-19 11:30:00,2037.92,2048.49,2037.58,2043.87,97775
