datetime,open,high,low,close,volume
2021-03-09 13:30:00,18.57,18.60,18.55,18.57,615009
2021-03-09 14:30:00,18.57,18.62,18.57,18.61,641708
2021-03-09 15:30:00,18.61,18.63,18.57,18.60,997932
2021-03-10 09:30:00,18.79,18.80,18.62,18.64,1636527
2021-03-10 10:30:00,18.64,18.72,18.61,18.65,916751
2021-03-10 11:30:00,18.66,18.67,18.61,18.63,869515
2021-03-10 12:30:00,18.63,18.68,18.57,18.66,950950
2021-03-10 13:30:00,18.66,18.67,18.60,18.64,972324
2021-03-10 14:30:00,18.64,18.70,18.62,18.67,652723
2021-03-10 15:30:00,18.67,18.69,18.64,18.67,937977
2021-03-11 09:30:00,18.92,18.99,18.85,18.99,1420769
2021-03-11 10:30:00,18.99,19.03,18.96,18.98,919001
2021-03-11 11:30:00,18.98,19.06,18.98,19.04,800001
2021-03-11 12:30:00,19.04,19.13,19.04,19.13,495259
2021-03-11 13:30:00,19.13,19.14,19.06,19.08,411226
2021-03-11 14:30:00,19.08,19.16,19.08,19.16,594828
2021-03-11 15:30:00,19.16,19.16,19.07,19.07,894723
2021-03-12 09:30:00,18.82,18.90,18.75,18.79,873028
2021-03-12 10:30:00,18.80,18.83,18.76,18.83,565046
2021-03-12 11:30:00,18.83,18.84,18.78,18.83,423684
2021-03-12 12:30:00,18.82,18.84,18.79,18.79,658865
2021-03-12 13:30:00,18.80,18.85,18.79,18.84,537154
2021-03-12 14:30:00,18.84,18.85,18.80,18.83,495060
2021-03-12 15:30:00,18.83,18.92,18.83,18.91,742046
2021-03-15 09:30:00,18.91,19.02,18.86,18.95,1165465
2021-03-15 10:30:00,18.96,18.97,18.89,18.90,749035
2021-03-15 11:30:00,18.90,18.98,18.87,18.96,353332
2021-03-15 12:30:00,18.96,19.01,18.95,19.00,321458
2021-03-15 13:30:00,19.01,19.11,19.00,19.10,868710
2021-03-15 14:30:00,19.10,19.15,19.09,19.10,556300
2021-03-15 15:30:00,19.10,19.16,19.10,19.14,719824
2021-03-16 09:30:00,19.19,19.35,19.16,19.34,1465834
2021-03-16 10:30:00,19.35,19.37,19.28,19.30,648224
2021-03-16 11:30:00,19.30,19.35,19.30,19.32,928332
2021-03-16 12:30:00,19.32,19.37,19.31,19.34,641207
2021-03-16 13:30:00,19.34,19.37,19.28,19.30,1007420
2021-03-16 14:30:00,19.29,19.33,19.25,19.31,869857
2021-03-16 15:30:00,19.32,19.35,19.30,19.32,1235971
2021-03-17 09:30:00,19.18,19.18,18.85,19.00,1982941
2021-03-17 10:30:00,19.00,19.05,18.93,18.97,815199
2021-03-17 11:30:00,18.97,18.99,18.91,18.97,664987
