datetime,open,high,low,close,volume
2021-03-09 09:30:00,151.50,152.48,149.82,151.49,4015111
2021-03-09 10:30:00,151.51,153.74,151.47,152.68,2489790
2021-03-09 11:30:00,152.69,153.76,152.56,153.38,1410573
2021-03-09 12:30:00,153.39,153.64,153.07,153.34,1092253
2021-03-09 13:30:00,153.32,154.25,153.31,153.62,1309650
2021-03-09 14:30:00,153.63,153.91,152.66,152.68,1220367
2021-03-09 15:30:00,152.68,152.68,151.70,151.76,1931254
2021-03-10 09:30:00,151.92,154.21,151.51,152.96,3534080
2021-03-10 10:30:00,152.96,154.05,152.81,153.73,1904389
2021-03-10 11:30:00,153.74,154.15,153.66,154.02,1262546
2021-03-10 12:30:00,154.05,154.70,153.75,154.56,1619860
2021-03-10 13:30:00,154.57,156.16,154.53,155.91,1978375
2021-03-10 14:30:00,155.92,156.04,155.05,155.06,1453999
2021-03-10 15:30:00,155.06,155.33,154.84,155.13,1458096
2021-03-11 09:30:00,154.11,155.53,153.36,155.22,3072238
2021-03-11 10:30:00,155.21,156.13,154.99,155.92,1421379
2021-03-11 11:30:00,155.92,155.94,155.42,155.43,1074921
2021-03-11 12:30:00,155.40,155.70,154.64,154.73,1048006
2021-03-11 13:30:00,154.74,155.20,154.73,155.00,1030990
2021-03-11 14:30:00,155.00,155.04,154.01,154.16,1402456
2021-03-11 15:30:00,154.16,154.50,154.03,154.29,1326853
2021-03-12 09:30:00,156.88,157.63,156.10,156.45,3181638
2021-03-12 10:30:00,156.43,156.81,156.11,156.61,1717450
2021-03-12 11:30:00,156.60,156.61,155.86,156.02,1055811
2021-03-12 12:30:00,156.01,156.07,155.46,155.63,1063183
2021-03-12 13:30:00,155.62,155.77,155.09,155.59,1100639
2021-03-12 14:30:00,155.59,156.03,155.34,155.91,1084232
2021-03-12 15:30:00,155.91,156.20,155.60,156.12,1498305
2021-03-15 09:30:00,156.43,156.92,154.11,155.43,2741032
2021-03-15 10:30:00,155.40,155.52,154.85,155.11,1280219
2021-03-15 11:30:00,155.13,155.13,153.97,154.53,1494972
2021-03-15 12:30:00,154.57,155.09,154.45,154.49,1203230
2021-03-15 13:30:00,154.44,155.00,154.39,154.95,878034
2021-03-15 14:30:00,154.95,155.03,154.49,154.84,1053499
2021-03-15 15:30:00,154.84,155.53,154.61,155.33,1357560
2021-03-16 09:30:00,154.29,154.40,153.01,153.12,3216568
2021-03-16 10:30:00,153.11,153.34,152.19,152.66,1835927
2021-03-16 11:30:00,152.67,153.53,152.34,153.39,1517462
2021-03-16 12:30:00,153.39,153.67,153.25,153.47,843620
2021-03-16 13:30:00,153.50,153.95,153.43,153.83,994689
2021-03-16 14:30:00,153.93,154.10,153.59,153.81,1362669
2021-03-16 15:30:00,153.80,154.01,153.51,153.52,1568996
2021-03-17 09:30:00,155.43,156.87,153.76,153.83,2959849
2021-03-17 10:30:00,153.82,154.21,153.05,153.94,1739833
2021-03-17 11:30:00,153.90,154.63,153.87,154.10,1229784
2021-03-17 12:30:00,154.05,154.27,153.90,153.99,813281
2021-03-17 13:30:00,153.99,155.19,153.62,154.20,1557718
2021-03-17 14:30:00,154.22,154.82,153.66,154.36,1997961
2021-03-17 15:30:00,154.38,155.27,154.35,155.11,2334672
2021-03-18 09:30:00,157.49,160.89,157.40,160.81,5868570
2021-03-18 10:30:00,160.82,161.22,159.00,160.85,2984831
2021-03-18 11:30:00,160.84,161.69,160.76,161.03,2077016
2021-03-18 12:30:00,161.04,161.04,160.10,160.18,1881432
2021-03-18 13:30:00,160.19,160.49,159.24,159.27,2180513
2021-03-18 14:30:00,159.28,159.47,157.85,158.14,2345967
2021-03-18 15:30:00,158.10,158.15,157.11,157.71,2161170
2021-03-19 09:30:00,155.76,155.84,151.62,152.13,9674913
2021-03-19 10:30:00,152.14,153.19,151.19,152.20,3300503
2021-03-19 11:30:00,152.23,153.69,152.06,153.03,2112590
2021-03-19 12:30:00,153.04,153.58,152.57,153.41,1714662
2021-03-19 13:30:00,153.41,153.82,153.08,153.31,1825281
2021-03-19 14:30:00,153.33,153.51,152.64,152.75,2103431
2021-03-19 15:30:00,152.74,155.39,151.56,154.86,8370663
2021-03-22 09:30:00,152.58,153.97,152.16,152.20,3748966
2021-03-22 10:30:00,152.24,152.76,151.89,152.03,2214151
2021-03-22 11:30:00,152.04,152.22,150.62,150.83,2491254
2021-03-22 12:30:00,150.83,151.29,150.74,151.05,1583550
2021-03-22 13:30:00,151.06,151.45,150.72,151.28,1807345
2021-03-22 14:30:00,151.27,151.80,151.23,151.23,1781893
2021-03-22 15:30:00,151.20,151.29,150.72,150.94,1558455
2021-03-23 09:30:00,150.42,152.12,149.13,150.83,5227098
2021-03-23 10:30:00,150.84,150.93,149.41,150.62,1489037
2021-03-23 11:30:00,150.67,151.42,150.56,151.08,0
2021-03-23 12:30:00,151.14,151.81,151.07,151.46,0
2021-03-23 13:30:00,151.42,151.63,150.33,150.51,0
2021-03-23 14:30:00,150.53,150.55,149.45,149.52,0
2021-03-23 15:30:00,149.45,149.59,148.97,149.50,0
2021-03-24 09:30:00,150.00,152.76,149.95,152.47,3397218
2021-03-24 10:30:00,152.45,153.18,151.55,151.76,1909032
2021-03-24 11:30:00,151.78,152.60,151.62,152.35,1078734
2021-03-24 12:30:00,152.38,152.39,151.52,151.67,940845
2021-03-24 13:30:00,151.69,152.15,151.50,151.50,922816
2021-03-24 14:30:00,151.47,151.48,150.97,151.06,1462131
2021-03-24 15:30:00,151.08,151.20,150.60,150.60,1572639
2021-03-25 09:30:00,150.09,151.22,149.33,150.62,2807804
2021-03-25 10:30:00,150.61,151.61,149.82,151.60,1386161
2021-03-25 11:30:00,151.60,152.10,151.41,151.69,2535915
2021-03-25 12:30:00,151.69,152.31,151.60,151.66,1972626
2021-03-25 13:30:00,151.70,152.21,151.43,151.44,1466260
2021-03-25 14:30:00,151.43,152.54,151.41,152.41,2001187
2021-03-25 15:30:00,152.40,152.97,152.28,152.67,1694383
2021-03-26 09:30:00,154.30,155.28,154.00,154.73,3868760
2021-03-26 10:30:00,154.72,154.76,153.37,153.60,2497273
2021-03-26 11:30:00,153.60,154.06,153.15,153.47,1383056
2021-03-26 12:30:00,153.48,154.03,152.92,153.00,1534866
2021-03-26 13:30:00,153.01,153.54,152.55,153.28,1594395
2021-03-26 14:30:00,153.26,154.11,152.86,153.89,1481836
2021-03-26 15:30:00,153.89,155.44,153.85,155.07,2341224
2021-03-29 09:30:00,152.12,153.60,152.07,152.11,3728113
2021-03-29 10:30:00,152.14,152.25,151.05,151.20,1896385
2021-03-29 11:30:00,151.24,153.09,151.13,152.30,1796270
2021-03-29 12:30:00,152.33,153.33,152.24,152.89,1104041
2021-03-29 13:30:00,152.84,153.19,152.40,152.83,1879711
2021-03-29 14:30:00,152.81,153.73,152.63,153.58,2703025
2021-03-29 15:30:00,153.57,153.58,152.40,152.71,2264404
2021-03-30 09:30:00,154.13,155.76,154.11,155.26,3020848
2021-03-30 10:30:00,155.24,155.87,155.09,155.28,1752248
2021-03-30 11:30:00,155.28,155.28,154.21,154.22,1357276
2021-03-30 12:30:00,154.20,154.54,154.01,154.15,853349
2021-03-30 13:30:00,154.07,154.53,153.88,154.40,1379088
2021-03-30 14:30:00,154.40,155.05,154.01,155.02,1414615
2021-03-30 15:30:00,155.01,155.20,154.01,154.58,1789401
2021-03-31 09:30:00,153.49,154.45,152.36,152.49,3035437
2021-03-31 10:30:00,152.50,152.90,152.12,152.40,1720768
2021-03-31 11:30:00,152.36,152.81,152.28,152.33,1242610
2021-03-31 12:30:00,152.33,153.25,152.29,152.91,1227696
2021-03-31 13:30:00,152.91,153.24,152.76,152.88,1258987
2021-03-31 14:30:00,152.89,153.20,152.45,152.84,1492651
2021-03-31 15:30:00,152.85,153.00,152.21,152.51,2559528
2021-04-01 09:30:00,151.96,153.16,151.56,152.32,3825654
2021-04-01 10:30:00,152.30,152.97,152.05,152.56,1917760
2021-04-01 11:30:00,152.55,152.89,152.44,152.79,1613174
2021-04-01 12:30:00,152.79,152.97,152.41,152.65,1196903
2021-04-01 13:30:00,152.64,153.39,152.60,153.33,1645532
2021-04-01 14:30:00,153.32,153.54,153.11,153.17,1401553
2021-04-01 15:30:00,153.16,153.78,152.91,153.67,1630193
2021-04-05 09:30:00,154.46,154.93,152.60,153.09,3008171
2021-04-05 10:30:00,153.10,153.62,152.92,153.46,1503034
2021-04-05 11:30:00,153.46,153.95,153.11,153.91,1109910
2021-04-05 12:30:00,153.91,154.19,153.57,153.63,1220495
2021-04-05 13:30:00,153.63,154.01,153.54,153.61,1460885
2021-04-05 14:30:00,153.60,153.65,153.29,153.40,1232939
2021-04-05 15:30:00,153.38,153.99,153.32,153.59,1897182
2021-04-06 09:30:00,152.79,154.24,152.62,153.43,2127517
2021-04-06 10:30:00,153.42,153.44,151.86,152.02,2042851
2021-04-06 11:30:00,152.01,152.48,151.92,152.31,1570431
2021-04-06 12:30:00,152.35,152.38,151.96,152.20,1121752
2021-04-06 13:30:00,152.18,152.59,152.15,152.26,1114576
2021-04-06 14:30:00,152.25,152.48,152.07,152.09,1401460
2021-04-06 15:30:00,152.10,152.59,151.99,152.55,1529632
2021-04-07 09:30:00,153.23,154.06,152.65,153.35,5089442
2021-04-07 10:30:00,153.34,153.93,153.26,153.50,1218452
2021-04-07 11:30:00,153.51,153.71,153.16,153.56,1343741
2021-04-07 12:30:00,153.60,154.73,153.54,154.65,1909555
2021-04-07 13:30:00,154.65,154.92,154.34,154.46,1366702
2021-04-07 14:30:00,154.46,154.82,154.39,154.67,929672
2021-04-07 15:30:00,154.68,155.23,154.51,154.94,2058258
2021-04-08 09:30:00,154.05,154.58,152.31,153.77,4025477
2021-04-08 10:30:00,153.77,154.37,153.59,154.28,1432674
2021-04-08 11:30:00,154.28,155.07,154.20,154.92,1194276
2021-04-08 12:30:00,154.89,155.14,154.78,154.86,831669
2021-04-08 13:30:00,154.89,154.89,154.52,154.80,818697
2021-04-08 14:30:00,154.79,155.48,154.79,155.40,1041766
2021-04-08 15:30:00,155.40,155.51,155.05,155.14,1284601
2021-04-09 09:30:00,155.76,157.04,155.41,155.64,1758481
2021-04-09 10:30:00,155.56,156.57,155.53,156.51,0
2021-04-09 11:30:00,156.53,156.58,155.81,155.84,0
2021-04-09 12:30:00,155.84,155.97,155.33,155.34,106100
2021-04-09 13:30:00,155.34,155.49,154.97,155.19,1082898
2021-04-09 14:30:00,155.20,155.78,155.09,155.73,973180
2021-04-09 15:30:00,155.74,156.45,155.73,156.35,1462679
2021-04-12 09:30:00,156.00,157.25,155.88,156.39,1998134
2021-04-12 10:30:00,156.34,156.58,155.85,155.93,1289452
2021-04-12 11:30:00,155.93,156.43,155.91,156.00,878081
2021-04-12 12:30:00,156.01,156.44,155.83,155.87,880466
2021-04-12 13:30:00,155.87,156.10,155.67,156.08,938936
2021-04-12 14:30:00,156.09,156.28,155.73,156.05,918520
2021-04-12 15:30:00,156.05,156.28,155.89,155.98,1575773
2021-04-13 09:30:00,154.84,155.20,152.45,154.13,4376383
2021-04-13 10:30:00,154.15,154.90,153.91,154.80,1500621
2021-04-13 11:30:00,154.80,155.12,154.74,154.93,956836
2021-04-13 12:30:00,154.93,154.94,153.80,153.89,1227437
2021-04-13 13:30:00,153.89,154.63,153.76,154.41,1781860
2021-04-13 14:30:00,154.42,154.99,154.26,154.84,1229920
2021-04-13 15:30:00,154.83,154.85,153.98,154.07,2001282
2021-04-14 09:30:00,151.83,153.58,151.19,153.18,6037050
2021-04-14 10:30:00,153.20,153.82,152.62,153.35,2509368
2021-04-14 11:30:00,153.37,153.60,152.26,152.54,1648542
2021-04-14 12:30:00,152.54,152.70,152.13,152.15,1437880
2021-04-14 13:30:00,152.15,152.24,151.32,152.18,2350777
2021-04-14 14:30:00,152.18,152.22,151.02,151.19,2122265
2021-04-14 15:30:00,151.19,151.43,151.04,151.30,2270291
2021-04-15 09:30:00,151.59,151.81,149.32,149.67,5145473
2021-04-15 10:30:00,149.71,150.82,149.64,150.20,2149517
2021-04-15 11:30:00,150.18,151.80,150.00,151.72,1932856
2021-04-15 12:30:00,151.73,151.94,150.82,150.82,1326742
2021-04-15 13:30:00,150.83,151.57,150.74,151.32,1155761
2021-04-15 14:30:00,151.30,151.83,151.26,151.53,1372217
2021-04-15 15:30:00,151.53,152.20,151.45,152.16,1787225
2021-04-16 09:30:00,153.80,154.48,153.01,153.57,2285813
2021-04-16 10:30:00,153.58,154.16,153.13,153.28,535661
2021-04-16 11:30:00,153.29,153.30,152.76,152.78,859772
2021-04-16 12:30:00,152.78,153.18,152.70,152.80,542719
2021-04-16 13:30:00,152.82,153.31,152.78,152.90,561544
2021-04-16 14:30:00,152.88,153.42,152.88,153.42,548831
2021-04-16 15:30:00,153.44,153.65,153.07,153.27,0
2021-04-19 09:30:00,153.66,153.88,152.47,152.81,2930463
2021-04-19 10:30:00,152.79,153.33,152.23,152.76,1202231
2021-04-19 11:30:00,152.78,153.29,152.76,153.14,1047903
2021-04-19 12:30:00,153.17,153.24,152.80,153.18,1685844
2021-04-19 13:30:00,153.18,153.44,153.06,153.20,747461
2021-04-19 14:30:00,153.19,153.31,152.72,152.79,940555
2021-04-19 15:30:00,152.78,152.89,152.27,152.73,1822771
2021-04-20 09:30:00,151.75,151.94,150.31,150.65,2905869
2021-04-20 10:30:00,150.64,150.64,149.35,149.70,2275924
2021-04-20 11:30:00,149.67,150.14,149.52,149.90,1128039
2021-04-20 12:30:00,149.90,149.93,148.92,148.99,1731367
2021-04-20 13:30:00,148.99,149.51,148.87,149.12,1154750
2021-04-20 14:30:00,149.12,149.43,148.65,149.31,1428539
2021-04-20 15:30:00,149.32,149.51,149.04,149.25,1598662
2021-04-21 09:30:00,148.30,149.80,146.79,149.27,3223306
2021-04-21 10:30:00,149.27,149.97,148.73,148.84,2046885
2021-04-21 11:30:00,148.82,149.73,148.57,149.62,1112582
2021-04-21 12:30:00,149.64,149.93,149.61,149.65,926067
2021-04-21 13:30:00,149.63,150.51,149.62,150.21,1005712
2021-04-21 14:30:00,150.17,150.33,150.04,150.10,823856
2021-04-21 15:30:00,150.09,150.61,149.94,150.61,1632239
2021-04-22 09:30:00,150.54,150.54,148.47,148.92,3255660
2021-04-22 10:30:00,148.92,149.33,148.81,148.94,1605706
2021-04-22 11:30:00,148.96,149.45,148.89,149.15,1184941
2021-04-22 12:30:00,149.17,149.50,148.15,148.75,2033237
2021-04-22 13:30:00,148.76,148.76,147.32,147.80,2306627
2021-04-22 14:30:00,147.77,148.02,147.39,147.52,1818515
2021-04-22 15:30:00,147.52,147.73,147.26,147.44,1911117
2021-04-23 09:30:00,147.18,149.39,146.68,149.38,3052523
2021-04-23 10:30:00,149.39,149.93,149.25,149.43,1981333
2021-04-23 11:30:00,149.44,150.08,149.17,150.08,1307137
2021-04-23 12:30:00,150.05,150.34,149.87,150.23,927912
2021-04-23 13:30:00,150.20,150.46,150.01,150.32,1049315
2021-04-23 14:30:00,150.32,150.80,150.29,150.79,1162275
2021-04-23 15:30:00,150.78,151.13,150.12,150.21,1833276
2021-04-26 09:30:00,150.77,152.37,150.72,152.14,2534950
2021-04-26 10:30:00,152.15,152.46,151.79,151.94,1031052
2021-04-26 11:30:00,151.95,152.03,151.41,151.53,806207
2021-04-26 12:30:00,151.53,151.66,151.36,151.46,653653
2021-04-26 13:30:00,151.49,151.52,151.15,151.29,763824
2021-04-26 14:30:00,151.30,151.30,150.82,150.86,1327322
2021-04-26 15:30:00,150.84,151.17,150.39,150.49,1597115
2021-04-27 09:30:00,150.50,151.38,150.11,150.96,2603127
2021-04-27 10:30:00,151.00,151.37,150.65,150.70,1391749
2021-04-27 11:30:00,150.70,151.07,150.50,150.89,949987
2021-04-27 12:30:00,150.90,150.93,150.28,150.47,1062276
2021-04-27 13:30:00,150.47,151.12,150.47,151.01,1281051
2021-04-27 14:30:00,151.01,151.57,150.99,151.40,1426270
2021-04-27 15:30:00,151.40,151.52,151.17,151.22,1755831
2021-04-28 09:30:00,152.35,152.89,151.42,152.20,2183459
2021-04-28 10:30:00,152.18,152.54,151.88,152.08,904453
2021-04-28 11:30:00,152.06,152.18,151.87,151.94,620518
2021-04-28 12:30:00,151.95,152.20,151.85,152.10,642742
2021-04-28 13:30:00,152.11,152.42,151.83,152.37,908993
2021-04-28 14:30:00,152.36,152.53,152.00,152.41,696071
2021-04-28 15:30:00,152.43,152.60,152.14,152.22,1145161
2021-04-29 09:30:00,153.61,154.62,153.20,154.09,2605127
2021-04-29 10:30:00,154.09,154.20,153.25,154.13,1465927
2021-04-29 11:30:00,154.13,154.22,153.45,153.86,1222342
2021-04-29 12:30:00,153.85,154.73,153.76,154.62,1437987
2021-04-29 13:30:00,154.65,154.90,154.42,154.89,904652
2021-04-29 14:30:00,154.89,155.27,154.80,154.85,1385989
2021-04-29 15:30:00,154.85,155.25,154.85,155.12,1575390
2021-04-30 09:30:00,154.03,154.48,153.29,153.99,2297108
2021-04-30 10:30:00,154.00,154.14,153.19,153.27,1542206
2021-04-30 11:30:00,153.28,153.55,153.01,153.35,1091409
2021-04-30 12:30:00,153.33,153.69,153.22,153.68,872010
2021-04-30 13:30:00,153.68,153.95,153.46,153.71,992829
2021-04-30 14:30:00,153.71,153.93,153.52,153.93,955846
2021-04-30 15:30:00,153.93,154.02,153.57,153.81,1632701
2021-05-03 09:30:00,154.85,155.47,153.49,153.80,3050423
2021-05-03 10:30:00,153.84,154.82,153.82,154.56,1905298
2021-05-03 11:30:00,154.54,154.65,154.03,154.11,833641
2021-05-03 12:30:00,154.12,154.25,153.85,154.11,895634
2021-05-03 13:30:00,154.10,154.31,153.89,154.29,916336
2021-05-03 14:30:00,154.29,154.33,153.83,153.89,1182412
2021-05-03 15:30:00,153.89,153.93,153.13,153.36,1490061
2021-05-04 09:30:00,152.87,154.20,152.15,153.39,2732273
2021-05-04 10:30:00,153.38,153.74,152.54,153.57,1469103
2021-05-04 11:30:00,153.57,155.27,153.46,155.09,1828927
2021-05-04 12:30:00,155.08,155.15,154.50,154.84,1159515
2021-05-04 13:30:00,154.85,154.99,154.49,154.97,1139950
2021-05-04 14:30:00,154.98,155.16,154.65,154.97,1201579
2021-05-04 15:30:00,154.96,155.64,154.78,155.64,1589151
2021-05-05 09:30:00,155.89,156.38,154.63,156.01,2098902
2021-05-05 10:30:00,156.02,157.54,155.87,157.47,1492530
2021-05-05 11:30:00,157.45,157.83,157.24,157.65,1347172
2021-05-05 12:30:00,157.65,157.68,157.28,157.43,853550
2021-05-05 13:30:00,157.43,158.18,157.23,158.12,1078955
2021-05-05 14:30:00,158.12,158.28,157.63,157.76,1253701
2021-05-05 15:30:00,157.75,157.78,157.30,157.52,1290982
2021-05-06 09:30:00,158.06,158.39,157.17,158.19,2442496
2021-05-06 10:30:00,158.17,159.03,158.07,159.03,1399701
2021-05-06 11:30:00,159.04,159.85,158.91,159.81,1425653
2021-05-06 12:30:00,159.82,159.82,159.24,159.57,1458970
2021-05-06 13:30:00,159.59,159.87,159.18,159.61,1173003
2021-05-06 14:30:00,159.62,160.35,159.41,160.28,1474662
2021-05-06 15:30:00,160.26,160.82,160.20,160.81,1731472
2021-05-07 09:30:00,157.61,160.33,157.15,159.48,3557083
2021-05-07 10:30:00,159.48,160.16,159.21,159.90,1411601
2021-05-07 11:30:00,159.90,160.51,159.81,160.43,1071539
2021-05-07 12:30:00,160.43,160.81,160.29,160.45,954008
2021-05-07 13:30:00,160.45,160.97,160.41,160.96,743712
2021-05-07 14:30:00,160.96,161.43,160.85,161.42,1509081
2021-05-07 15:30:00,161.43,161.50,161.17,161.24,1786812
2021-05-10 09:30:00,161.58,163.42,161.44,162.49,4430509
2021-05-10 10:30:00,162.49,163.73,162.06,163.60,1734671
2021-05-10 11:30:00,163.60,163.68,162.99,163.02,1205461
2021-05-10 12:30:00,163.04,163.35,162.90,162.94,984447
2021-05-10 13:30:00,162.92,163.28,162.59,162.66,1083999
2021-05-10 14:30:00,162.68,162.79,161.91,162.16,1135732
2021-05-10 15:30:00,162.15,162.37,161.17,161.18,0
2021-05-11 09:30:00,161.01,162.39,160.01,160.05,3285931
2021-05-11 10:30:00,160.08,160.11,158.55,159.71,2529543
