datetime,open,high,low,close,volume
2021-03-02 09:30:00,44.74,45.07,44.55,44.57,1998618
2021-03-02 10:30:00,44.57,44.84,44.57,44.73,702439
2021-03-02 11:30:00,44.73,44.88,44.66,44.76,627216
2021-03-02 12:30:00,44.75,44.99,44.74,44.84,501413
2021-03-02 13:30:00,44.87,44.98,44.87,44.97,618718
2021-03-02 14:30:00,44.97,45.13,44.85,44.85,681181
2021-03-02 15:30:00,44.86,44.91,44.67,44.71,751975
2021-03-03 09:30:00,44.73,45.56,44.61,45.52,1881922
2021-03-03 10:30:00,45.52,45.63,45.12,45.35,1172082
2021-03-03 11:30:00,45.35,45.44,45.24,45.28,1216412
2021-03-03 12:30:00,45.26,45.53,45.22,45.51,838553
2021-03-03 13:30:00,45.52,45.61,45.37,45.46,1030646
2021-03-03 14:30:00,45.46,45.47,45.26,45.37,1157130
2021-03-03 15:30:00,45.36,45.37,45.01,45.04,1287433
2021-03-04 09:30:00,45.00,45.46,44.85,45.42,2453247
2021-03-04 10:30:00,45.39,45.55,44.96,45.05,1098769
2021-03-04 11:30:00,45.04,45.16,44.69,44.75,1093921
2021-03-04 12:30:00,44.74,44.76,44.40,44.51,1178949
2021-03-04 13:30:00,44.50,44.56,44.14,44.48,1394604
2021-03-04 14:30:00,44.46,44.54,44.08,44.24,1767435
2021-03-04 15:30:00,44.24,44.37,44.13,44.27,2099613
2021-03-05 09:30:00,44.70,44.96,44.40,44.58,2075502
2021-03-05 10:30:00,44.59,44.76,44.52,44.57,1423905
2021-03-05 11:30:00,44.56,44.71,44.53,44.61,1014209
2021-03-05 12:30:00,44.61,44.64,44.45,44.55,1101902
2021-03-05 13:30:00,44.55,44.99,44.48,44.94,1231272
2021-03-05 14:30:00,44.95,45.16,44.92,45.10,1646975
2021-03-05 15:30:00,45.10,45.29,45.06,45.13,1800518
2021-03-08 09:30:00,45.28,45.94,45.07,45.90,2482792
2021-03-08 10:30:00,45.90,46.23,45.88,46.20,2193273
2021-03-08 11:30:00,46.24,46.47,46.20,46.40,1196270
2021-03-08 12:30:00,46.40,46.60,46.37,46.50,1066251
2021-03-08 13:30:00,46.50,46.69,46.38,46.67,1160241
2021-03-08 14:30:00,46.67,47.06,46.61,46.92,3463582
2021-03-08 15:30:00,46.92,47.05,46.83,46.90,3450888
2021-03-09 09:30:00,46.89,47.28,46.59,47.15,2568990
2021-03-09 10:30:00,47.17,47.48,47.06,47.28,1088803
2021-03-09 11:30:00,47.28,47.62,47.18,47.58,1185509
2021-03-09 12:30:00,47.58,47.79,47.51,47.62,1246477
2021-03-09 13:30:00,47.62,47.95,47.60,47.95,1192752
