datetime,open,high,low,close,volume
2021-03-09 13:30:00,89.14,89.72,89.03,89.35,1345944
2021-03-09 14:30:00,89.35,90.18,89.35,89.52,1944435
2021-03-09 15:30:00,89.54,89.92,88.96,89.30,3516616
2021-03-10 09:30:00,89.89,89.89,86.67,86.78,5742762
2021-03-10 10:30:00,86.77,87.77,86.08,87.19,3400930
2021-03-10 11:30:00,87.17,87.72,86.50,86.85,2510764
2021-03-10 12:30:00,86.82,87.19,86.31,86.76,2470137
2021-03-10 13:30:00,86.80,86.90,85.35,85.82,3190131
2021-03-10 14:30:00,85.81,86.36,85.42,85.43,2276355
2021-03-10 15:30:00,85.43,85.84,85.31,85.41,2822724
2021-03-11 09:30:00,87.53,89.10,86.86,88.51,6923361
2021-03-11 10:30:00,88.53,89.71,88.53,89.44,2632615
2021-03-11 11:30:00,89.46,90.22,89.29,89.86,2637217
2021-03-11 12:30:00,89.88,89.96,89.21,89.33,1696841
2021-03-11 13:30:00,89.33,89.48,88.85,89.29,1591056
2021-03-11 14:30:00,89.29,89.79,89.17,89.38,1720846
2021-03-11 15:30:00,89.37,89.60,89.12,89.31,1831698
2021-03-12 09:30:00,87.57,88.52,86.43,87.48,4753544
2021-03-12 10:30:00,87.48,87.69,86.78,86.92,2687063
2021-03-12 11:30:00,86.93,87.67,86.78,87.55,2683542
2021-03-12 12:30:00,87.53,87.83,87.00,87.31,1555728
2021-03-12 13:30:00,87.32,87.51,86.98,87.48,1675736
2021-03-12 14:30:00,87.46,88.04,87.37,87.73,1900834
2021-03-12 15:30:00,87.73,88.10,87.57,87.77,2508714
2021-03-15 09:30:00,87.82,88.18,86.14,87.04,3958897
2021-03-15 10:30:00,86.94,87.91,86.62,86.65,2354634
2021-03-15 11:30:00,86.64,87.45,86.43,87.36,1405619
2021-03-15 12:30:00,87.34,87.90,87.24,87.68,1170177
2021-03-15 13:30:00,87.68,88.29,87.60,88.16,1049505
2021-03-15 14:30:00,88.15,88.28,87.96,88.06,1069573
2021-03-15 15:30:00,88.05,88.87,88.03,88.87,1583530
2021-03-16 09:30:00,90.90,94.68,90.74,94.04,10473464
2021-03-16 10:30:00,94.05,94.28,93.24,93.60,3666382
2021-03-16 11:30:00,93.61,93.72,91.87,92.07,2660936
2021-03-16 12:30:00,92.07,93.20,92.00,92.79,1896932
2021-03-16 13:30:00,92.78,92.84,90.85,90.88,2298452
2021-03-16 14:30:00,90.89,91.50,90.11,91.34,3370289
2021-03-16 15:30:00,91.34,91.98,91.11,91.43,2390711
2021-03-17 09:30:00,91.22,93.97,90.11,93.36,6540088
2021-03-17 10:30:00,93.36,93.45,92.04,92.50,2807728
2021-03-17 11:30:00,92.52,92.99,91.87,92.88,1768092
2021-03-17 12:30:00,92.89,92.89,91.88,92.50,1493003
2021-03-17 13:30:00,92.50,94.45,92.31,94.04,3116678
2021-03-17 14:30:00,94.03,95.49,93.57,94.74,4409890
2021-03-17 15:30:00,94.76,95.07,94.32,94.81,2998796
2021-03-18 09:30:00,92.97,93.48,91.22,92.08,5387818
2021-03-18 10:30:00,92.08,92.40,91.05,91.95,3210809
2021-03-18 11:30:00,91.95,92.33,91.06,92.30,2640693
2021-03-18 12:30:00,92.30,92.43,90.80,91.46,2134728
2021-03-18 13:30:00,91.44,91.71,90.32,90.43,3598808
2021-03-18 14:30:00,90.44,90.63,89.68,90.29,3749353
2021-03-18 15:30:00,90.27,90.28,89.41,89.82,3670034
2021-03-19 09:30:00,90.30,91.25,88.89,90.96,6056494
2021-03-19 10:30:00,90.94,92.39,90.07,91.64,4076358
2021-03-19 11:30:00,91.62,92.67,91.51,92.05,2161806
2021-03-19 12:30:00,92.01,92.61,91.62,92.27,1689879
2021-03-19 13:30:00,92.30,92.52,91.55,91.89,1847803
2021-03-19 14:30:00,91.89,92.03,90.62,90.80,1897097
2021-03-19 15:30:00,90.82,91.24,90.47,90.49,2121238
2021-03-22 09:30:00,91.90,91.97,89.65,89.92,4475642
2021-03-22 10:30:00,89.93,91.28,89.82,91.15,2942593
2021-03-22 11:30:00,91.15,91.91,91.13,91.88,1822371
2021-03-22 12:30:00,91.88,92.42,91.69,91.98,1390638
2021-03-22 13:30:00,92.00,92.23,91.90,92.00,1011770
2021-03-22 14:30:00,92.00,92.22,91.45,91.52,1270855
2021-03-22 15:30:00,91.53,91.76,91.10,91.27,1744578
2021-03-23 09:30:00,90.62,91.04,88.38,88.40,4796435
2021-03-23 10:30:00,88.38,88.45,87.59,88.06,3113154
2021-03-23 11:30:00,88.07,88.10,86.65,86.79,0
2021-03-23 12:30:00,86.81,87.03,86.51,86.65,0
2021-03-23 13:30:00,86.59,86.75,85.60,85.88,0
2021-03-23 14:30:00,85.93,86.11,85.23,85.27,0
2021-03-23 15:30:00,85.23,85.67,84.98,85.38,0
2021-03-24 09:30:00,87.08,87.15,84.43,85.43,6775682
2021-03-24 10:30:00,85.41,86.49,85.32,86.07,2795995
2021-03-24 11:30:00,86.07,86.10,84.88,85.23,2230568
2021-03-24 12:30:00,85.22,85.31,84.01,84.58,2291178
2021-03-24 13:30:00,84.58,85.33,84.52,84.62,2048387
2021-03-24 14:30:00,84.61,84.61,83.31,83.61,2932469
2021-03-24 15:30:00,83.58,83.70,82.94,82.97,0
2021-03-25 09:30:00,81.14,83.65,80.50,82.74,6840189
2021-03-25 10:30:00,82.75,82.75,81.32,82.26,2768573
2021-03-25 11:30:00,82.23,83.97,82.18,83.76,2612273
2021-03-25 12:30:00,83.79,84.09,83.14,83.31,2216139
2021-03-25 13:30:00,83.32,83.48,82.40,82.45,1740764
2021-03-25 14:30:00,82.44,83.96,82.38,83.87,2022909
2021-03-25 15:30:00,83.86,84.43,83.66,84.10,2324437
2021-03-26 09:30:00,84.23,86.66,84.03,86.37,4301298
2021-03-26 10:30:00,86.39,86.86,85.67,85.97,2584412
2021-03-26 11:30:00,85.97,86.98,85.82,86.80,2240571
2021-03-26 12:30:00,86.81,87.45,86.67,87.25,2654500
2021-03-26 13:30:00,87.26,87.42,85.64,86.09,3196665
2021-03-26 14:30:00,86.08,87.35,85.73,87.33,2341470
2021-03-26 15:30:00,87.35,88.14,86.97,87.99,3501301
2021-03-29 09:30:00,87.75,88.25,86.45,87.33,4767225
2021-03-29 10:30:00,87.30,87.50,86.01,86.40,2767336
2021-03-29 11:30:00,86.40,87.34,86.29,87.01,1896548
2021-03-29 12:30:00,87.01,87.86,86.82,87.20,1744715
2021-03-29 13:30:00,87.21,87.54,86.24,86.28,1896496
2021-03-29 14:30:00,86.27,86.61,85.77,86.57,2255913
2021-03-29 15:30:00,86.57,86.82,86.25,86.59,3037714
2021-03-30 09:30:00,86.26,86.74,85.36,86.05,3139184
2021-03-30 10:30:00,86.03,86.73,85.78,86.44,2000661
2021-03-30 11:30:00,86.43,86.76,85.96,86.32,1629796
2021-03-30 12:30:00,86.31,86.63,86.08,86.47,1021671
2021-03-30 13:30:00,86.47,86.69,86.11,86.17,1279196
2021-03-30 14:30:00,86.17,87.03,86.14,87.02,1557694
2021-03-30 15:30:00,87.01,87.22,86.06,86.68,1998231
2021-03-31 09:30:00,87.46,88.28,86.74,87.40,4844661
2021-03-31 10:30:00,87.52,88.72,87.36,88.12,2879575
2021-03-31 11:30:00,88.08,88.36,87.69,88.34,2036146
2021-03-31 12:30:00,88.33,88.75,87.90,88.66,1845865
2021-03-31 13:30:00,88.66,89.06,88.25,88.84,2380969
2021-03-31 14:30:00,88.85,89.07,88.68,88.83,2157004
2021-03-31 15:30:00,88.83,88.99,88.05,88.21,3392831
2021-04-01 09:30:00,93.00,94.38,91.97,92.66,12908673
2021-04-01 10:30:00,92.66,93.64,92.34,92.70,5838138
2021-04-01 11:30:00,92.72,92.76,91.56,92.09,4015599
2021-04-01 12:30:00,92.08,92.19,91.27,91.37,2811995
2021-04-01 13:30:00,91.40,92.22,91.25,92.18,2332113
2021-04-01 14:30:00,92.18,92.92,92.02,92.13,4351437
2021-04-01 15:30:00,92.12,92.59,91.83,92.41,3412313
2021-04-05 09:30:00,93.93,94.17,92.47,93.65,5196005
2021-04-05 10:30:00,93.63,93.84,92.68,93.77,2949831
2021-04-05 11:30:00,93.77,94.02,93.29,93.94,2781766
2021-04-05 12:30:00,93.94,94.67,93.60,94.33,2282775
2021-04-05 13:30:00,94.32,94.57,94.18,94.27,1575450
2021-04-05 14:30:00,94.26,94.31,93.72,93.73,1286295
2021-04-05 15:30:00,93.75,93.96,93.52,93.75,19881490
2021-04-06 09:30:00,93.53,96.10,93.28,94.89,7405310
2021-04-06 10:30:00,94.90,95.22,94.43,94.83,2426547
2021-04-06 11:30:00,94.81,94.91,94.27,94.29,1734732
2021-04-06 12:30:00,94.25,94.39,92.67,92.87,3528647
2021-04-06 13:30:00,92.87,93.92,92.66,93.84,2097679
2021-04-06 14:30:00,93.84,93.87,93.32,93.64,1841551
2021-04-06 15:30:00,93.67,93.80,93.10,93.49,2130130
2021-04-07 09:30:00,94.30,95.07,93.26,94.19,5114237
2021-04-07 10:30:00,94.22,94.30,92.99,93.20,1922475
2021-04-07 11:30:00,93.21,93.31,92.54,92.69,2378953
2021-04-07 12:30:00,92.66,93.39,92.64,93.12,1255954
2021-04-07 13:30:00,93.11,94.10,93.04,93.98,1722712
2021-04-07 14:30:00,94.00,94.22,93.82,94.01,1550516
2021-04-07 15:30:00,94.00,94.01,93.48,93.96,2039330
2021-04-08 09:30:00,95.00,96.38,93.90,94.08,6793085
2021-04-08 10:30:00,94.07,94.45,93.78,94.39,1994965
2021-04-08 11:30:00,94.41,94.79,94.35,94.67,1346584
2021-04-08 12:30:00,94.67,95.17,94.49,94.69,1382873
2021-04-08 13:30:00,94.70,94.98,94.23,94.86,1183857
2021-04-08 14:30:00,94.85,95.24,94.64,95.06,1749415
2021-04-08 15:30:00,95.07,95.31,94.90,95.29,1439035
2021-04-09 09:30:00,94.34,94.82,93.46,94.52,2189275
2021-04-09 10:30:00,94.52,95.11,94.27,94.68,0
2021-04-09 11:30:00,94.65,95.17,94.55,94.98,0
2021-04-09 12:30:00,94.97,95.24,94.92,94.96,69543
2021-04-09 13:30:00,94.97,95.15,94.83,94.85,782907
2021-04-09 14:30:00,94.84,94.98,94.31,94.82,10083213
2021-04-09 15:30:00,94.84,95.38,94.76,95.30,2438004
2021-04-12 09:30:00,95.18,96.96,94.76,95.97,6228590
