datetime,open,high,low,close,volume
2021-03-04 09:30:00,72.49,72.49,71.29,72.28,2584317
2021-03-04 10:30:00,72.29,72.81,72.16,72.67,1283702
2021-03-04 11:30:00,72.66,73.06,72.04,72.13,864371
2021-03-04 12:30:00,72.12,72.18,71.31,71.55,1167696
2021-03-04 13:30:00,71.51,71.70,70.49,71.67,1508983
2021-03-04 14:30:00,71.51,71.84,70.61,70.86,1741659
2021-03-04 15:30:00,70.84,71.39,70.81,71.21,1612631
2021-03-05 09:30:00,71.69,72.00,68.90,69.04,3296416
2021-03-05 10:30:00,69.04,69.61,68.54,68.73,2073129
2021-03-05 11:30:00,68.74,69.43,68.33,69.37,2414585
2021-03-05 12:30:00,69.35,69.48,69.11,69.26,1543221
2021-03-05 13:30:00,69.28,69.74,69.15,69.74,1496823
2021-03-05 14:30:00,69.75,70.35,69.72,70.35,1366258
2021-03-05 15:30:00,70.35,71.00,70.27,70.66,1677531
2021-03-08 09:30:00,71.06,72.17,70.55,72.05,2126553
2021-03-08 10:30:00,72.09,72.41,71.86,72.34,889973
2021-03-08 11:30:00,72.35,72.36,71.98,72.18,727306
2021-03-08 12:30:00,72.19,72.19,71.54,71.66,1103566
2021-03-08 13:30:00,71.66,71.87,71.15,71.47,1453325
2021-03-08 14:30:00,71.47,71.48,70.72,70.89,2033401
2021-03-08 15:30:00,70.89,71.13,70.73,70.86,1345750
2021-03-09 09:30:00,72.41,74.37,72.33,74.19,2361562
2021-03-09 10:30:00,74.18,74.46,73.65,74.43,1428691
2021-03-09 11:30:00,74.42,74.71,73.87,74.66,983255
2021-03-09 12:30:00,74.65,74.66,74.25,74.49,598200
2021-03-09 13:30:00,74.50,74.57,74.16,74.22,612799
2021-03-09 14:30:00,74.23,74.30,73.86,74.07,674655
2021-03-09 15:30:00,74.08,74.21,73.96,73.99,975933
2021-03-10 09:30:00,74.00,74.39,72.69,74.16,2034574
2021-03-10 10:30:00,74.15,74.56,74.02,74.35,1203743
2021-03-10 11:30:00,74.35,74.61,74.07,74.54,901830
2021-03-10 12:30:00,74.56,74.64,74.23,74.42,698774
2021-03-10 13:30:00,74.43,74.61,74.35,74.50,649713
2021-03-10 14:30:00,74.53,74.74,74.43,74.57,900585
2021-03-10 15:30:00,74.57,74.63,74.31,74.48,1105184
2021-03-11 09:30:00,74.88,75.48,74.64,74.72,1374367
2021-03-11 10:30:00,74.73,75.00,74.47,74.99,737106
2021-03-11 11:30:00,74.99,75.32,74.84,75.21,639346
2021-03-11 12:30:00,75.22,75.52,75.21,75.36,588375
2021-03-11 13:30:00,75.39,75.52,75.27,75.48,550908
2021-03-11 14:30:00,75.47,75.54,75.10,75.25,660292
2021-03-11 15:30:00,75.25,75.25,74.85,74.86,859391
2021-03-12 09:30:00,75.17,75.17,74.04,74.74,943776
2021-03-12 10:30:00,74.74,75.14,74.66,74.95,554595
2021-03-12 11:30:00,74.94,75.51,74.94,75.50,467205
2021-03-12 12:30:00,75.50,75.59,75.31,75.45,560323
2021-03-12 13:30:00,75.45,75.88,75.40,75.79,828894
2021-03-12 14:30:00,75.81,76.01,75.70,75.82,752487
2021-03-12 15:30:00,75.85,75.86,75.59,75.68,928699
2021-03-15 09:30:00,75.51,76.21,75.35,75.43,1281708
2021-03-15 10:30:00,75.40,75.80,75.33,75.56,736790
2021-03-15 11:30:00,75.56,75.77,75.29,75.73,712388
2021-03-15 12:30:00,75.72,75.99,75.64,75.65,550888
2021-03-15 13:30:00,75.68,76.00,75.59,75.61,821711
2021-03-15 14:30:00,75.65,75.65,75.26,75.36,822627
2021-03-15 15:30:00,75.37,75.55,75.05,75.47,839496
2021-03-16 09:30:00,75.41,75.85,75.13,75.81,938294
2021-03-16 10:30:00,75.86,76.33,75.76,76.20,525815
2021-03-16 11:30:00,76.19,76.21,75.86,75.99,767299
2021-03-16 12:30:00,75.98,76.06,75.77,75.95,506202
2021-03-16 13:30:00,75.95,75.96,75.45,75.51,687107
2021-03-16 14:30:00,75.52,75.64,75.24,75.25,1124524
2021-03-16 15:30:00,75.26,75.55,75.22,75.37,984157
2021-03-17 09:30:00,75.02,75.03,73.23,73.75,1724107
2021-03-17 10:30:00,73.75,73.94,73.29,73.36,1429755
2021-03-17 11:30:00,73.35,73.54,73.28,73.50,613765
2021-03-17 12:30:00,73.50,73.59,73.27,73.31,669648
2021-03-17 13:30:00,73.31,73.54,72.95,72.95,1224698
2021-03-17 14:30:00,72.93,73.39,72.81,73.12,1337607
2021-03-17 15:30:00,73.13,73.21,72.82,72.99,1400165
2021-03-18 09:30:00,72.96,72.96,70.91,70.93,2297432
2021-03-18 10:30:00,70.94,71.13,70.74,70.81,2225605
2021-03-18 11:30:00,70.82,70.86,70.39,70.39,2641557
2021-03-18 12:30:00,70.38,70.96,70.27,70.87,1493464
2021-03-18 13:30:00,70.86,71.44,70.79,71.23,1037959
2021-03-18 14:30:00,71.21,71.40,70.98,71.25,1276357
2021-03-18 15:30:00,71.25,71.39,71.07,71.13,2123643
2021-03-19 09:30:00,71.21,71.47,70.06,70.71,4113890
2021-03-19 10:30:00,70.71,71.26,70.56,70.91,1199496
