datetime,open,high,low,close,volume
2023-02-21 15:30:00,20.69,20.77,20.62,20.65,41668200
2023-02-22 09:30:00,20.71,21.10,20.56,20.56,115787920
2023-02-22 10:30:00,20.56,20.83,20.42,20.76,62558950
2023-02-22 11:30:00,20.76,20.88,20.66,20.83,40238440
2023-02-22 12:30:00,20.83,20.99,20.83,20.97,34735150
2023-02-22 13:30:00,20.98,21.03,20.76,20.86,54688360
2023-02-22 14:30:00,20.87,20.91,20.64,20.70,48694340
2023-02-22 15:30:00,20.70,20.80,20.62,20.76,47423400
2023-02-23 09:30:00,23.44,23.87,23.03,23.83,459300690
2023-02-23 10:30:00,23.83,23.89,23.23,23.32,182108980
2023-02-23 11:30:00,23.32,23.54,23.16,23.51,119123880
2023-02-23 12:30:00,23.51,23.53,23.28,23.42,64202750
2023-02-23 13:30:00,23.42,23.80,23.38,23.74,94433770
2023-02-23 14:30:00,23.74,23.80,23.58,23.68,84432620
2023-02-23 15:30:00,23.68,23.78,23.59,23.66,84759960
2023-02-24 09:30:00,23.23,23.47,22.95,23.14,177295160
2023-02-24 10:30:00,23.14,23.25,22.95,23.22,90014350
2023-02-24 11:30:00,23.22,23.42,23.16,23.26,79800690
2023-02-24 12:30:00,23.27,23.31,23.06,23.17,56598150
2023-02-24 13:30:00,23.17,23.29,23.09,23.25,49642410
2023-02-24 14:30:00,23.25,23.43,23.19,23.23,63551510
2023-02-24 15:30:00,23.23,23.32,23.18,23.29,44737000
2023-02-27 09:30:00,23.67,23.88,23.53,23.56,152537670
2023-02-27 10:30:00,23.56,23.71,23.45,23.64,73020790
2023-02-27 11:30:00,23.65,23.70,23.49,23.57,41528290
2023-02-27 12:30:00,23.57,23.81,23.55,23.77,44702340
2023-02-27 13:30:00,23.77,23.82,23.70,23.72,35643410
2023-02-27 14:30:00,23.72,23.74,23.53,23.58,43539170
2023-02-27 15:30:00,23.58,23.58,23.47,23.50,33533750
