datetime,open,high,low,close,volume
2021-03-09 13:30:00,72.92,73.18,72.89,72.98,1429703
2021-03-09 14:30:00,72.98,73.22,72.66,73.21,2434645
2021-03-09 15:30:00,73.21,73.21,72.64,72.65,2436171
2021-03-10 09:30:00,73.38,73.62,72.21,72.23,3703027
2021-03-10 10:30:00,72.23,72.47,71.89,72.04,2482705
2021-03-10 11:30:00,72.04,72.50,71.86,72.48,1606507
2021-03-10 12:30:00,72.48,72.68,72.21,72.53,1581167
2021-03-10 13:30:00,72.54,72.59,72.24,72.36,1613333
2021-03-10 14:30:00,72.36,72.57,72.25,72.36,2198791
2021-03-10 15:30:00,72.35,72.50,72.04,72.19,2784654
2021-03-11 09:30:00,67.59,68.08,65.43,66.34,14361964
2021-03-11 10:30:00,66.32,67.28,66.26,66.46,5882181
2021-03-11 11:30:00,66.47,67.50,66.32,67.02,4187797
2021-03-11 12:30:00,67.01,67.37,66.98,67.32,2597277
2021-03-11 13:30:00,67.33,67.75,66.98,67.64,2705884
2021-03-11 14:30:00,67.64,68.10,67.46,68.04,2869998
2021-03-11 15:30:00,68.04,68.04,67.28,67.44,3584327
2021-03-12 09:30:00,66.93,67.87,66.45,66.84,2953901
2021-03-12 10:30:00,66.84,67.32,66.78,67.29,1496737
2021-03-12 11:30:00,67.25,67.40,67.16,67.29,939749
2021-03-12 12:30:00,67.31,67.36,67.08,67.25,836115
2021-03-12 13:30:00,67.25,67.30,67.05,67.13,1066770
2021-03-12 14:30:00,67.14,67.35,67.10,67.19,1188553
2021-03-12 15:30:00,67.19,67.23,67.07,67.17,1764198
2021-03-15 09:30:00,66.90,67.44,66.90,67.08,1594651
2021-03-15 10:30:00,67.09,67.33,66.96,67.10,1179922
2021-03-15 11:30:00,67.10,67.47,66.97,67.29,920274
2021-03-15 12:30:00,67.29,67.46,67.14,67.44,800239
2021-03-15 13:30:00,67.45,67.64,67.29,67.62,892677
2021-03-15 14:30:00,67.62,67.64,67.39,67.44,1079918
2021-03-15 15:30:00,67.44,67.78,67.27,67.73,1269307
2021-03-16 09:30:00,67.99,68.07,66.90,67.00,2615237
2021-03-16 10:30:00,66.99,67.19,66.90,67.01,1852833
2021-03-16 11:30:00,67.02,67.07,66.86,67.02,1796410
2021-03-16 12:30:00,67.02,67.07,66.89,66.96,1187690
2021-03-16 13:30:00,66.97,66.97,66.68,66.83,1294199
2021-03-16 14:30:00,66.84,66.97,66.76,66.91,1297650
2021-03-16 15:30:00,66.91,66.99,66.78,66.85,2195174
2021-03-17 09:30:00,66.81,66.84,66.19,66.66,1753231
2021-03-17 10:30:00,66.66,66.68,66.30,66.43,1213040
2021-03-17 11:30:00,66.42,66.59,66.38,66.52,938683
2021-03-17 12:30:00,66.52,66.54,66.38,66.44,814642
2021-03-17 13:30:00,66.44,66.52,66.24,66.30,1216966
2021-03-17 14:30:00,66.31,66.56,66.23,66.36,1955383
2021-03-17 15:30:00,66.35,66.44,66.16,66.20,1572741
2021-03-18 09:30:00,66.44,67.00,66.09,66.42,2550826
2021-03-18 10:30:00,66.42,66.89,66.36,66.75,1816820
2021-03-18 11:30:00,66.76,66.95,66.65,66.89,1483548
2021-03-18 12:30:00,66.89,66.92,66.68,66.81,988833
2021-03-18 13:30:00,66.80,66.96,66.47,66.49,1325476
2021-03-18 14:30:00,66.49,66.86,66.30,66.83,2081187
2021-03-18 15:30:00,66.82,66.86,66.54,66.74,1991503
2021-03-19 09:30:00,66.83,66.83,65.96,66.11,3382737
2021-03-19 10:30:00,66.12,66.44,66.06,66.38,1320534
2021-03-19 11:30:00,66.38,66.71,66.38,66.71,939489
2021-03-19 12:30:00,66.71,66.77,66.53,66.64,854693
2021-03-19 13:30:00,66.64,66.67,66.44,66.63,949022
2021-03-19 14:30:00,66.63,66.83,66.59,66.63,1441072
2021-03-19 15:30:00,66.62,66.62,66.23,66.28,2316593
2021-03-22 09:30:00,66.24,66.51,65.86,66.33,2130201
2021-03-22 10:30:00,66.33,66.51,66.27,66.37,977512
2021-03-22 11:30:00,66.36,66.48,66.32,66.42,699427
2021-03-22 12:30:00,66.42,66.50,66.24,66.25,669227
2021-03-22 13:30:00,66.25,66.37,66.15,66.32,757069
2021-03-22 14:30:00,66.31,66.49,66.18,66.29,1324884
2021-03-22 15:30:00,66.29,66.38,66.15,66.32,1146185
2021-03-23 09:30:00,66.40,67.46,66.35,67.30,3049064
2021-03-23 10:30:00,67.30,67.48,66.99,67.46,1185568
2021-03-23 11:30:00,67.46,67.90,67.44,67.70,1223836
2021-03-23 12:30:00,67.70,67.77,67.66,67.73,0
2021-03-23 13:30:00,67.73,67.87,67.54,67.85,0
2021-03-23 14:30:00,67.86,67.88,67.19,67.19,0
2021-03-23 15:30:00,67.18,67.35,67.03,67.27,0
2021-03-24 09:30:00,67.19,67.38,67.05,67.28,1181613
2021-03-24 10:30:00,67.28,67.36,67.13,67.19,927462
2021-03-24 11:30:00,67.19,67.26,66.97,67.25,902442
2021-03-24 12:30:00,67.25,67.32,67.10,67.20,677668
2021-03-24 13:30:00,67.20,67.31,67.12,67.13,552607
2021-03-24 14:30:00,67.13,67.40,67.10,67.25,988327
2021-03-24 15:30:00,67.25,67.27,66.74,66.83,1796574
2021-03-25 09:30:00,66.94,67.97,66.76,67.78,2076197
2021-03-25 10:30:00,67.77,68.73,67.76,68.62,3254658
2021-03-25 11:30:00,68.63,68.64,67.98,68.00,1848746
2021-03-25 12:30:00,68.04,68.44,67.92,68.42,1108558
2021-03-25 13:30:00,68.41,68.56,68.27,68.38,1235089
2021-03-25 14:30:00,68.39,68.62,68.26,68.60,1293483
2021-03-25 15:30:00,68.59,68.70,68.44,68.64,1802926
2021-03-26 09:30:00,68.63,69.33,68.28,69.27,1800990
2021-03-26 10:30:00,69.28,69.31,68.77,69.13,1315929
2021-03-26 11:30:00,69.14,69.42,68.98,69.35,1140121
2021-03-26 12:30:00,69.36,69.58,69.29,69.46,779891
2021-03-26 13:30:00,69.46,69.76,69.34,69.72,1512634
2021-03-26 14:30:00,69.71,69.94,69.57,69.93,1722187
2021-03-26 15:30:00,69.93,70.36,69.76,70.24,2657703
2021-03-29 09:30:00,70.22,71.14,70.17,70.94,2408493
2021-03-29 10:30:00,70.94,72.33,70.93,71.91,3908494
2021-03-29 11:30:00,71.92,71.97,71.23,71.28,1710668
2021-03-29 12:30:00,71.28,71.59,71.21,71.29,1767405
2021-03-29 13:30:00,71.28,71.39,71.04,71.13,1208938
2021-03-29 14:30:00,71.12,71.35,71.05,71.33,949550
2021-03-29 15:30:00,71.33,71.42,71.01,71.13,1936255
2021-03-30 09:30:00,70.89,71.04,70.18,70.43,1682805
2021-03-30 10:30:00,70.43,70.49,70.00,70.26,1100240
2021-03-30 11:30:00,70.27,70.45,69.96,70.20,1074664
2021-03-30 12:30:00,70.20,70.71,70.17,70.71,1191747
2021-03-30 13:30:00,70.71,70.87,70.55,70.60,717524
2021-03-30 14:30:00,70.60,70.69,70.44,70.68,959416
2021-03-30 15:30:00,70.69,70.72,70.47,70.56,1421648
2021-03-31 09:30:00,70.65,71.09,69.91,70.22,1407213
2021-03-31 10:30:00,70.24,70.55,70.10,70.32,1100936
2021-03-31 11:30:00,70.31,70.53,70.30,70.38,793877
2021-03-31 12:30:00,70.39,70.43,70.21,70.35,697291
2021-03-31 13:30:00,70.36,70.46,70.28,70.37,702499
2021-03-31 14:30:00,70.38,70.55,70.31,70.33,926863
2021-03-31 15:30:00,70.38,70.40,70.16,70.25,1657055
2021-04-01 09:30:00,70.59,71.47,70.33,71.10,3223289
2021-04-01 10:30:00,71.10,71.69,71.00,71.68,1457623
2021-04-01 11:30:00,71.68,71.78,71.51,71.60,1849277
2021-04-01 12:30:00,71.60,71.83,71.59,71.65,1305210
2021-04-01 13:30:00,71.65,71.78,71.61,71.64,1201732
2021-04-01 14:30:00,71.64,71.65,71.33,71.42,1435521
2021-04-01 15:30:00,71.43,71.83,71.37,71.81,1811945
2021-04-05 09:30:00,72.08,73.35,72.07,73.34,4063609
2021-04-05 10:30:00,73.35,74.14,73.31,74.07,3074578
2021-04-05 11:30:00,74.07,74.65,74.02,74.53,2955261
2021-04-05 12:30:00,74.54,74.75,74.53,74.63,2133682
2021-04-05 13:30:00,74.64,74.75,74.37,74.74,1928765
2021-04-05 14:30:00,74.75,74.89,74.29,74.35,2483315
2021-04-05 15:30:00,74.33,74.51,73.91,74.17,3628998
2021-04-06 09:30:00,73.59,74.12,73.16,74.03,2757508
2021-04-06 10:30:00,74.03,74.29,73.87,74.14,1802823
2021-04-06 11:30:00,74.15,74.48,73.96,74.48,1328786
2021-04-06 12:30:00,74.47,74.47,74.04,74.36,1152596
2021-04-06 13:30:00,74.34,74.65,74.25,74.61,1145378
2021-04-06 14:30:00,74.60,74.60,74.22,74.59,2714969
2021-04-06 15:30:00,74.60,74.61,74.20,74.28,1861736
2021-04-07 09:30:00,73.53,74.18,73.51,73.88,3082496
2021-04-07 10:30:00,73.87,74.08,73.72,73.90,1230268
2021-04-07 11:30:00,73.89,73.97,73.58,73.64,1758879
2021-04-07 12:30:00,73.63,73.68,73.48,73.52,942031
2021-04-07 13:30:00,73.52,73.77,73.45,73.72,984864
2021-04-07 14:30:00,73.72,74.03,73.65,74.02,1427372
2021-04-07 15:30:00,74.01,74.16,73.95,74.10,1539247
2021-04-08 09:30:00,74.25,74.87,74.15,74.68,2648964
2021-04-08 10:30:00,74.68,75.26,74.68,75.11,2063407
2021-04-08 11:30:00,75.12,75.37,75.08,75.25,1561630
2021-04-08 12:30:00,75.26,75.33,75.03,75.06,1134154
2021-04-08 13:30:00,75.06,75.35,75.05,75.35,953349
2021-04-08 14:30:00,75.34,75.53,75.27,75.36,2263088
2021-04-08 15:30:00,75.36,75.49,75.22,75.32,1836938
2021-04-09 09:30:00,75.00,75.59,75.00,75.26,2685078
2021-04-09 10:30:00,75.26,75.31,74.91,74.99,0
2021-04-09 11:30:00,74.98,75.30,74.97,75.29,0
2021-04-09 12:30:00,75.29,75.29,75.10,75.20,73122
2021-04-09 13:30:00,75.20,75.37,75.17,75.18,1499247
2021-04-09 14:30:00,75.17,75.44,75.11,75.44,1538835
2021-04-09 15:30:00,75.45,75.68,75.44,75.58,1692057
2021-04-12 09:30:00,75.20,75.97,75.20,75.60,2063652
2021-04-12 10:30:00,75.60,75.68,75.29,75.43,1518626
2021-04-12 11:30:00,75.43,75.67,75.43,75.65,707920
2021-04-12 12:30:00,75.65,76.08,75.65,76.00,898544
2021-04-12 13:30:00,76.00,76.18,75.95,76.18,1020047
2021-04-12 14:30:00,76.18,76.18,75.85,76.10,1412267
2021-04-12 15:30:00,76.10,76.17,76.01,76.13,1585980
2021-04-13 09:30:00,76.16,76.65,75.90,76.40,2097334
2021-04-13 10:30:00,76.42,76.58,76.39,76.56,985322
2021-04-13 11:30:00,76.56,76.71,76.50,76.53,1621466
2021-04-13 12:30:00,76.54,76.56,76.38,76.49,926851
2021-04-13 13:30:00,76.48,77.00,76.48,76.97,1908572
2021-04-13 14:30:00,76.98,77.01,76.76,76.91,1965882
2021-04-13 15:30:00,76.91,76.95,76.69,76.69,2117193
2021-04-14 09:30:00,77.00,77.32,76.52,77.29,2482844
