datetime,open,high,low,close,volume
2021-03-04 10:30:00,75.62,75.75,75.09,75.64,942945
2021-03-04 11:30:00,75.64,76.06,75.29,75.51,638198
2021-03-04 12:30:00,75.49,75.49,74.07,74.34,967784
2021-03-04 13:30:00,74.33,74.75,72.74,73.78,1116340
2021-03-04 14:30:00,73.75,74.45,73.32,73.90,949471
2021-03-04 15:30:00,73.89,74.56,73.85,74.41,1138313
2021-03-05 09:30:00,75.17,75.36,73.87,73.87,949881
2021-03-05 10:30:00,73.88,74.17,73.11,73.25,847005
2021-03-05 11:30:00,73.41,74.03,73.17,73.93,769793
2021-03-05 12:30:00,73.89,74.34,73.66,74.31,692508
2021-03-05 13:30:00,74.32,74.75,74.21,74.69,476825
2021-03-05 14:30:00,74.71,75.04,74.70,74.93,566448
2021-03-05 15:30:00,74.94,75.57,74.90,75.11,1080356
2021-03-08 09:30:00,75.85,76.80,75.85,76.76,1172914
2021-03-08 10:30:00,76.71,77.03,76.51,77.00,846872
2021-03-08 11:30:00,76.99,77.27,76.77,77.21,851944
2021-03-08 12:30:00,77.22,77.34,76.90,77.13,776369
2021-03-08 13:30:00,77.12,77.13,76.08,76.63,681932
2021-03-08 14:30:00,76.62,76.70,75.82,75.90,749529
2021-03-08 15:30:00,75.90,76.24,75.55,75.59,1064109
2021-03-09 09:30:00,76.01,76.13,74.93,75.26,1207820
2021-03-09 10:30:00,75.26,76.70,75.26,75.93,829149
2021-03-09 11:30:00,75.94,75.98,75.61,75.80,571502
2021-03-09 12:30:00,75.80,75.88,75.15,75.27,513953
2021-03-09 13:30:00,75.26,75.46,75.21,75.25,516422
2021-03-09 14:30:00,75.25,75.61,75.02,75.15,809204
2021-03-09 15:30:00,75.15,75.15,74.75,74.88,1206414
2021-03-10 09:30:00,75.08,76.05,75.02,75.34,1380353
2021-03-10 10:30:00,75.33,75.54,75.00,75.39,777673
2021-03-10 11:30:00,75.37,75.73,75.34,75.72,385030
2021-03-10 12:30:00,75.74,76.02,75.54,76.02,567914
2021-03-10 13:30:00,76.04,76.77,75.88,76.76,559506
2021-03-10 14:30:00,76.75,77.15,76.28,76.33,1137356
2021-03-10 15:30:00,76.32,76.70,76.15,76.52,1048194
2021-03-11 09:30:00,76.57,77.72,76.20,77.31,1004200
2021-03-11 10:30:00,77.32,78.08,77.23,77.93,688147
2021-03-11 11:30:00,77.93,78.04,77.41,77.49,602749
2021-03-11 12:30:00,77.49,77.66,77.28,77.65,838457
2021-03-11 13:30:00,77.65,77.96,77.46,77.84,963073
2021-03-11 14:30:00,77.84,77.86,76.94,76.96,897147
2021-03-11 15:30:00,76.95,77.13,76.91,77.05,740013
2021-03-12 09:30:00,77.68,78.72,77.68,78.28,1152073
2021-03-12 10:30:00,78.25,78.74,77.99,78.69,877685
2021-03-12 11:30:00,78.70,78.83,78.48,78.68,676960
2021-03-12 12:30:00,78.68,78.76,78.27,78.41,518879
2021-03-12 13:30:00,78.41,78.65,78.33,78.44,559050
2021-03-12 14:30:00,78.44,78.87,78.36,78.45,926056
2021-03-12 15:30:00,78.44,78.63,78.31,78.54,844681
2021-03-15 09:30:00,78.87,80.06,78.36,79.06,1333638
2021-03-15 10:30:00,79.05,79.21,78.55,78.97,612979
2021-03-15 11:30:00,78.99,79.12,78.60,79.12,505175
2021-03-15 12:30:00,79.13,79.60,79.01,79.51,515566
2021-03-15 13:30:00,79.51,79.75,79.41,79.65,548668
2021-03-15 14:30:00,79.66,79.66,79.25,79.29,674618
2021-03-15 15:30:00,79.30,79.68,79.18,79.57,841574
2021-03-16 09:30:00,79.51,79.66,78.02,78.24,918057
2021-03-16 10:30:00,78.25,78.66,78.13,78.27,707338
2021-03-16 11:30:00,78.29,78.65,78.26,78.31,471723
2021-03-16 12:30:00,78.30,78.81,78.26,78.53,445281
2021-03-16 13:30:00,78.54,78.57,78.29,78.34,399618
2021-03-16 14:30:00,78.34,78.50,78.08,78.19,777333
2021-03-16 15:30:00,78.20,78.42,78.01,78.23,809865
2021-03-17 09:30:00,78.55,79.32,78.31,78.68,1054489
2021-03-17 10:30:00,78.68,79.01,78.47,78.94,863855
2021-03-17 11:30:00,78.93,79.83,78.93,79.33,625822
2021-03-17 12:30:00,79.32,79.35,79.02,79.05,475453
2021-03-17 13:30:00,79.01,79.74,79.00,79.24,670980
2021-03-17 14:30:00,79.23,79.56,78.99,79.00,610051
2021-03-17 15:30:00,79.01,79.64,79.01,79.58,933207
2021-03-18 09:30:00,79.31,79.72,78.54,79.23,1194660
2021-03-18 10:30:00,79.24,79.92,79.22,79.63,755370
2021-03-18 11:30:00,79.65,79.87,79.36,79.42,552493
2021-03-18 12:30:00,79.41,79.42,79.06,79.31,483392
2021-03-18 13:30:00,79.32,79.44,78.82,78.83,473468
2021-03-18 14:30:00,78.82,78.91,78.06,78.35,915592
2021-03-18 15:30:00,78.36,78.40,77.88,77.91,1143810
2021-03-19 09:30:00,78.06,78.10,76.12,76.99,1900980
2021-03-19 10:30:00,76.99,77.56,76.68,77.29,759624
2021-03-19 11:30:00,77.28,77.82,77.20,77.75,497550
2021-03-19 12:30:00,77.74,77.91,77.56,77.68,467442
2021-03-19 13:30:00,77.69,77.85,77.58,77.69,458933
2021-03-19 14:30:00,77.69,78.15,77.69,77.95,599040
2021-03-19 15:30:00,77.96,78.54,77.71,78.17,2012291
2021-03-22 09:30:00,78.34,78.50,76.85,76.96,901866
2021-03-22 10:30:00,76.97,77.19,76.59,76.77,526708
2021-03-22 11:30:00,76.78,77.16,76.73,76.82,670295
2021-03-22 12:30:00,76.84,77.28,76.74,77.28,586436
2021-03-22 13:30:00,77.29,77.36,77.12,77.31,524791
2021-03-22 14:30:00,77.30,77.79,77.29,77.40,692523
2021-03-22 15:30:00,77.39,77.44,76.82,76.82,1110952
2021-03-23 09:30:00,76.38,77.17,76.13,76.39,1148216
2021-03-23 10:30:00,76.39,76.43,75.60,75.66,542826
2021-03-24 09:30:00,76.18,77.68,76.10,77.30,1106295
2021-03-24 10:30:00,77.31,77.83,77.08,77.21,1025226
2021-03-24 11:30:00,77.21,77.39,76.71,77.26,700480
2021-03-24 12:30:00,77.28,77.49,76.75,77.01,570979
2021-03-24 13:30:00,77.03,77.18,76.42,76.42,604098
2021-03-24 14:30:00,76.42,76.44,76.02,76.13,927244
2021-03-24 15:30:00,76.15,76.18,75.55,75.55,1103715
2021-03-25 09:30:00,75.16,75.66,74.72,75.61,925112
2021-03-25 10:30:00,75.63,75.79,74.63,75.54,709752
2021-03-25 11:30:00,75.50,76.65,75.50,76.39,832968
2021-03-25 12:30:00,76.39,76.97,76.36,76.57,500986
2021-03-25 13:30:00,76.60,76.97,76.32,76.62,544926
2021-03-25 14:30:00,76.64,77.37,76.59,77.32,657130
2021-03-25 15:30:00,77.31,77.67,77.28,77.52,1018478
2021-03-26 09:30:00,77.49,77.75,76.65,77.71,761804
2021-03-26 10:30:00,77.73,77.84,77.03,77.33,608134
2021-03-26 11:30:00,77.34,77.46,77.15,77.40,386753
2021-03-26 12:30:00,77.41,77.65,77.24,77.34,537682
2021-03-26 13:30:00,77.34,77.40,76.57,77.06,721878
2021-03-26 14:30:00,77.07,77.67,76.92,77.58,852457
2021-03-26 15:30:00,77.58,78.26,77.50,78.15,1154232
2021-03-29 09:30:00,78.25,78.99,78.02,78.02,1019636
2021-03-29 10:30:00,78.00,78.13,77.70,77.96,610014
2021-03-29 11:30:00,77.97,78.33,77.90,78.28,633340
2021-03-29 12:30:00,78.29,78.40,77.89,77.93,638841
2021-03-29 13:30:00,77.93,78.16,77.75,77.85,524620
2021-03-29 14:30:00,77.85,78.21,77.59,78.15,920193
2021-03-29 15:30:00,78.15,78.17,77.53,77.68,1206558
2021-03-30 09:30:00,77.64,78.01,77.26,77.79,632717
2021-03-30 10:30:00,77.76,78.32,77.63,78.10,687380
2021-03-30 11:30:00,78.10,78.33,78.01,78.15,497429
2021-03-30 12:30:00,78.14,78.28,78.00,78.16,392923
2021-03-30 13:30:00,78.14,78.45,78.11,78.17,569098
2021-03-30 14:30:00,78.18,78.40,77.68,78.28,791381
2021-03-30 15:30:00,78.26,78.32,77.56,77.81,1032928
2021-03-31 09:30:00,78.06,78.22,77.21,77.22,684675
2021-03-31 10:30:00,77.23,77.62,77.10,77.19,556263
2021-03-31 11:30:00,77.19,77.49,77.05,77.34,444534
2021-03-31 12:30:00,77.34,77.61,77.24,77.50,455561
2021-03-31 13:30:00,77.50,77.81,77.45,77.77,485507
2021-03-31 14:30:00,77.77,77.93,77.35,77.49,873076
2021-03-31 15:30:00,77.48,77.60,77.24,77.30,1101664
2021-04-01 09:30:00,77.78,77.78,77.06,77.25,1019240
2021-04-01 10:30:00,77.24,77.33,76.97,77.29,830442
2021-04-01 11:30:00,77.29,77.47,77.06,77.38,618939
2021-04-01 12:30:00,77.38,77.40,77.00,77.10,797005
2021-04-01 13:30:00,77.10,77.33,76.93,77.05,461245
2021-04-01 14:30:00,77.04,77.14,76.93,77.04,711931
2021-04-01 15:30:00,77.04,77.31,76.93,77.28,738163
2021-04-05 09:30:00,77.98,78.45,77.61,77.88,911475
2021-04-05 10:30:00,77.90,78.15,77.85,78.00,884367
2021-04-05 11:30:00,78.00,78.06,77.56,77.82,574885
2021-04-05 12:30:00,77.82,77.91,77.58,77.58,534360
2021-04-05 13:30:00,77.59,77.80,77.54,77.73,423885
2021-04-05 14:30:00,77.73,77.82,77.61,77.76,677220
2021-04-05 15:30:00,77.76,77.98,77.75,77.90,934556
2021-04-06 09:30:00,77.55,78.09,77.39,77.96,940543
2021-04-06 10:30:00,77.95,78.07,77.47,77.62,1121517
2021-04-06 11:30:00,77.62,77.83,77.48,77.76,864867
2021-04-06 12:30:00,77.77,77.78,77.34,77.38,759852
2021-04-06 13:30:00,77.38,77.53,77.32,77.46,518745
2021-04-06 14:30:00,77.46,77.49,77.20,77.32,582798
2021-04-06 15:30:00,77.33,77.58,77.30,77.53,950993
2021-04-07 09:30:00,77.50,78.11,77.05,77.67,706480
2021-04-07 10:30:00,77.68,77.90,77.15,77.25,644583
2021-04-07 11:30:00,77.25,77.49,77.12,77.28,452493
2021-04-07 12:30:00,77.27,77.55,77.26,77.50,391844
2021-04-07 13:30:00,77.49,77.62,77.32,77.32,368181
2021-04-07 14:30:00,77.33,77.44,77.29,77.43,472262
2021-04-07 15:30:00,77.43,77.63,77.41,77.61,613225
