datetime,open,high,low,close,volume
2021-03-09 14:30:00,1128.47,1146.50,1128.47,1143.98,132186
2021-03-09 15:30:00,1144.46,1147.64,1128.97,1131.25,185695
2021-03-10 09:30:00,1166.74,1169.97,1097.32,1099.00,440487
2021-03-10 10:30:00,1097.45,1112.59,1092.69,1104.68,297642
2021-03-10 11:30:00,1104.90,1111.00,1084.91,1085.83,362557
2021-03-10 12:30:00,1087.28,1099.87,1082.80,1091.83,229331
2021-03-10 13:30:00,1091.96,1096.52,1079.79,1092.75,285060
2021-03-10 14:30:00,1092.69,1104.20,1087.00,1089.00,202526
2021-03-10 15:30:00,1090.38,1098.94,1087.27,1088.06,207156
2021-03-11 09:30:00,1119.50,1127.15,1086.92,1100.22,387664
2021-03-11 10:30:00,1101.61,1114.00,1101.57,1113.61,284160
2021-03-11 11:30:00,1113.28,1140.40,1110.23,1139.00,242116
2021-03-11 12:30:00,1139.32,1155.05,1138.05,1155.00,203484
2021-03-11 13:30:00,1155.38,1157.89,1141.01,1143.78,153840
2021-03-11 14:30:00,1142.40,1154.20,1137.32,1154.20,191780
2021-03-11 15:30:00,1154.85,1154.85,1140.72,1142.19,150308
2021-03-12 09:30:00,1119.23,1129.97,1093.46,1106.48,244020
2021-03-12 10:30:00,1109.65,1125.00,1106.49,1114.99,209315
2021-03-12 11:30:00,1118.05,1141.90,1116.00,1139.43,90667
2021-03-12 12:30:00,1140.90,1146.00,1127.96,1135.57,70870
2021-03-12 13:30:00,1136.00,1138.44,1127.20,1129.05,47507
2021-03-12 14:30:00,1129.53,1136.58,1128.46,1133.19,58558
2021-03-12 15:30:00,1133.85,1142.00,1133.85,1140.79,88513
2021-03-15 09:30:00,1140.77,1140.99,1111.50,1122.02,225077
2021-03-15 10:30:00,1123.14,1143.74,1122.00,1132.33,89187
2021-03-15 11:30:00,1131.74,1149.99,1131.74,1148.26,102983
2021-03-15 12:30:00,1149.13,1154.00,1144.25,1152.98,69075
2021-03-15 13:30:00,1150.76,1152.98,1145.64,1151.00,61930
2021-03-15 14:30:00,1151.88,1153.77,1148.58,1148.58,56109
2021-03-15 15:30:00,1149.83,1158.43,1149.62,1158.43,73146
2021-03-16 09:30:00,1182.00,1190.00,1162.02,1176.88,242825
2021-03-16 10:30:00,1178.12,1182.98,1173.72,1177.51,100864
2021-03-16 11:30:00,1177.25,1179.25,1158.00,1160.61,175561
2021-03-16 12:30:00,1162.00,1167.80,1154.00,1154.94,89998
2021-03-16 13:30:00,1154.48,1154.60,1135.00,1136.05,131788
2021-03-16 14:30:00,1135.27,1147.75,1124.00,1144.29,161742
2021-03-16 15:30:00,1144.07,1149.20,1138.00,1142.85,139647
2021-03-17 09:30:00,1121.00,1141.00,1098.00,1129.95,221175
2021-03-17 10:30:00,1129.00,1130.36,1111.06,1121.57,97751
2021-03-17 11:30:00,1119.35,1125.99,1114.80,1123.88,96247
2021-03-17 12:30:00,1122.53,1133.43,1119.71,1130.93,52632
2021-03-17 13:30:00,1130.00,1154.98,1127.18,1143.78,109192
2021-03-17 14:30:00,1142.71,1178.65,1139.90,1169.83,171445
2021-03-17 15:30:00,1169.94,1174.41,1161.18,1168.66,138243
2021-03-18 09:30:00,1140.69,1147.50,1118.00,1136.57,285651
2021-03-18 10:30:00,1134.65,1136.50,1126.32,1136.50,109724
2021-03-18 11:30:00,1137.76,1140.49,1129.00,1140.49,96156
2021-03-18 12:30:00,1141.79,1145.84,1134.82,1145.52,65244
2021-03-18 13:30:00,1146.88,1148.00,1121.08,1121.08,82130
2021-03-18 14:30:00,1123.74,1125.62,1115.00,1119.55,159847
2021-03-18 15:30:00,1121.77,1121.95,1106.36,1118.11,206468
2021-03-19 09:30:00,1118.99,1129.06,1104.55,1124.35,175346
2021-03-19 10:30:00,1124.70,1137.36,1118.00,1123.93,126353
2021-03-19 11:30:00,1122.94,1132.98,1121.78,1122.00,54205
2021-03-19 12:30:00,1122.80,1134.26,1122.80,1128.23,94596
2021-03-19 13:30:00,1127.32,1129.40,1120.73,1122.48,71176
2021-03-19 14:30:00,1121.51,1123.91,1115.44,1118.62,126165
2021-03-19 15:30:00,1117.30,1124.00,1117.30,1120.97,76885
2021-03-22 09:30:00,1122.44,1144.44,1120.38,1130.16,200123
2021-03-22 10:30:00,1131.11,1147.96,1127.01,1146.54,98774
2021-03-22 11:30:00,1147.55,1153.08,1138.84,1151.90,95785
2021-03-22 12:30:00,1151.66,1152.81,1140.80,1142.10,54857
2021-03-22 13:30:00,1142.95,1158.86,1141.23,1158.28,111747
2021-03-22 14:30:00,1158.04,1160.03,1154.03,1156.89,113869
2021-03-22 15:30:00,1157.50,1160.83,1155.09,1160.51,174297
2021-03-23 09:30:00,1167.91,1168.00,1147.06,1160.59,188101
2021-03-23 10:30:00,1157.83,1158.70,1148.94,1154.91,70699
2021-03-23 11:30:00,1155.87,1157.82,1148.10,1148.10,0
2021-03-23 12:30:00,1148.45,1159.00,1143.90,1154.70,17105
2021-03-23 13:30:00,1156.02,1158.03,1150.57,1158.00,15104
2021-03-23 14:30:00,1159.03,1166.44,1153.70,1154.80,16305
2021-03-23 15:30:00,1155.83,1161.46,1154.66,1161.46,17975
2021-03-24 09:30:00,1173.67,1185.00,1146.46,1153.65,261716
2021-03-24 10:30:00,1153.63,1165.44,1151.05,1160.59,100256
2021-03-24 11:30:00,1158.94,1159.91,1136.00,1139.85,116975
2021-03-24 12:30:00,1140.98,1141.70,1115.00,1120.35,145088
2021-03-24 13:30:00,1122.16,1129.74,1115.53,1115.75,105006
2021-03-24 14:30:00,1115.84,1122.06,1110.09,1111.13,114348
2021-03-24 15:30:00,1110.96,1110.96,1102.35,1106.63,192631
2021-03-25 09:30:00,1091.54,1103.99,1062.77,1091.51,330839
2021-03-25 10:30:00,1090.61,1092.33,1064.00,1070.45,259682
