datetime,open,high,low,close,volume
2021-03-08 15:30:00,560.61,572.64,560.61,562.14,4405771
2021-03-09 09:30:00,608.50,633.69,595.21,631.43,14812917
2021-03-09 10:30:00,631.17,644.76,623.35,643.65,8725348
2021-03-09 11:30:00,643.50,648.00,638.50,644.29,6490304
2021-03-09 12:30:00,644.53,672.92,643.49,668.67,10134214
2021-03-09 13:30:00,668.89,678.09,657.40,660.88,10245315
2021-03-09 14:30:00,660.85,674.91,660.82,672.22,6767757
2021-03-09 15:30:00,672.20,675.23,664.00,673.59,5081497
2021-03-10 09:30:00,703.15,717.85,677.72,678.50,22296298
2021-03-10 10:30:00,678.70,692.99,670.00,684.77,10713148
2021-03-10 11:30:00,684.77,686.64,664.30,664.77,5347156
2021-03-10 12:30:00,664.30,678.80,655.06,671.27,6969243
2021-03-10 13:30:00,671.49,676.75,658.19,673.92,6133733
2021-03-10 14:30:00,673.73,683.99,665.00,667.26,5336742
2021-03-10 15:30:00,667.25,671.46,664.64,668.27,2516638
2021-03-11 09:30:00,699.40,700.00,677.18,681.05,11295394
2021-03-11 10:30:00,680.73,697.35,680.44,693.03,5998703
2021-03-11 11:30:00,693.48,696.69,685.21,689.99,4033174
2021-03-11 12:30:00,690.13,699.49,687.75,694.61,3594775
2021-03-11 13:30:00,694.80,695.97,689.58,692.99,2991125
2021-03-11 14:30:00,693.08,702.50,690.00,700.63,3736801
2021-03-11 15:30:00,700.61,702.48,696.40,699.60,3158404
2021-03-12 09:30:00,669.81,686.18,666.14,675.46,10285954
2021-03-12 10:30:00,675.25,683.81,673.00,681.38,4474070
2021-03-12 11:30:00,681.45,693.98,679.64,692.80,4757666
2021-03-12 12:30:00,692.78,694.85,683.27,688.17,4466861
2021-03-12 13:30:00,688.31,689.99,681.25,683.84,2456278
2021-03-12 14:30:00,684.19,691.20,683.91,688.65,3148783
2021-03-12 15:30:00,688.76,694.54,687.83,693.33,2812080
2021-03-15 09:30:00,694.09,713.14,684.04,704.04,9532818
2021-03-15 10:30:00,704.32,708.78,695.61,696.96,5048804
2021-03-15 11:30:00,696.62,704.06,692.10,701.45,3528026
2021-03-15 12:30:00,701.07,707.80,700.01,701.59,2682175
2021-03-15 13:30:00,701.70,706.99,701.40,705.66,2333052
2021-03-15 14:30:00,705.69,709.87,702.65,703.93,2563231
2021-03-15 15:30:00,703.85,708.30,703.21,707.94,1825855
2021-03-16 09:30:00,702.30,707.77,694.37,706.48,6979817
2021-03-16 10:30:00,706.50,707.20,700.24,703.40,3197182
2021-03-16 11:30:00,703.31,704.63,690.69,693.67,3550931
2021-03-16 12:30:00,694.02,698.80,692.00,694.89,3111794
2021-03-16 13:30:00,695.00,695.03,681.81,682.00,4161999
2021-03-16 14:30:00,682.01,684.91,671.00,678.56,7088231
2021-03-16 15:30:00,678.83,682.78,675.88,676.87,2659721
2021-03-17 09:30:00,655.80,683.63,651.01,678.98,10279078
2021-03-17 10:30:00,678.87,681.85,669.28,676.17,4746255
2021-03-17 11:30:00,676.09,676.09,663.22,669.57,3806643
2021-03-17 12:30:00,669.50,677.00,667.26,674.51,2633847
2021-03-17 13:30:00,674.58,695.85,670.03,683.50,5938816
2021-03-17 14:30:00,684.00,703.73,682.32,698.49,7126574
2021-03-17 15:30:00,698.78,702.00,694.31,701.76,3039586
2021-03-18 09:30:00,686.35,689.23,672.71,680.73,7407978
2021-03-18 10:30:00,680.51,684.88,675.12,677.40,3964729
2021-03-18 11:30:00,677.50,680.39,673.00,674.04,3614860
2021-03-18 12:30:00,673.74,674.98,667.32,672.87,3607838
2021-03-18 13:30:00,672.87,674.00,664.79,664.95,2956082
2021-03-18 14:30:00,664.95,668.77,658.00,660.63,4378400
2021-03-18 15:30:00,660.80,661.99,652.00,653.16,3423815
2021-03-19 09:30:00,644.52,654.00,624.62,636.25,12581705
2021-03-19 10:30:00,636.54,654.24,631.48,644.00,7449745
2021-03-19 11:30:00,644.00,651.80,642.29,644.79,4236781
2021-03-19 12:30:00,644.40,647.95,640.40,647.21,2707823
2021-03-19 13:30:00,647.09,653.06,645.25,649.62,3304988
2021-03-19 14:30:00,649.45,655.55,647.68,649.33,3694651
2021-03-19 15:30:00,649.50,657.22,648.13,655.18,2914792
2021-03-22 09:30:00,685.57,694.39,673.08,677.81,10841200
2021-03-22 10:30:00,677.96,693.99,675.50,690.81,5676254
2021-03-22 11:30:00,690.89,698.74,686.23,697.87,5178430
2021-03-22 12:30:00,697.99,699.62,689.37,690.30,4113107
2021-03-22 13:30:00,690.38,696.00,690.18,691.90,2746059
2021-03-22 14:30:00,691.88,693.28,683.50,684.00,2832051
2021-03-22 15:30:00,683.92,685.98,668.75,670.00,4185683
