datetime,open,high,low,close,volume
2021-03-08 15:30:00,114.49,114.76,113.71,113.89,3110040
2021-03-09 09:30:00,117.50,118.40,115.88,116.99,6149567
2021-03-09 10:30:00,116.99,117.01,115.34,115.87,3001395
2021-03-09 11:30:00,115.86,116.57,115.73,115.96,1465841
2021-03-09 12:30:00,115.97,116.35,115.74,115.98,1627714
2021-03-09 13:30:00,116.00,117.04,115.93,116.44,1307181
2021-03-09 14:30:00,116.44,117.02,116.37,116.96,1159094
2021-03-09 15:30:00,116.96,116.98,115.97,116.40,2023189
2021-03-10 09:30:00,117.91,118.03,113.81,113.82,5014547
2021-03-10 10:30:00,113.88,114.83,113.41,114.49,2306683
2021-03-10 11:30:00,114.46,114.72,113.91,114.03,1352095
2021-03-10 12:30:00,114.01,115.07,113.61,114.99,1565343
2021-03-10 13:30:00,115.07,115.09,114.22,114.67,1038117
2021-03-10 14:30:00,114.69,115.04,114.11,114.17,1269603
2021-03-10 15:30:00,114.16,114.32,113.69,113.77,2136395
2021-03-11 09:30:00,118.48,119.34,117.07,118.88,6861683
2021-03-11 10:30:00,118.88,119.98,118.80,119.71,1952677
2021-03-11 11:30:00,119.74,120.56,119.59,120.02,1495599
2021-03-11 12:30:00,120.05,120.17,119.72,120.08,733166
2021-03-11 13:30:00,120.13,120.40,119.71,120.33,783613
2021-03-11 14:30:00,120.35,120.80,120.29,120.76,1135744
2021-03-11 15:30:00,120.76,120.79,120.06,120.57,1323796
2021-03-12 09:30:00,118.90,118.92,117.28,117.65,2765352
2021-03-12 10:30:00,117.64,118.50,117.41,118.23,1200531
2021-03-12 11:30:00,118.23,118.50,117.96,118.43,768442
2021-03-12 12:30:00,118.42,118.80,118.05,118.42,692052
2021-03-12 13:30:00,118.45,118.52,118.08,118.35,613468
2021-03-12 14:30:00,118.32,118.80,118.21,118.57,750803
2021-03-12 15:30:00,118.58,118.72,118.25,118.26,1017842
2021-03-15 09:30:00,118.65,118.65,116.71,117.59,2564207
2021-03-15 10:30:00,117.61,118.26,117.33,117.43,1328337
2021-03-15 11:30:00,117.43,117.46,116.98,117.26,1071815
2021-03-15 12:30:00,117.25,118.02,117.25,117.86,784566
2021-03-15 13:30:00,117.84,118.41,117.73,118.34,899539
2021-03-15 14:30:00,118.35,118.63,118.20,118.26,705010
2021-03-15 15:30:00,118.26,119.10,118.25,119.05,908065
2021-03-16 09:30:00,119.97,121.06,119.60,120.22,2271758
2021-03-16 10:30:00,120.24,121.12,120.16,120.98,1726248
2021-03-16 11:30:00,121.03,121.24,119.27,119.40,1245418
2021-03-16 12:30:00,119.45,120.68,119.44,120.02,1728434
2021-03-16 13:30:00,119.98,119.99,118.36,118.37,1140758
2021-03-16 14:30:00,118.36,119.40,118.10,119.24,1195605
2021-03-16 15:30:00,119.29,119.78,119.15,119.32,922289
2021-03-17 09:30:00,117.72,117.84,115.40,117.26,3095036
2021-03-17 10:30:00,117.22,117.66,116.58,117.01,1085266
2021-03-17 11:30:00,116.97,117.80,116.32,117.68,1038441
2021-03-17 12:30:00,117.70,117.77,116.87,117.32,529957
2021-03-17 13:30:00,117.29,118.85,116.84,117.79,892739
2021-03-17 14:30:00,117.81,119.52,117.64,118.97,1526672
2021-03-17 15:30:00,118.97,119.39,118.40,118.72,1310516
2021-03-18 09:30:00,118.09,118.09,115.77,116.30,2837536
2021-03-18 10:30:00,116.24,116.73,115.85,116.11,1147614
2021-03-18 11:30:00,116.12,116.75,115.80,116.63,799360
2021-03-18 12:30:00,116.62,116.66,115.41,115.87,1224341
2021-03-18 13:30:00,115.86,116.10,115.31,115.32,728644
2021-03-18 14:30:00,115.28,115.47,114.61,115.00,1281962
2021-03-18 15:30:00,114.99,115.01,114.11,114.55,1254394
2021-03-19 09:30:00,114.29,114.87,113.21,113.98,2201828
2021-03-19 10:30:00,114.01,114.35,113.32,113.87,1522444
2021-03-19 11:30:00,113.84,114.23,113.70,114.13,1114141
2021-03-19 12:30:00,114.12,114.89,114.12,114.33,997638
2021-03-19 13:30:00,114.35,114.37,113.75,114.03,1104712
2021-03-19 14:30:00,114.06,114.15,113.70,113.93,840476
2021-03-19 15:30:00,113.94,114.18,113.61,113.61,1152558
2021-03-22 09:30:00,114.91,116.74,114.80,116.10,2190316
2021-03-22 10:30:00,116.11,117.05,115.79,116.83,1098245
2021-03-22 11:30:00,116.89,117.71,116.77,117.51,1310584
2021-03-22 12:30:00,117.53,118.33,117.41,117.72,1058656
2021-03-22 13:30:00,117.74,118.18,117.69,117.91,580574
2021-03-22 14:30:00,117.91,118.18,117.62,117.65,752096
2021-03-22 15:30:00,117.65,117.80,117.21,117.21,815157
2021-03-23 09:30:00,116.07,116.73,115.24,116.00,2226917
2021-03-23 10:30:00,115.99,116.53,115.65,116.08,567570
2021-03-23 11:30:00,116.14,116.30,115.35,115.65,0
2021-03-23 12:30:00,115.73,116.12,115.50,115.66,0
2021-03-23 13:30:00,115.65,115.80,115.47,115.67,0
2021-03-23 14:30:00,115.66,115.70,114.66,114.69,0
2021-03-23 15:30:00,114.67,115.06,114.62,114.94,0
2021-03-24 09:30:00,112.70,114.67,109.37,110.15,9004408
2021-03-24 10:30:00,110.17,112.88,110.10,111.91,3362179
2021-03-24 11:30:00,111.89,112.00,110.72,111.71,2317898
2021-03-24 12:30:00,111.73,111.77,110.10,110.83,1679617
2021-03-24 13:30:00,110.85,111.08,110.46,110.52,1429228
2021-03-24 14:30:00,110.52,110.55,109.76,110.28,2165388
2021-03-24 15:30:00,110.27,110.38,108.85,108.99,3171358
2021-03-25 09:30:00,107.95,112.75,107.89,111.70,6508335
2021-03-25 10:30:00,111.70,111.70,109.38,110.40,1985621
2021-03-25 11:30:00,110.42,111.37,110.12,111.34,1585667
2021-03-25 12:30:00,111.33,111.47,110.36,110.51,1108938
2021-03-25 13:30:00,110.53,110.79,109.78,109.84,1041430
2021-03-25 14:30:00,109.88,110.90,109.86,110.53,1244104
2021-03-25 15:30:00,110.53,110.72,110.19,110.46,1589212
2021-03-26 09:30:00,112.07,113.25,111.20,113.16,2706164
2021-03-26 10:30:00,113.15,113.64,112.83,113.18,1487156
2021-03-26 11:30:00,113.22,114.29,113.05,113.99,1204435
2021-03-26 12:30:00,113.99,114.43,113.74,114.18,859847
2021-03-26 13:30:00,114.21,114.27,112.56,113.25,1084676
2021-03-26 14:30:00,113.26,115.04,113.01,114.96,1343311
2021-03-26 15:30:00,114.99,116.68,114.85,116.55,2665901
2021-03-29 09:30:00,116.52,116.76,112.96,113.29,3812817
2021-03-29 10:30:00,113.25,113.78,112.39,112.85,1709557
2021-03-29 11:30:00,112.86,113.90,112.59,113.65,1108945
2021-03-29 12:30:00,113.65,115.10,113.42,114.04,1109972
2021-03-29 13:30:00,114.00,114.61,113.55,113.78,714658
2021-03-29 14:30:00,113.68,114.35,113.18,114.32,890062
2021-03-29 15:30:00,114.32,114.54,114.01,114.41,904366
2021-03-30 09:30:00,115.29,115.75,114.29,114.93,2174556
2021-03-30 10:30:00,114.96,115.78,114.73,115.64,1079511
2021-03-30 11:30:00,115.63,116.09,114.72,115.04,967652
2021-03-30 12:30:00,115.04,115.31,114.74,115.20,481258
2021-03-30 13:30:00,115.19,115.25,114.78,114.96,834193
2021-03-30 14:30:00,114.92,115.62,114.89,115.47,1434078
2021-03-30 15:30:00,115.48,115.59,114.77,115.15,740498
2021-03-31 09:30:00,115.56,117.62,115.56,117.06,1860272
2021-03-31 10:30:00,117.11,117.76,116.94,117.42,1182469
2021-03-31 11:30:00,117.40,117.86,116.96,117.72,872841
2021-03-31 12:30:00,117.73,118.08,117.63,118.05,941037
2021-03-31 13:30:00,118.06,118.15,117.79,118.08,870138
2021-03-31 14:30:00,118.09,118.36,117.90,117.97,1065354
2021-03-31 15:30:00,117.99,118.30,117.74,118.24,1672436
2021-04-01 09:30:00,122.61,124.60,121.64,123.96,7011888
2021-04-01 10:30:00,124.00,124.48,123.26,123.49,2311519
2021-04-01 11:30:00,123.48,123.60,122.71,123.25,1518624
2021-04-01 12:30:00,123.26,123.64,122.88,123.23,958164
2021-04-01 13:30:00,123.24,124.37,123.23,124.37,1150030
2021-04-01 14:30:00,124.38,124.79,124.18,124.50,1722241
2021-04-01 15:30:00,124.50,124.87,124.28,124.87,1925437
2021-04-05 09:30:00,127.25,127.25,123.71,124.10,4724939
2021-04-05 10:30:00,124.07,124.19,122.68,123.64,2523210
2021-04-05 11:30:00,123.63,123.80,123.06,123.26,1144668
2021-04-05 12:30:00,123.26,124.28,123.20,124.00,1057249
2021-04-05 13:30:00,123.94,124.19,123.62,123.86,971968
2021-04-05 14:30:00,123.85,124.14,123.84,123.96,1078749
2021-04-05 15:30:00,123.98,124.54,123.92,124.47,1597643
2021-04-06 09:30:00,123.88,123.96,122.10,122.37,3015322
2021-04-06 10:30:00,122.41,122.92,121.71,122.87,2128888
2021-04-06 11:30:00,122.87,123.20,122.52,122.56,1409196
2021-04-06 12:30:00,122.56,123.01,121.79,121.79,1364585
2021-04-06 13:30:00,121.77,122.63,121.54,122.49,1144030
2021-04-06 14:30:00,122.47,122.75,121.91,122.14,1031275
2021-04-06 15:30:00,122.22,122.49,121.78,122.43,1212420
2021-04-07 09:30:00,122.44,122.60,121.45,121.83,2158393
2021-04-07 10:30:00,121.84,121.90,120.77,120.82,1449006
2021-04-07 11:30:00,120.80,120.80,120.10,120.10,1519127
2021-04-07 12:30:00,120.08,120.54,120.05,120.14,876201
2021-04-07 13:30:00,120.16,120.98,120.08,120.88,1142899
2021-04-07 14:30:00,120.96,120.99,120.15,120.29,1155692
2021-04-07 15:30:00,120.28,120.37,119.88,119.90,1666518
2021-04-08 09:30:00,121.49,123.00,121.40,122.83,2857053
2021-04-08 10:30:00,122.81,123.82,122.77,123.47,1661277
2021-04-08 11:30:00,123.43,123.71,122.81,122.93,1133737
2021-04-08 12:30:00,122.94,123.15,122.73,123.04,857484
2021-04-08 13:30:00,123.06,123.13,122.83,123.07,596194
2021-04-08 14:30:00,123.07,123.19,122.87,123.07,811545
2021-04-08 15:30:00,123.08,123.48,122.97,123.48,1277968
2021-04-09 09:30:00,122.75,123.39,121.70,122.76,1329871
2021-04-09 10:30:00,122.72,122.72,122.16,122.42,0
2021-04-09 11:30:00,122.43,122.95,122.31,122.84,0
2021-04-09 12:30:00,122.87,122.91,122.61,122.74,21067
2021-04-09 13:30:00,122.75,122.85,122.49,122.51,603323
2021-04-09 14:30:00,122.52,122.60,122.22,122.60,672778
2021-04-09 15:30:00,122.63,122.94,122.24,122.78,1148569
2021-04-12 09:30:00,122.22,122.46,119.25,120.36,3206642
2021-04-12 10:30:00,120.35,120.52,119.53,120.38,1245141
2021-04-12 11:30:00,120.33,120.65,119.80,120.09,856240
2021-04-12 12:30:00,120.08,120.53,120.02,120.06,1245862
2021-04-12 13:30:00,120.05,120.30,119.57,120.23,766505
2021-04-12 14:30:00,120.23,120.79,119.96,120.50,719336
2021-04-12 15:30:00,120.50,121.11,120.41,120.92,944228
2021-04-13 09:30:00,122.30,122.90,120.35,120.85,2936348
2021-04-13 10:30:00,120.85,121.54,120.53,120.97,1354972
2021-04-13 11:30:00,120.96,121.45,120.73,120.78,719235
2021-04-13 12:30:00,120.78,121.35,120.78,121.33,649406
2021-04-13 13:30:00,121.33,121.42,120.94,120.98,544474
2021-04-13 14:30:00,120.97,121.42,120.89,121.34,718475
2021-04-13 15:30:00,121.35,121.38,121.08,121.27,835038
2021-04-14 09:30:00,122.05,122.43,120.76,121.63,2346302
2021-04-14 10:30:00,121.64,122.25,121.29,121.40,992615
2021-04-14 11:30:00,121.43,121.99,121.21,121.66,1113177
