datetime,open,high,low,close,volume
2021-03-09 09:30:00,55.75,56.15,54.72,55.61,5830260
2021-03-09 10:30:00,55.61,55.78,54.81,54.97,1881592
2021-03-09 11:30:00,54.99,55.98,54.76,55.77,1747124
2021-03-09 12:30:00,55.78,55.79,54.95,55.27,1282479
2021-03-09 13:30:00,55.28,55.82,55.04,55.11,1893075
2021-03-09 14:30:00,55.13,55.92,55.13,55.90,2237676
2021-03-09 15:30:00,55.90,56.04,55.23,55.24,1832004
2021-03-10 09:30:00,57.01,58.05,56.27,57.03,8171868
2021-03-10 10:30:00,57.02,58.28,56.97,58.19,3348063
2021-03-10 11:30:00,58.21,58.90,57.83,58.33,4378122
2021-03-10 12:30:00,58.33,58.41,57.40,57.52,3679993
2021-03-10 13:30:00,57.55,57.67,56.87,57.62,2708862
2021-03-10 14:30:00,57.62,57.89,57.37,57.43,2414808
2021-03-10 15:30:00,57.43,57.93,57.42,57.69,2728203
2021-03-11 09:30:00,58.78,59.48,58.22,58.64,4015332
2021-03-11 10:30:00,58.66,59.32,58.52,59.22,2554679
2021-03-11 11:30:00,59.22,59.44,58.60,58.79,1553986
2021-03-11 12:30:00,58.81,58.99,58.33,58.37,1654862
2021-03-11 13:30:00,58.37,59.00,58.35,58.82,2190547
2021-03-11 14:30:00,58.84,59.24,58.74,59.21,2397995
2021-03-11 15:30:00,59.22,59.33,58.94,58.95,1954105
2021-03-12 09:30:00,58.89,59.35,57.62,58.73,3608730
2021-03-12 10:30:00,58.65,59.38,58.58,59.16,1312709
2021-03-12 11:30:00,59.17,59.73,59.06,59.70,1254142
2021-03-12 12:30:00,59.66,59.85,59.26,59.78,1255566
2021-03-12 13:30:00,59.79,60.20,59.76,60.01,2486325
2021-03-12 14:30:00,60.01,60.57,59.87,60.18,1919802
2021-03-12 15:30:00,60.21,60.59,60.13,60.33,1853774
2021-03-15 09:30:00,60.45,60.57,59.40,60.06,3658251
2021-03-15 10:30:00,60.07,60.37,59.58,59.64,3352787
2021-03-15 11:30:00,59.63,59.93,59.12,59.77,1436216
2021-03-15 12:30:00,59.76,60.07,59.62,59.88,857172
2021-03-15 13:30:00,59.88,60.34,59.86,60.14,1278964
2021-03-15 14:30:00,60.14,60.24,59.91,60.03,988767
2021-03-15 15:30:00,60.03,60.24,59.88,60.17,1300257
2021-03-16 09:30:00,60.00,60.99,59.88,60.15,2742295
2021-03-16 10:30:00,60.14,60.15,59.60,59.77,1557124
2021-03-16 11:30:00,59.77,59.96,59.06,59.14,1525396
2021-03-16 12:30:00,59.12,59.68,59.06,59.47,1054206
2021-03-16 13:30:00,59.47,59.47,58.75,58.75,1207846
2021-03-16 14:30:00,58.76,59.32,58.38,59.14,1740157
2021-03-16 15:30:00,59.17,59.34,58.76,58.86,1264390
2021-03-17 09:30:00,57.24,57.57,56.09,56.74,4665480
2021-03-17 10:30:00,56.75,56.79,55.85,55.92,3110525
2021-03-17 11:30:00,55.93,56.39,55.86,56.08,2708080
