datetime,open,high,low,close,volume
2021-03-09 10:30:00,38.30,38.80,38.28,38.49,7654036
2021-03-09 11:30:00,38.49,38.75,38.41,38.71,2257537
2021-03-09 12:30:00,38.71,38.79,38.46,38.53,2593677
2021-03-09 13:30:00,38.53,38.71,38.50,38.67,2273564
2021-03-09 14:30:00,38.66,38.76,38.39,38.40,3375087
2021-03-09 15:30:00,38.41,38.42,38.13,38.13,4724699
2021-03-10 09:30:00,38.72,39.25,38.28,38.79,11165213
2021-03-10 10:30:00,38.78,39.27,38.76,39.19,5596589
2021-03-10 11:30:00,39.19,39.35,39.06,39.25,3553071
2021-03-10 12:30:00,39.26,39.67,39.17,39.56,5521815
2021-03-10 13:30:00,39.56,39.69,39.28,39.68,3639512
2021-03-10 14:30:00,39.68,39.69,39.48,39.51,3101611
2021-03-10 15:30:00,39.50,39.62,39.42,39.61,3935133
2021-03-11 09:30:00,39.23,39.45,38.64,39.34,8595462
2021-03-11 10:30:00,39.34,39.59,39.10,39.33,4365165
2021-03-11 11:30:00,39.33,39.38,39.11,39.13,2263351
2021-03-11 12:30:00,39.13,39.24,38.90,38.93,2615936
2021-03-11 13:30:00,38.93,39.12,38.93,39.03,2002562
2021-03-11 14:30:00,39.03,39.04,38.69,38.81,3575383
2021-03-11 15:30:00,38.81,39.04,38.81,38.88,4113959
2021-03-12 09:30:00,39.50,39.93,39.42,39.72,8215173
2021-03-12 10:30:00,39.72,40.02,39.66,39.90,5730416
2021-03-12 11:30:00,39.91,39.97,39.73,39.79,2464495
2021-03-12 12:30:00,39.78,39.88,39.69,39.86,1859217
2021-03-12 13:30:00,39.86,39.93,39.73,39.78,1985189
2021-03-12 14:30:00,39.79,39.85,39.64,39.85,2865180
2021-03-12 15:30:00,39.85,40.00,39.81,39.97,3526708
2021-03-15 09:30:00,40.02,40.22,39.34,39.84,6367144
2021-03-15 10:30:00,39.85,39.86,39.42,39.44,3035473
2021-03-15 11:30:00,39.44,39.46,39.17,39.38,3518517
2021-03-15 12:30:00,39.37,39.69,39.35,39.40,2146312
2021-03-15 13:30:00,39.40,39.62,39.33,39.57,1829632
2021-03-15 14:30:00,39.57,39.64,39.45,39.59,2594768
2021-03-15 15:30:00,39.58,39.75,39.50,39.71,1944582
2021-03-16 09:30:00,39.33,39.37,38.81,38.94,5031679
2021-03-16 10:30:00,38.92,39.05,38.72,38.94,2961815
2021-03-16 11:30:00,38.94,39.29,38.91,39.28,2766733
2021-03-16 12:30:00,39.27,39.39,39.19,39.35,2300739
2021-03-16 13:30:00,39.35,39.47,39.26,39.38,2339489
2021-03-16 14:30:00,39.38,39.49,39.24,39.35,2704409
2021-03-16 15:30:00,39.35,39.47,39.29,39.35,3202748
2021-03-17 09:30:00,39.68,40.44,39.40,39.51,7931334
