datetime,open,high,low,close,volume
2024-01-04 10:23:00,75.33,75.34,75.30,75.32,57368
2024-01-04 10:24:00,75.32,75.40,75.29,75.40,74466
2024-01-04 10:25:00,75.40,75.49,75.38,75.39,39180
2024-01-04 10:26:00,75.39,75.39,75.32,75.32,29060
2024-01-04 10:27:00,75.32,75.32,75.27,75.32,59264
2024-01-04 10:28:00,75.33,75.35,75.31,75.33,52302
2024-01-04 10:29:00,75.33,75.38,75.33,75.35,32917
2024-01-04 10:30:00,75.35,75.40,75.32,75.32,32876
2024-01-04 10:31:00,75.32,75.39,75.32,75.37,46358
2024-01-04 10:32:00,75.37,75.48,75.37,75.48,44040
2024-01-04 10:33:00,75.48,75.54,75.46,75.50,35445
2024-01-04 10:34:00,75.50,75.51,75.43,75.43,43940
2024-01-04 10:35:00,75.43,75.43,75.36,75.37,23806
2024-01-04 10:36:00,75.36,75.37,75.33,75.35,33796
2024-01-04 10:37:00,75.35,75.35,75.26,75.29,85542
2024-01-04 10:38:00,75.29,75.36,75.29,75.36,30520
2024-01-04 10:39:00,75.35,75.41,75.35,75.38,32966
2024-01-04 10:40:00,75.39,75.41,75.36,75.37,32247
2024-01-04 10:41:00,75.37,75.38,75.33,75.33,22020
2024-01-04 10:42:00,75.33,75.34,75.31,75.33,67159
2024-01-04 10:43:00,75.32,75.36,75.31,75.31,35639
2024-01-04 10:44:00,75.32,75.37,75.32,75.36,31943
2024-01-04 10:45:00,75.36,75.38,75.33,75.37,37946
2024-01-04 10:46:00,75.37,75.44,75.36,75.38,50862
2024-01-04 10:47:00,75.37,75.49,75.37,75.49,37084
2024-01-04 10:48:00,75.48,75.52,75.46,75.52,37725
2024-01-04 10:49:00,75.52,75.53,75.48,75.50,46339
2024-01-04 10:50:00,75.49,75.50,75.44,75.46,22627
2024-01-04 10:51:00,75.46,75.49,75.40,75.42,26651
2024-01-04 10:52:00,75.41,75.43,75.39,75.40,22591
2024-01-04 10:53:00,75.40,75.40,75.37,75.38,18171
2024-01-04 10:54:00,75.39,75.44,75.39,75.44,27105
2024-01-04 10:55:00,75.43,75.45,75.38,75.43,38845
2024-01-04 10:56:00,75.43,75.44,75.42,75.44,29408
2024-01-04 10:57:00,75.43,75.46,75.42,75.46,19093
2024-01-04 10:58:00,75.46,75.47,75.42,75.45,37342
2024-01-04 10:59:00,75.46,75.46,75.43,75.44,13895
2024-01-04 11:00:00,75.45,75.49,75.45,75.47,27972
2024-01-04 11:01:00,75.49,75.53,75.43,75.46,52531
2024-01-04 11:02:00,75.46,75.46,75.35,75.38,49894
2024-01-04 11:03:00,75.37,75.43,75.37,75.43,30702
2024-01-04 11:04:00,75.43,75.45,75.39,75.40,39225
2024-01-04 11:05:00,75.40,75.44,75.40,75.43,22932
2024-01-04 11:06:00,75.43,75.50,75.43,75.49,37042
2024-01-04 11:07:00,75.50,75.51,75.46,75.50,80827
2024-01-04 11:08:00,75.50,75.53,75.49,75.52,27488
2024-01-04 11:09:00,75.51,75.56,75.51,75.56,33150
2024-01-04 11:10:00,75.56,75.62,75.55,75.56,127662
2024-01-04 11:11:00,75.57,75.64,75.57,75.63,36107
2024-01-04 11:12:00,75.62,75.65,75.59,75.62,34585
