datetime,open,high,low,close,volume
2024-01-04 10:26:00,80.15,80.18,80.12,80.17,28623
2024-01-04 10:27:00,80.15,80.25,80.11,80.20,23216
2024-01-04 10:28:00,80.18,80.27,80.17,80.18,45141
2024-01-04 10:29:00,80.17,80.24,80.16,80.24,18948
2024-01-04 10:30:00,80.23,80.24,80.12,80.17,28265
2024-01-04 10:31:00,80.17,80.22,80.14,80.15,39418
2024-01-04 10:32:00,80.16,80.21,80.15,80.20,32078
2024-01-04 10:33:00,80.19,80.21,80.15,80.20,29317
2024-01-04 10:34:00,80.18,80.24,80.16,80.21,24030
2024-01-04 10:35:00,80.21,80.21,80.16,80.17,23055
2024-01-04 10:36:00,80.17,80.26,80.15,80.26,12262
2024-01-04 10:37:00,80.26,80.37,80.26,80.37,15431
2024-01-04 10:38:00,80.38,80.48,80.38,80.47,19418
2024-01-04 10:39:00,80.47,80.47,80.37,80.40,27171
2024-01-04 10:40:00,80.41,80.43,80.32,80.32,17908
2024-01-04 10:41:00,80.32,80.42,80.32,80.42,14168
2024-01-04 10:42:00,80.41,80.43,80.35,80.40,16860
2024-01-04 10:43:00,80.41,80.47,80.40,80.43,23272
2024-01-04 10:44:00,80.44,80.46,80.38,80.45,15225
2024-01-04 10:45:00,80.46,80.46,80.35,80.39,12014
2024-01-04 10:46:00,80.38,80.38,80.33,80.38,8088
2024-01-04 10:47:00,80.37,80.39,80.37,80.38,11479
2024-01-04 10:48:00,80.38,80.39,80.37,80.38,7890
2024-01-04 10:49:00,80.39,80.45,80.39,80.42,13995
2024-01-04 10:50:00,80.40,80.41,80.32,80.34,10954
2024-01-04 10:51:00,80.33,80.40,80.29,80.30,22343
2024-01-04 10:52:00,80.32,80.53,80.32,80.53,17518
2024-01-04 10:53:00,80.52,80.54,80.46,80.49,20554
2024-01-04 10:54:00,80.50,80.55,80.50,80.55,12164
2024-01-04 10:55:00,80.55,80.59,80.52,80.55,16370
2024-01-04 10:56:00,80.54,80.63,80.53,80.63,21786
2024-01-04 10:57:00,80.63,80.67,80.62,80.63,18264
2024-01-04 10:58:00,80.64,80.67,80.64,80.67,5046
2024-01-04 10:59:00,80.67,80.73,80.66,80.71,27049
2024-01-04 11:00:00,80.71,80.72,80.61,80.63,10147
2024-01-04 11:01:00,80.63,80.63,80.57,80.60,11154
2024-01-04 11:02:00,80.61,80.74,80.59,80.69,30045
2024-01-04 11:03:00,80.69,80.69,80.61,80.63,17220
2024-01-04 11:04:00,80.65,80.71,80.65,80.70,10326
2024-01-04 11:05:00,80.71,80.73,80.62,80.65,12466
2024-01-04 11:06:00,80.64,80.64,80.53,80.55,16050
2024-01-04 11:07:00,80.53,80.53,80.48,80.50,16786
2024-01-04 11:08:00,80.51,80.53,80.51,80.51,9371
2024-01-04 11:09:00,80.51,80.56,80.51,80.53,10435
2024-01-04 11:10:00,80.53,80.60,80.53,80.59,12681
2024-01-04 11:11:00,80.59,80.68,80.57,80.68,32552
2024-01-04 11:12:00,80.67,80.70,80.66,80.67,10416
2024-01-04 11:13:00,80.66,80.71,80.64,80.71,11202
2024-01-04 11:14:00,80.72,80.75,80.71,80.74,11429
2024-01-04 11:15:00,80.75,80.80,80.75,80.75,13363
2024-01-04 11:16:00,80.76,80.82,80.76,80.82,15880
2024-01-04 11:17:00,80.82,80.82,80.71,80.71,12090
2024-01-04 11:18:00,80.70,80.74,80.70,80.73,8812
2024-01-04 11:19:00,80.73,80.75,80.73,80.75,6348
2024-01-04 11:20:00,80.74,80.79,80.73,80.74,13386
2024-01-04 11:21:00,80.75,80.75,80.71,80.75,10738
2024-01-04 11:22:00,80.75,80.77,80.75,80.77,7129
2024-01-04 11:23:00,80.77,80.84,80.77,80.84,15361
2024-01-04 11:24:00,80.84,80.87,80.84,80.87,11036
2024-01-04 11:25:00,80.85,80.85,80.81,80.83,11144
2024-01-04 11:26:00,80.81,80.82,80.79,80.81,7937
2024-01-04 11:27:00,80.82,80.82,80.77,80.79,7166
2024-01-04 11:28:00,80.79,80.82,80.76,80.77,6637
2024-01-04 11:29:00,80.76,80.80,80.76,80.80,16694
2024-01-04 11:30:00,80.80,80.82,80.78,80.82,7419
2024-01-04 11:31:00,80.83,80.85,80.83,80.85,5650
2024-01-04 11:32:00,80.84,80.87,80.84,80.86,6663
2024-01-04 11:33:00,80.87,80.89,80.85,80.85,8824
2024-01-04 11:34:00,80.85,80.88,80.84,80.88,5152
2024-01-04 11:35:00,80.88,80.88,80.85,80.85,5558
2024-01-04 11:36:00,80.86,80.90,80.86,80.89,3630
