datetime,open,high,low,close,volume
2024-01-04 10:27:00,139.68,139.70,139.67,139.68,12347
2024-01-04 10:28:00,139.68,139.83,139.67,139.82,35115
2024-01-04 10:29:00,139.84,139.88,139.80,139.81,37544
2024-01-04 10:30:00,139.81,139.88,139.68,139.68,25675
2024-01-04 10:31:00,139.68,139.79,139.65,139.77,28718
2024-01-04 10:32:00,139.77,139.79,139.62,139.65,20795
2024-01-04 10:33:00,139.66,139.78,139.65,139.67,25349
2024-01-04 10:34:00,139.68,139.74,139.66,139.74,19412
2024-01-04 10:35:00,139.74,139.78,139.65,139.65,22527
2024-01-04 10:36:00,139.66,139.77,139.63,139.71,24610
2024-01-04 10:37:00,139.72,139.72,139.59,139.64,22854
2024-01-04 10:38:00,139.65,139.79,139.65,139.79,35235
2024-01-04 10:39:00,139.79,139.89,139.77,139.85,44578
2024-01-04 10:40:00,139.84,139.88,139.83,139.88,55975
2024-01-04 10:41:00,139.90,139.93,139.83,139.83,23954
2024-01-04 10:42:00,139.82,139.85,139.65,139.70,79672
2024-01-04 10:43:00,139.70,139.82,139.67,139.80,37600
2024-01-04 10:44:00,139.80,139.90,139.78,139.87,22259
2024-01-04 10:45:00,139.87,139.96,139.86,139.93,24242
2024-01-04 10:46:00,139.93,139.98,139.91,139.92,19326
2024-01-04 10:47:00,139.91,139.96,139.90,139.96,28953
2024-01-04 10:48:00,139.96,140.04,139.96,140.01,26524
2024-01-04 10:49:00,140.01,140.06,139.96,140.04,21569
2024-01-04 10:50:00,140.05,140.09,139.99,140.09,33628
2024-01-04 10:51:00,140.09,140.21,140.09,140.20,26517
2024-01-04 10:52:00,140.21,140.26,140.13,140.13,36321
2024-01-04 10:53:00,140.13,140.13,140.04,140.04,21070
2024-01-04 10:54:00,140.05,140.14,140.05,140.12,18012
2024-01-04 10:55:00,140.12,140.12,140.03,140.05,35430
2024-01-04 10:56:00,140.05,140.13,140.05,140.10,15429
2024-01-04 10:57:00,140.09,140.09,139.99,140.08,33158
2024-01-04 10:58:00,140.08,140.09,139.90,139.92,20351
2024-01-04 10:59:00,139.93,139.94,139.88,139.92,24658
2024-01-04 11:00:00,139.93,140.05,139.93,140.04,22298
2024-01-04 11:01:00,140.06,140.14,140.06,140.14,20316
2024-01-04 11:02:00,140.14,140.14,140.05,140.07,27932
2024-01-04 11:03:00,140.07,140.11,140.02,140.09,17084
2024-01-04 11:04:00,140.10,140.18,140.10,140.17,31637
2024-01-04 11:05:00,140.17,140.21,140.14,140.20,33479
2024-01-04 11:06:00,140.19,140.28,140.18,140.28,110018
2024-01-04 11:07:00,140.28,140.30,140.27,140.27,27128
2024-01-04 11:08:00,140.26,140.35,140.26,140.28,40610
2024-01-04 11:09:00,140.29,140.34,140.26,140.34,21212
2024-01-04 11:10:00,140.34,140.44,140.34,140.38,28521
2024-01-04 11:11:00,140.37,140.41,140.29,140.34,51042
2024-01-04 11:12:00,140.34,140.40,140.34,140.36,27521
2024-01-04 11:13:00,140.36,140.43,140.36,140.43,24708
2024-01-04 11:14:00,140.44,140.50,140.43,140.46,50622
2024-01-04 11:15:00,140.46,140.48,140.42,140.43,39690
2024-01-04 11:16:00,140.45,140.49,140.45,140.49,21141
2024-01-04 11:17:00,140.49,140.60,140.48,140.58,37960
2024-01-04 11:18:00,140.57,140.63,140.55,140.56,62414
2024-01-04 11:19:00,140.55,140.60,140.43,140.44,26879
2024-01-04 11:20:00,140.43,140.46,140.38,140.40,36592
2024-01-04 11:21:00,140.40,140.40,140.30,140.31,26305
2024-01-04 11:22:00,140.32,140.36,140.26,140.28,20940
2024-01-04 11:23:00,140.28,140.30,140.25,140.27,16738
2024-01-04 11:24:00,140.27,140.40,140.27,140.35,22457
2024-01-04 11:25:00,140.35,140.36,140.31,140.34,13858
2024-01-04 11:26:00,140.33,140.37,140.28,140.33,25202
2024-01-04 11:27:00,140.33,140.33,140.26,140.29,13823
2024-01-04 11:28:00,140.30,140.31,140.21,140.21,17560
2024-01-04 11:29:00,140.21,140.24,140.17,140.18,60263
2024-01-04 11:30:00,140.17,140.25,140.09,140.12,54609
2024-01-04 11:31:00,140.13,140.13,140.04,140.05,36616
2024-01-04 11:32:00,140.05,140.15,140.05,140.13,15743
2024-01-04 11:33:00,140.13,140.24,140.12,140.24,9632
2024-01-04 11:34:00,140.23,140.24,140.15,140.15,19615
2024-01-04 11:35:00,140.16,140.26,140.15,140.24,13942
2024-01-04 11:36:00,140.26,140.30,140.26,140.30,17586
2024-01-04 11:37:00,140.30,140.33,140.18,140.18,23085
2024-01-04 11:38:00,140.18,140.24,140.10,140.10,53714
2024-01-04 11:39:00,140.10,140.11,140.01,140.02,21867
2024-01-04 11:40:00,140.02,140.07,140.01,140.04,16357
2024-01-04 11:41:00,140.04,140.05,139.95,139.96,22757
2024-01-04 11:42:00,139.98,139.99,139.94,139.98,11878
2024-01-04 11:43:00,139.99,139.99,139.95,139.98,19355
2024-01-04 11:44:00,139.98,140.04,139.97,140.02,18093
2024-01-04 11:45:00,140.02,140.05,140.00,140.02,20356
2024-01-04 11:46:00,140.03,140.09,139.97,139.99,41536
2024-01-04 11:47:00,139.99,140.01,139.94,139.99,14503
2024-01-04 11:48:00,140.00,140.00,139.93,139.94,24830
2024-01-04 11:49:00,139.95,139.95,139.89,139.92,18500
2024-01-04 11:50:00,139.91,139.94,139.80,139.87,54082
2024-01-04 11:51:00,139.87,139.88,139.76,139.76,40123
2024-01-04 11:52:00,139.76,139.77,139.62,139.66,53630
2024-01-04 11:53:00,139.66,139.76,139.65,139.68,31932
2024-01-04 11:54:00,139.69,139.71,139.65,139.68,20425
2024-01-04 11:55:00,139.68,139.70,139.63,139.69,20693
2024-01-04 11:56:00,139.68,139.70,139.63,139.64,25108
2024-01-04 11:57:00,139.65,139.69,139.63,139.63,27690
2024-01-04 11:58:00,139.63,139.65,139.59,139.61,24777
2024-01-04 11:59:00,139.62,139.63,139.56,139.58,23820
2024-01-04 12:00:00,139.58,139.64,139.56,139.57,29312
2024-01-04 12:01:00,139.56,139.68,139.56,139.66,21364
2024-01-04 12:02:00,139.68,139.69,139.60,139.61,49228
2024-01-04 12:03:00,139.61,139.66,139.57,139.62,37532
2024-01-04 12:04:00,139.61,139.67,139.60,139.63,17667
2024-01-04 12:05:00,139.63,139.71,139.61,139.65,23843
2024-01-04 12:06:00,139.68,139.68,139.51,139.52,34853
2024-01-04 12:07:00,139.51,139.56,139.51,139.52,17521
2024-01-04 12:08:00,139.52,139.52,139.38,139.42,43813
2024-01-04 12:09:00,139.42,139.46,139.38,139.40,18074
2024-01-04 12:10:00,139.40,139.49,139.39,139.43,29389
2024-01-04 12:11:00,139.43,139.50,139.43,139.46,24885
2024-01-04 12:12:00,139.47,139.50,139.44,139.49,51188
2024-01-04 12:13:00,139.48,139.49,139.44,139.46,24841
2024-01-04 12:14:00,139.46,139.52,139.43,139.48,18012
2024-01-04 12:15:00,139.48,139.49,139.43,139.46,22793
2024-01-04 12:16:00,139.46,139.50,139.43,139.44,15242
2024-01-04 12:17:00,139.44,139.48,139.42,139.43,18430
2024-01-04 12:18:00,139.44,139.48,139.41,139.45,18037
2024-01-04 12:19:00,139.43,139.46,139.39,139.46,20679
2024-01-04 12:20:00,139.46,139.56,139.46,139.56,25917
2024-01-04 12:21:00,139.57,139.58,139.48,139.49,40217
2024-01-04 12:22:00,139.49,139.52,139.42,139.42,17602
2024-01-04 12:23:00,139.42,139.48,139.41,139.46,14262
2024-01-04 12:24:00,139.45,139.45,139.40,139.40,23076
2024-01-04 12:25:00,139.42,139.50,139.42,139.48,25114
2024-01-04 12:26:00,139.48,139.52,139.47,139.51,22080
2024-01-04 12:27:00,139.52,139.57,139.51,139.57,25813
2024-01-04 12:28:00,139.56,139.56,139.51,139.54,28334
