datetime,open,high,low,close,volume
2024-01-04 10:26:00,117.13,117.32,117.10,117.30,49533
2024-01-04 10:27:00,117.31,117.31,117.11,117.15,43120
2024-01-04 10:28:00,117.13,117.27,117.12,117.26,25193
2024-01-04 10:29:00,117.26,117.26,117.17,117.20,28333
2024-01-04 10:30:00,117.19,117.21,117.07,117.13,31540
2024-01-04 10:31:00,117.13,117.25,117.09,117.19,35169
2024-01-04 10:32:00,117.19,117.24,117.18,117.24,20546
2024-01-04 10:33:00,117.27,117.32,117.24,117.27,34848
2024-01-04 10:34:00,117.26,117.26,116.98,116.99,34889
2024-01-04 10:35:00,117.00,117.21,116.98,117.19,36730
2024-01-04 10:36:00,117.18,117.23,117.14,117.21,14303
2024-01-04 10:37:00,117.20,117.23,117.15,117.19,15797
2024-01-04 10:38:00,117.18,117.34,117.18,117.28,25829
2024-01-04 10:39:00,117.27,117.28,117.08,117.11,26355
2024-01-04 10:40:00,117.14,117.17,117.10,117.10,14224
2024-01-04 10:41:00,117.10,117.13,117.02,117.06,22726
2024-01-04 10:42:00,117.06,117.09,117.00,117.02,12565
2024-01-04 10:43:00,117.04,117.04,116.98,117.00,12288
2024-01-04 10:44:00,116.99,117.06,116.96,116.99,18450
2024-01-04 10:45:00,116.95,116.98,116.87,116.88,20984
2024-01-04 10:46:00,116.88,117.02,116.88,117.00,22171
2024-01-04 10:47:00,117.00,117.04,116.98,117.00,11460
2024-01-04 10:48:00,117.01,117.09,117.01,117.07,18581
2024-01-04 10:49:00,117.09,117.12,117.02,117.09,18983
2024-01-04 10:50:00,117.09,117.14,117.07,117.08,19360
2024-01-04 10:51:00,117.08,117.08,117.02,117.02,16548
2024-01-04 10:52:00,117.01,117.10,117.00,117.06,11150
2024-01-04 10:53:00,117.04,117.04,116.97,116.98,7731
2024-01-04 10:54:00,117.00,117.08,116.99,117.05,13463
2024-01-04 10:55:00,117.04,117.04,116.94,116.98,25007
2024-01-04 10:56:00,116.99,117.06,116.99,117.05,5786
2024-01-04 10:57:00,117.04,117.07,116.98,117.07,10114
2024-01-04 10:58:00,117.07,117.13,117.07,117.12,8144
2024-01-04 10:59:00,117.12,117.15,117.05,117.08,21258
2024-01-04 11:00:00,117.11,117.21,117.10,117.11,12975
2024-01-04 11:01:00,117.11,117.13,117.03,117.05,8999
2024-01-04 11:02:00,117.05,117.15,117.05,117.15,6831
2024-01-04 11:03:00,117.15,117.20,117.15,117.20,12497
2024-01-04 11:04:00,117.18,117.22,117.12,117.17,21969
2024-01-04 11:05:00,117.17,117.21,117.16,117.18,13205
2024-01-04 11:06:00,117.17,117.17,117.11,117.17,5604
2024-01-04 11:07:00,117.18,117.18,117.04,117.08,18920
2024-01-04 11:08:00,117.08,117.11,117.01,117.01,12743
2024-01-04 11:09:00,117.01,117.06,116.96,117.06,26477
2024-01-04 11:10:00,117.05,117.10,117.00,117.10,16830
2024-01-04 11:11:00,117.09,117.22,117.08,117.22,23113
2024-01-04 11:12:00,117.21,117.22,117.17,117.18,15824
2024-01-04 11:13:00,117.17,117.21,117.16,117.21,16133
2024-01-04 11:14:00,117.20,117.25,117.19,117.20,22855
2024-01-04 11:15:00,117.21,117.31,117.20,117.27,24418
2024-01-04 11:16:00,117.28,117.43,117.27,117.30,66119
2024-01-04 11:17:00,117.30,117.31,117.19,117.21,25957
2024-01-04 11:18:00,117.21,117.30,117.21,117.29,12243
2024-01-04 11:19:00,117.30,117.31,117.25,117.25,17354
2024-01-04 11:20:00,117.24,117.30,117.23,117.28,12573
2024-01-04 11:21:00,117.26,117.27,117.18,117.25,15279
2024-01-04 11:22:00,117.25,117.38,117.24,117.36,36841
2024-01-04 11:23:00,117.36,117.44,117.36,117.43,16367
2024-01-04 11:24:00,117.43,117.49,117.42,117.44,26775
2024-01-04 11:25:00,117.43,117.46,117.37,117.39,45699
2024-01-04 11:26:00,117.39,117.46,117.34,117.43,23440
2024-01-04 11:27:00,117.44,117.54,117.41,117.52,39638
2024-01-04 11:28:00,117.53,117.61,117.53,117.57,25163
2024-01-04 11:29:00,117.57,117.60,117.53,117.57,18860
2024-01-04 11:30:00,117.57,117.65,117.56,117.65,25082
2024-01-04 11:31:00,117.65,117.65,117.49,117.49,38299
2024-01-04 11:32:00,117.49,117.52,117.44,117.49,25048
2024-01-04 11:33:00,117.48,117.50,117.42,117.42,35523
2024-01-04 11:34:00,117.39,117.48,117.38,117.47,13978
2024-01-04 11:35:00,117.49,117.52,117.43,117.44,13291
