datetime,open,high,low,close,volume
2024-01-04 10:28:00,83.47,83.51,83.44,83.45,29476
2024-01-04 10:29:00,83.46,83.59,83.46,83.55,45506
2024-01-04 10:30:00,83.55,83.74,83.55,83.62,50767
2024-01-04 10:31:00,83.62,83.77,83.62,83.77,54717
2024-01-04 10:32:00,83.78,83.78,83.68,83.77,44960
2024-01-04 10:33:00,83.77,83.81,83.70,83.71,51744
2024-01-04 10:34:00,83.71,83.71,83.60,83.65,32454
2024-01-04 10:35:00,83.65,83.74,83.62,83.66,50696
2024-01-04 10:36:00,83.66,83.82,83.64,83.82,63383
2024-01-04 10:37:00,83.82,83.85,83.68,83.69,45090
2024-01-04 10:38:00,83.70,83.70,83.55,83.55,31241
2024-01-04 10:39:00,83.57,83.58,83.43,83.43,44769
2024-01-04 10:40:00,83.43,83.50,83.43,83.46,31465
2024-01-04 10:41:00,83.45,83.52,83.44,83.50,25150
2024-01-04 10:42:00,83.51,83.51,83.40,83.49,62063
2024-01-04 10:43:00,83.49,83.55,83.44,83.51,40278
2024-01-04 10:44:00,83.51,83.69,83.49,83.68,30693
2024-01-04 10:45:00,83.68,83.74,83.65,83.71,46597
2024-01-04 10:46:00,83.70,83.71,83.62,83.64,53236
2024-01-04 10:47:00,83.65,83.79,83.65,83.79,45138
2024-01-04 10:48:00,83.78,83.87,83.75,83.80,83952
2024-01-04 10:49:00,83.80,83.89,83.78,83.87,50382
2024-01-04 10:50:00,83.88,83.94,83.87,83.92,83206
2024-01-04 10:51:00,83.92,83.95,83.92,83.95,65405
2024-01-04 10:52:00,83.96,83.97,83.80,83.80,102635
2024-01-04 10:53:00,83.81,83.91,83.77,83.89,60204
2024-01-04 10:54:00,83.89,83.90,83.69,83.69,116635
2024-01-04 10:55:00,83.69,83.81,83.69,83.79,90866
2024-01-04 10:56:00,83.79,83.80,83.64,83.67,43300
2024-01-04 10:57:00,83.65,83.66,83.55,83.57,66468
2024-01-04 10:58:00,83.57,83.61,83.51,83.56,53198
2024-01-04 10:59:00,83.56,83.68,83.54,83.68,19149
2024-01-04 11:00:00,83.70,83.75,83.60,83.62,61285
2024-01-04 11:01:00,83.61,83.65,83.58,83.65,37300
2024-01-04 11:02:00,83.66,83.66,83.44,83.44,40696
2024-01-04 11:03:00,83.45,83.50,83.43,83.47,50171
2024-01-04 11:04:00,83.47,83.54,83.46,83.53,35054
2024-01-04 11:05:00,83.53,83.60,83.51,83.60,35610
2024-01-04 11:06:00,83.58,83.59,83.48,83.51,43312
2024-01-04 11:07:00,83.51,83.51,83.43,83.46,43476
2024-01-04 11:08:00,83.47,83.51,83.46,83.51,18185
2024-01-04 11:09:00,83.50,83.57,83.49,83.55,33767
2024-01-04 11:10:00,83.54,83.61,83.51,83.54,33223
2024-01-04 11:11:00,83.56,83.56,83.46,83.49,20934
2024-01-04 11:12:00,83.49,83.53,83.44,83.49,36982
2024-01-04 11:13:00,83.50,83.51,83.47,83.49,14460
2024-01-04 11:14:00,83.48,83.59,83.47,83.58,42890
2024-01-04 11:15:00,83.59,83.63,83.53,83.54,51927
2024-01-04 11:16:00,83.54,83.60,83.51,83.53,33348
2024-01-04 11:17:00,83.55,83.56,83.49,83.49,38549
2024-01-04 11:18:00,83.48,83.70,83.48,83.70,71573
2024-01-04 11:19:00,83.71,83.72,83.66,83.71,29499
2024-01-04 11:20:00,83.71,83.76,83.71,83.74,40356
2024-01-04 11:21:00,83.74,83.75,83.62,83.64,83479
2024-01-04 11:22:00,83.64,83.64,83.55,83.63,47828
2024-01-04 11:23:00,83.63,83.66,83.58,83.64,37306
2024-01-04 11:24:00,83.65,83.65,83.53,83.57,30286
2024-01-04 11:25:00,83.57,83.65,83.54,83.65,41570
2024-01-04 11:26:00,83.65,83.68,83.62,83.68,16978
2024-01-04 11:27:00,83.68,83.74,83.59,83.59,52134
2024-01-04 11:28:00,83.60,83.67,83.60,83.65,45555
2024-01-04 11:29:00,83.65,83.75,83.64,83.69,62713
2024-01-04 11:30:00,83.69,83.70,83.45,83.46,34502
2024-01-04 11:31:00,83.45,83.52,83.40,83.51,43151
2024-01-04 11:32:00,83.51,83.56,83.47,83.52,31990
2024-01-04 11:33:00,83.53,83.64,83.51,83.60,34465
2024-01-04 11:34:00,83.60,83.60,83.45,83.50,27727
2024-01-04 11:35:00,83.50,83.54,83.50,83.51,27025
2024-01-04 11:36:00,83.50,83.56,83.50,83.56,19913
2024-01-04 11:37:00,83.57,83.62,83.56,83.58,29839
2024-01-04 11:38:00,83.58,83.60,83.50,83.56,14351
2024-01-04 11:39:00,83.54,83.58,83.54,83.55,14560
2024-01-04 11:40:00,83.54,83.57,83.54,83.54,20690
2024-01-04 11:41:00,83.54,83.58,83.52,83.56,21899
2024-01-04 11:42:00,83.55,83.58,83.54,83.56,35605
2024-01-04 11:43:00,83.56,83.62,83.55,83.62,27436
2024-01-04 11:44:00,83.63,83.67,83.59,83.67,21142
2024-01-04 11:45:00,83.67,83.74,83.66,83.73,41519
2024-01-04 11:46:00,83.73,83.82,83.72,83.76,53998
2024-01-04 11:47:00,83.76,83.76,83.71,83.72,31268
2024-01-04 11:48:00,83.73,83.82,83.72,83.82,26713
2024-01-04 11:49:00,83.82,83.96,83.75,83.90,91646
2024-01-04 11:50:00,83.92,83.94,83.84,83.87,50467
2024-01-04 11:51:00,83.87,83.87,83.73,83.73,27996
2024-01-04 11:52:00,83.72,83.72,83.54,83.57,38694
2024-01-04 11:53:00,83.56,83.56,83.50,83.50,26442
2024-01-04 11:54:00,83.50,83.53,83.45,83.53,34157
2024-01-04 11:55:00,83.53,83.60,83.52,83.57,97571
2024-01-04 11:56:00,83.56,83.57,83.50,83.54,16553
2024-01-04 11:57:00,83.54,83.54,83.36,83.36,49406
2024-01-04 11:58:00,83.37,83.39,83.27,83.27,18856
2024-01-04 11:59:00,83.28,83.36,83.28,83.32,20429
2024-01-04 12:00:00,83.32,83.37,83.30,83.30,30574
2024-01-04 12:01:00,83.28,83.31,83.25,83.25,23585
2024-01-04 12:02:00,83.24,83.24,83.11,83.11,39043
2024-01-04 12:03:00,83.11,83.16,83.08,83.11,22265
2024-01-04 12:04:00,83.11,83.17,83.11,83.16,12515
2024-01-04 12:05:00,83.16,83.23,83.15,83.18,21517
2024-01-04 12:06:00,83.18,83.25,83.15,83.21,15677
2024-01-04 12:07:00,83.21,83.21,83.14,83.17,10061
2024-01-04 12:08:00,83.14,83.18,83.10,83.12,9808
2024-01-04 12:09:00,83.11,83.12,83.07,83.11,11074
2024-01-04 12:10:00,83.11,83.23,83.10,83.23,18652
2024-01-04 12:11:00,83.23,83.32,83.23,83.26,27048
2024-01-04 12:12:00,83.25,83.35,83.25,83.35,19301
2024-01-04 12:13:00,83.36,83.38,83.28,83.30,8193
2024-01-04 12:14:00,83.28,83.29,83.22,83.23,8952
2024-01-04 12:15:00,83.23,83.24,83.20,83.20,8106
2024-01-04 12:16:00,83.20,83.20,83.15,83.20,11658
