datetime,open,high,low,close,volume
2024-10-25 15:14:00,141.96,141.98,141.71,141.87,509808
2024-10-25 15:15:00,141.86,141.95,141.86,141.92,266325
2024-10-25 15:16:00,141.93,141.94,141.85,141.89,191221
2024-10-25 15:17:00,141.90,141.98,141.79,141.96,348653
2024-10-25 15:18:00,141.96,142.04,141.92,142.03,235192
2024-10-25 15:19:00,142.04,142.04,141.84,141.85,259221
2024-10-25 15:20:00,141.86,141.90,141.81,141.86,223243
2024-10-25 15:21:00,141.87,141.98,141.87,141.95,185733
2024-10-25 15:22:00,141.95,141.98,141.86,141.93,137715
2024-10-25 15:23:00,141.91,141.92,141.81,141.85,250169
2024-10-25 15:24:00,141.85,141.89,141.77,141.79,246951
2024-10-25 15:25:00,141.80,141.90,141.77,141.87,286364
2024-10-25 15:26:00,141.86,141.95,141.82,141.93,254179
2024-10-25 15:27:00,141.94,141.95,141.85,141.92,335212
2024-10-25 15:28:00,141.91,141.97,141.90,141.93,152143
2024-10-25 15:29:00,141.92,141.97,141.91,141.94,203251
2024-10-25 15:30:00,141.95,141.97,141.88,141.93,208029
2024-10-25 15:31:00,141.94,141.97,141.90,141.96,186781
2024-10-25 15:32:00,141.96,142.04,141.94,142.03,366925
2024-10-25 15:33:00,142.04,142.13,142.03,142.08,345798
2024-10-25 15:34:00,142.08,142.12,142.04,142.04,254147
2024-10-25 15:35:00,142.04,142.07,141.97,142.04,289897
2024-10-25 15:36:00,142.04,142.10,142.01,142.09,243995
2024-10-25 15:37:00,142.09,142.16,142.08,142.12,258499
2024-10-25 15:38:00,142.12,142.19,142.11,142.15,287259
2024-10-25 15:39:00,142.15,142.15,142.06,142.07,233041
2024-10-25 15:40:00,142.08,142.14,142.00,142.09,364002
2024-10-25 15:41:00,142.09,142.09,142.00,142.01,226480
2024-10-25 15:42:00,142.01,142.10,142.00,142.09,240590
2024-10-25 15:43:00,142.09,142.10,142.06,142.07,187687
2024-10-25 15:44:00,142.07,142.11,142.03,142.06,209336
2024-10-25 15:45:00,142.07,142.10,142.02,142.04,184653
2024-10-25 15:46:00,142.04,142.09,142.02,142.06,254150
2024-10-25 15:47:00,142.07,142.07,142.00,142.01,304264
2024-10-25 15:48:00,142.01,142.01,141.94,141.95,282763
2024-10-25 15:49:00,141.96,141.97,141.90,141.96,268367
2024-10-25 15:50:00,141.97,142.00,141.64,141.74,904451
2024-10-25 15:51:00,141.74,141.87,141.73,141.82,526482
2024-10-25 15:52:00,141.82,141.83,141.73,141.75,338476
2024-10-25 15:53:00,141.75,141.78,141.66,141.72,501397
2024-10-25 15:54:00,141.71,141.75,141.56,141.70,661961
2024-10-25 15:55:00,141.69,141.69,141.38,141.58,899434
2024-10-25 15:56:00,141.58,141.72,141.56,141.60,492647
2024-10-25 15:57:00,141.60,141.64,141.46,141.53,667622
2024-10-25 15:58:00,141.52,141.56,141.48,141.49,627380
2024-10-25 15:59:00,141.49,141.61,141.44,141.47,2640626
2024-10-28 09:30:00,142.37,142.37,142.36,142.36,8534655
2024-10-28 09:31:00,142.37,142.39,141.66,141.69,2018754
2024-10-28 09:32:00,141.68,142.17,141.55,142.00,1600862
2024-10-28 09:33:00,142.00,142.23,141.63,141.70,1207586
2024-10-28 09:34:00,141.69,142.00,141.62,141.84,1026402
2024-10-28 09:35:00,141.83,142.18,141.78,142.10,1059796
2024-10-28 09:36:00,142.09,142.16,141.85,141.90,906208
2024-10-28 09:37:00,141.88,142.00,141.71,141.85,870076
2024-10-28 09:38:00,141.85,142.11,141.78,141.81,690266
2024-10-28 09:39:00,141.82,142.09,141.81,142.06,759375
2024-10-28 09:40:00,142.06,142.06,141.50,141.50,1556350
2024-10-28 09:41:00,141.50,141.74,141.42,141.55,911681
2024-10-28 09:42:00,141.56,141.62,141.06,141.26,1389583
2024-10-28 09:43:00,141.28,141.55,141.24,141.25,780172
2024-10-28 09:44:00,141.26,141.47,141.16,141.25,710435
2024-10-28 09:45:00,141.25,141.42,140.89,141.42,1832229
2024-10-28 09:46:00,141.40,141.46,141.39,141.44,60666
2024-10-28 09:47:00,141.84,141.89,141.47,141.57,27165
2024-10-28 09:48:00,141.54,141.59,141.39,141.42,2640364
2024-10-28 09:49:00,141.41,141.49,141.22,141.44,657306
2024-10-28 09:50:00,141.44,141.45,141.04,141.10,495757
2024-10-28 09:51:00,141.06,141.19,141.06,141.19,7839
2024-10-28 09:52:00,141.10,141.35,141.09,141.26,1579306
2024-10-28 09:53:00,141.26,141.27,141.13,141.15,88756
2024-10-28 09:54:00,141.23,141.23,141.00,141.12,6241
2024-10-28 09:55:00,141.41,141.50,141.38,141.49,1646866
2024-10-28 09:56:00,141.48,141.49,141.05,141.09,589795
2024-10-28 09:57:00,141.08,141.45,141.08,141.41,537580
2024-10-28 09:58:00,141.39,141.61,141.33,141.41,735158
2024-10-28 09:59:00,141.42,141.42,141.24,141.33,450860
2024-10-28 10:00:00,141.32,141.55,141.27,141.53,511691
2024-10-28 10:01:00,141.54,141.81,141.43,141.78,733633
2024-10-28 10:02:00,141.80,141.81,141.57,141.65,591159
2024-10-28 10:03:00,141.64,141.73,141.47,141.69,463904
2024-10-28 10:04:00,141.74,141.91,141.73,141.80,7249
2024-10-28 10:05:00,141.81,141.82,141.60,141.63,1206657
2024-10-28 10:06:00,141.61,141.81,141.52,141.77,522874
2024-10-28 10:07:00,141.77,141.82,141.66,141.68,343805
2024-10-28 10:08:00,141.68,141.96,141.65,141.94,510722
2024-10-28 10:09:00,141.93,142.08,141.93,142.00,860492
2024-10-28 10:10:00,142.00,142.00,141.75,141.77,733634
2024-10-28 10:11:00,141.78,141.79,141.60,141.70,601403
2024-10-28 10:12:00,141.70,141.80,141.60,141.79,448286
2024-10-28 10:13:00,141.78,142.01,141.78,141.98,651539
2024-10-28 10:14:00,141.98,141.99,141.82,141.87,341830
2024-10-28 10:15:00,141.89,141.93,141.77,141.82,288645
2024-10-28 10:16:00,141.83,141.93,141.78,141.81,329075
2024-10-28 10:17:00,141.82,141.87,141.66,141.79,444203
2024-10-28 10:18:00,141.78,141.80,141.61,141.63,340280
2024-10-28 10:19:00,141.62,141.65,141.52,141.57,254868
2024-10-28 10:20:00,141.53,141.64,141.52,141.62,886852
2024-10-28 10:21:00,141.61,141.70,141.49,141.61,386206
2024-10-28 10:22:00,141.61,141.62,141.28,141.33,603029
2024-10-28 10:23:00,141.33,141.39,141.30,141.35,337118
2024-10-28 10:24:00,141.36,141.39,141.16,141.30,618812
2024-10-28 10:25:00,141.31,141.42,141.28,141.34,410993
2024-10-28 10:26:00,141.33,141.55,141.30,141.49,528766
2024-10-28 10:27:00,141.49,141.64,141.46,141.49,515074
2024-10-28 10:28:00,141.48,141.55,141.35,141.47,402990
2024-10-28 10:29:00,141.44,141.49,141.39,141.46,329668
2024-10-28 10:30:00,141.46,141.61,141.41,141.56,400494
2024-10-28 10:31:00,141.56,141.56,141.40,141.44,358039
2024-10-28 10:32:00,141.45,141.50,141.35,141.46,299207
2024-10-28 10:33:00,141.44,141.46,141.26,141.28,545864
2024-10-28 10:34:00,141.29,141.29,141.04,141.09,835343
2024-10-28 10:35:00,141.10,141.17,140.93,141.13,1173131
2024-10-28 10:36:00,141.14,141.29,141.05,141.28,543721
2024-10-28 10:37:00,141.27,141.29,141.14,141.26,298607
2024-10-28 10:38:00,141.26,141.28,141.17,141.18,281213
2024-10-28 10:39:00,141.18,141.33,141.14,141.21,340606
2024-10-28 10:40:00,141.21,141.34,141.21,141.33,304186
2024-10-28 10:41:00,141.33,141.44,141.32,141.43,405988
2024-10-28 10:42:00,141.43,141.61,141.43,141.61,630374
2024-10-28 10:43:00,141.62,141.63,141.46,141.55,409161
2024-10-28 10:44:00,141.55,141.62,141.48,141.56,353065
2024-10-28 10:45:00,141.57,141.70,141.57,141.62,557753
2024-10-28 10:46:00,141.61,141.63,141.41,141.42,437930
2024-10-28 10:47:00,141.42,141.54,141.39,141.51,322357
2024-10-28 10:48:00,141.51,141.51,141.40,141.47,251221
2024-10-28 10:49:00,141.48,141.69,141.47,141.68,393938
2024-10-28 10:50:00,141.68,141.70,141.49,141.54,2517221
2024-10-28 10:51:00,141.54,141.54,141.34,141.43,316123
2024-10-28 10:52:00,141.43,141.53,141.42,141.46,229488
2024-10-28 10:53:00,141.46,141.53,141.40,141.52,225605
2024-10-28 10:54:00,141.51,141.58,141.46,141.57,306871
2024-10-28 10:55:00,141.57,141.60,141.53,141.55,250088
2024-10-28 10:56:00,141.55,141.56,141.35,141.38,318423
2024-10-28 10:57:00,141.37,141.39,141.24,141.29,407977
2024-10-28 10:58:00,141.29,141.34,141.23,141.33,293263
2024-10-28 10:59:00,141.33,141.49,141.30,141.34,338952
2024-10-28 11:00:00,141.33,141.45,141.10,141.10,583856
2024-10-28 11:01:00,141.11,141.42,141.10,141.32,478412
2024-10-28 11:02:00,141.31,141.33,141.10,141.16,370281
2024-10-28 11:03:00,141.16,141.20,141.03,141.20,585302
2024-10-28 11:04:00,141.20,141.33,141.16,141.33,460384
2024-10-28 11:05:00,141.32,141.35,141.26,141.32,237077
2024-10-28 11:06:00,141.32,141.41,141.24,141.41,325185
2024-10-28 11:07:00,141.41,141.45,141.24,141.30,321531
2024-10-28 11:08:00,141.30,141.36,141.16,141.16,242866
2024-10-28 11:09:00,141.16,141.23,141.11,141.17,326591
2024-10-28 11:10:00,141.17,141.26,141.12,141.25,239284
2024-10-28 11:11:00,141.24,141.30,141.21,141.24,239543
2024-10-28 11:12:00,141.24,141.29,141.21,141.22,183333
2024-10-28 11:13:00,141.22,141.33,141.22,141.26,206595
2024-10-28 11:14:00,141.26,141.27,141.16,141.22,255440
2024-10-28 11:15:00,141.21,141.27,141.12,141.20,326121
2024-10-28 11:16:00,141.20,141.26,141.10,141.12,257527
2024-10-28 11:17:00,141.12,141.12,141.00,141.09,639950
2024-10-28 11:18:00,141.08,141.16,141.07,141.10,335154
2024-10-28 11:19:00,141.10,141.11,141.01,141.03,282965
2024-10-28 11:20:00,141.03,141.04,140.92,140.99,818755
2024-10-28 11:21:00,140.99,141.08,140.98,141.01,261719
2024-10-28 11:22:00,140.82,140.87,140.81,140.84,809485
2024-10-28 11:23:00,140.84,140.92,140.79,140.81,457960
2024-10-28 11:24:00,140.82,140.95,140.79,140.80,406415
2024-10-28 11:25:00,140.81,140.92,140.79,140.91,364956
2024-10-28 11:26:00,140.91,140.98,140.86,140.91,348163
2024-10-28 11:27:00,140.92,141.04,140.90,141.00,339243
2024-10-28 11:28:00,140.98,141.07,140.95,140.99,427219
2024-10-28 11:29:00,140.99,141.04,140.97,141.02,221540
2024-10-28 11:30:00,141.03,141.07,140.91,140.96,304170
2024-10-28 11:31:00,140.95,140.95,140.84,140.87,335873
2024-10-28 11:32:00,140.87,140.90,140.62,140.72,842016
2024-10-28 11:33:00,140.71,140.85,140.63,140.82,624462
2024-10-28 11:34:00,140.82,140.83,140.58,140.59,487323
2024-10-28 11:35:00,140.58,140.66,140.40,140.48,1100663
2024-10-28 11:36:00,140.48,140.54,140.38,140.49,651367
2024-10-28 11:37:00,140.49,140.76,140.48,140.71,708643
2024-10-28 11:38:00,140.71,140.73,140.61,140.68,276398
2024-10-28 11:39:00,140.69,140.76,140.55,140.58,490338
2024-10-28 11:40:00,140.57,140.60,140.50,140.51,301220
2024-10-28 11:41:00,140.51,140.60,140.50,140.60,312103
2024-10-28 11:42:00,140.60,140.60,140.54,140.59,299588
2024-10-28 11:43:00,140.58,140.60,140.36,140.52,552058
2024-10-28 11:44:00,140.52,140.53,140.41,140.49,280819
2024-10-28 11:45:00,140.49,140.53,140.40,140.48,347301
2024-10-28 11:46:00,140.49,140.60,140.40,140.59,409837
2024-10-28 11:47:00,140.58,140.68,140.43,140.43,467149
2024-10-28 11:48:00,140.43,140.54,140.41,140.51,356597
2024-10-28 11:49:00,140.51,140.58,140.50,140.56,198858
2024-10-28 11:50:00,140.56,140.81,140.50,140.80,517698
2024-10-28 11:51:00,140.81,140.81,140.49,140.51,616679
2024-10-28 11:52:00,140.50,140.54,140.41,140.49,423803
2024-10-28 11:53:00,140.49,140.53,140.49,140.52,42989
2024-10-28 11:54:00,140.38,140.40,140.34,140.36,750845
2024-10-28 11:55:00,140.30,140.36,140.21,140.30,649800
2024-10-28 11:56:00,140.29,140.34,140.23,140.28,293682
2024-10-28 11:57:00,140.27,140.28,140.11,140.23,461134
2024-10-28 11:58:00,140.23,140.24,140.05,140.14,484392
2024-10-28 11:59:00,140.13,140.32,140.12,140.32,420819
2024-10-28 12:00:00,140.32,140.45,140.25,140.37,443751
2024-10-28 12:01:00,140.36,140.40,140.25,140.27,323918
2024-10-28 12:02:00,140.26,140.48,140.26,140.48,286850
2024-10-28 12:03:00,140.48,140.61,140.47,140.59,426951
2024-10-28 12:04:00,140.60,140.66,140.53,140.60,335081
2024-10-28 12:05:00,140.60,140.66,140.53,140.65,308286
2024-10-28 12:06:00,140.65,140.66,140.55,140.61,219077
2024-10-28 12:07:00,140.61,140.63,140.53,140.53,193919
2024-10-28 12:08:00,140.53,140.60,140.53,140.60,181348
2024-10-28 12:09:00,140.59,140.60,140.57,140.57,2697
2024-10-28 12:10:00,140.59,140.60,140.55,140.60,540450
2024-10-28 12:11:00,140.59,140.60,140.51,140.57,227464
2024-10-28 12:12:00,140.57,140.60,140.44,140.46,410471
2024-10-28 12:13:00,140.46,140.46,140.29,140.31,752112
2024-10-28 12:14:00,140.32,140.37,140.25,140.26,322305
2024-10-28 12:15:00,140.26,140.38,140.23,140.38,349578
2024-10-28 12:16:00,140.38,140.41,140.34,140.40,242697
2024-10-28 12:17:00,140.40,140.45,140.36,140.37,231339
2024-10-28 12:18:00,140.37,140.43,140.35,140.39,174026
2024-10-28 12:19:00,140.38,140.54,140.35,140.54,218058
2024-10-28 12:20:00,140.54,140.65,140.54,140.62,333839
2024-10-28 12:21:00,140.62,140.77,140.57,140.59,644685
2024-10-28 12:22:00,140.59,140.76,140.59,140.71,386456
2024-10-28 12:23:00,140.70,140.75,140.65,140.68,263649
2024-10-28 12:24:00,140.68,140.70,140.62,140.67,91144
2024-10-28 12:25:00,140.59,140.67,140.59,140.64,3614
2024-10-28 12:26:00,140.61,140.61,140.56,140.59,520874
2024-10-28 12:27:00,140.57,140.60,140.54,140.58,195570
2024-10-28 12:28:00,140.58,140.58,140.49,140.52,268002
2024-10-28 12:29:00,140.52,140.56,140.45,140.54,181257
2024-10-28 12:30:00,140.54,140.55,140.49,140.49,132216
2024-10-28 12:31:00,140.50,140.50,140.41,140.49,189345
2024-10-28 12:32:00,140.48,140.50,140.47,140.49,122276
2024-10-28 12:33:00,140.48,140.50,140.44,140.47,162905
2024-10-28 12:34:00,140.47,140.47,140.35,140.38,262823
2024-10-28 12:35:00,140.39,140.50,140.30,140.45,294943
2024-10-28 12:36:00,140.45,140.46,140.33,140.36,146340
2024-10-28 12:37:00,140.36,140.38,140.28,140.33,284241
2024-10-28 12:38:00,140.33,140.34,140.21,140.23,279639
2024-10-28 12:39:00,140.22,140.30,140.18,140.23,355111
2024-10-28 12:40:00,140.23,140.30,140.21,140.29,178016
2024-10-28 12:41:00,140.30,140.42,140.26,140.42,308267
2024-10-28 12:42:00,140.41,140.53,140.41,140.52,597002
2024-10-28 12:43:00,140.51,140.57,140.47,140.57,338048
2024-10-28 12:44:00,140.57,140.64,140.51,140.64,281782
2024-10-28 12:45:00,140.63,140.64,140.57,140.62,243732
2024-10-28 12:46:00,140.62,140.63,140.44,140.51,291038
2024-10-28 12:47:00,140.51,140.51,140.40,140.43,216756
2024-10-28 12:48:00,140.42,140.47,140.38,140.42,211784
2024-10-28 12:49:00,140.41,140.56,140.41,140.55,243962
2024-10-28 12:50:00,140.54,140.60,140.47,140.48,145428
2024-10-28 12:51:00,140.48,140.56,140.46,140.55,126980
2024-10-28 12:52:00,140.56,140.58,140.43,140.46,155241
2024-10-28 12:53:00,140.46,140.49,140.41,140.45,153876
2024-10-28 12:54:00,140.44,140.51,140.40,140.51,140018
2024-10-28 12:55:00,140.52,140.55,140.47,140.47,150111
2024-10-28 12:56:00,140.47,140.53,140.46,140.51,87413
2024-10-28 12:57:00,140.50,140.53,140.49,140.51,124067
2024-10-28 12:58:00,140.51,140.54,140.50,140.52,104402
2024-10-28 12:59:00,140.52,140.59,140.50,140.56,171035
2024-10-28 13:00:00,140.56,140.60,140.52,140.56,221119
2024-10-28 13:01:00,140.56,140.61,140.53,140.59,180762
2024-10-28 13:02:00,140.58,140.60,140.41,140.58,245899
2024-10-28 13:03:00,140.57,140.75,140.56,140.73,331272
2024-10-28 13:04:00,140.74,140.85,140.73,140.77,445900
2024-10-28 13:05:00,140.77,140.92,140.75,140.86,348735
2024-10-28 13:06:00,140.86,140.87,140.73,140.86,263327
2024-10-28 13:07:00,140.85,140.91,140.80,140.85,305077
2024-10-28 13:08:00,140.85,140.98,140.84,140.95,369679
2024-10-28 13:09:00,140.95,141.03,140.93,140.96,572744
