datetime,open,high,low,close,volume
2024-01-04 09:40:00,88.00,88.00,87.99,87.99,759
2024-01-04 09:41:00,88.03,88.03,88.00,88.02,1231
2024-01-04 09:42:00,88.07,88.15,88.07,88.09,1754
2024-01-04 09:43:00,88.14,88.14,88.14,88.14,271
2024-01-04 09:44:00,88.17,88.17,88.12,88.12,566
2024-01-04 09:45:00,88.21,88.21,88.08,88.08,2175
2024-01-04 09:46:00,88.06,88.06,88.04,88.04,597
2024-01-04 09:47:00,88.02,88.02,87.97,87.97,579
2024-01-04 09:48:00,87.99,88.00,87.96,88.00,1091
2024-01-04 09:49:00,87.98,88.08,87.98,88.08,1086
2024-01-04 09:50:00,88.12,88.17,88.12,88.14,1165
2024-01-04 09:51:00,88.08,88.13,88.08,88.13,1126
2024-01-04 09:52:00,88.12,88.12,88.05,88.05,1544
2024-01-04 09:53:00,88.08,88.08,88.05,88.05,1264
2024-01-04 09:54:00,88.05,88.06,88.03,88.05,3792
2024-01-04 09:55:00,88.11,88.11,88.07,88.07,2145
2024-01-04 09:56:00,88.10,88.13,88.10,88.13,684
2024-01-04 09:57:00,88.14,88.17,88.10,88.10,1379
2024-01-04 09:58:00,88.04,88.08,88.04,88.08,742
2024-01-04 09:59:00,88.06,88.06,87.99,87.99,2168
2024-01-04 10:00:00,87.98,88.02,87.93,88.02,3252
2024-01-04 10:01:00,88.11,88.11,88.11,88.11,700
2024-01-04 10:02:00,88.16,88.25,88.16,88.21,1945
2024-01-04 10:03:00,88.25,88.28,88.25,88.25,1607
2024-01-04 10:04:00,88.28,88.35,88.28,88.33,2877
2024-01-04 10:05:00,88.32,88.32,88.23,88.23,2854
2024-01-04 10:06:00,88.23,88.23,88.20,88.20,487
2024-01-04 10:07:00,88.17,88.17,88.17,88.17,564
2024-01-04 10:08:00,88.18,88.19,88.13,88.14,2279
2024-01-04 10:09:00,88.14,88.18,88.14,88.18,2639
2024-01-04 10:10:00,88.16,88.18,88.16,88.18,771
2024-01-04 10:11:00,88.17,88.21,88.15,88.21,2635
2024-01-04 10:12:00,88.21,88.30,88.21,88.30,5751
2024-01-04 10:13:00,88.29,88.32,88.27,88.32,2828
2024-01-04 10:14:00,88.33,88.38,88.33,88.38,3059
2024-01-04 10:15:00,88.38,88.39,88.36,88.39,4382
2024-01-04 10:16:00,88.31,88.31,88.26,88.27,3279
2024-01-04 10:17:00,88.27,88.30,88.27,88.30,664
2024-01-04 10:18:00,88.31,88.33,88.31,88.33,1277
2024-01-04 10:19:00,88.34,88.37,88.34,88.34,2017
2024-01-04 10:20:00,88.34,88.37,88.32,88.33,1917
2024-01-04 10:21:00,88.34,88.34,88.29,88.29,3211
2024-01-04 10:22:00,88.29,88.29,88.21,88.27,3503
2024-01-04 10:23:00,88.25,88.25,88.19,88.19,994
2024-01-04 10:24:00,88.18,88.22,88.18,88.22,1056
2024-01-04 10:25:00,88.22,88.22,88.19,88.19,911
2024-01-04 10:26:00,88.19,88.23,88.19,88.23,2342
2024-01-04 10:27:00,88.24,88.29,88.24,88.29,2014
2024-01-04 10:28:00,88.28,88.28,88.25,88.25,3294
2024-01-04 10:29:00,88.22,88.22,88.20,88.20,528
2024-01-04 10:30:00,88.21,88.21,88.18,88.21,4877
2024-01-04 10:31:00,88.21,88.22,88.20,88.20,1079
2024-01-04 10:32:00,88.21,88.21,88.16,88.18,7152
2024-01-04 10:33:00,88.17,88.17,88.14,88.14,4459
2024-01-04 10:34:00,88.15,88.17,88.15,88.15,2792
2024-01-04 10:35:00,88.16,88.18,88.15,88.16,2487
2024-01-04 10:36:00,88.15,88.17,88.14,88.16,5270
2024-01-04 10:37:00,88.15,88.19,88.14,88.19,6567
2024-01-04 10:38:00,88.18,88.20,88.18,88.18,2735
2024-01-04 10:39:00,88.17,88.17,88.12,88.13,6060
2024-01-04 10:40:00,88.14,88.15,88.11,88.11,1661
2024-01-04 10:41:00,88.12,88.15,88.12,88.15,1915
2024-01-04 10:42:00,88.17,88.17,88.14,88.16,2881
2024-01-04 10:43:00,88.15,88.21,88.15,88.19,6467
2024-01-04 10:44:00,88.19,88.24,88.19,88.23,5997
2024-01-04 10:45:00,88.22,88.22,88.15,88.15,6297
2024-01-04 10:46:00,88.15,88.19,88.15,88.18,4279
2024-01-04 10:47:00,88.18,88.23,88.18,88.23,6804
2024-01-04 10:48:00,88.22,88.23,88.20,88.20,5843
2024-01-04 10:49:00,88.19,88.19,88.16,88.16,904
2024-01-04 10:50:00,88.15,88.17,88.15,88.17,1410
2024-01-04 10:51:00,88.15,88.15,88.13,88.13,1928
2024-01-04 10:52:00,88.13,88.13,88.08,88.08,2083
2024-01-04 10:53:00,88.06,88.09,88.05,88.09,2634
2024-01-04 10:54:00,88.11,88.14,88.11,88.13,1520
2024-01-04 10:55:00,88.13,88.16,88.13,88.15,8878
2024-01-04 10:57:00,88.13,88.15,88.12,88.13,3474
2024-01-04 10:58:00,88.13,88.15,88.13,88.15,1082
2024-01-04 10:59:00,88.15,88.15,88.10,88.11,2832
2024-01-04 11:00:00,88.09,88.11,88.08,88.10,2332
2024-01-04 11:01:00,88.10,88.14,88.10,88.14,1860
2024-01-04 11:02:00,88.14,88.14,88.09,88.09,2048
2024-01-04 11:03:00,88.10,88.12,88.10,88.10,1469
2024-01-04 11:04:00,88.09,88.13,88.09,88.12,3450
2024-01-04 11:05:00,88.12,88.15,88.12,88.14,3709
2024-01-04 11:06:00,88.15,88.16,88.14,88.14,11933
2024-01-04 11:07:00,88.13,88.13,88.10,88.12,1588
2024-01-04 11:08:00,88.11,88.11,88.08,88.08,1840
2024-01-04 11:09:00,88.08,88.08,88.05,88.05,1475
2024-01-04 11:10:00,88.05,88.08,88.05,88.08,1739
2024-01-04 11:11:00,88.08,88.18,88.08,88.18,4411
2024-01-04 11:12:00,88.19,88.19,88.16,88.19,2690
2024-01-04 11:13:00,88.19,88.20,88.18,88.19,4981
2024-01-04 11:14:00,88.20,88.27,88.20,88.24,4955
2024-01-04 11:15:00,88.24,88.27,88.22,88.22,1651
2024-01-04 11:16:00,88.20,88.21,88.20,88.21,849
2024-01-04 11:17:00,88.21,88.21,88.18,88.18,1474
2024-01-04 11:18:00,88.17,88.18,88.15,88.15,1864
2024-01-04 11:19:00,88.14,88.14,88.13,88.13,1656
2024-01-04 11:20:00,88.14,88.18,88.14,88.18,1788
2024-01-04 11:21:00,88.19,88.22,88.19,88.22,1246
2024-01-04 11:22:00,88.23,88.26,88.23,88.23,3247
2024-01-04 11:23:00,88.24,88.24,88.24,88.24,157
2024-01-04 11:24:00,88.25,88.25,88.24,88.25,1439
2024-01-04 11:25:00,88.26,88.28,88.26,88.28,2121
2024-01-04 11:26:00,88.30,88.40,88.30,88.39,7051
2024-01-04 11:27:00,88.38,88.42,88.35,88.39,8504
2024-01-04 11:28:00,88.39,88.39,88.34,88.34,1963
2024-01-04 11:29:00,88.35,88.35,88.25,88.25,5062
2024-01-04 11:30:00,88.25,88.29,88.24,88.24,2294
2024-01-04 11:31:00,88.24,88.25,88.23,88.23,1769
2024-01-04 11:32:00,88.25,88.26,88.25,88.25,704
2024-01-04 11:33:00,88.25,88.25,88.23,88.23,2030
2024-01-04 11:34:00,88.25,88.27,88.25,88.25,2401
2024-01-04 11:35:00,88.25,88.26,88.25,88.25,1129
2024-01-04 11:36:00,88.26,88.28,88.25,88.28,2718
2024-01-04 11:37:00,88.28,88.33,88.28,88.32,2249
2024-01-04 11:38:00,88.33,88.33,88.28,88.29,4501
2024-01-04 11:39:00,88.29,88.31,88.28,88.30,2135
2024-01-04 11:40:00,88.29,88.30,88.28,88.28,2951
2024-01-04 11:41:00,88.29,88.29,88.27,88.28,1566
2024-01-04 11:42:00,88.29,88.29,88.26,88.26,2324
2024-01-04 11:43:00,88.26,88.26,88.26,88.26,2756
2024-01-04 11:44:00,88.28,88.29,88.27,88.28,1607
2024-01-04 11:45:00,88.27,88.27,88.26,88.26,1096
2024-01-04 11:46:00,88.26,88.26,88.21,88.21,1622
2024-01-04 11:48:00,88.23,88.23,88.23,88.23,107
2024-01-04 11:49:00,88.24,88.25,88.24,88.25,1281
2024-01-04 11:50:00,88.25,88.25,88.20,88.20,3198
2024-01-04 11:52:00,88.22,88.22,88.17,88.17,1947
2024-01-04 11:53:00,88.20,88.22,88.19,88.19,2276
2024-01-04 11:54:00,88.20,88.22,88.20,88.21,1355
2024-01-04 11:55:00,88.21,88.21,88.19,88.19,2257
2024-01-04 11:56:00,88.19,88.20,88.19,88.19,1224
2024-01-04 11:57:00,88.20,88.21,88.20,88.21,601
2024-01-04 11:58:00,88.22,88.22,88.21,88.22,1110
2024-01-04 11:59:00,88.21,88.25,88.21,88.25,2660
2024-01-04 12:00:00,88.24,88.25,88.24,88.25,1629
2024-01-04 12:01:00,88.24,88.24,88.21,88.21,2895
2024-01-04 12:02:00,88.21,88.21,88.21,88.21,686
2024-01-04 12:03:00,88.20,88.20,88.15,88.16,1229
2024-01-04 12:04:00,88.15,88.19,88.15,88.19,1260
2024-01-04 12:05:00,88.20,88.20,88.19,88.19,476
2024-01-04 12:06:00,88.19,88.19,88.15,88.15,1280
2024-01-04 12:07:00,88.15,88.15,88.13,88.13,1341
2024-01-04 12:08:00,88.11,88.12,88.09,88.12,3573
2024-01-04 12:09:00,88.12,88.13,88.11,88.13,2173
2024-01-04 12:10:00,88.12,88.16,88.12,88.15,2770
2024-01-04 12:11:00,88.18,88.18,88.16,88.17,1349
2024-01-04 12:12:00,88.18,88.21,88.18,88.21,2223
2024-01-04 12:13:00,88.21,88.21,88.19,88.19,2227
2024-01-04 12:14:00,88.21,88.21,88.18,88.18,3042
2024-01-04 12:15:00,88.18,88.19,88.16,88.16,3454
2024-01-04 12:16:00,88.17,88.17,88.15,88.16,1534
2024-01-04 12:17:00,88.16,88.17,88.13,88.17,2720
2024-01-04 12:18:00,88.17,88.17,88.17,88.17,609
2024-01-04 12:19:00,88.17,88.17,88.16,88.17,2100
2024-01-04 12:20:00,88.17,88.21,88.17,88.20,4158
2024-01-04 12:21:00,88.23,88.23,88.18,88.18,2826
2024-01-04 12:22:00,88.20,88.20,88.16,88.17,2025
2024-01-04 12:23:00,88.15,88.17,88.13,88.14,1417
2024-01-04 12:24:00,88.13,88.16,88.13,88.16,710
2024-01-04 12:25:00,88.17,88.20,88.15,88.20,2832
2024-01-04 12:26:00,88.20,88.21,88.17,88.18,3673
2024-01-04 12:27:00,88.19,88.19,88.18,88.19,625
2024-01-04 12:28:00,88.19,88.19,88.18,88.18,762
2024-01-04 12:29:00,88.18,88.18,88.18,88.18,138
2024-01-04 12:30:00,88.19,88.19,88.14,88.14,2958
2024-01-04 12:31:00,88.11,88.12,88.10,88.11,4393
2024-01-04 12:32:00,88.11,88.13,88.11,88.13,2344
2024-01-04 12:33:00,88.13,88.13,88.13,88.13,345
2024-01-04 12:34:00,88.12,88.12,88.10,88.10,729
2024-01-04 12:35:00,88.10,88.12,88.09,88.11,9057
