datetime,open,high,low,close,volume
2024-01-04 10:14:00,285.10,285.30,285.03,285.18,7353
2024-01-04 10:15:00,285.24,285.66,285.24,285.66,6046
2024-01-04 10:16:00,285.58,286.00,285.57,286.00,3808
2024-01-04 10:17:00,285.92,286.36,285.92,286.23,6177
2024-01-04 10:18:00,286.46,286.46,285.88,285.88,3311
2024-01-04 10:19:00,285.87,285.89,285.47,285.60,6322
2024-01-04 10:20:00,285.68,285.71,285.36,285.62,4756
2024-01-04 10:21:00,285.49,285.55,285.43,285.49,1745
2024-01-04 10:22:00,285.51,285.62,285.46,285.46,4458
2024-01-04 10:23:00,285.53,285.53,285.23,285.35,3172
2024-01-04 10:24:00,285.16,285.38,285.16,285.20,4631
2024-01-04 10:25:00,285.22,285.37,285.13,285.15,6874
2024-01-04 10:26:00,285.12,285.19,284.89,284.90,3972
2024-01-04 10:27:00,284.90,284.90,284.74,284.77,3727
2024-01-04 10:28:00,284.86,284.92,284.72,284.90,4498
2024-01-04 10:29:00,284.91,285.20,284.91,285.20,5768
2024-01-04 10:30:00,285.20,285.96,285.20,285.67,8189
2024-01-04 10:31:00,285.67,285.82,285.41,285.60,8209
2024-01-04 10:32:00,285.63,285.67,285.52,285.55,1965
2024-01-04 10:33:00,285.67,285.76,285.30,285.30,5638
2024-01-04 10:34:00,285.41,285.41,285.29,285.33,2337
2024-01-04 10:35:00,285.20,285.44,285.10,285.42,3736
2024-01-04 10:36:00,285.44,285.99,285.44,285.90,3817
2024-01-04 10:37:00,285.74,285.87,285.30,285.30,3384
2024-01-04 10:38:00,285.30,285.30,285.12,285.13,2670
2024-01-04 10:39:00,285.21,285.35,285.07,285.13,8478
2024-01-04 10:40:00,285.23,285.23,285.02,285.16,3146
2024-01-04 10:41:00,285.21,285.29,285.10,285.26,7935
2024-01-04 10:42:00,285.16,285.18,284.88,285.05,4394
2024-01-04 10:43:00,284.95,285.22,284.88,285.22,2170
2024-01-04 10:44:00,285.14,285.31,285.12,285.12,2324
2024-01-04 10:45:00,285.21,285.31,285.06,285.21,4075
2024-01-04 10:46:00,285.14,285.23,284.97,285.06,3657
