datetime,open,high,low,close,volume
2024-01-04 10:29:00,86.33,86.35,86.29,86.32,7629
2024-01-04 10:30:00,86.33,86.35,86.29,86.29,35833
2024-01-04 10:31:00,86.30,86.37,86.30,86.37,6904
2024-01-04 10:32:00,86.37,86.41,86.37,86.41,14438
2024-01-04 10:33:00,86.42,86.44,86.41,86.41,4848
2024-01-04 10:34:00,86.41,86.43,86.40,86.43,12676
2024-01-04 10:35:00,86.43,86.43,86.36,86.39,10367
2024-01-04 10:36:00,86.39,86.42,86.39,86.40,10373
2024-01-04 10:37:00,86.39,86.49,86.39,86.49,15465
2024-01-04 10:38:00,86.49,86.50,86.47,86.49,11867
2024-01-04 10:39:00,86.49,86.49,86.37,86.42,21521
2024-01-04 10:40:00,86.41,86.46,86.40,86.44,9106
2024-01-04 10:41:00,86.45,86.51,86.43,86.51,8089
2024-01-04 10:42:00,86.52,86.54,86.50,86.52,11148
2024-01-04 10:43:00,86.53,86.57,86.48,86.48,9593
2024-01-04 10:44:00,86.49,86.56,86.48,86.55,7839
2024-01-04 10:45:00,86.54,86.57,86.47,86.49,17767
2024-01-04 10:46:00,86.48,86.54,86.48,86.54,4577
2024-01-04 10:47:00,86.52,86.56,86.52,86.53,11872
2024-01-04 10:48:00,86.52,86.59,86.52,86.56,11322
2024-01-04 10:49:00,86.56,86.56,86.51,86.51,13680
2024-01-04 10:50:00,86.51,86.52,86.47,86.47,10872
2024-01-04 10:51:00,86.47,86.47,86.43,86.44,10996
2024-01-04 10:52:00,86.44,86.44,86.38,86.39,7920
2024-01-04 10:53:00,86.38,86.39,86.35,86.36,14661
2024-01-04 10:54:00,86.37,86.46,86.37,86.41,13895
2024-01-04 10:55:00,86.40,86.40,86.35,86.39,18658
2024-01-04 10:56:00,86.39,86.40,86.38,86.39,9991
2024-01-04 10:57:00,86.39,86.43,86.36,86.41,11229
2024-01-04 10:58:00,86.42,86.43,86.37,86.39,10466
2024-01-04 10:59:00,86.38,86.41,86.38,86.39,6383
2024-01-04 11:00:00,86.40,86.42,86.37,86.37,15976
2024-01-04 11:01:00,86.39,86.39,86.34,86.36,11833
2024-01-04 11:02:00,86.36,86.37,86.34,86.35,9582
2024-01-04 11:03:00,86.36,86.36,86.34,86.34,24101
2024-01-04 11:04:00,86.34,86.34,86.30,86.31,16501
2024-01-04 11:05:00,86.31,86.35,86.28,86.35,10022
2024-01-04 11:06:00,86.36,86.40,86.35,86.39,7072
2024-01-04 11:07:00,86.39,86.40,86.39,86.40,9562
2024-01-04 11:08:00,86.39,86.40,86.32,86.36,14158
2024-01-04 11:09:00,86.36,86.37,86.35,86.36,5640
2024-01-04 11:10:00,86.35,86.38,86.35,86.38,3150
2024-01-04 11:11:00,86.40,86.41,86.39,86.40,24005
2024-01-04 11:12:00,86.40,86.40,86.36,86.36,9059
2024-01-04 11:13:00,86.35,86.37,86.33,86.36,10337
2024-01-04 11:14:00,86.37,86.40,86.36,86.36,10239
2024-01-04 11:15:00,86.37,86.38,86.32,86.33,6137
2024-01-04 11:16:00,86.34,86.36,86.33,86.33,10190
2024-01-04 11:17:00,86.33,86.34,86.27,86.28,16191
2024-01-04 11:18:00,86.28,86.31,86.27,86.27,13231
2024-01-04 11:19:00,86.29,86.29,86.24,86.25,8391
2024-01-04 11:20:00,86.25,86.27,86.24,86.26,7664
2024-01-04 11:21:00,86.26,86.29,86.25,86.26,6198
2024-01-04 11:22:00,86.27,86.28,86.25,86.25,5109
2024-01-04 11:23:00,86.26,86.28,86.25,86.28,3366
2024-01-04 11:24:00,86.27,86.29,86.27,86.28,6765
2024-01-04 11:25:00,86.28,86.29,86.23,86.23,12409
