datetime,open,high,low,close,volume
2024-01-04 10:24:00,67.12,67.13,67.09,67.10,17226
2024-01-04 10:25:00,67.10,67.10,67.06,67.06,5800
2024-01-04 10:26:00,67.07,67.10,67.07,67.09,25527
2024-01-04 10:27:00,67.08,67.10,67.07,67.10,7190
2024-01-04 10:28:00,67.10,67.11,67.10,67.11,4433
2024-01-04 10:29:00,67.11,67.12,67.09,67.10,8485
2024-01-04 10:30:00,67.09,67.09,67.06,67.07,12058
2024-01-04 10:31:00,67.07,67.08,67.07,67.08,4144
2024-01-04 10:32:00,67.08,67.12,67.08,67.12,5381
2024-01-04 10:33:00,67.11,67.11,67.06,67.06,5558
2024-01-04 10:34:00,67.07,67.08,67.06,67.06,5942
2024-01-04 10:35:00,67.06,67.06,66.99,67.00,7769
2024-01-04 10:36:00,67.00,67.00,66.95,66.95,11974
2024-01-04 10:37:00,66.96,67.00,66.96,67.00,6480
2024-01-04 10:38:00,67.00,67.00,66.99,67.00,2921
2024-01-04 10:39:00,67.00,67.00,66.97,66.97,7187
2024-01-04 10:40:00,66.97,66.98,66.94,66.97,7360
2024-01-04 10:41:00,66.97,67.00,66.96,67.00,17021
2024-01-04 10:42:00,67.00,67.03,67.00,67.00,8575
2024-01-04 10:43:00,67.00,67.06,67.00,67.05,10519
2024-01-04 10:44:00,67.06,67.09,67.06,67.08,6755
2024-01-04 10:45:00,67.09,67.10,67.08,67.08,13474
2024-01-04 10:46:00,67.08,67.11,67.07,67.11,9189
2024-01-04 10:47:00,67.10,67.10,67.07,67.07,5750
2024-01-04 10:48:00,67.07,67.09,67.07,67.08,2892
2024-01-04 10:49:00,67.08,67.08,67.07,67.08,4914
2024-01-04 10:50:00,67.07,67.11,67.07,67.11,9558
2024-01-04 10:51:00,67.10,67.10,67.09,67.10,3571
2024-01-04 10:52:00,67.10,67.10,67.07,67.08,19280
2024-01-04 10:53:00,67.07,67.08,67.05,67.07,23328
2024-01-04 10:54:00,67.07,67.08,67.04,67.08,9504
2024-01-04 10:55:00,67.08,67.08,67.04,67.06,11633
2024-01-04 10:56:00,67.07,67.09,67.06,67.08,9319
2024-01-04 10:57:00,67.07,67.08,67.06,67.06,6908
2024-01-04 10:58:00,67.06,67.06,67.04,67.05,6204
2024-01-04 10:59:00,67.05,67.05,67.02,67.04,11201
2024-01-04 11:00:00,67.03,67.03,66.94,66.96,19976
2024-01-04 11:01:00,66.96,66.99,66.96,66.98,9644
2024-01-04 11:02:00,66.98,67.00,66.94,66.95,10102
2024-01-04 11:03:00,66.94,66.96,66.94,66.96,5058
2024-01-04 11:04:00,66.95,66.96,66.90,66.92,5752
2024-01-04 11:05:00,66.92,66.95,66.91,66.95,11253
2024-01-04 11:06:00,66.95,66.97,66.93,66.97,2038
2024-01-04 11:07:00,66.97,66.97,66.94,66.96,3488
2024-01-04 11:08:00,66.94,66.96,66.93,66.94,2383
2024-01-04 11:09:00,66.94,66.94,66.92,66.94,5562
2024-01-04 11:10:00,66.93,66.95,66.93,66.95,6048
2024-01-04 11:11:00,66.94,66.97,66.94,66.97,5059
2024-01-04 11:12:00,66.97,66.97,66.96,66.97,56178
2024-01-04 11:13:00,66.97,66.98,66.96,66.98,5536
2024-01-04 11:14:00,66.97,67.00,66.97,67.00,7402
2024-01-04 11:15:00,67.00,67.00,66.99,67.00,5265
2024-01-04 11:16:00,66.99,66.99,66.98,66.98,3039
2024-01-04 11:17:00,66.97,66.97,66.95,66.95,3753
2024-01-04 11:18:00,66.95,66.95,66.93,66.93,3377
2024-01-04 11:19:00,66.92,66.94,66.92,66.93,2894
2024-01-04 11:20:00,66.93,66.93,66.91,66.91,11034
2024-01-04 11:21:00,66.92,66.94,66.92,66.92,14396
2024-01-04 11:22:00,66.92,66.94,66.92,66.94,2788
