datetime,open,high,low,close,volume
2024-01-04 10:20:00,285.00,285.08,284.68,285.02,2787
2024-01-04 10:21:00,285.02,285.17,284.20,284.28,4730
2024-01-04 10:22:00,284.66,284.78,284.41,284.78,1934
2024-01-04 10:23:00,284.27,284.46,284.21,284.40,4111
2024-01-04 10:24:00,284.16,284.86,283.96,284.86,7274
2024-01-04 10:25:00,284.58,285.00,284.42,284.70,17782
2024-01-04 10:26:00,284.46,284.63,284.10,284.55,7183
2024-01-04 10:27:00,284.65,285.14,284.65,285.04,4061
2024-01-04 10:28:00,285.23,285.88,285.04,285.88,6645
2024-01-04 10:29:00,285.88,286.50,285.86,286.33,12636
2024-01-04 10:30:00,286.52,287.49,286.52,287.19,16196
2024-01-04 10:31:00,287.18,287.80,286.82,287.80,20543
2024-01-04 10:32:00,287.79,287.79,287.19,287.51,7180
2024-01-04 10:33:00,287.51,287.58,286.51,286.51,6947
2024-01-04 10:34:00,286.63,287.45,286.63,287.01,5201
2024-01-04 10:35:00,287.21,287.21,286.53,286.73,8486
2024-01-04 10:36:00,286.73,287.71,286.73,287.68,10779
2024-01-04 10:37:00,287.60,287.99,286.93,287.15,17665
2024-01-04 10:38:00,287.08,287.08,286.41,286.73,5824
2024-01-04 10:39:00,286.93,287.60,286.70,287.17,11187
2024-01-04 10:40:00,287.04,287.04,286.40,286.85,3822
2024-01-04 10:41:00,286.68,286.70,286.33,286.58,1886
2024-01-04 10:42:00,286.65,286.65,285.67,286.15,6758
2024-01-04 10:43:00,286.02,286.71,285.83,286.71,3490
2024-01-04 10:44:00,286.69,286.77,286.26,286.64,2607
2024-01-04 10:45:00,286.67,286.82,285.96,286.70,5226
2024-01-04 10:46:00,286.74,286.80,286.31,286.31,4729
2024-01-04 10:47:00,286.25,286.66,286.11,286.48,3408
2024-01-04 10:48:00,286.62,286.96,286.60,286.76,4791
2024-01-04 10:49:00,286.70,286.98,286.39,286.73,3814
2024-01-04 10:50:00,286.83,286.87,286.49,286.56,2167
2024-01-04 10:51:00,286.69,286.76,286.69,286.76,1226
2024-01-04 10:52:00,286.90,287.35,286.60,286.60,9424
2024-01-04 10:53:00,286.66,286.93,286.66,286.69,4507
2024-01-04 10:54:00,286.68,287.60,286.68,287.54,6089
2024-01-04 10:55:00,287.56,287.60,286.80,287.07,5015
2024-01-04 10:56:00,287.03,287.17,286.45,286.58,5126
2024-01-04 10:57:00,286.62,286.79,286.16,286.45,5239
2024-01-04 10:58:00,286.41,286.58,286.15,286.20,2013
2024-01-04 10:59:00,286.48,286.55,286.11,286.55,2259
2024-01-04 11:00:00,286.35,287.05,286.35,286.83,3436
2024-01-04 11:01:00,286.77,287.26,286.77,287.26,3137
2024-01-04 11:02:00,287.49,287.70,286.74,286.74,9600
2024-01-04 11:03:00,287.08,287.67,287.08,287.66,2486
2024-01-04 11:04:00,287.56,288.47,287.56,288.02,43303
2024-01-04 11:05:00,288.25,288.74,288.24,288.64,9601
2024-01-04 11:06:00,288.66,288.85,288.45,288.67,5586
2024-01-04 11:07:00,288.80,288.80,288.26,288.26,1933
