datetime,open,high,low,close,volume
2023-12-21 10:40:00,250.49,250.52,249.91,250.42,425575
2023-12-21 10:41:00,250.39,250.67,250.21,250.28,322060
2023-12-21 10:42:00,250.25,250.62,250.22,250.45,204374
2023-12-21 10:43:00,250.41,250.78,250.33,250.61,253748
2023-12-21 10:44:00,250.62,250.72,250.50,250.59,229761
2023-12-21 10:45:00,250.60,251.27,250.57,251.13,508782
2023-12-21 10:46:00,251.15,251.25,250.61,250.86,323086
2023-12-21 10:47:00,250.84,250.99,250.70,250.91,181570
2023-12-21 10:48:00,250.89,251.05,250.55,250.59,261132
2023-12-21 10:49:00,250.62,250.83,250.30,250.44,326959
2023-12-21 10:50:00,250.40,250.46,249.65,249.84,369311
2023-12-21 10:51:00,249.84,250.05,249.77,250.01,280691
2023-12-21 10:52:00,250.01,250.17,249.93,250.15,238188
2023-12-21 10:53:00,250.02,250.16,250.00,250.16,208859
2023-12-21 10:54:00,250.14,250.25,250.10,250.12,179341
2023-12-21 10:55:00,250.12,250.20,250.01,250.14,184798
2023-12-21 10:56:00,250.16,250.70,250.16,250.68,332757
2023-12-21 10:57:00,250.70,250.70,250.50,250.63,212408
2023-12-21 10:58:00,250.63,250.93,250.63,250.91,292809
2023-12-21 10:59:00,250.93,251.25,250.88,251.08,430299
2023-12-21 11:00:00,251.11,251.55,251.04,251.33,470078
2023-12-21 11:01:00,251.31,251.40,251.11,251.12,252640
2023-12-21 11:02:00,251.15,251.22,251.00,251.11,271142
2023-12-21 11:03:00,251.10,251.40,251.10,251.26,217648
2023-12-21 11:04:00,251.24,251.69,251.24,251.45,414843
2023-12-21 11:05:00,251.45,251.85,251.42,251.80,321844
2023-12-21 11:06:00,251.82,252.17,251.82,252.09,433019
2023-12-21 11:07:00,252.10,252.15,251.80,251.95,372359
2023-12-21 11:08:00,251.91,252.04,251.87,251.88,209268
2023-12-21 11:09:00,251.92,251.92,251.51,251.83,335403
2023-12-21 11:10:00,251.85,252.15,251.84,252.03,342176
2023-12-21 11:11:00,252.05,252.15,251.91,252.13,221100
2023-12-21 11:12:00,252.14,252.15,251.86,251.86,205606
2023-12-21 11:13:00,251.85,251.99,251.71,251.99,252901
2023-12-21 11:14:00,252.00,252.22,251.81,252.22,318355
2023-12-21 11:15:00,252.21,252.44,252.13,252.33,327440
2023-12-21 11:16:00,252.37,252.37,251.85,251.94,327103
2023-12-21 11:17:00,251.94,251.98,251.67,251.72,259297
2023-12-21 11:18:00,251.72,251.73,251.47,251.68,291072
2023-12-21 11:19:00,251.70,251.96,251.64,251.91,257602
2023-12-21 11:20:00,251.91,251.96,251.62,251.73,213287
2023-12-21 11:21:00,251.71,252.32,251.71,252.24,349950
2023-12-21 11:22:00,252.27,252.29,252.11,252.17,162763
2023-12-21 11:23:00,252.16,252.40,252.16,252.39,230300
2023-12-21 11:24:00,252.38,252.39,252.11,252.20,167020
2023-12-21 11:25:00,252.20,252.48,252.16,252.44,222977
2023-12-21 11:26:00,252.44,252.79,252.42,252.73,417426
2023-12-21 11:27:00,252.73,252.85,252.68,252.77,225583
2023-12-21 11:28:00,252.76,253.00,252.72,252.81,348400
2023-12-21 11:29:00,252.81,252.99,252.74,252.98,289462
2023-12-21 11:30:00,252.98,253.08,252.91,252.93,372415
2023-12-21 11:31:00,252.92,253.00,252.41,252.62,524780
2023-12-21 11:32:00,252.64,252.90,252.61,252.79,190884
2023-12-21 11:33:00,252.77,252.80,252.55,252.59,234010
2023-12-21 11:34:00,252.60,252.98,252.59,252.92,233089
2023-12-21 11:35:00,252.91,253.50,252.87,253.39,487819
2023-12-21 11:36:00,253.40,253.60,253.30,253.47,375217
2023-12-21 11:37:00,253.52,253.52,253.30,253.30,236688
2023-12-21 11:38:00,253.30,253.61,253.30,253.40,266404
2023-12-21 11:39:00,253.38,253.41,252.91,253.29,387683
2023-12-21 11:40:00,253.29,253.42,252.96,253.04,307037
2023-12-21 11:41:00,252.99,253.59,252.99,253.59,329978
2023-12-21 11:42:00,253.60,253.63,253.35,253.39,252432
2023-12-21 11:43:00,253.39,253.46,252.95,253.09,269974
2023-12-21 11:44:00,253.09,253.15,253.00,253.02,165056
2023-12-21 11:45:00,253.02,253.38,252.91,253.34,336789
2023-12-21 11:46:00,253.35,253.35,253.15,253.24,158128
2023-12-21 11:47:00,253.26,253.50,253.25,253.37,256658
2023-12-21 11:48:00,253.35,253.55,253.21,253.54,231069
2023-12-21 11:49:00,253.54,253.54,253.34,253.49,157951
2023-12-21 11:50:00,253.50,253.88,253.47,253.71,434580
2023-12-21 11:51:00,253.66,254.01,253.55,253.71,477254
2023-12-21 11:52:00,253.69,253.80,252.89,252.96,486835
2023-12-21 11:53:00,252.94,253.11,252.50,252.61,418505
2023-12-21 11:54:00,252.59,252.88,252.50,252.57,305316
2023-12-21 11:55:00,252.55,252.63,252.23,252.53,373229
2023-12-21 11:56:00,252.50,252.70,252.35,252.40,293950
2023-12-21 11:57:00,252.40,252.92,252.38,252.71,282073
2023-12-21 11:58:00,252.72,252.78,252.44,252.51,201065
2023-12-21 11:59:00,252.49,252.72,252.35,252.50,191151
2023-12-21 12:00:00,252.55,252.55,251.80,251.85,479539
2023-12-21 12:01:00,251.87,252.23,251.82,252.11,272257
2023-12-21 12:02:00,252.15,252.24,251.92,251.99,199907
2023-12-21 12:03:00,251.96,252.03,251.71,251.73,261739
2023-12-21 12:04:00,251.78,251.99,251.69,251.85,256779
2023-12-21 12:05:00,251.86,252.10,251.65,251.76,372795
2023-12-21 12:06:00,251.76,252.12,251.70,251.96,297982
2023-12-21 12:07:00,251.96,252.09,251.86,251.98,171133
2023-12-21 12:08:00,251.94,252.00,251.42,251.43,322323
2023-12-21 12:09:00,251.41,251.46,251.10,251.11,314037
2023-12-21 12:10:00,251.11,251.44,251.10,251.41,244081
2023-12-21 12:11:00,251.40,251.86,251.38,251.69,296381
2023-12-21 12:12:00,251.71,251.72,251.41,251.58,161340
2023-12-21 12:13:00,251.54,251.54,251.09,251.10,239406
2023-12-21 12:14:00,251.10,251.26,250.82,251.13,406171
2023-12-21 12:15:00,251.12,251.38,251.04,251.30,224036
2023-12-21 12:16:00,251.28,251.40,251.17,251.34,208394
2023-12-21 12:17:00,251.35,251.36,251.05,251.14,174928
2023-12-21 12:18:00,251.16,251.68,251.14,251.66,283588
2023-12-21 12:19:00,251.65,251.70,251.53,251.67,149501
2023-12-21 12:20:00,251.67,251.70,251.40,251.42,179945
2023-12-21 12:21:00,251.43,251.56,251.02,251.06,238546
2023-12-21 12:22:00,251.06,251.19,250.99,251.03,213033
2023-12-21 12:23:00,251.01,251.01,250.70,250.98,284537
2023-12-21 12:24:00,250.97,251.18,250.91,251.10,266785
2023-12-21 12:25:00,251.10,251.20,250.82,251.17,147234
2023-12-21 12:26:00,251.33,251.42,251.22,251.30,221058
2023-12-21 12:27:00,251.25,251.33,251.03,251.29,149480
2023-12-21 12:28:00,251.28,251.28,251.00,251.10,127730
2023-12-21 12:29:00,251.13,251.30,251.05,251.28,117207
2023-12-21 12:30:00,251.30,251.73,251.02,251.63,284156
2023-12-21 12:31:00,251.62,252.18,251.60,251.88,385916
2023-12-21 12:32:00,251.92,252.13,251.80,251.97,181721
2023-12-21 12:33:00,251.95,252.10,251.82,251.87,177217
2023-12-21 12:34:00,251.89,252.03,251.58,251.73,214339
2023-12-21 12:35:00,251.70,251.89,251.57,251.70,190377
2023-12-21 12:36:00,251.72,251.98,251.64,251.90,156490
2023-12-21 12:37:00,251.90,251.95,251.76,251.85,133294
2023-12-21 12:38:00,251.85,251.93,251.63,251.86,144177
2023-12-21 12:39:00,251.84,251.94,251.79,251.87,86953
2023-12-21 12:40:00,251.88,251.98,251.70,251.72,156591
2023-12-21 12:41:00,251.70,251.85,251.57,251.72,157472
2023-12-21 12:42:00,251.75,252.07,251.73,251.91,257414
2023-12-21 12:43:00,251.91,251.92,251.36,251.55,215597
2023-12-21 12:44:00,251.52,251.67,251.26,251.60,170650
2023-12-21 12:45:00,251.61,251.75,251.28,251.36,147019
2023-12-21 12:46:00,251.37,251.46,251.07,251.12,188258
