datetime,open,high,low,close,volume
2024-01-04 10:29:00,58.62,58.65,58.61,58.62,20543
2024-01-04 10:30:00,58.61,58.65,58.61,58.62,31905
2024-01-04 10:31:00,58.62,58.62,58.54,58.60,38466
2024-01-04 10:32:00,58.61,58.61,58.56,58.56,22643
2024-01-04 10:33:00,58.56,58.58,58.53,58.53,27454
2024-01-04 10:34:00,58.53,58.55,58.51,58.53,23844
2024-01-04 10:35:00,58.52,58.57,58.51,58.52,39477
2024-01-04 10:36:00,58.53,58.71,58.53,58.71,31743
2024-01-04 10:37:00,58.71,58.71,58.60,58.62,48348
2024-01-04 10:38:00,58.62,58.65,58.62,58.65,19985
2024-01-04 10:39:00,58.65,58.67,58.63,58.63,17191
2024-01-04 10:40:00,58.63,58.65,58.60,58.63,34901
2024-01-04 10:41:00,58.62,58.65,58.58,58.59,16076
2024-01-04 10:42:00,58.58,58.61,58.56,58.58,22168
2024-01-04 10:43:00,58.58,58.65,58.58,58.64,18874
2024-01-04 10:44:00,58.64,58.69,58.64,58.69,9910
2024-01-04 10:45:00,58.69,58.76,58.67,58.74,35596
2024-01-04 10:46:00,58.74,58.75,58.68,58.69,21450
2024-01-04 10:47:00,58.69,58.71,58.68,58.71,18742
2024-01-04 10:48:00,58.71,58.72,58.67,58.72,30051
2024-01-04 10:49:00,58.72,58.73,58.67,58.68,23460
2024-01-04 10:50:00,58.69,58.73,58.69,58.72,37107
2024-01-04 10:51:00,58.73,58.74,58.71,58.72,15364
2024-01-04 10:52:00,58.72,58.74,58.69,58.70,61471
2024-01-04 10:53:00,58.70,58.72,58.67,58.72,87122
2024-01-04 10:54:00,58.72,58.76,58.70,58.74,35085
2024-01-04 10:55:00,58.74,58.75,58.70,58.74,45368
2024-01-04 10:56:00,58.74,58.76,58.70,58.72,28468
2024-01-04 10:57:00,58.71,58.73,58.71,58.73,22472
2024-01-04 10:58:00,58.74,58.74,58.69,58.71,42647
2024-01-04 10:59:00,58.71,58.71,58.65,58.66,25231
2024-01-04 11:00:00,58.65,58.69,58.65,58.69,25260
2024-01-04 11:01:00,58.69,58.76,58.69,58.76,24014
2024-01-04 11:02:00,58.76,58.76,58.73,58.73,35195
2024-01-04 11:03:00,58.73,58.74,58.72,58.72,18748
2024-01-04 11:04:00,58.72,58.74,58.69,58.69,26920
2024-01-04 11:05:00,58.69,58.69,58.65,58.67,26387
2024-01-04 11:06:00,58.67,58.67,58.63,58.65,27188
2024-01-04 11:07:00,58.65,58.66,58.58,58.58,46962
2024-01-04 11:08:00,58.59,58.63,58.58,58.63,33696
2024-01-04 11:09:00,58.63,58.64,58.60,58.60,16825
2024-01-04 11:10:00,58.60,58.68,58.60,58.67,27768
2024-01-04 11:11:00,58.66,58.76,58.66,58.76,30144
2024-01-04 11:12:00,58.76,58.76,58.71,58.71,32382
2024-01-04 11:13:00,58.71,58.71,58.69,58.70,16082
2024-01-04 11:14:00,58.71,58.76,58.71,58.76,22619
2024-01-04 11:15:00,58.75,58.76,58.73,58.74,66180
2024-01-04 11:16:00,58.75,58.75,58.73,58.74,27469
2024-01-04 11:17:00,58.74,58.76,58.72,58.72,42707
2024-01-04 11:18:00,58.72,58.74,58.72,58.74,18975
2024-01-04 11:19:00,58.73,58.76,58.71,58.72,66911
