datetime,open,high,low,close,volume
2021-03-08 15:30:00,116.82,117.39,116.21,116.40,16078854
2021-03-09 09:30:00,119.34,121.56,118.79,121.33,39940489
2021-03-09 10:30:00,121.32,121.37,120.05,120.43,16707654
2021-03-09 11:30:00,120.43,121.23,120.20,121.10,11116493
2021-03-09 12:30:00,121.10,121.69,120.75,121.57,11146638
2021-03-09 13:30:00,121.57,121.95,121.11,121.15,10818832
2021-03-09 14:30:00,121.16,122.06,121.07,121.72,10869347
2021-03-09 15:30:00,121.73,121.95,120.82,121.04,14352819
2021-03-10 09:30:00,121.86,121.91,119.79,119.89,34515575
2021-03-10 10:30:00,119.92,120.49,119.45,120.43,18437506
2021-03-10 11:30:00,120.42,120.50,119.79,119.87,10966304
2021-03-10 12:30:00,119.87,120.41,119.55,120.33,13046001
2021-03-10 13:30:00,120.33,120.47,119.74,120.32,10711943
2021-03-10 14:30:00,120.31,120.92,120.21,120.36,9248739
2021-03-10 15:30:00,120.36,120.56,119.86,119.97,8460850
2021-03-11 09:30:00,122.54,123.21,121.26,121.39,30503498
2021-03-11 10:30:00,121.40,122.67,121.40,122.66,13524512
2021-03-11 11:30:00,122.66,122.77,121.87,122.01,13839811
2021-03-11 12:30:00,122.02,122.31,121.66,121.76,9272506
2021-03-11 13:30:00,121.77,122.04,121.56,121.82,8586272
2021-03-11 14:30:00,121.82,122.23,121.70,122.17,8210921
2021-03-11 15:30:00,122.17,122.21,121.76,121.96,9758127
2021-03-12 09:30:00,120.33,120.59,119.16,119.42,28065242
2021-03-12 10:30:00,119.44,119.94,119.39,119.82,12519613
2021-03-12 11:30:00,119.82,120.88,119.59,120.84,11427425
2021-03-12 12:30:00,120.85,121.07,120.43,120.90,8122057
2021-03-12 13:30:00,120.89,121.01,120.50,120.59,6602156
2021-03-12 14:30:00,120.60,120.90,120.46,120.75,7340615
2021-03-12 15:30:00,120.76,121.17,120.72,121.05,7980824
2021-03-15 09:30:00,121.26,123.64,120.43,122.60,21745150
2021-03-15 10:30:00,122.60,123.22,122.24,122.39,11490083
2021-03-15 11:30:00,122.39,122.49,122.04,122.33,7767154
2021-03-15 12:30:00,122.34,122.72,122.24,122.68,5731668
2021-03-15 13:30:00,122.68,123.63,122.65,123.48,8376142
2021-03-15 14:30:00,123.47,123.57,123.06,123.35,8484677
2021-03-15 15:30:00,123.35,124.00,123.28,124.00,9950448
2021-03-16 09:30:00,125.42,126.84,125.29,126.40,26292710
2021-03-16 10:30:00,126.42,127.19,126.25,126.75,17425861
2021-03-16 11:30:00,126.76,126.90,125.34,125.46,15125837
2021-03-16 12:30:00,125.46,126.28,125.42,125.84,11774785
2021-03-16 13:30:00,125.85,125.86,124.91,125.01,12172994
2021-03-16 14:30:00,125.02,125.74,124.71,125.61,12167081
2021-03-16 15:30:00,125.62,125.93,125.39,125.57,8650995
2021-03-17 09:30:00,124.07,124.21,122.79,123.46,23564501
2021-03-17 10:30:00,123.45,123.58,122.59,122.90,11937843
2021-03-17 11:30:00,122.90,122.97,122.39,122.81,10274247
2021-03-17 12:30:00,122.82,122.93,122.35,122.75,7498976
2021-03-17 13:30:00,122.75,124.49,122.58,123.88,15253406
2021-03-17 14:30:00,123.88,125.86,123.58,125.08,19836852
2021-03-17 15:30:00,125.09,125.39,124.29,124.80,10873286
2021-03-18 09:30:00,122.86,123.18,121.59,122.18,28495145
2021-03-18 10:30:00,122.18,122.71,121.96,122.21,14297377
2021-03-18 11:30:00,122.21,122.59,121.78,122.32,11087497
2021-03-18 12:30:00,122.32,122.34,121.70,121.90,10242776
2021-03-18 13:30:00,121.90,122.21,121.38,121.43,12388233
2021-03-18 14:30:00,121.43,121.54,120.65,121.06,17714437
2021-03-18 15:30:00,121.04,121.08,120.33,120.55,14605265
2021-03-19 09:30:00,119.91,121.43,119.68,120.12,38572914
2021-03-19 10:30:00,120.11,120.73,119.84,120.01,15511213
2021-03-19 11:30:00,120.01,120.85,119.93,120.56,10496805
2021-03-19 12:30:00,120.55,121.16,120.49,120.61,9196356
2021-03-19 13:30:00,120.61,120.68,120.00,120.28,10781251
2021-03-19 14:30:00,120.29,120.34,119.90,120.08,11612604
2021-03-19 15:30:00,120.09,120.97,119.85,119.87,16478814
2021-03-22 09:30:00,120.33,122.25,120.26,122.18,23835336
2021-03-22 10:30:00,122.19,122.84,122.07,122.57,12428154
2021-03-22 11:30:00,122.57,123.45,122.19,123.42,11642609
2021-03-22 12:30:00,123.43,123.77,123.04,123.09,11645217
2021-03-22 13:30:00,123.09,123.72,123.08,123.54,8227292
2021-03-22 14:30:00,123.56,123.87,123.28,123.35,11354072
2021-03-22 15:30:00,123.34,123.59,123.02,123.32,10684886
2021-03-23 09:30:00,123.23,123.76,122.54,123.09,19699278
2021-03-23 10:30:00,123.08,124.21,122.60,123.70,9530748
2021-03-23 11:30:00,123.67,123.75,122.77,122.94,0
2021-03-23 12:30:00,122.94,123.59,122.68,123.28,0
2021-03-23 13:30:00,123.28,123.33,122.93,123.30,0
2021-03-23 14:30:00,123.29,123.42,122.38,122.52,0
2021-03-23 15:30:00,122.52,122.68,122.18,122.59,0
2021-03-24 09:30:00,122.82,122.90,121.11,121.46,18519129
2021-03-24 10:30:00,121.46,122.44,121.26,122.22,11072205
2021-03-24 11:30:00,122.22,122.25,121.32,121.57,8771286
2021-03-24 12:30:00,121.57,121.60,120.65,121.13,11169151
2021-03-24 13:30:00,121.14,121.55,120.91,121.10,62636231
2021-03-24 14:30:00,121.09,121.21,120.45,120.75,8436343
2021-03-24 15:30:00,120.76,120.77,120.12,120.12,0
2021-03-25 09:30:00,119.47,121.66,119.00,120.68,26359677
2021-03-25 10:30:00,120.68,120.79,119.09,119.55,16851459
2021-03-25 11:30:00,119.55,120.35,119.34,120.30,12289794
2021-03-25 12:30:00,120.30,120.60,119.78,119.98,9410810
2021-03-25 13:30:00,119.99,120.36,119.55,119.59,7557998
2021-03-25 14:30:00,119.60,121.09,119.49,120.92,9714104
2021-03-25 15:30:00,120.92,121.08,120.54,120.60,9524860
2021-03-26 09:30:00,120.39,121.08,119.81,120.25,18022069
2021-03-26 10:30:00,120.26,120.64,119.55,119.71,11993540
2021-03-26 11:30:00,119.71,120.51,119.50,120.22,9411102
2021-03-26 12:30:00,120.23,120.73,120.17,120.58,7883868
2021-03-26 13:30:00,120.60,120.63,119.09,119.40,10937642
2021-03-26 14:30:00,119.39,120.10,118.93,120.07,13289225
2021-03-26 15:30:00,120.07,121.48,120.07,121.21,13011225
2021-03-29 09:30:00,121.72,122.58,120.83,121.19,20941419
2021-03-29 10:30:00,121.19,122.08,120.93,121.21,12798862
2021-03-29 11:30:00,121.23,121.36,120.73,120.91,7306246
2021-03-29 12:30:00,120.92,121.86,120.85,121.59,8200330
2021-03-29 13:30:00,121.60,121.98,121.32,121.40,7055074
2021-03-29 14:30:00,121.40,121.73,121.03,121.66,7761879
2021-03-29 15:30:00,121.68,121.70,120.97,121.39,7671425
2021-03-30 09:30:00,120.11,120.40,118.86,119.17,22859036
2021-03-30 10:30:00,119.16,120.01,119.00,119.90,12414414
2021-03-30 11:30:00,119.90,120.36,119.58,119.88,10550649
2021-03-30 12:30:00,119.87,120.08,119.51,119.96,6953151
2021-03-30 13:30:00,119.96,120.08,119.46,119.54,6116713
2021-03-30 14:30:00,119.53,120.18,119.48,120.03,8607671
2021-03-30 15:30:00,120.03,120.24,119.40,119.98,10569237
2021-03-31 09:30:00,121.66,123.25,121.15,122.75,30629117
2021-03-31 10:30:00,122.76,123.24,122.65,122.87,12666003
2021-03-31 11:30:00,122.86,123.46,122.85,123.28,11300108
2021-03-31 12:30:00,123.28,123.52,123.04,123.16,9616632
2021-03-31 13:30:00,123.17,123.18,122.58,122.74,7325727
2021-03-31 14:30:00,122.74,122.92,122.43,122.68,10027685
2021-03-31 15:30:00,122.67,122.75,122.00,122.16,15281941
2021-04-01 09:30:00,123.78,124.18,123.00,123.40,21540867
2021-04-01 10:30:00,123.40,123.70,123.17,123.28,9337421
2021-04-01 11:30:00,123.28,123.37,122.84,123.36,8210131
2021-04-01 12:30:00,123.36,123.44,122.67,122.68,6859996
2021-04-01 13:30:00,122.68,122.90,122.57,122.87,6207446
2021-04-01 14:30:00,122.87,122.96,122.49,122.53,6809703
2021-04-01 15:30:00,122.53,123.00,122.49,123.00,7547958
2021-04-05 09:30:00,123.81,125.46,123.07,125.11,24387943
2021-04-05 10:30:00,125.10,125.62,124.83,124.97,10574877
2021-04-05 11:30:00,124.97,125.86,124.88,125.83,9866691
2021-04-05 12:30:00,125.83,125.96,125.46,125.65,8031170
2021-04-05 13:30:00,125.66,126.16,125.58,125.88,7768601
2021-04-05 14:30:00,125.88,126.11,125.46,125.55,8341394
2021-04-05 15:30:00,125.54,126.00,125.31,125.90,8846467
2021-04-06 09:30:00,126.52,126.96,125.65,126.37,21917073
2021-04-06 10:30:00,126.37,127.13,125.98,126.87,11778232
2021-04-06 11:30:00,126.86,126.95,126.42,126.46,7667387
2021-04-06 12:30:00,126.46,126.65,125.75,125.88,7939883
2021-04-06 13:30:00,125.89,126.45,125.81,126.42,6179764
2021-04-06 14:30:00,126.43,126.68,126.12,126.46,6941149
2021-04-06 15:30:00,126.47,126.51,126.00,126.23,7508433
2021-04-07 09:30:00,125.81,127.24,125.14,127.14,20141955
2021-04-07 10:30:00,127.15,127.47,126.77,127.22,11830509
2021-04-07 11:30:00,127.23,127.48,126.75,127.15,9803579
2021-04-07 12:30:00,127.14,127.35,126.86,127.05,7305321
2021-04-07 13:30:00,127.05,127.78,126.95,127.74,8888941
2021-04-07 14:30:00,127.73,127.80,127.21,127.34,9322241
