datetime,open,high,low,close,volume
2021-03-09 09:30:00,106.50,108.68,106.44,108.04,1237190
2021-03-09 10:30:00,108.06,108.17,107.52,107.71,804037
2021-03-09 11:30:00,107.71,108.20,107.61,107.97,436935
2021-03-09 12:30:00,107.98,108.20,107.76,107.82,393790
2021-03-09 13:30:00,107.83,107.86,107.39,107.46,366933
2021-03-09 14:30:00,107.49,107.67,107.09,107.20,1587086
2021-03-09 15:30:00,107.21,107.23,106.74,106.87,668866
2021-03-10 09:30:00,107.21,107.96,107.06,107.77,937259
2021-03-10 10:30:00,107.75,108.08,107.58,107.79,453421
2021-03-10 11:30:00,107.81,108.36,107.60,107.93,702398
2021-03-10 12:30:00,107.96,108.22,107.84,107.99,449905
2021-03-10 13:30:00,108.02,108.06,107.80,107.95,378871
2021-03-10 14:30:00,107.98,108.27,107.96,108.10,686033
2021-03-10 15:30:00,108.09,108.11,107.70,108.02,866783
2021-03-11 09:30:00,108.15,108.59,107.34,108.15,861902
2021-03-11 10:30:00,108.14,108.46,107.86,107.94,583902
2021-03-11 11:30:00,107.97,108.53,107.89,108.50,493604
2021-03-11 12:30:00,108.50,108.57,108.31,108.37,427358
2021-03-11 13:30:00,108.38,108.63,108.38,108.51,547355
2021-03-11 14:30:00,108.51,108.58,107.98,108.01,575224
2021-03-11 15:30:00,108.02,108.02,107.83,107.87,559388
2021-03-12 09:30:00,107.74,108.08,107.38,107.84,726914
2021-03-12 10:30:00,107.78,108.04,107.66,107.72,354983
2021-03-12 11:30:00,107.72,107.90,107.59,107.90,303494
2021-03-12 12:30:00,107.93,108.13,107.87,108.11,298681
2021-03-12 13:30:00,108.11,108.29,107.97,108.26,270078
2021-03-12 14:30:00,108.26,108.57,108.15,108.39,407741
2021-03-12 15:30:00,108.39,108.50,108.03,108.15,704464
2021-03-15 09:30:00,108.77,110.33,108.36,109.30,1796691
2021-03-15 10:30:00,109.29,110.00,109.13,109.88,624825
2021-03-15 11:30:00,109.88,110.00,109.51,109.99,499813
2021-03-15 12:30:00,109.98,110.33,109.88,110.06,419541
2021-03-15 13:30:00,110.07,110.36,109.77,110.24,796992
2021-03-15 14:30:00,110.25,110.27,109.92,109.99,519471
2021-03-15 15:30:00,109.98,110.35,109.83,110.24,502889
2021-03-16 09:30:00,110.07,110.92,109.90,110.74,1021244
2021-03-16 10:30:00,110.71,111.07,110.43,110.53,709902
2021-03-16 11:30:00,110.54,110.77,110.37,110.44,391844
2021-03-16 12:30:00,110.45,110.51,110.12,110.24,354152
2021-03-16 13:30:00,110.24,110.54,110.13,110.39,402360
2021-03-16 14:30:00,110.40,110.58,110.28,110.52,470742
2021-03-16 15:30:00,110.52,111.08,110.50,110.88,704320
2021-03-17 09:30:00,103.89,104.78,102.80,104.08,6714525
2021-03-17 10:30:00,104.08,105.09,103.66,104.23,2333266
2021-03-17 11:30:00,104.24,104.84,104.10,104.43,1872364
2021-03-17 12:30:00,104.44,104.48,103.94,104.21,1369216
2021-03-17 13:30:00,104.21,104.46,103.85,104.09,1536516
2021-03-17 14:30:00,104.08,104.93,104.00,104.89,1821628
2021-03-17 15:30:00,104.89,105.01,104.64,105.00,1751449
2021-03-18 09:30:00,104.01,104.76,103.42,104.24,2291456
2021-03-18 10:30:00,104.25,104.71,103.93,104.56,957723
2021-03-18 11:30:00,104.56,104.99,104.45,104.66,773766
2021-03-18 12:30:00,104.68,104.69,104.02,104.20,690573
2021-03-18 13:30:00,104.21,104.56,103.84,104.06,862928
2021-03-18 14:30:00,104.07,104.30,103.84,104.23,883739
2021-03-18 15:30:00,104.23,104.29,103.70,103.83,1142168
2021-03-19 09:30:00,103.93,104.43,102.92,103.07,2429711
2021-03-19 10:30:00,103.09,103.58,102.92,103.58,1007860
2021-03-19 11:30:00,103.56,103.82,103.30,103.46,614714
2021-03-19 12:30:00,103.47,104.14,103.38,104.04,545510
