datetime,open,high,low,close,volume
2021-03-09 13:30:00,62.54,62.99,62.52,62.69,2975468
2021-03-09 14:30:00,62.70,63.16,62.69,62.88,3178717
2021-03-09 15:30:00,62.89,63.02,62.46,62.67,4576516
2021-03-10 09:30:00,63.75,64.12,62.56,62.56,7916412
2021-03-10 10:30:00,62.58,63.08,62.47,62.88,3305995
2021-03-10 11:30:00,62.88,62.99,62.51,62.60,1818698
2021-03-10 12:30:00,62.60,63.02,62.51,62.77,2718933
2021-03-10 13:30:00,62.76,63.01,62.43,62.73,2126890
2021-03-10 14:30:00,62.74,62.82,62.43,62.44,2260035
2021-03-10 15:30:00,62.44,62.58,62.13,62.25,3459408
2021-03-11 09:30:00,62.94,63.24,62.39,62.66,5265749
2021-03-11 10:30:00,62.67,63.60,62.51,63.43,4283617
2021-03-11 11:30:00,63.44,64.09,63.42,63.81,4186241
2021-03-11 12:30:00,63.82,63.91,63.45,63.45,2669312
2021-03-11 13:30:00,63.46,63.55,63.26,63.40,2139907
2021-03-11 14:30:00,63.40,63.48,63.15,63.26,2023263
2021-03-11 15:30:00,63.26,63.33,63.06,63.32,4444612
2021-03-12 09:30:00,62.60,63.30,62.48,62.80,5437583
2021-03-12 10:30:00,62.78,62.93,62.35,62.44,2892312
2021-03-12 11:30:00,62.44,62.55,62.24,62.52,2192070
2021-03-12 12:30:00,62.52,62.67,62.32,62.59,1503752
2021-03-12 13:30:00,62.60,62.88,62.51,62.84,1811520
2021-03-12 14:30:00,62.84,62.97,62.74,62.76,1665572
2021-03-12 15:30:00,62.78,63.04,62.71,62.87,2095121
2021-03-15 09:30:00,63.61,63.61,62.48,62.56,4503191
2021-03-15 10:30:00,62.56,63.19,62.49,62.65,2510644
2021-03-15 11:30:00,62.66,62.85,62.49,62.70,1621254
2021-03-15 12:30:00,62.69,62.97,62.62,62.93,1379931
2021-03-15 13:30:00,62.93,63.40,62.88,63.35,1100403
2021-03-15 14:30:00,63.36,63.47,63.27,63.33,1617188
2021-03-15 15:30:00,63.33,63.88,63.32,63.79,2785349
2021-03-16 09:30:00,64.15,65.67,64.09,65.60,8556165
2021-03-16 10:30:00,65.61,65.73,65.24,65.45,4348173
2021-03-16 11:30:00,65.45,65.59,64.98,65.10,2765159
2021-03-16 12:30:00,65.10,65.54,65.09,65.28,2875513
2021-03-16 13:30:00,65.28,65.29,64.63,64.64,2391208
2021-03-16 14:30:00,64.64,64.86,64.47,64.77,2455492
2021-03-16 15:30:00,64.79,65.04,64.70,64.78,3132532
2021-03-17 09:30:00,64.09,64.60,63.71,64.48,3891541
2021-03-17 10:30:00,64.48,64.55,63.96,64.14,1858349
2021-03-17 11:30:00,64.15,66.29,63.87,65.47,6271171
2021-03-17 12:30:00,65.48,65.50,64.79,65.14,2896942
2021-03-17 13:30:00,65.15,65.71,64.81,65.25,3122001
2021-03-17 14:30:00,65.25,66.08,65.15,65.94,3837194
2021-03-17 15:30:00,65.95,66.00,65.62,65.78,3588250
2021-03-18 09:30:00,65.63,65.70,64.75,64.84,5643826
2021-03-18 10:30:00,64.83,65.01,64.67,64.97,2850636
2021-03-18 11:30:00,64.84,65.45,64.68,65.40,2724107
2021-03-18 12:30:00,65.40,65.47,64.76,65.11,2148439
2021-03-18 13:30:00,65.10,65.16,64.54,64.57,1821554
2021-03-18 14:30:00,64.58,64.64,63.94,64.24,3803342
2021-03-18 15:30:00,64.25,64.28,63.65,63.72,4636015
2021-03-19 09:30:00,63.18,63.92,62.92,63.79,8089164
