datetime,open,high,low,close,volume
2021-03-04 15:30:00,71.98,72.20,71.96,72.16,1928247
2021-03-05 09:30:00,72.61,72.93,72.01,72.67,1636578
2021-03-05 10:30:00,72.64,72.68,72.18,72.36,1553453
2021-03-05 11:30:00,72.36,72.89,72.18,72.87,1876174
2021-03-05 12:30:00,72.87,72.94,72.54,72.58,970472
2021-03-05 13:30:00,72.59,72.91,72.49,72.90,1025694
2021-03-05 14:30:00,72.91,73.23,72.90,73.13,1330328
2021-03-05 15:30:00,73.13,73.41,73.07,73.14,1236174
2021-03-08 09:30:00,74.06,74.83,73.40,74.80,3430880
2021-03-08 10:30:00,74.79,75.16,74.62,75.11,2306720
2021-03-08 11:30:00,75.13,75.32,75.02,75.05,1434802
2021-03-08 12:30:00,75.04,75.48,75.04,75.47,1215757
2021-03-08 13:30:00,75.48,75.56,74.90,74.94,1682554
2021-03-08 14:30:00,74.94,75.00,74.41,74.41,1373305
2021-03-08 15:30:00,74.41,74.58,74.11,74.18,1783178
2021-03-09 09:30:00,74.56,75.46,74.51,75.10,2575850
2021-03-09 10:30:00,75.12,75.17,74.82,74.97,2014749
2021-03-09 11:30:00,74.97,75.10,74.86,75.01,1821457
2021-03-09 12:30:00,75.01,75.05,74.60,74.60,1048404
2021-03-09 13:30:00,74.62,74.74,74.52,74.63,996291
2021-03-09 14:30:00,74.62,74.73,74.27,74.27,1287944
2021-03-09 15:30:00,74.28,74.42,74.13,74.20,1710436
2021-03-10 09:30:00,74.78,74.99,74.11,74.83,2599128
2021-03-10 10:30:00,74.80,75.09,74.57,75.02,1438566
2021-03-10 11:30:00,75.02,75.06,74.71,74.92,990923
2021-03-10 12:30:00,74.92,75.23,74.88,74.93,944812
2021-03-10 13:30:00,74.92,74.99,74.74,74.80,969119
2021-03-10 14:30:00,74.81,75.05,74.76,75.05,966056
2021-03-10 15:30:00,75.05,75.05,74.74,74.77,1885093
2021-03-11 09:30:00,74.86,75.36,74.72,74.99,2669252
2021-03-11 10:30:00,75.00,75.12,74.85,75.01,1450505
2021-03-11 11:30:00,75.00,75.18,74.90,75.04,1205267
2021-03-11 12:30:00,75.04,75.14,74.86,74.86,1266127
2021-03-11 13:30:00,74.85,75.04,74.85,74.93,1250868
2021-03-11 14:30:00,74.93,74.95,74.62,74.64,1407750
2021-03-11 15:30:00,74.64,74.72,74.59,74.64,1792715
2021-03-12 09:30:00,74.11,74.72,73.99,74.62,2198734
2021-03-12 10:30:00,74.64,74.89,74.52,74.65,2033026
2021-03-12 11:30:00,74.65,74.69,74.18,74.25,1279776
2021-03-12 12:30:00,74.26,74.46,74.25,74.44,585834
2021-03-12 13:30:00,74.45,74.82,74.43,74.73,869476
2021-03-12 14:30:00,74.73,74.74,74.57,74.65,1018682
2021-03-12 15:30:00,74.66,74.78,74.53,74.61,1213108
2021-03-15 09:30:00,75.42,76.17,75.08,75.43,3483181
2021-03-15 10:30:00,75.43,76.03,75.18,75.88,2694851
2021-03-15 11:30:00,75.88,76.26,75.79,76.26,1829505
2021-03-15 12:30:00,76.26,76.56,76.01,76.03,1877154
2021-03-15 13:30:00,76.02,76.36,75.99,76.17,1210282
2021-03-15 14:30:00,76.17,76.26,76.09,76.20,1288339
2021-03-15 15:30:00,76.19,76.33,76.11,76.22,1969414
2021-03-16 09:30:00,76.08,77.04,76.08,77.03,2667850
2021-03-16 10:30:00,77.04,77.16,76.68,76.70,2017339
2021-03-16 11:30:00,76.69,76.79,76.34,76.36,1866544
2021-03-16 12:30:00,76.37,76.80,76.33,76.69,1165195
2021-03-16 13:30:00,76.68,76.86,76.54,76.76,1270524
2021-03-16 14:30:00,76.76,76.93,76.62,76.76,1273238
2021-03-16 15:30:00,76.76,77.12,76.76,76.82,2344267
2021-03-17 09:30:00,76.75,76.75,75.97,76.59,3830557
2021-03-17 10:30:00,76.60,77.17,76.57,77.17,2172690
