datetime,open,high,low,close,volume
2021-03-09 09:30:00,34.55,34.85,34.45,34.64,5371027
2021-03-09 10:30:00,34.65,34.70,34.50,34.67,2736396
2021-03-09 11:30:00,34.67,34.75,34.64,34.68,1917027
2021-03-09 12:30:00,34.69,34.74,34.62,34.62,1717720
2021-03-09 13:30:00,34.62,34.63,34.51,34.55,2543995
2021-03-09 14:30:00,34.55,34.63,34.51,34.58,2778993
2021-03-09 15:30:00,34.58,34.58,34.44,34.45,3380646
2021-03-10 09:30:00,34.59,34.84,34.52,34.81,6157430
2021-03-10 10:30:00,34.80,34.81,34.65,34.78,3317543
2021-03-10 11:30:00,34.78,34.84,34.77,34.78,2133625
2021-03-10 12:30:00,34.78,35.03,34.78,35.01,7856733
2021-03-10 13:30:00,35.01,35.10,34.97,35.08,3332137
2021-03-10 14:30:00,35.07,35.14,34.94,35.02,3781325
2021-03-10 15:30:00,35.01,35.03,34.90,34.91,3510539
2021-03-11 09:30:00,35.07,35.12,34.71,34.85,5149812
2021-03-11 10:30:00,34.85,34.99,34.80,34.88,2510178
2021-03-11 11:30:00,34.88,34.96,34.85,34.86,2134591
2021-03-11 12:30:00,34.87,34.93,34.85,34.91,1947770
2021-03-11 13:30:00,34.91,34.99,34.79,34.81,2507943
2021-03-11 14:30:00,34.81,34.83,34.72,34.73,2992632
2021-03-11 15:30:00,34.74,34.75,34.66,34.71,3998293
2021-03-12 09:30:00,34.52,34.83,34.51,34.78,3592929
2021-03-12 10:30:00,34.78,34.98,34.74,34.85,2378675
2021-03-12 11:30:00,34.85,34.89,34.81,34.84,1581110
2021-03-12 12:30:00,34.83,34.89,34.78,34.88,1299010
2021-03-12 13:30:00,34.88,34.94,34.85,34.88,1404621
2021-03-12 14:30:00,34.89,34.93,34.83,34.88,1438572
2021-03-12 15:30:00,34.89,34.95,34.88,34.91,2043390
2021-03-15 09:30:00,35.10,35.26,35.02,35.04,4461106
2021-03-15 10:30:00,35.04,35.18,34.96,35.08,2853030
2021-03-15 11:30:00,35.09,35.18,35.03,35.14,1950263
2021-03-15 12:30:00,35.14,35.28,35.12,35.27,2124646
2021-03-15 13:30:00,35.26,35.43,35.25,35.37,2606851
2021-03-15 14:30:00,35.37,35.37,35.26,35.28,2104209
2021-03-15 15:30:00,35.28,35.43,35.26,35.40,3017692
2021-03-16 09:30:00,35.47,35.83,35.31,35.77,5263237
2021-03-16 10:30:00,35.78,35.78,35.51,35.54,3148648
2021-03-16 11:30:00,35.54,35.67,35.54,35.65,1999537
2021-03-16 12:30:00,35.65,35.73,35.61,35.71,1643750
2021-03-16 13:30:00,35.71,35.77,35.67,35.71,2037279
2021-03-16 14:30:00,35.71,35.76,35.66,35.72,2394533
2021-03-16 15:30:00,35.71,35.86,35.71,35.83,4342559
2021-03-17 09:30:00,35.83,35.83,35.12,35.30,9674878
2021-03-17 10:30:00,35.29,35.75,35.29,35.73,6599278
2021-03-17 11:30:00,35.72,35.85,35.68,35.76,4507167
2021-03-17 12:30:00,35.76,35.85,35.71,35.71,2902620
2021-03-17 13:30:00,35.71,35.85,35.65,35.67,2405418
2021-03-17 14:30:00,35.67,35.87,35.67,35.79,4807162
2021-03-17 15:30:00,35.78,35.96,35.74,35.78,6074013
2021-03-18 09:30:00,35.57,35.97,35.52,35.91,4659229
2021-03-18 10:30:00,35.91,35.95,35.78,35.84,2910068
2021-03-18 11:30:00,35.84,35.92,35.80,35.91,2141016
2021-03-18 12:30:00,35.91,35.92,35.85,35.89,2499379
2021-03-18 13:30:00,35.88,35.97,35.80,35.82,2086365
2021-03-18 14:30:00,35.81,35.87,35.74,35.85,3479727
2021-03-18 15:30:00,35.86,35.88,35.73,35.76,3792998
2021-03-19 09:30:00,35.71,35.82,35.47,35.51,6716132
2021-03-19 10:30:00,35.51,35.62,35.48,35.55,2399488
2021-03-19 11:30:00,35.54,35.65,35.52,35.63,1624501
2021-03-19 12:30:00,35.62,35.69,35.57,35.65,1758492
2021-03-19 13:30:00,35.65,35.68,35.54,35.63,2172103
2021-03-19 14:30:00,35.63,35.68,35.55,35.58,2655371
2021-03-19 15:30:00,35.59,35.63,35.49,35.56,4299801
2021-03-22 09:30:00,35.48,35.93,35.36,35.90,4546675
2021-03-22 10:30:00,35.90,35.94,35.77,35.84,2625387
2021-03-22 11:30:00,35.85,35.97,35.80,35.96,2456312
2021-03-22 12:30:00,35.96,36.00,35.88,35.89,2399393
2021-03-22 13:30:00,35.89,35.92,35.87,35.91,2240059
2021-03-22 14:30:00,35.91,35.99,35.91,35.97,2178282
2021-03-22 15:30:00,35.97,36.00,35.92,36.00,2914463
2021-03-23 09:30:00,35.91,35.92,35.56,35.56,4470494
2021-03-23 10:30:00,35.56,35.59,35.43,35.53,3919017
2021-03-23 11:30:00,35.52,35.72,35.51,35.52,0
2021-03-23 12:30:00,35.51,35.65,35.51,35.62,0
2021-03-23 13:30:00,35.62,35.67,35.58,35.58,0
2021-03-23 14:30:00,35.57,35.60,35.33,35.36,0
2021-03-23 15:30:00,35.36,35.39,35.32,35.36,0
2021-03-24 09:30:00,35.49,35.77,35.37,35.68,4029892
2021-03-24 10:30:00,35.68,35.90,35.62,35.84,3451707
2021-03-24 11:30:00,35.83,35.93,35.81,35.87,2638271
2021-03-24 12:30:00,35.87,35.90,35.74,35.79,2172320
2021-03-24 13:30:00,35.78,35.84,35.72,35.76,1605960
2021-03-24 14:30:00,35.77,35.80,35.66,35.72,2545159
2021-03-24 15:30:00,35.73,35.74,35.56,35.62,3471765
2021-03-25 09:30:00,35.65,35.72,35.30,35.45,3998964
2021-03-25 10:30:00,35.45,35.46,35.33,35.39,2415433
2021-03-25 11:30:00,35.39,35.40,35.25,35.26,3083616
2021-03-25 12:30:00,35.26,35.42,35.26,35.39,2415997
2021-03-25 13:30:00,35.38,35.54,35.37,35.52,1787513
2021-03-25 14:30:00,35.52,35.71,35.52,35.71,2558885
2021-03-25 15:30:00,35.71,35.79,35.67,35.67,3806814
2021-03-26 09:30:00,35.69,35.92,35.64,35.78,2988165
2021-03-26 10:30:00,35.78,35.88,35.71,35.87,2726462
2021-03-26 11:30:00,35.86,35.92,35.79,35.90,3018477
2021-03-26 12:30:00,35.90,35.96,35.89,35.94,2157286
2021-03-26 13:30:00,35.95,36.10,35.95,36.10,3796324
2021-03-26 14:30:00,36.10,36.13,36.02,36.03,3359590
2021-03-26 15:30:00,36.03,36.28,36.03,36.24,4236770
2021-03-29 09:30:00,36.03,36.24,35.91,36.19,4127751
2021-03-29 10:30:00,36.19,36.58,36.15,36.58,4050286
2021-03-29 11:30:00,36.57,36.64,36.50,36.58,3486107
2021-03-29 12:30:00,36.57,36.73,36.56,36.67,2651672
2021-03-29 13:30:00,36.68,36.74,36.64,36.68,2199737
2021-03-29 14:30:00,36.67,36.73,36.62,36.69,2340068
2021-03-29 15:30:00,36.69,36.73,36.58,36.63,4331358
2021-03-30 09:30:00,36.61,36.63,36.17,36.25,4422311
2021-03-30 10:30:00,36.26,36.32,36.06,36.07,4165453
2021-03-30 11:30:00,36.06,36.18,36.05,36.15,2925012
2021-03-30 12:30:00,36.15,36.19,36.12,36.15,1825043
2021-03-30 13:30:00,36.15,36.16,36.07,36.12,3064911
2021-03-30 14:30:00,36.12,36.20,36.08,36.17,2720370
2021-03-30 15:30:00,36.17,36.19,36.02,36.12,4320677
2021-03-31 09:30:00,36.15,36.26,36.04,36.17,4512971
2021-03-31 10:30:00,36.18,36.26,36.15,36.20,2701189
2021-03-31 11:30:00,36.19,36.32,36.19,36.24,1865803
2021-03-31 12:30:00,36.25,36.37,36.24,36.35,3125977
2021-03-31 13:30:00,36.36,36.43,36.31,36.38,1903262
2021-03-31 14:30:00,36.38,36.40,36.29,36.30,1971454
2021-03-31 15:30:00,36.31,36.36,36.21,36.28,4546883
2021-04-01 09:30:00,36.29,36.31,36.02,36.22,4908956
2021-04-01 10:30:00,36.22,36.42,36.19,36.37,3081455
2021-04-01 11:30:00,36.37,36.45,36.33,36.35,2188516
2021-04-01 12:30:00,36.35,36.35,36.29,36.32,1700412
2021-04-01 13:30:00,36.33,36.35,36.16,36.26,2636510
