datetime,open,high,low,close,volume
2021-03-05 11:30:00,29.45,29.49,29.35,29.42,5361095
2021-03-05 12:30:00,29.42,29.55,29.35,29.45,5274245
2021-03-05 13:30:00,29.45,29.64,29.45,29.63,5063022
2021-03-05 14:30:00,29.63,29.74,29.60,29.61,5921566
2021-03-05 15:30:00,29.61,29.74,29.60,29.62,7145580
2021-03-08 09:30:00,29.55,29.80,29.43,29.77,9837200
2021-03-08 10:30:00,29.77,30.17,29.77,30.15,9683435
2021-03-08 11:30:00,30.24,30.29,30.07,30.23,6868137
2021-03-08 12:30:00,30.23,30.38,30.21,30.34,5401594
2021-03-08 13:30:00,30.34,30.39,30.24,30.36,5549490
2021-03-08 14:30:00,30.37,30.38,30.13,30.17,5016878
2021-03-08 15:30:00,30.17,30.25,29.97,29.97,6329029
2021-03-09 09:30:00,29.90,30.01,29.69,29.92,9762630
2021-03-09 10:30:00,29.91,30.03,29.75,29.78,8700599
2021-03-09 11:30:00,29.78,30.00,29.78,30.00,4182402
2021-03-09 12:30:00,30.00,30.12,29.96,30.09,4278845
2021-03-09 13:30:00,30.10,30.12,29.94,30.08,3792710
2021-03-09 14:30:00,30.08,30.14,29.88,29.89,4164293
2021-03-09 15:30:00,29.89,29.92,29.61,29.64,7523269
2021-03-10 09:30:00,29.90,29.93,29.57,29.92,8193295
2021-03-10 10:30:00,29.91,30.11,29.83,29.86,8434838
2021-03-10 11:30:00,29.85,29.87,29.76,29.80,4442613
2021-03-10 12:30:00,29.81,30.01,29.79,29.95,4703669
2021-03-10 13:30:00,29.95,30.14,29.95,30.07,4063587
2021-03-10 14:30:00,30.06,30.16,30.06,30.09,3923313
2021-03-10 15:30:00,30.09,30.12,29.94,30.00,5181838
2021-03-11 09:30:00,29.94,29.99,29.65,29.73,7995756
2021-03-11 10:30:00,29.73,29.97,29.68,29.95,5012879
2021-03-11 11:30:00,29.94,30.00,29.78,29.85,3953908
2021-03-11 12:30:00,29.85,29.89,29.78,29.78,2365638
2021-03-11 13:30:00,29.79,29.82,29.73,29.74,2855935
2021-03-11 14:30:00,29.75,29.76,29.55,29.56,5071626
2021-03-11 15:30:00,29.56,29.62,29.50,29.53,5934884
2021-03-12 09:30:00,29.90,30.66,29.90,30.57,18155945
2021-03-12 10:30:00,30.56,30.86,30.40,30.50,13296621
2021-03-12 11:30:00,30.50,30.53,30.02,30.07,9686440
2021-03-12 12:30:00,30.07,30.11,29.83,29.93,6758388
2021-03-12 13:30:00,29.92,29.93,29.72,29.82,6685596
2021-03-12 14:30:00,29.82,29.87,29.75,29.87,3576771
2021-03-12 15:30:00,29.86,29.88,29.78,29.81,5980235
2021-03-15 09:30:00,29.99,30.07,29.76,29.80,9633040
2021-03-15 10:30:00,29.80,29.91,29.75,29.76,6340871
2021-03-15 11:30:00,29.75,29.78,29.68,29.77,5363077
2021-03-15 12:30:00,29.77,29.80,29.74,29.75,3250529
2021-03-15 13:30:00,29.75,29.84,29.74,29.77,3455939
2021-03-15 14:30:00,29.76,29.77,29.69,29.75,3694299
2021-03-15 15:30:00,29.75,29.95,29.74,29.94,5367081
2021-03-16 09:30:00,29.75,30.03,29.70,30.01,7816732
2021-03-16 10:30:00,30.01,30.03,29.90,29.97,4843344
2021-03-16 11:30:00,29.98,29.98,29.83,29.96,3986658
2021-03-16 12:30:00,29.95,29.98,29.86,29.86,2902994
2021-03-16 13:30:00,29.86,29.95,29.85,29.95,2612630
2021-03-16 14:30:00,29.95,30.00,29.88,29.91,3502232
2021-03-16 15:30:00,29.91,30.00,29.89,29.99,4428624
2021-03-17 09:30:00,30.13,30.15,29.81,29.92,6370591
2021-03-17 10:30:00,29.92,30.00,29.84,30.00,4200507
2021-03-17 11:30:00,30.00,30.15,29.99,30.11,3991964
2021-03-17 12:30:00,30.11,30.18,30.07,30.16,3440323
2021-03-17 13:30:00,30.16,30.23,30.01,30.02,5027777
2021-03-17 14:30:00,30.02,30.08,29.96,29.96,5046183
2021-03-17 15:30:00,29.96,30.15,29.95,30.15,7079474
2021-03-18 09:30:00,30.10,30.50,30.08,30.18,7562784
2021-03-18 10:30:00,30.18,30.25,30.09,30.16,3803869
2021-03-18 11:30:00,30.17,30.27,30.12,30.16,3218257
2021-03-18 12:30:00,30.16,30.17,30.05,30.08,2429110
2021-03-18 13:30:00,30.08,30.11,30.01,30.10,2582189
2021-03-18 14:30:00,30.10,30.11,30.03,30.06,2890021
2021-03-18 15:30:00,30.06,30.07,29.99,30.01,6051542
2021-03-19 09:30:00,30.03,30.06,29.69,29.72,16946026
2021-03-19 10:30:00,29.72,29.83,29.62,29.72,4627494
2021-03-19 11:30:00,29.72,29.92,29.71,29.88,3111027
2021-03-19 12:30:00,29.89,29.90,29.75,29.80,3033442
2021-03-19 13:30:00,29.80,29.82,29.73,29.76,2610730
2021-03-19 14:30:00,29.76,29.82,29.75,29.76,3142907
2021-03-19 15:30:00,29.76,29.82,29.70,29.74,7250108
2021-03-22 09:30:00,29.78,29.93,29.58,29.84,6571448
2021-03-22 10:30:00,29.84,29.90,29.72,29.77,4117189
2021-03-22 11:30:00,29.77,29.84,29.72,29.82,3417567
2021-03-22 12:30:00,29.83,29.87,29.80,29.83,2298553
2021-03-22 13:30:00,29.83,29.84,29.75,29.83,2619003
2021-03-22 14:30:00,29.83,29.98,29.83,29.98,3776750
