datetime,open,high,low,close,volume
2021-03-09 12:30:00,129.51,129.62,129.16,129.31,768710
2021-03-09 13:30:00,129.30,129.70,128.99,129.54,1042179
2021-03-09 14:30:00,129.54,129.60,128.96,128.99,989937
2021-03-09 15:30:00,128.99,129.13,128.79,128.83,1137109
2021-03-10 09:30:00,128.79,130.17,128.47,130.13,2747911
2021-03-10 10:30:00,130.13,130.50,129.82,130.46,1451419
2021-03-10 11:30:00,130.47,131.72,130.30,131.72,2013197
2021-03-10 12:30:00,131.73,132.44,131.68,131.90,2154884
2021-03-10 13:30:00,131.91,132.73,131.62,132.59,1575076
2021-03-10 14:30:00,132.64,133.05,132.42,132.80,2225501
2021-03-10 15:30:00,132.80,132.85,132.14,132.17,1760764
2021-03-11 09:30:00,133.15,133.38,131.54,132.08,2860229
2021-03-11 10:30:00,132.06,132.32,131.88,132.15,1416157
2021-03-11 11:30:00,132.12,132.76,132.05,132.19,1292606
2021-03-11 12:30:00,132.21,132.29,131.95,132.27,2392544
2021-03-11 13:30:00,132.29,132.65,132.12,132.44,888389
2021-03-11 14:30:00,132.44,132.53,132.00,132.33,1065150
2021-03-11 15:30:00,132.33,132.52,132.07,132.14,1001004
2021-03-12 09:30:00,132.51,133.01,132.08,132.54,1482109
2021-03-12 10:30:00,132.50,133.07,132.18,132.38,1069077
2021-03-12 11:30:00,132.36,133.10,132.32,133.00,1000928
2021-03-12 12:30:00,133.00,133.56,132.82,133.55,1006038
2021-03-12 13:30:00,133.55,134.42,133.52,134.10,1504522
2021-03-12 14:30:00,134.10,134.30,133.93,134.25,1123760
2021-03-12 15:30:00,134.26,134.51,134.09,134.11,1391563
2021-03-15 09:30:00,134.12,134.78,133.57,133.78,1531172
2021-03-15 10:30:00,133.78,134.09,133.19,133.19,856348
2021-03-15 11:30:00,133.18,133.71,133.10,133.23,736893
2021-03-15 12:30:00,133.23,133.25,132.90,133.02,685367
2021-03-15 13:30:00,133.02,133.38,132.97,133.15,620105
2021-03-15 14:30:00,133.14,133.24,132.88,132.93,909371
2021-03-15 15:30:00,132.94,133.46,132.82,133.44,1032207
2021-03-16 09:30:00,132.82,134.28,132.82,134.23,1212511
2021-03-16 10:30:00,134.24,134.27,133.64,134.07,921228
2021-03-16 11:30:00,134.07,134.17,133.70,133.92,632019
2021-03-16 12:30:00,133.93,134.13,133.70,134.00,448928
2021-03-16 13:30:00,134.01,134.07,133.77,133.96,534434
