datetime,open,high,low,close,volume
2024-01-04 10:14:00,69.08,69.11,69.06,69.10,11339
2024-01-04 10:15:00,69.10,69.11,69.07,69.07,8359
2024-01-04 10:16:00,69.04,69.04,68.98,69.00,18349
2024-01-04 10:17:00,69.01,69.03,68.99,69.00,23271
2024-01-04 10:18:00,69.00,69.04,69.00,69.04,11403
2024-01-04 10:19:00,69.04,69.07,69.04,69.07,5058
2024-01-04 10:20:00,69.07,69.08,69.05,69.08,6991
2024-01-04 10:21:00,69.08,69.11,69.07,69.09,6358
2024-01-04 10:22:00,69.09,69.12,69.08,69.11,7297
2024-01-04 10:23:00,69.12,69.14,69.11,69.12,13060
2024-01-04 10:24:00,69.12,69.17,69.11,69.17,6706
2024-01-04 10:25:00,69.17,69.20,69.17,69.20,7924
2024-01-04 10:26:00,69.21,69.25,69.21,69.25,6549
2024-01-04 10:27:00,69.25,69.25,69.23,69.24,5679
2024-01-04 10:28:00,69.23,69.25,69.21,69.23,11227
2024-01-04 10:29:00,69.23,69.24,69.21,69.21,7364
2024-01-04 10:30:00,69.21,69.23,69.16,69.17,8853
2024-01-04 10:31:00,69.17,69.25,69.16,69.25,26067
2024-01-04 10:32:00,69.25,69.27,69.24,69.25,13321
2024-01-04 10:33:00,69.25,69.30,69.25,69.29,9767
2024-01-04 10:34:00,69.28,69.33,69.27,69.28,40936
2024-01-04 10:35:00,69.28,69.31,69.26,69.29,22039
2024-01-04 10:36:00,69.30,69.32,69.29,69.29,19221
2024-01-04 10:37:00,69.29,69.31,69.26,69.28,13948
2024-01-04 10:38:00,69.27,69.32,69.26,69.31,12572
2024-01-04 10:39:00,69.30,69.30,69.27,69.27,10358
2024-01-04 10:40:00,69.27,69.27,69.25,69.26,7719
2024-01-04 10:41:00,69.26,69.27,69.22,69.26,11725
2024-01-04 10:42:00,69.26,69.26,69.22,69.23,8960
2024-01-04 10:43:00,69.22,69.26,69.22,69.23,10683
2024-01-04 10:44:00,69.24,69.29,69.24,69.28,6643
2024-01-04 10:45:00,69.29,69.29,69.25,69.25,11601
2024-01-04 10:46:00,69.26,69.31,69.25,69.31,12276
2024-01-04 10:47:00,69.32,69.32,69.28,69.28,6623
2024-01-04 10:48:00,69.29,69.32,69.29,69.32,14712
2024-01-04 10:49:00,69.32,69.32,69.29,69.31,26950
2024-01-04 10:50:00,69.30,69.34,69.30,69.31,17364
2024-01-04 10:51:00,69.31,69.32,69.29,69.29,36455
2024-01-04 10:52:00,69.29,69.31,69.24,69.27,61630
2024-01-04 10:53:00,69.25,69.25,69.21,69.21,13258
2024-01-04 10:54:00,69.22,69.24,69.19,69.20,13986
2024-01-04 10:55:00,69.20,69.21,69.17,69.18,12354
2024-01-04 10:56:00,69.19,69.26,69.19,69.25,10630
2024-01-04 10:57:00,69.22,69.23,69.22,69.23,2045
2024-01-04 10:58:00,69.24,69.24,69.21,69.24,4632
2024-01-04 10:59:00,69.24,69.24,69.19,69.20,10142
2024-01-04 11:00:00,69.20,69.21,69.18,69.18,4679
2024-01-04 11:01:00,69.18,69.21,69.17,69.19,8190
2024-01-04 11:02:00,69.18,69.20,69.18,69.18,7253
2024-01-04 11:03:00,69.19,69.21,69.18,69.21,4426
2024-01-04 11:04:00,69.22,69.22,69.19,69.21,18256
2024-01-04 11:05:00,69.22,69.23,69.20,69.23,11619
2024-01-04 11:06:00,69.22,69.23,69.21,69.23,3157
2024-01-04 11:07:00,69.24,69.25,69.21,69.22,12428
2024-01-04 11:08:00,69.22,69.23,69.18,69.18,5893
2024-01-04 11:09:00,69.18,69.18,69.16,69.18,5016
2024-01-04 11:10:00,69.17,69.19,69.17,69.19,5290
2024-01-04 11:11:00,69.19,69.25,69.18,69.25,11781
2024-01-04 11:12:00,69.25,69.26,69.23,69.25,7148
2024-01-04 11:13:00,69.26,69.31,69.25,69.31,13978
2024-01-04 11:14:00,69.31,69.31,69.28,69.28,9101
2024-01-04 11:15:00,69.29,69.31,69.29,69.29,11085
2024-01-04 11:16:00,69.31,69.35,69.31,69.32,21302
2024-01-04 11:17:00,69.32,69.32,69.28,69.29,18877
2024-01-04 11:18:00,69.29,69.32,69.29,69.31,9206
2024-01-04 11:19:00,69.31,69.31,69.26,69.26,11096
2024-01-04 11:20:00,69.26,69.30,69.26,69.28,28564
2024-01-04 11:21:00,69.28,69.29,69.27,69.29,8627
2024-01-04 11:22:00,69.28,69.32,69.28,69.31,3181
2024-01-04 11:23:00,69.31,69.31,69.27,69.29,5270
2024-01-04 11:24:00,69.29,69.30,69.29,69.30,3471
2024-01-04 11:25:00,69.29,69.29,69.29,69.29,4506
2024-01-04 11:26:00,69.29,69.31,69.29,69.29,5834
2024-01-04 11:27:00,69.29,69.32,69.29,69.31,7479
2024-01-04 11:28:00,69.31,69.33,69.31,69.33,13759
2024-01-04 11:29:00,69.33,69.34,69.29,69.31,21080
2024-01-04 11:30:00,69.32,69.32,69.25,69.26,12682
2024-01-04 11:31:00,69.26,69.26,69.17,69.18,20312
2024-01-04 11:32:00,69.18,69.22,69.18,69.20,13119
2024-01-04 11:33:00,69.21,69.31,69.20,69.20,84349
2024-01-04 11:34:00,69.20,69.23,69.13,69.17,45431
2024-01-04 11:35:00,69.18,69.18,69.12,69.12,32255
2024-01-04 11:36:00,69.12,69.15,69.11,69.12,24395
2024-01-04 11:37:00,69.12,69.12,69.09,69.09,5237
2024-01-04 11:38:00,69.09,69.12,69.08,69.10,26241
2024-01-04 11:39:00,69.08,69.11,69.08,69.11,3910
2024-01-04 11:40:00,69.11,69.17,69.10,69.17,17120
2024-01-04 11:41:00,69.18,69.18,69.15,69.16,4422
2024-01-04 11:42:00,69.15,69.15,69.11,69.11,2393
