datetime,open,high,low,close,volume
2024-01-04 10:24:00,36.31,36.32,36.29,36.29,19360
2024-01-04 10:25:00,36.29,36.29,36.26,36.26,15762
2024-01-04 10:26:00,36.26,36.27,36.24,36.26,8425
2024-01-04 10:27:00,36.25,36.26,36.24,36.26,7808
2024-01-04 10:28:00,36.26,36.27,36.26,36.27,5715
2024-01-04 10:29:00,36.27,36.28,36.27,36.28,12613
2024-01-04 10:30:00,36.27,36.28,36.24,36.26,14324
2024-01-04 10:31:00,36.26,36.27,36.26,36.26,22508
2024-01-04 10:32:00,36.26,36.29,36.26,36.28,15810
2024-01-04 10:33:00,36.28,36.28,36.26,36.26,14704
2024-01-04 10:34:00,36.26,36.27,36.26,36.27,7737
2024-01-04 10:35:00,36.26,36.26,36.24,36.24,14601
2024-01-04 10:36:00,36.24,36.24,36.21,36.21,29693
2024-01-04 10:37:00,36.22,36.22,36.21,36.22,16795
2024-01-04 10:38:00,36.21,36.22,36.21,36.22,7909
2024-01-04 10:39:00,36.21,36.21,36.18,36.18,19509
2024-01-04 10:40:00,36.19,36.19,36.17,36.18,16211
2024-01-04 10:41:00,36.19,36.20,36.18,36.20,16653
2024-01-04 10:42:00,36.19,36.21,36.19,36.20,12367
2024-01-04 10:43:00,36.19,36.23,36.19,36.22,13274
2024-01-04 10:44:00,36.22,36.25,36.22,36.25,14707
2024-01-04 10:45:00,36.24,36.25,36.21,36.22,18347
2024-01-04 10:46:00,36.22,36.22,36.21,36.22,11555
2024-01-04 10:47:00,36.22,36.22,36.19,36.19,3010
2024-01-04 10:48:00,36.20,36.21,36.19,36.21,8780
2024-01-04 10:49:00,36.21,36.22,36.21,36.22,12934
2024-01-04 10:50:00,36.22,36.22,36.22,36.22,9811
2024-01-04 10:51:00,36.22,36.22,36.21,36.21,6029
2024-01-04 10:52:00,36.21,36.21,36.19,36.19,13614
2024-01-04 10:53:00,36.19,36.19,36.17,36.19,16552
2024-01-04 10:54:00,36.19,36.19,36.17,36.19,20119
2024-01-04 10:55:00,36.19,36.19,36.17,36.19,9135
2024-01-04 10:56:00,36.19,36.21,36.19,36.20,10030
2024-01-04 10:57:00,36.20,36.20,36.19,36.19,6573
2024-01-04 10:58:00,36.19,36.19,36.18,36.18,10292
2024-01-04 10:59:00,36.18,36.18,36.16,36.17,17658
2024-01-04 11:00:00,36.16,36.16,36.10,36.11,54777
2024-01-04 11:01:00,36.11,36.13,36.11,36.12,23745
2024-01-04 11:02:00,36.12,36.14,36.10,36.11,8288
2024-01-04 11:03:00,36.11,36.11,36.10,36.10,1262
2024-01-04 11:04:00,36.10,36.10,36.08,36.08,10513
2024-01-04 11:05:00,36.08,36.10,36.08,36.10,14396
2024-01-04 11:06:00,36.10,36.12,36.10,36.12,8448
2024-01-04 11:07:00,36.12,36.12,36.10,36.10,5455
2024-01-04 11:08:00,36.10,36.10,36.10,36.10,12946
2024-01-04 11:09:00,36.09,36.10,36.08,36.09,11243
2024-01-04 11:10:00,36.09,36.12,36.09,36.10,9347
2024-01-04 11:11:00,36.10,36.12,36.10,36.12,7479
2024-01-04 11:12:00,36.12,36.13,36.11,36.13,29651
2024-01-04 11:13:00,36.12,36.14,36.11,36.13,17884
2024-01-04 11:14:00,36.12,36.15,36.12,36.15,12663
2024-01-04 11:15:00,36.15,36.15,36.13,36.13,85639
2024-01-04 11:16:00,36.13,36.15,36.12,36.13,24672
2024-01-04 11:17:00,36.13,36.13,36.12,36.12,13915
2024-01-04 11:18:00,36.11,36.12,36.10,36.10,5312
2024-01-04 11:19:00,36.11,36.12,36.10,36.11,15633
2024-01-04 11:20:00,36.11,36.12,36.11,36.11,13625
2024-01-04 11:21:00,36.12,36.13,36.11,36.12,21933
2024-01-04 11:22:00,36.11,36.13,36.11,36.12,19753
2024-01-04 11:23:00,36.12,36.16,36.12,36.15,43460
2024-01-04 11:24:00,36.15,36.16,36.14,36.15,22074
2024-01-04 11:25:00,36.15,36.15,36.13,36.14,33156
2024-01-04 11:26:00,36.14,36.14,36.11,36.12,15299
2024-01-04 11:27:00,36.11,36.12,36.10,36.11,35474
2024-01-04 11:28:00,36.10,36.12,36.10,36.11,14160
2024-01-04 11:29:00,36.11,36.12,36.09,36.12,32916
2024-01-04 11:30:00,36.12,36.12,36.11,36.11,3703
2024-01-04 11:31:00,36.12,36.12,36.09,36.10,12101
2024-01-04 11:32:00,36.09,36.09,36.07,36.08,40484
2024-01-04 11:33:00,36.08,36.08,36.06,36.06,21802
2024-01-04 11:34:00,36.06,36.07,36.05,36.06,38135
2024-01-04 11:35:00,36.06,36.06,36.03,36.03,27779
2024-01-04 11:36:00,36.03,36.04,36.00,36.04,48401
2024-01-04 11:37:00,36.04,36.05,36.03,36.03,5467
2024-01-04 11:38:00,36.04,36.07,36.04,36.05,68629
2024-01-04 11:39:00,36.07,36.08,36.06,36.07,9454
2024-01-04 11:40:00,36.07,36.08,36.06,36.07,16258
2024-01-04 11:41:00,36.06,36.06,36.03,36.03,3089
2024-01-04 11:42:00,36.03,36.04,36.01,36.01,11289
2024-01-04 11:43:00,36.01,36.01,36.01,36.01,5392
2024-01-04 11:44:00,36.01,36.02,36.00,36.00,27679
2024-01-04 11:45:00,36.00,36.00,35.99,36.00,31309
2024-01-04 11:46:00,36.01,36.04,36.00,36.03,17572
2024-01-04 11:47:00,36.03,36.03,36.02,36.02,11631
2024-01-04 11:48:00,36.02,36.03,36.02,36.03,8723
2024-01-04 11:49:00,36.02,36.03,36.01,36.01,3595
2024-01-04 11:50:00,36.01,36.01,35.99,36.01,11527
2024-01-04 11:51:00,36.00,36.02,36.00,36.02,83131
2024-01-04 11:52:00,36.01,36.01,35.99,35.99,4888
2024-01-04 11:53:00,35.99,36.00,35.99,36.00,6025
2024-01-04 11:54:00,36.01,36.01,36.00,36.01,2582
2024-01-04 11:55:00,36.01,36.02,36.00,36.01,5680
2024-01-04 11:56:00,36.00,36.01,36.00,36.00,11355
2024-01-04 11:57:00,36.00,36.01,35.99,35.99,9185
2024-01-04 11:58:00,35.99,35.99,35.97,35.97,7741
2024-01-04 11:59:00,35.98,35.98,35.97,35.97,1227
2024-01-04 12:00:00,35.97,35.99,35.97,35.99,22838
2024-01-04 12:01:00,35.98,35.99,35.97,35.97,13801
2024-01-04 12:02:00,35.97,35.99,35.97,35.97,4009
2024-01-04 12:03:00,35.97,35.98,35.96,35.97,50392
2024-01-04 12:04:00,35.97,35.99,35.97,35.99,5945
2024-01-04 12:05:00,35.99,35.99,35.97,35.98,5816
2024-01-04 12:06:00,35.98,35.98,35.97,35.97,4674
2024-01-04 12:07:00,35.98,35.99,35.98,35.99,14940
2024-01-04 12:08:00,35.99,35.99,35.99,35.99,2592
2024-01-04 12:09:00,35.99,36.00,35.98,35.98,4274
2024-01-04 12:10:00,35.98,35.98,35.96,35.96,23010
2024-01-04 12:11:00,35.94,35.95,35.92,35.93,5608
2024-01-04 12:12:00,35.92,35.93,35.90,35.92,19088
2024-01-04 12:13:00,35.92,35.94,35.92,35.94,3396
2024-01-04 12:14:00,35.94,35.94,35.92,35.92,5178
2024-01-04 12:15:00,35.92,35.94,35.92,35.94,6162
2024-01-04 12:16:00,35.94,35.95,35.94,35.95,2208
2024-01-04 12:17:00,35.95,35.97,35.95,35.97,10871
2024-01-04 12:18:00,35.98,35.99,35.97,35.98,17361
2024-01-04 12:19:00,35.98,35.99,35.98,35.99,14619
2024-01-04 12:20:00,35.99,35.99,35.99,35.99,7067
2024-01-04 12:21:00,35.99,35.99,35.99,35.99,2462
2024-01-04 12:22:00,35.98,35.98,35.96,35.97,23163
2024-01-04 12:23:00,35.97,35.97,35.96,35.96,3158
