datetime,open,high,low,close,volume
2024-01-04 10:27:00,83.91,83.92,83.90,83.92,5565
2024-01-04 10:28:00,83.93,83.96,83.93,83.96,8173
2024-01-04 10:29:00,83.95,83.95,83.87,83.89,7851
2024-01-04 10:30:00,83.89,83.89,83.79,83.83,4705
2024-01-04 10:31:00,83.82,83.94,83.82,83.93,15658
2024-01-04 10:32:00,83.93,83.94,83.86,83.94,20250
2024-01-04 10:33:00,83.94,84.02,83.89,84.02,29989
2024-01-04 10:34:00,84.03,84.04,83.94,83.96,4425
2024-01-04 10:35:00,83.97,83.99,83.96,83.99,3008
2024-01-04 10:36:00,83.98,84.03,83.98,84.02,1470
2024-01-04 10:37:00,83.99,84.04,83.99,84.02,3280
2024-01-04 10:38:00,84.04,84.11,84.03,84.10,3611
2024-01-04 10:39:00,84.10,84.15,84.10,84.13,6258
2024-01-04 10:40:00,84.13,84.14,84.04,84.13,28759
2024-01-04 10:41:00,84.11,84.15,84.11,84.15,3970
2024-01-04 10:42:00,84.17,84.19,84.15,84.17,6268
2024-01-04 10:43:00,84.17,84.20,84.16,84.19,9222
2024-01-04 10:44:00,84.18,84.22,84.17,84.21,6474
2024-01-04 10:45:00,84.21,84.22,84.17,84.17,10417
2024-01-04 10:46:00,84.17,84.19,84.15,84.17,5808
2024-01-04 10:47:00,84.18,84.20,84.17,84.17,2461
2024-01-04 10:48:00,84.17,84.21,84.15,84.19,7042
2024-01-04 10:49:00,84.20,84.23,84.14,84.17,26496
2024-01-04 10:50:00,84.18,84.21,84.12,84.12,33520
2024-01-04 10:51:00,84.13,84.14,84.10,84.11,6887
2024-01-04 10:52:00,84.11,84.13,84.10,84.10,7857
2024-01-04 10:53:00,84.11,84.11,84.08,84.09,3695
2024-01-04 10:54:00,84.10,84.10,84.08,84.09,8220
2024-01-04 10:55:00,84.08,84.09,84.05,84.09,10405
2024-01-04 10:56:00,84.09,84.14,84.09,84.13,10822
2024-01-04 10:57:00,84.13,84.17,84.13,84.17,1974
2024-01-04 10:58:00,84.16,84.18,84.16,84.17,2497
2024-01-04 10:59:00,84.18,84.19,84.15,84.19,6195
2024-01-04 11:00:00,84.20,84.23,84.18,84.18,4089
2024-01-04 11:01:00,84.16,84.21,84.16,84.20,5697
2024-01-04 11:02:00,84.20,84.22,84.18,84.18,9933
2024-01-04 11:03:00,84.19,84.22,84.19,84.22,2906
2024-01-04 11:04:00,84.22,84.22,84.12,84.13,23801
2024-01-04 11:05:00,84.15,84.15,84.11,84.12,23141
2024-01-04 11:06:00,84.12,84.12,84.09,84.09,5682
2024-01-04 11:07:00,84.07,84.09,84.06,84.08,3811
2024-01-04 11:08:00,84.08,84.08,84.06,84.06,5949
2024-01-04 11:09:00,84.07,84.07,84.04,84.04,2490
2024-01-04 11:10:00,84.05,84.07,84.04,84.07,13812
2024-01-04 11:11:00,84.07,84.13,84.06,84.13,9973
2024-01-04 11:12:00,84.14,84.19,84.14,84.18,3937
2024-01-04 11:13:00,84.18,84.26,84.17,84.26,13535
2024-01-04 11:14:00,84.27,84.30,84.24,84.24,9129
2024-01-04 11:15:00,84.25,84.32,84.25,84.28,3409
2024-01-04 11:16:00,84.28,84.32,84.28,84.29,4487
2024-01-04 11:17:00,84.29,84.29,84.18,84.23,19276
2024-01-04 11:18:00,84.24,84.29,84.24,84.25,7842
2024-01-04 11:19:00,84.24,84.25,84.22,84.22,3896
2024-01-04 11:20:00,84.21,84.21,84.17,84.21,7739
2024-01-04 11:21:00,84.20,84.22,84.18,84.22,3558
2024-01-04 11:22:00,84.22,84.29,84.22,84.29,7401
2024-01-04 11:23:00,84.30,84.36,84.30,84.36,5497
2024-01-04 11:24:00,84.36,84.36,84.33,84.35,5395
2024-01-04 11:25:00,84.35,84.36,84.31,84.31,14165
2024-01-04 11:26:00,84.33,84.34,84.32,84.33,9540
2024-01-04 11:27:00,84.33,84.38,84.33,84.37,7075
2024-01-04 11:28:00,84.37,84.37,84.36,84.36,3188
2024-01-04 11:29:00,84.35,84.39,84.35,84.37,13193
2024-01-04 11:30:00,84.38,84.43,84.37,84.40,19090
2024-01-04 11:31:00,84.41,84.41,84.32,84.33,21945
2024-01-04 11:32:00,84.31,84.33,84.31,84.31,8415
2024-01-04 11:33:00,84.32,84.32,84.24,84.25,27241
2024-01-04 11:34:00,84.26,84.30,84.26,84.30,5126
2024-01-04 11:35:00,84.31,84.32,84.29,84.29,5415
2024-01-04 11:36:00,84.29,84.31,84.28,84.30,2144
2024-01-04 11:37:00,84.30,84.33,84.29,84.33,4994
2024-01-04 11:38:00,84.33,84.33,84.27,84.27,7004
2024-01-04 11:39:00,84.27,84.33,84.27,84.32,3627
2024-01-04 11:40:00,84.32,84.37,84.32,84.37,2707
2024-01-04 11:41:00,84.36,84.36,84.32,84.33,3591
2024-01-04 11:42:00,84.33,84.36,84.33,84.36,5677
2024-01-04 11:43:00,84.35,84.36,84.28,84.28,8046
2024-01-04 11:44:00,84.28,84.31,84.26,84.26,3013
2024-01-04 11:45:00,84.26,84.26,84.21,84.24,4302
2024-01-04 11:46:00,84.23,84.26,84.18,84.21,11881
2024-01-04 11:47:00,84.22,84.24,84.19,84.22,7258
2024-01-04 11:48:00,84.21,84.27,84.21,84.26,6026
2024-01-04 11:49:00,84.25,84.27,84.23,84.24,2448
2024-01-04 11:50:00,84.25,84.25,84.19,84.21,5874
2024-01-04 11:51:00,84.24,84.25,84.21,84.23,5318
2024-01-04 11:52:00,84.23,84.23,84.19,84.21,3957
2024-01-04 11:53:00,84.21,84.22,84.21,84.22,1776
2024-01-04 11:54:00,84.22,84.27,84.22,84.27,10401
