datetime,open,high,low,close,volume
2024-01-04 10:26:00,41.67,41.72,41.67,41.72,9395
2024-01-04 10:27:00,41.72,41.73,41.72,41.72,13086
2024-01-04 10:28:00,41.72,41.74,41.72,41.72,8484
2024-01-04 10:29:00,41.72,41.72,41.71,41.71,6444
2024-01-04 10:30:00,41.70,41.70,41.67,41.67,15262
2024-01-04 10:31:00,41.68,41.69,41.67,41.68,13861
2024-01-04 10:32:00,41.68,41.74,41.67,41.73,13370
2024-01-04 10:33:00,41.74,41.77,41.74,41.77,5250
2024-01-04 10:34:00,41.76,41.77,41.74,41.74,18266
2024-01-04 10:35:00,41.74,41.74,41.73,41.74,14298
2024-01-04 10:36:00,41.74,41.74,41.71,41.74,17230
2024-01-04 10:37:00,41.74,41.78,41.74,41.77,23728
2024-01-04 10:38:00,41.78,41.79,41.78,41.79,5791
2024-01-04 10:39:00,41.78,41.81,41.78,41.81,22041
2024-01-04 10:40:00,41.81,41.83,41.79,41.83,37656
2024-01-04 10:41:00,41.83,41.85,41.83,41.85,8861
2024-01-04 10:42:00,41.85,41.88,41.85,41.88,28296
2024-01-04 10:43:00,41.88,41.91,41.88,41.91,21496
2024-01-04 10:44:00,41.91,41.94,41.90,41.94,23168
2024-01-04 10:45:00,41.94,41.95,41.91,41.92,65936
2024-01-04 10:46:00,41.92,41.96,41.92,41.95,40087
2024-01-04 10:47:00,41.96,41.96,41.95,41.96,22325
2024-01-04 10:48:00,41.96,41.98,41.96,41.98,68450
2024-01-04 10:49:00,41.98,41.99,41.97,41.99,34324
2024-01-04 10:50:00,41.99,42.05,41.94,41.94,293285
2024-01-04 10:51:00,41.94,41.97,41.87,41.90,96167
2024-01-04 10:52:00,41.90,41.90,41.88,41.90,9458
2024-01-04 10:53:00,41.89,41.93,41.88,41.93,15758
2024-01-04 10:54:00,41.94,41.94,41.92,41.92,8057
2024-01-04 10:55:00,41.92,41.95,41.90,41.94,22538
2024-01-04 10:56:00,41.94,41.95,41.94,41.94,8705
2024-01-04 10:57:00,41.94,41.95,41.94,41.94,15766
2024-01-04 10:58:00,41.94,41.95,41.94,41.94,12839
2024-01-04 10:59:00,41.95,41.96,41.94,41.96,6482
2024-01-04 11:00:00,41.97,41.97,41.93,41.93,21385
2024-01-04 11:01:00,41.94,41.94,41.92,41.92,8285
2024-01-04 11:02:00,41.92,41.92,41.90,41.90,16409
2024-01-04 11:03:00,41.90,41.91,41.90,41.91,22458
2024-01-04 11:04:00,41.92,41.92,41.90,41.91,35753
2024-01-04 11:05:00,41.92,41.92,41.91,41.92,4216
2024-01-04 11:06:00,41.92,41.92,41.88,41.88,18328
2024-01-04 11:07:00,41.88,41.89,41.87,41.88,12250
2024-01-04 11:08:00,41.88,41.89,41.87,41.88,19261
2024-01-04 11:09:00,41.89,41.90,41.88,41.90,5726
2024-01-04 11:10:00,41.90,41.90,41.88,41.90,5890
2024-01-04 11:11:00,41.90,41.91,41.90,41.90,6853
2024-01-04 11:12:00,41.90,41.91,41.89,41.90,4573
2024-01-04 11:13:00,41.90,41.92,41.90,41.92,14720
2024-01-04 11:14:00,41.92,41.92,41.89,41.90,21155
2024-01-04 11:15:00,41.90,41.90,41.87,41.88,12053
2024-01-04 11:16:00,41.88,41.90,41.88,41.89,33531
2024-01-04 11:17:00,41.88,41.89,41.88,41.88,4938
2024-01-04 11:18:00,41.88,41.88,41.85,41.86,22726
2024-01-04 11:19:00,41.86,41.87,41.83,41.84,40677
2024-01-04 11:20:00,41.83,41.86,41.83,41.86,9720
2024-01-04 11:21:00,41.85,41.89,41.85,41.87,7368
2024-01-04 11:22:00,41.86,41.90,41.86,41.90,12345
2024-01-04 11:23:00,41.90,41.91,41.90,41.90,4908
2024-01-04 11:24:00,41.90,41.91,41.90,41.91,8315
2024-01-04 11:25:00,41.91,41.91,41.90,41.90,5652
2024-01-04 11:26:00,41.90,41.90,41.89,41.90,14770
2024-01-04 11:27:00,41.90,41.92,41.89,41.91,9984
2024-01-04 11:28:00,41.92,41.92,41.90,41.90,5521
2024-01-04 11:29:00,41.90,41.90,41.88,41.88,5761
2024-01-04 11:30:00,41.88,41.89,41.87,41.88,10264
2024-01-04 11:31:00,41.89,41.90,41.87,41.87,18241
2024-01-04 11:32:00,41.87,41.87,41.84,41.85,18656
2024-01-04 11:33:00,41.84,41.84,41.81,41.82,9615
2024-01-04 11:34:00,41.81,41.82,41.80,41.81,15694
2024-01-04 11:35:00,41.81,41.83,41.80,41.82,8293
2024-01-04 11:36:00,41.83,41.84,41.82,41.83,8419
2024-01-04 11:37:00,41.83,41.85,41.81,41.85,10042
2024-01-04 11:38:00,41.85,41.85,41.81,41.82,12226
2024-01-04 11:39:00,41.82,41.83,41.81,41.81,13687
2024-01-04 11:40:00,41.81,41.81,41.79,41.79,7847
2024-01-04 11:41:00,41.79,41.80,41.77,41.77,16559
2024-01-04 11:42:00,41.78,41.78,41.76,41.76,20511
2024-01-04 11:43:00,41.76,41.76,41.74,41.75,20507
2024-01-04 11:44:00,41.76,41.78,41.76,41.77,4319
2024-01-04 11:45:00,41.77,41.77,41.75,41.76,4100
2024-01-04 11:46:00,41.75,41.76,41.74,41.75,10962
2024-01-04 11:47:00,41.76,41.77,41.75,41.76,4890
2024-01-04 11:48:00,41.76,41.77,41.76,41.77,1502
2024-01-04 11:49:00,41.76,41.77,41.76,41.76,8649
2024-01-04 11:50:00,41.76,41.76,41.73,41.74,19158
2024-01-04 11:51:00,41.74,41.75,41.74,41.74,3665
2024-01-04 11:52:00,41.74,41.76,41.74,41.76,10159
2024-01-04 11:53:00,41.76,41.76,41.76,41.76,8450
2024-01-04 11:54:00,41.77,41.78,41.77,41.78,9874
2024-01-04 11:55:00,41.78,41.78,41.75,41.77,26915
2024-01-04 11:56:00,41.78,41.78,41.75,41.76,6243
2024-01-04 11:57:00,41.76,41.76,41.74,41.75,8055
2024-01-04 11:58:00,41.74,41.74,41.72,41.73,21358
2024-01-04 11:59:00,41.72,41.73,41.72,41.72,2576
2024-01-04 12:00:00,41.72,41.73,41.72,41.72,7303
2024-01-04 12:01:00,41.72,41.74,41.72,41.74,15969
2024-01-04 12:02:00,41.74,41.74,41.72,41.74,8399
2024-01-04 12:03:00,41.72,41.74,41.72,41.73,4693
2024-01-04 12:04:00,41.74,41.74,41.72,41.74,4887
2024-01-04 12:05:00,41.73,41.75,41.73,41.74,12158
2024-01-04 12:06:00,41.74,41.74,41.71,41.72,6628
2024-01-04 12:07:00,41.72,41.72,41.71,41.71,19040
2024-01-04 12:08:00,41.71,41.71,41.69,41.70,8066
2024-01-04 12:09:00,41.70,41.72,41.69,41.72,7839
2024-01-04 12:10:00,41.72,41.74,41.72,41.73,8629
2024-01-04 12:11:00,41.72,41.73,41.72,41.72,9558
2024-01-04 12:12:00,41.73,41.73,41.72,41.72,14968
2024-01-04 12:13:00,41.72,41.75,41.72,41.74,8930
2024-01-04 12:14:00,41.74,41.74,41.72,41.72,10316
2024-01-04 12:15:00,41.73,41.74,41.73,41.73,4136
2024-01-04 12:16:00,41.72,41.73,41.72,41.72,8308
2024-01-04 12:17:00,41.72,41.72,41.70,41.71,30362
2024-01-04 12:18:00,41.71,41.72,41.71,41.71,3296
2024-01-04 12:19:00,41.72,41.72,41.69,41.70,8125
2024-01-04 12:20:00,41.70,41.71,41.69,41.69,5359
2024-01-04 12:21:00,41.68,41.69,41.67,41.68,11737
2024-01-04 12:22:00,41.67,41.68,41.67,41.67,7539
2024-01-04 12:23:00,41.67,41.68,41.66,41.66,10200
2024-01-04 12:24:00,41.66,41.68,41.66,41.67,8477
2024-01-04 12:25:00,41.67,41.67,41.65,41.65,8486
2024-01-04 12:26:00,41.65,41.66,41.64,41.64,10659
2024-01-04 12:27:00,41.65,41.66,41.64,41.66,18488
2024-01-04 12:28:00,41.66,41.67,41.64,41.65,3238
2024-01-04 12:29:00,41.65,41.65,41.62,41.62,6221
2024-01-04 12:30:00,41.62,41.62,41.59,41.59,4053
2024-01-04 12:31:00,41.60,41.60,41.58,41.60,14632
2024-01-04 12:32:00,41.60,41.60,41.58,41.58,3290
2024-01-04 12:33:00,41.58,41.59,41.58,41.59,6852
2024-01-04 12:34:00,41.60,41.61,41.59,41.61,7561
2024-01-04 12:35:00,41.60,41.62,41.60,41.61,8788
2024-01-04 12:36:00,41.61,41.62,41.61,41.62,7957
2024-01-04 12:37:00,41.63,41.65,41.63,41.64,4340
2024-01-04 12:38:00,41.64,41.64,41.62,41.62,6990
2024-01-04 12:39:00,41.61,41.61,41.59,41.59,16920
2024-01-04 12:40:00,41.59,41.59,41.58,41.58,5911
2024-01-04 12:41:00,41.58,41.58,41.57,41.58,19351
2024-01-04 12:42:00,41.59,41.62,41.59,41.62,5410
2024-01-04 12:43:00,41.61,41.61,41.60,41.60,1531
2024-01-04 12:44:00,41.60,41.61,41.60,41.60,9120
2024-01-04 12:45:00,41.60,41.61,41.58,41.60,4073
2024-01-04 12:46:00,41.58,41.62,41.58,41.62,8658
2024-01-04 12:47:00,41.62,41.63,41.60,41.63,9601
2024-01-04 12:48:00,41.62,41.65,41.62,41.65,9360
2024-01-04 12:49:00,41.65,41.65,41.64,41.65,22458
2024-01-04 12:50:00,41.65,41.65,41.65,41.65,8143
2024-01-04 12:51:00,41.66,41.66,41.63,41.63,13829
2024-01-04 12:52:00,41.63,41.65,41.63,41.63,4265
2024-01-04 12:53:00,41.63,41.64,41.62,41.64,16859
2024-01-04 12:54:00,41.64,41.65,41.63,41.63,1858
2024-01-04 12:55:00,41.63,41.63,41.61,41.61,3362
2024-01-04 12:56:00,41.62,41.62,41.62,41.62,3778
2024-01-04 12:57:00,41.62,41.62,41.60,41.60,17568
2024-01-04 12:58:00,41.60,41.60,41.58,41.58,5857
2024-01-04 12:59:00,41.58,41.59,41.58,41.58,6284
2024-01-04 13:00:00,41.58,41.58,41.58,41.58,24242
2024-01-04 13:01:00,41.58,41.60,41.58,41.60,6491
2024-01-04 13:02:00,41.60,41.61,41.60,41.60,7318
2024-01-04 13:03:00,41.61,41.62,41.61,41.62,2183
2024-01-04 13:04:00,41.62,41.63,41.62,41.63,8004
2024-01-04 13:05:00,41.62,41.62,41.61,41.61,9125
2024-01-04 13:06:00,41.61,41.63,41.60,41.63,5791
2024-01-04 13:07:00,41.62,41.62,41.60,41.61,20214
2024-01-04 13:08:00,41.61,41.64,41.61,41.61,9585
2024-01-04 13:09:00,41.61,41.62,41.60,41.61,20308
2024-01-04 13:10:00,41.60,41.60,41.59,41.60,10388
2024-01-04 13:11:00,41.60,41.60,41.58,41.58,6302
2024-01-04 13:12:00,41.58,41.58,41.57,41.58,12719
2024-01-04 13:13:00,41.58,41.58,41.56,41.57,16194
2024-01-04 13:14:00,41.57,41.58,41.57,41.58,8475
2024-01-04 13:15:00,41.58,41.58,41.58,41.58,1499
2024-01-04 13:16:00,41.57,41.60,41.57,41.60,9382
2024-01-04 13:17:00,41.60,41.60,41.58,41.58,6622
2024-01-04 13:18:00,41.58,41.58,41.57,41.58,5694
2024-01-04 13:19:00,41.58,41.58,41.58,41.58,3804
2024-01-04 13:20:00,41.58,41.58,41.57,41.57,7362
2024-01-04 13:21:00,41.58,41.58,41.58,41.58,6889
2024-01-04 13:22:00,41.58,41.58,41.56,41.58,13811
2024-01-04 13:23:00,41.58,41.59,41.58,41.59,16926
2024-01-04 13:24:00,41.59,41.59,41.58,41.59,4478
2024-01-04 13:25:00,41.58,41.59,41.58,41.58,1558
2024-01-04 13:26:00,41.58,41.59,41.58,41.59,5525
2024-01-04 13:27:00,41.58,41.59,41.58,41.58,6973
2024-01-04 13:28:00,41.58,41.59,41.58,41.59,2348
2024-01-04 13:29:00,41.58,41.59,41.58,41.58,5895
2024-01-04 13:30:00,41.58,41.58,41.56,41.56,13217
2024-01-04 13:31:00,41.56,41.56,41.53,41.54,43373
2024-01-04 13:32:00,41.54,41.55,41.53,41.53,15736
2024-01-04 13:33:00,41.53,41.54,41.52,41.52,7574
2024-01-04 13:34:00,41.53,41.53,41.51,41.53,21998
2024-01-04 13:35:00,41.52,41.54,41.51,41.54,6322
2024-01-04 13:36:00,41.53,41.53,41.52,41.52,5354
2024-01-04 13:37:00,41.52,41.53,41.52,41.53,1756
2024-01-04 13:38:00,41.53,41.55,41.53,41.54,6705
2024-01-04 13:39:00,41.55,41.56,41.54,41.56,4771
2024-01-04 13:40:00,41.56,41.57,41.56,41.56,6297
2024-01-04 13:41:00,41.56,41.58,41.56,41.58,13384
2024-01-04 13:42:00,41.58,41.60,41.58,41.59,7299
2024-01-04 13:43:00,41.60,41.60,41.58,41.58,7068
2024-01-04 13:44:00,41.58,41.59,41.58,41.58,21781
2024-01-04 13:45:00,41.58,41.58,41.58,41.58,10971
2024-01-04 13:46:00,41.58,41.59,41.58,41.58,5259
2024-01-04 13:47:00,41.59,41.59,41.57,41.58,16301
2024-01-04 13:48:00,41.58,41.59,41.57,41.59,11961
2024-01-04 13:49:00,41.59,41.61,41.59,41.60,10682
2024-01-04 13:50:00,41.60,41.62,41.60,41.62,5240
2024-01-04 13:51:00,41.62,41.62,41.60,41.60,15619
2024-01-04 13:52:00,41.60,41.61,41.60,41.60,6747
2024-01-04 13:53:00,41.60,41.60,41.58,41.58,21128
2024-01-04 13:54:00,41.58,41.58,41.56,41.56,5478
2024-01-04 13:55:00,41.56,41.56,41.55,41.56,6226
2024-01-04 13:56:00,41.55,41.56,41.53,41.54,12178
2024-01-04 13:57:00,41.54,41.57,41.54,41.56,8480
2024-01-04 13:58:00,41.57,41.57,41.56,41.56,6606
2024-01-04 13:59:00,41.56,41.56,41.55,41.56,5677
2024-01-04 14:00:00,41.56,41.58,41.55,41.56,33395
2024-01-04 14:01:00,41.57,41.60,41.56,41.59,6403
2024-01-04 14:02:00,41.58,41.59,41.58,41.58,8516
2024-01-04 14:03:00,41.59,41.59,41.56,41.56,9244
2024-01-04 14:04:00,41.57,41.58,41.56,41.58,16639
2024-01-04 14:05:00,41.57,41.59,41.57,41.58,2804
2024-01-04 14:06:00,41.58,41.59,41.58,41.59,7077
2024-01-04 14:07:00,41.59,41.59,41.58,41.58,4455
2024-01-04 14:08:00,41.59,41.60,41.58,41.58,12761
2024-01-04 14:09:00,41.58,41.60,41.58,41.58,13519
