open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi,day_of_week,hour,target
174.88,175.04,174.87,175.01,325013,175.18,-0.3,0,175.29,-0.25,0,175.03,-0.16,0,175.06,-0.05,0,607393.0,-282380.0,0,0.28,-0.13,-0.13,0.00,7.86,175.06,44.37,3,13,1
175.01,175.09,174.93,175.03,345711,175.07,-0.06,0,175.23,-0.14,0,175.0,-0.07,0,175.15,-0.12,0,2280089.0,-1934378.0,1,0.30,-0.12,-0.13,0.01,7.51,175.05,44.95,3,13,1
175.03,175.19,175.01,175.19,357054,175.16,-0.13,0,175.21,-0.02,0,175.04,-0.03,0,175.17,0.02,1,297914.0,59140.0,1,0.54,-0.11,-0.12,0.02,7.32,175.08,49.45,3,13,1
175.18,175.49,175.18,175.34,754977,175.16,0.02,1,175.21,0.28,1,175.02,0.16,1,175.12,0.22,1,254361.0,500616.0,1,0.77,-0.08,-0.12,0.04,8.48,175.13,53.43,3,13,0
175.34,175.47,175.27,175.36,373432,175.11,0.23,1,175.37,0.1,1,175.06,0.21,1,175.3,0.06,1,460956.0,-87524.0,0,0.79,-0.05,-0.10,0.05,9.56,175.18,53.94,3,13,0
175.36,175.42,175.30,175.31,262908,175.3,0.06,1,175.3,0.12,1,174.92,0.38,1,174.98,0.33,1,558493.0,-295585.0,0,0.73,-0.04,-0.09,0.05,10.56,175.20,52.39,3,13,0
175.31,175.48,175.29,175.44,520326,174.99,0.32,1,175.14,0.34,1,174.95,0.34,1,175.04,0.4,1,403150.0,117176.0,1,0.97,-0.02,-0.08,0.06,11.75,175.25,55.88,3,13,0
175.42,175.54,175.30,175.30,414056,175.05,0.37,1,175.18,0.36,1,175.04,0.26,1,175.14,0.16,1,340240.0,73816.0,1,0.75,-0.01,-0.06,0.05,13.09,175.26,51.50,3,13,0
175.30,175.49,175.28,175.43,414915,175.13,0.17,1,175.22,0.27,1,174.97,0.31,1,175.01,0.42,1,512024.0,-97109.0,0,0.92,0.01,-0.05,0.06,14.18,175.29,55.08,3,13,0
175.43,175.50,175.38,175.40,260332,175.01,0.42,1,175.05,0.45,1,174.86,0.52,1,174.88,0.52,1,448653.0,-188321.0,0,0.83,0.02,-0.03,0.05,15.25,175.31,54.04,3,13,0
175.40,175.46,175.28,175.40,267277,174.88,0.52,1,175.04,0.42,1,174.87,0.41,1,175.01,0.39,1,325013.0,-57736.0,0,0.80,0.03,-0.02,0.05,15.44,175.33,54.08,3,13,0
175.40,175.45,175.31,175.35,297318,175.01,0.39,1,175.09,0.36,1,174.93,0.38,1,175.03,0.32,1,345711.0,-48393.0,0,0.71,0.03,-0.01,0.04,15.62,175.34,52.27,3,13,0
175.35,175.39,175.11,175.13,516580,175.03,0.32,1,175.19,0.2,1,175.01,0.1,1,175.19,-0.06,0,357054.0,159526.0,1,0.39,0.01,-0.01,0.02,14.65,175.29,45.13,3,14,0
175.12,175.19,174.98,175.00,422300,175.18,-0.06,0,175.49,-0.3,0,175.18,-0.2,0,175.34,-0.34,0,754977.0,-332677.0,0,0.21,-0.01,-0.01,-0.00,14.49,175.24,41.47,3,14,0
175.00,175.13,174.90,174.91,415015,175.34,-0.34,0,175.47,-0.34,0,175.27,-0.37,0,175.36,-0.45,0,373432.0,41583.0,1,0.13,-0.04,-0.01,-0.02,14.75,175.17,39.13,3,14,0
174.90,175.01,174.84,174.91,408571,175.36,-0.46,0,175.42,-0.41,0,175.3,-0.46,0,175.31,-0.4,0,262908.0,145663.0,1,0.14,-0.06,-0.02,-0.03,15.29,175.12,39.13,3,14,0
174.91,174.95,174.82,174.83,316649,175.31,-0.4,0,175.48,-0.53,0,175.29,-0.47,0,175.44,-0.61,0,520326.0,-203677.0,0,0.08,-0.08,-0.03,-0.04,15.89,175.06,36.97,3,14,0
174.83,174.84,174.63,174.66,472536,175.42,-0.59,0,175.54,-0.7,0,175.3,-0.67,0,175.3,-0.64,0,414056.0,58480.0,1,-0.03,-0.11,-0.05,-0.06,17.29,174.98,32.84,3,14,0
174.66,174.69,174.52,174.60,604603,175.3,-0.64,0,175.49,-0.8,0,175.28,-0.76,0,175.43,-0.83,0,414915.0,189688.0,1,-0.01,-0.13,-0.07,-0.07,18.99,174.90,31.39,3,14,0
