datetime,open,high,low,close,volume,open-trend,open-change,high-trend,high-change,low-trend,low-change,close-trend,close-change,volume-trend,volume-change,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-04 10:40:00,116.64,116.74,116.62,116.68,121426,1,,1,,1,,1,,1,,0.30,-0.34,-0.36,0.02,48.51,116.70,33.72
2023-12-04 10:41:00,116.68,116.82,116.64,116.70,127843,1,,1,,1,,1,,1,,0.34,-0.32,-0.35,0.03,47.49,116.70,34.70
2023-12-04 10:42:00,116.69,116.75,116.64,116.68,115784,1,,1,,1,,1,,1,,0.34,-0.30,-0.34,0.04,46.54,116.69,34.38
2023-12-04 10:43:00,116.68,116.76,116.58,116.73,123620,1,,1,,1,,1,,1,,0.41,-0.28,-0.33,0.05,45.94,116.70,36.90
2023-12-04 10:44:00,116.74,116.78,116.67,116.76,134360,1,,1,,1,,1,,1,,0.46,-0.26,-0.31,0.06,45.15,116.71,38.18
2023-12-04 10:45:00,116.76,116.84,116.66,116.66,111295,1,,1,,1,,1,,1,,0.36,-0.24,-0.30,0.06,43.80,116.70,35.09
2023-12-04 10:46:00,116.67,116.67,116.50,116.66,162604,1,,1,,1,,1,,1,,0.37,-0.23,-0.29,0.05,43.38,116.69,35.09
2023-12-04 10:47:00,116.65,116.73,116.56,116.68,108201,1,,1,,1,,1,,1,,0.43,-0.22,-0.27,0.06,42.40,116.69,36.32
2023-12-04 10:48:00,116.67,116.79,116.65,116.78,75804,1,,1,,1,,1,,1,,0.64,-0.19,-0.26,0.06,40.93,116.71,42.23
2023-12-04 10:49:00,116.78,116.90,116.78,116.88,118793,1,,1,,1,,1,,1,,0.92,-0.17,-0.24,0.07,38.63,116.74,47.26
2023-12-04 10:50:00,116.88,116.89,116.66,116.69,111014,1,0.24,1,0.15,1,0.04,1,0.01,0,-10412.0,0.50,-0.16,-0.22,0.06,37.22,116.73,39.98
2023-12-04 10:51:00,116.67,116.89,116.62,116.87,113885,0,-0.01,1,0.07,0,-0.02,1,0.17,0,-13958.0,0.95,-0.14,-0.21,0.07,36.14,116.76,48.31
2023-12-04 10:52:00,116.88,116.96,116.83,116.95,89360,1,0.19,1,0.21,1,0.19,1,0.27,1,-26424.0,1.08,-0.11,-0.19,0.07,34.54,116.80,51.53
2023-12-04 10:53:00,116.94,116.96,116.60,116.72,168122,1,0.26,1,0.2,1,0.02,0,-0.01,1,44502.0,0.55,-0.11,-0.17,0.06,34.27,116.78,43.19
2023-12-04 10:54:00,116.71,116.76,116.69,116.73,55136,0,-0.03,0,-0.02,1,0.02,0,-0.03,1,-79224.0,0.55,-0.11,-0.16,0.05,34.02,116.77,43.63
2023-12-04 10:55:00,116.72,116.98,116.71,116.89,124174,0,-0.04,1,0.14,1,0.05,1,0.23,1,12879.0,0.88,-0.09,-0.14,0.06,32.12,116.79,49.91
2023-12-04 10:56:00,116.88,116.91,116.73,116.75,74387,1,0.21,1,0.24,1,0.23,1,0.09,1,-88217.0,0.56,-0.08,-0.13,0.05,30.36,116.79,45.34
2023-12-04 10:57:00,116.75,116.78,116.71,116.75,63143,1,0.1,1,0.05,1,0.15,1,0.07,1,-45058.0,0.52,-0.08,-0.12,0.04,28.85,116.78,45.13
2023-12-04 10:58:00,116.74,116.78,116.61,116.64,82819,1,0.07,0,-0.01,0,-0.04,0,-0.14,1,7015.0,0.20,-0.09,-0.11,0.03,28.01,116.75,41.47
2023-12-04 10:59:00,116.66,116.82,116.63,116.72,95790,0,-0.12,0,-0.08,0,-0.15,0,-0.16,1,-23003.0,0.42,-0.08,-0.11,0.03,26.93,116.74,45.00
2023-12-04 11:00:00,116.72,116.94,116.71,116.86,84351,0,-0.16,1,0.05,1,0.05,1,0.17,1,-26663.0,0.81,-0.07,-0.10,0.03,25.06,116.77,50.62
2023-12-04 11:01:00,116.87,116.94,116.82,116.93,57471,1,0.2,1,0.05,1,0.2,1,0.06,1,-56414.0,0.93,-0.05,-0.09,0.04,23.32,116.80,53.02
2023-12-04 11:02:00,116.93,117.00,116.86,116.88,114184,1,0.05,1,0.04,1,0.03,0,-0.07,0,24824.0,0.77,-0.04,-0.08,0.04,22.03,116.81,50.97
2023-12-04 11:03:00,116.88,116.97,116.81,116.83,73489,0,-0.06,1,0.01,1,0.21,1,0.11,1,-94633.0,0.63,-0.03,-0.07,0.04,20.46,116.82,49.13
2023-12-04 11:04:00,116.82,116.93,116.82,116.91,62997,1,0.11,1,0.17,1,0.13,1,0.18,1,7861.0,0.82,-0.02,-0.06,0.04,19.00,116.84,52.47
2023-12-04 11:05:00,116.91,117.07,116.84,117.01,137193,1,0.19,1,0.09,1,0.13,1,0.12,1,13019.0,0.99,-0.01,-0.05,0.04,18.63,116.87,56.19
2023-12-04 11:06:00,117.00,117.00,116.83,116.88,128072,1,0.12,1,0.09,1,0.1,1,0.13,0,53685.0,0.66,-0.00,-0.04,0.04,18.20,116.87,50.56
2023-12-04 11:07:00,116.88,116.89,116.74,116.76,80493,1,0.13,1,0.11,1,0.03,1,0.01,1,17350.0,0.34,-0.01,-0.04,0.02,17.06,116.85,45.94
2023-12-04 11:08:00,116.76,116.81,116.73,116.74,68580,1,0.02,1,0.03,1,0.12,1,0.1,0,-14239.0,0.28,-0.02,-0.03,0.01,15.91,116.83,45.02
2023-12-04 11:09:00,116.73,116.73,116.63,116.65,81625,1,0.07,0,-0.09,0,0.0,0,-0.07,0,-14165.0,0.12,-0.03,-0.03,0.00,15.47,116.79,41.99
2023-12-04 11:10:00,116.65,116.70,116.52,116.52,142512,0,-0.07,0,-0.24,0,-0.19,0,-0.34,0,58161.0,-0.09,-0.05,-0.04,-0.02,15.77,116.74,37.68
2023-12-04 11:11:00,116.52,116.52,116.37,116.50,205492,0,-0.35,0,-0.42,0,-0.45,0,-0.43,0,148021.0,-0.03,-0.07,-0.04,-0.03,16.86,116.69,37.02
2023-12-04 11:12:00,116.50,116.50,116.42,116.47,67003,0,-0.43,0,-0.5,0,-0.44,0,-0.41,1,-47181.0,-0.00,-0.08,-0.05,-0.03,17.88,116.65,36.08
2023-12-04 11:13:00,116.46,116.68,116.43,116.68,153395,0,-0.42,0,-0.29,0,-0.38,0,-0.15,0,79906.0,0.37,-0.08,-0.06,-0.02,17.28,116.65,46.57
2023-12-04 11:14:00,116.67,116.77,116.67,116.71,100747,0,-0.15,0,-0.16,0,-0.15,0,-0.2,0,37750.0,0.43,-0.07,-0.06,-0.01,16.10,116.66,47.89
2023-12-04 11:15:00,116.70,116.75,116.68,116.71,59955,0,-0.21,0,-0.32,0,-0.16,0,-0.3,1,-77238.0,0.44,-0.06,-0.06,-0.00,15.00,116.67,47.89
2023-12-04 11:16:00,116.72,116.80,116.67,116.80,96116,0,-0.28,0,-0.2,0,-0.16,0,-0.08,1,-31956.0,0.59,-0.05,-0.06,0.01,14.24,116.70,51.82
2023-12-04 11:17:00,116.80,116.90,116.77,116.80,133112,0,-0.08,1,0.01,1,0.03,1,0.04,0,52619.0,0.59,-0.04,-0.05,0.02,14.18,116.72,52.00
2023-12-04 11:18:00,116.80,116.95,116.78,116.95,152356,1,0.04,1,0.14,1,0.05,1,0.21,0,83776.0,0.82,-0.02,-0.05,0.03,14.44,116.76,58.34
2023-12-04 11:19:00,116.94,117.02,116.88,116.89,113136,1,0.21,1,0.29,1,0.25,1,0.24,0,31511.0,0.70,-0.00,-0.04,0.03,15.09,116.79,55.19
2023-12-04 11:20:00,116.87,117.04,116.85,117.00,111551,1,0.22,1,0.34,1,0.33,1,0.48,0,-30961.0,0.85,0.01,-0.03,0.04,15.42,116.83,59.33
2023-12-04 11:21:00,117.00,117.02,116.93,116.94,79748,1,0.48,1,0.5,1,0.56,1,0.44,1,-125744.0,0.76,0.02,-0.02,0.04,15.72,116.85,56.65
2023-12-04 11:22:00,116.95,116.96,116.84,116.85,54128,1,0.45,1,0.46,1,0.42,1,0.38,0,-12875.0,0.61,0.02,-0.01,0.03,15.17,116.85,51.86
2023-12-04 11:23:00,116.85,117.14,116.84,117.14,91244,1,0.39,1,0.46,1,0.41,1,0.46,1,-62151.0,1.00,0.05,0.00,0.04,15.83,116.91,62.46
