datetime,open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-09-22 12:10:00,319.18,319.57,319.05,319.44,93477,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.22,-0.20,-0.10,-0.11,14.82,319.59,43.81
2023-09-22 12:15:00,319.41,320.03,319.23,319.90,182601,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.43,-0.17,-0.11,-0.06,14.49,319.65,50.04
2023-09-22 12:20:00,319.90,320.06,319.82,319.89,110878,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.43,-0.14,-0.12,-0.03,14.24,319.70,49.91
2023-09-22 12:25:00,319.89,319.92,319.55,319.70,91642,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.35,-0.14,-0.12,-0.02,13.41,319.70,47.46
2023-09-22 12:30:00,319.68,319.94,319.54,319.87,83843,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.45,-0.12,-0.12,0.00,12.66,319.73,49.82
2023-09-22 12:35:00,319.85,320.01,319.81,319.93,93390,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.50,-0.09,-0.11,0.02,12.13,319.77,50.76
2023-09-22 12:40:00,319.95,320.04,319.87,319.98,92788,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.54,-0.07,-0.11,0.04,11.70,319.82,51.44
2023-09-22 12:45:00,319.97,320.13,319.83,319.93,96669,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.52,-0.06,-0.10,0.04,11.51,319.84,50.61
2023-09-22 12:50:00,319.93,320.07,319.74,319.82,109771,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.47,-0.05,-0.09,0.03,11.08,319.84,48.77
2023-09-22 12:55:00,319.85,320.09,319.68,319.71,109237,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.42,-0.06,-0.08,0.02,10.51,319.81,46.87
2023-09-22 13:00:00,319.73,319.75,319.37,319.41,101844,319.18,0.55,1,319.57,0.18,1,319.05,0.32,1,319.44,-0.03,0,93477.0,8367.0,0,0.26,-0.09,-0.08,-0.00,10.37,319.73,42.13
2023-09-22 13:05:00,319.40,319.40,319.03,319.03,103052,319.41,-0.01,0,320.03,-0.63,0,319.23,-0.2,0,319.9,-0.87,0,182601.0,-79549.0,0,0.07,-0.14,-0.09,-0.04,11.02,319.59,37.03
2023-09-22 13:10:00,319.06,319.30,318.98,319.02,124677,319.9,-0.84,0,320.06,-0.76,0,319.82,-0.84,0,319.89,-0.87,0,110878.0,13799.0,1,0.11,-0.18,-0.11,-0.07,11.73,319.48,36.84
2023-09-22 13:15:00,319.01,319.07,318.63,318.69,131443,319.89,-0.88,0,319.92,-0.85,0,319.55,-0.92,0,319.7,-1.01,0,91642.0,39801.0,0,-0.04,-0.23,-0.13,-0.10,13.07,319.32,32.90
2023-09-22 13:20:00,318.68,318.70,318.17,318.34,199579,319.68,-1.0,0,319.94,-1.24,0,319.54,-1.37,0,319.87,-1.53,0,83843.0,115736.0,0,-0.11,-0.30,-0.17,-0.13,15.05,319.12,29.28
2023-09-22 13:25:00,318.34,318.35,318.01,318.23,172819,319.85,-1.51,0,320.01,-1.66,0,319.81,-1.8,0,319.93,-1.7,0,93390.0,79429.0,0,-0.05,-0.36,-0.21,-0.15,17.10,318.94,28.22
2023-09-22 13:30:00,318.24,318.24,317.57,317.58,176287,319.95,-1.71,0,320.04,-1.8,0,319.87,-2.3,0,319.98,-2.4,0,92788.0,83499.0,0,-0.16,-0.45,-0.26,-0.20,19.54,318.67,22.97
2023-09-22 13:35:00,317.58,317.98,317.42,317.64,238813,319.97,-2.39,0,320.13,-2.15,0,319.83,-2.41,0,319.93,-2.29,0,96669.0,142144.0,0,-0.03,-0.52,-0.31,-0.21,21.98,318.46,24.25
2023-09-22 13:40:00,317.65,317.68,317.48,317.58,152387,319.93,-2.28,0,320.07,-2.39,0,319.74,-2.26,0,319.82,-2.24,0,109771.0,42616.0,1,0.03,-0.57,-0.36,-0.21,24.24,318.29,23.82
2023-09-22 13:45:00,317.58,317.88,317.53,317.83,104357,319.85,-2.27,0,320.09,-2.21,0,319.68,-2.15,0,319.71,-1.88,0,109237.0,-4880.0,0,0.14,-0.58,-0.40,-0.17,25.60,318.19,29.79
2023-09-22 13:50:00,317.82,318.18,317.64,317.77,124012,319.73,-1.91,0,319.75,-1.57,0,319.37,-1.73,0,319.41,-1.64,0,101844.0,22168.0,1,0.17,-0.59,-0.44,-0.15,25.85,318.11,29.23
2023-09-22 13:55:00,317.79,318.07,317.72,317.72,69687,319.4,-1.61,0,319.4,-1.33,0,319.03,-1.31,0,319.03,-1.31,0,103052.0,-33365.0,1,0.19,-0.59,-0.47,-0.12,26.09,318.03,28.71
2023-09-22 14:00:00,317.70,318.03,317.70,317.93,81605,319.06,-1.36,0,319.3,-1.27,0,318.98,-1.28,0,319.02,-1.09,0,124677.0,-43072.0,1,0.27,-0.57,-0.49,-0.08,26.36,318.01,34.02
2023-09-22 14:05:00,317.91,318.05,317.69,317.85,71411,319.01,-1.1,0,319.07,-1.02,0,318.63,-0.94,0,318.69,-0.84,0,131443.0,-60032.0,1,0.27,-0.55,-0.50,-0.05,26.54,317.98,33.01
2023-09-22 14:10:00,317.84,317.84,316.90,316.98,226415,318.68,-0.84,0,318.7,-0.86,0,318.17,-1.27,0,318.34,-1.36,0,199579.0,26836.0,1,0.09,-0.60,-0.52,-0.08,28.00,317.78,24.54
2023-09-22 14:15:00,316.95,317.12,316.59,316.89,151863,318.34,-1.39,0,318.35,-1.23,0,318.01,-1.42,0,318.23,-1.34,0,172819.0,-20956.0,0,0.11,-0.64,-0.54,-0.10,29.73,317.60,23.81
