open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi,day_of_week,hour,target
387.74,388.00,387.37,387.64,24612,386.23,1.51,1,386.47,1.53,1,385.68,1.69,1,386.17,1.47,1,43483.0,-18871.0,0,0.82,0.02,-0.26,0.28,13.60,387.29,53.45,3,13,0
387.60,387.91,387.29,387.70,19958,386.24,1.36,1,387.48,0.43,1,386.18,1.11,1,387.17,0.53,1,75221.0,-55263.0,0,0.81,0.06,-0.19,0.26,13.67,387.37,53.86,3,13,0
387.82,388.64,387.71,388.23,45710,387.11,0.71,1,387.21,1.43,1,386.41,1.3,1,386.54,1.69,1,38051.0,7659.0,1,0.91,0.14,-0.13,0.26,14.56,387.54,57.32,3,13,0
388.33,388.47,387.76,387.87,27259,386.6,1.73,1,387.23,1.24,1,386.2,1.56,1,387.13,0.74,1,40526.0,-13267.0,0,0.78,0.16,-0.07,0.23,15.39,387.61,54.34,3,13,0
387.75,387.96,387.20,387.40,35212,387.07,0.68,1,387.5,0.46,1,386.69,0.51,1,387.47,-0.07,0,56690.0,-21478.0,0,0.63,0.15,-0.03,0.17,15.20,387.57,50.63,3,13,0
387.39,388.31,387.29,388.02,31865,387.54,-0.15,0,387.67,0.64,1,386.41,0.88,1,387.03,0.99,1,86838.0,-54973.0,0,0.78,0.18,0.02,0.17,15.43,387.66,54.99,3,13,0
388.00,388.20,387.69,387.74,18685,387.03,0.97,1,387.03,1.17,1,386.25,1.44,1,386.48,1.26,1,25039.0,-6354.0,0,0.68,0.18,0.05,0.13,15.65,387.67,52.73,3,13,0
387.79,388.68,387.79,387.88,31128,386.48,1.31,1,387.94,0.74,1,386.46,1.33,1,387.84,0.04,1,29089.0,2039.0,1,0.71,0.19,0.08,0.12,16.41,387.71,53.75,3,13,0
387.95,388.16,386.63,387.14,46042,387.82,0.13,1,388.18,-0.02,0,387.5,-0.87,0,387.72,-0.58,0,32153.0,13889.0,1,0.41,0.14,0.09,0.05,15.32,387.60,47.85,3,13,0
387.29,387.70,387.13,387.30,13074,387.69,-0.4,0,387.8,-0.1,0,387.25,-0.12,0,387.72,-0.42,0,23676.0,-10602.0,0,0.45,0.11,0.09,0.02,14.30,387.54,49.19,3,13,0
387.41,387.77,387.05,387.05,22692,387.74,-0.33,0,388.0,-0.23,0,387.37,-0.32,0,387.64,-0.59,0,24612.0,-1920.0,0,0.28,0.07,0.09,-0.02,13.32,387.44,47.17,3,13,0
387.05,387.30,386.97,386.97,16351,387.6,-0.55,0,387.91,-0.61,0,387.29,-0.32,0,387.7,-0.73,0,19958.0,-3607.0,0,0.25,0.02,0.08,-0.05,12.52,387.35,46.52,3,13,0
386.95,387.01,386.20,386.49,35845,387.82,-0.87,0,388.64,-1.63,0,387.71,-1.51,0,388.23,-1.74,0,45710.0,-9865.0,0,-0.01,-0.05,0.05,-0.10,12.82,387.18,42.75,3,14,0
386.58,386.82,386.12,386.12,22326,388.33,-1.75,0,388.47,-1.65,0,387.76,-1.64,0,387.87,-1.75,0,27259.0,-4933.0,0,-0.08,-0.13,0.01,-0.15,13.19,386.97,40.05,3,14,0
386.10,386.46,385.82,385.97,18080,387.75,-1.65,0,387.96,-1.5,0,387.2,-1.38,0,387.4,-1.43,0,35212.0,-17132.0,0,-0.03,-0.21,-0.03,-0.18,13.90,386.77,38.98,3,14,0
385.97,385.98,385.50,385.66,59806,387.39,-1.42,0,388.31,-2.33,0,387.29,-1.79,0,388.02,-2.36,0,31865.0,27941.0,1,-0.05,-0.29,-0.08,-0.21,14.92,386.54,36.78,3,14,0
385.55,385.88,385.28,385.87,35940,388.0,-2.45,0,388.2,-2.32,0,387.69,-2.41,0,387.74,-1.87,0,18685.0,17255.0,1,0.06,-0.34,-0.13,-0.20,16.11,386.41,39.28,3,14,0
385.88,385.88,385.33,385.50,23807,387.79,-1.91,0,388.68,-2.8,0,387.79,-2.46,0,387.88,-2.38,0,31128.0,-7321.0,0,0.02,-0.40,-0.19,-0.21,17.21,386.23,36.54,3,14,0
385.50,385.67,384.85,385.11,53179,387.95,-2.45,0,388.16,-2.49,0,386.63,-1.78,0,387.14,-2.03,0,46042.0,7137.0,1,0.00,-0.47,-0.24,-0.23,18.74,386.00,33.86,3,14,0
385.10,386.32,385.10,385.91,30473,387.29,-2.19,0,387.7,-1.38,0,387.13,-2.03,0,387.3,-1.39,0,13074.0,17399.0,1,0.24,-0.46,-0.29,-0.17,18.84,385.99,43.08,3,14,0
386.01,386.57,385.89,386.15,19727,387.41,-1.4,0,387.77,-1.2,0,387.05,-1.16,0,387.05,-0.9,0,22692.0,-2965.0,0,0.33,-0.43,-0.32,-0.11,18.48,386.02,45.53,3,14,0
386.13,386.45,385.80,385.99,19725,387.05,-0.92,0,387.3,-0.85,0,386.97,-1.17,0,386.97,-0.98,0,16351.0,3374.0,1,0.31,-0.41,-0.33,-0.08,18.27,386.01,44.20,3,14,0
385.85,385.93,385.36,385.48,23436,386.95,-1.1,0,387.01,-1.08,0,386.2,-0.84,0,386.49,-1.01,0,35845.0,-12409.0,0,0.19,-0.43,-0.35,-0.08,18.64,385.91,40.00,3,14,0
385.48,385.48,385.00,385.15,24935,386.58,-1.1,0,386.82,-1.34,0,386.12,-1.12,0,386.12,-0.97,0,22326.0,2609.0,1,0.14,-0.47,-0.38,-0.09,19.41,385.75,37.59,3,14,0
385.14,385.56,384.67,385.28,21785,386.1,-0.96,0,386.46,-0.9,0,385.82,-1.15,0,385.97,-0.69,0,18080.0,3705.0,1,0.21,-0.48,-0.40,-0.09,20.48,385.66,39.17,3,15,0
385.35,385.35,384.40,384.49,35228,385.97,-0.62,0,385.98,-0.63,0,385.5,-1.1,0,385.66,-1.17,0,59806.0,-24578.0,0,0.04,-0.55,-0.43,-0.12,21.75,385.43,33.61,3,15,0
384.39,384.50,383.86,384.05,33959,385.55,-1.16,0,385.88,-1.38,0,385.28,-1.42,0,385.87,-1.82,0,35940.0,-1981.0,0,-0.01,-0.64,-0.47,-0.17,23.43,385.15,30.95,3,15,1
384.04,384.46,383.98,384.22,36296,385.88,-1.84,0,385.88,-1.42,0,385.33,-1.35,0,385.5,-1.28,0,23807.0,12489.0,1,0.07,-0.68,-0.51,-0.17,24.98,384.96,33.19,3,15,1
384.11,384.59,384.09,384.50,38940,385.5,-1.39,0,385.67,-1.08,0,384.85,-0.76,0,385.11,-0.61,0,53179.0,-14239.0,0,0.17,-0.68,-0.55,-0.14,26.11,384.87,36.73,3,15,1
384.43,384.52,383.69,383.81,56426,385.1,-0.67,0,386.32,-1.8,0,385.1,-1.41,0,385.91,-2.1,0,30473.0,25953.0,1,0.03,-0.74,-0.58,-0.15,27.54,384.66,32.20,3,15,0
383.73,384.19,383.42,384.00,94228,386.01,-2.28,0,386.57,-2.38,0,385.89,-2.47,0,386.15,-2.15,0,19727.0,74501.0,1,0.12,-0.75,-0.62,-0.13,29.12,384.53,34.59,3,15,0
383.92,384.54,383.52,383.85,67876,386.13,-2.21,0,386.45,-1.91,0,385.8,-2.28,0,385.99,-2.14,0,19725.0,48151.0,1,0.11,-0.77,-0.65,-0.12,29.72,384.39,33.58,3,15,0
383.94,384.53,383.83,384.48,63867,385.85,-1.91,0,385.93,-1.4,0,385.36,-1.53,0,385.48,-1.0,0,23436.0,40431.0,1,0.32,-0.72,-0.66,-0.06,30.28,384.41,41.37,3,15,0
384.40,384.77,384.17,384.18,75023,385.48,-1.08,0,385.48,-0.71,0,385.0,-0.83,0,385.15,-0.97,0,24935.0,50088.0,1,0.25,-0.70,-0.67,-0.03,30.22,384.37,39.04,3,15,0
