open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi,day_of_week,hour,target
245.35,245.40,245.10,245.17,386816,243.69,1.66,1,243.8,1.6,1,243.4,1.7,1,243.74,1.43,1,306647.0,80169.0,1,0.85,0.82,0.76,0.05,46.51,244.81,71.07,1,10,1
245.19,245.72,244.87,244.96,673805,243.75,1.44,1,243.99,1.73,1,243.34,1.53,1,243.52,1.44,1,459996.0,213809.0,1,0.75,0.78,0.77,0.02,47.58,244.84,66.87,1,10,1
244.96,245.81,244.82,245.68,502824,243.53,1.43,1,243.92,1.89,1,243.49,1.33,1,243.71,1.97,1,333910.0,168914.0,1,0.93,0.81,0.77,0.03,48.65,245.01,72.78,1,10,1
245.70,246.65,245.51,246.54,1015053,243.74,1.96,1,244.33,2.32,1,243.71,1.8,1,244.21,2.33,1,800472.0,214581.0,0,1.08,0.88,0.80,0.09,50.28,245.31,77.77,1,10,1
246.52,246.56,246.12,246.13,531491,244.2,2.32,1,244.73,1.83,1,244.14,1.98,1,244.65,1.48,1,725932.0,-194441.0,0,0.92,0.90,0.82,0.08,51.78,245.48,71.09,1,10,0
246.15,246.50,246.13,246.33,366662,244.67,1.48,1,245.27,1.23,1,244.65,1.48,1,245.15,1.18,1,1041878.0,-675216.0,1,0.92,0.92,0.84,0.08,53.18,245.65,72.35,1,10,1
246.33,246.66,245.94,246.39,596692,245.16,1.17,1,245.5,1.16,1,245.02,0.92,1,245.12,1.27,1,827825.0,-231133.0,0,0.88,0.93,0.86,0.07,53.72,245.80,72.76,1,10,1
246.39,246.40,245.84,245.98,375040,245.13,1.26,1,245.32,1.08,1,244.83,1.01,1,244.85,1.13,1,489916.0,-114876.0,0,0.75,0.90,0.86,0.03,53.83,245.83,65.94,1,10,0
245.93,245.96,245.67,245.88,407946,244.85,1.08,1,245.12,0.84,1,244.79,0.88,1,245.1,0.78,1,321395.0,86551.0,1,0.71,0.85,0.86,-0.01,53.29,245.84,64.37,1,10,0
245.84,245.94,245.55,245.69,336869,245.08,0.76,1,245.42,0.52,1,245.0,0.55,1,245.38,0.31,1,398117.0,-61248.0,0,0.64,0.79,0.85,-0.06,52.35,245.81,61.38,1,10,1
245.68,245.75,245.29,245.54,364489,245.35,0.33,1,245.4,0.35,1,245.1,0.19,1,245.17,0.37,1,386816.0,-22327.0,0,0.58,0.72,0.82,-0.10,50.57,245.76,59.13,1,11,1
245.54,245.71,245.39,245.49,288757,245.19,0.35,1,245.72,-0.01,0,244.87,0.52,1,244.96,0.53,1,673805.0,-385048.0,0,0.53,0.65,0.79,-0.13,48.91,245.70,58.26,1,11,0
