datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2021-02-26 14:30:00,233.49,235.25,233.17,233.41,3127234,0.65,-0.62,-1.20,0.58,31.27,232.76,50.29
2021-02-26 15:30:00,233.46,235.35,232.18,232.38,4783009,0.51,-0.59,-1.08,0.48,30.23,232.68,47.03
2021-03-01 09:30:00,235.65,236.67,233.17,235.78,6125382,0.91,-0.30,-0.92,0.63,28.50,233.30,56.95
2021-03-01 10:30:00,235.77,236.70,235.66,236.45,2588637,0.93,-0.00,-0.74,0.73,26.87,233.93,58.59
2021-03-01 11:30:00,236.46,237.24,236.28,236.94,2389916,0.93,0.26,-0.54,0.80,25.04,234.53,59.80
2021-03-01 12:30:00,237.00,237.06,236.06,236.42,1730223,0.84,0.43,-0.35,0.77,23.47,234.91,57.87
2021-03-01 13:30:00,236.41,237.00,236.28,236.80,2239236,0.85,0.58,-0.16,0.74,22.01,235.29,58.91
2021-03-01 14:30:00,236.82,237.29,236.72,237.26,2151173,0.87,0.73,0.02,0.71,20.46,235.68,60.19
2021-03-01 15:30:00,237.25,237.44,236.27,237.18,3366337,0.82,0.84,0.18,0.65,19.32,235.98,59.86
2021-03-02 09:30:00,236.87,237.30,233.95,234.00,6398274,0.54,0.65,0.28,0.38,19.58,235.58,47.89
2021-03-02 10:30:00,233.97,234.65,233.46,234.35,2583908,0.55,0.53,0.33,0.20,20.05,235.34,49.10
2021-03-02 11:30:00,234.33,234.75,233.51,234.66,2012675,0.56,0.46,0.35,0.10,20.41,235.20,50.20
2021-03-02 12:30:00,234.68,235.49,234.54,235.23,1239177,0.60,0.44,0.37,0.07,20.13,235.21,52.24
2021-03-02 13:30:00,235.22,235.75,234.79,234.84,1537828,0.54,0.38,0.37,0.01,19.66,235.13,50.71
2021-03-02 14:30:00,234.84,236.14,234.69,235.02,2154516,0.53,0.35,0.37,-0.02,18.92,235.11,51.42
2021-03-02 15:30:00,235.04,235.26,233.55,233.72,3047183,0.30,0.22,0.34,-0.12,18.93,234.83,46.25
2021-03-03 09:30:00,232.04,233.39,229.45,229.87,7068177,-0.21,-0.19,0.23,-0.42,20.66,233.84,35.02
2021-03-03 10:30:00,229.89,231.54,229.60,231.46,3770921,0.08,-0.39,0.11,-0.50,22.26,233.36,41.35
2021-03-03 11:30:00,231.46,231.56,229.76,229.90,2847575,-0.02,-0.66,-0.04,-0.61,23.73,232.67,37.49
2021-03-03 12:30:00,229.87,229.97,228.91,229.37,3043799,0.00,-0.91,-0.22,-0.69,25.39,232.01,36.24
2021-03-03 13:30:00,229.33,229.48,227.85,228.03,3386159,-0.03,-1.20,-0.41,-0.78,27.26,231.21,33.26
2021-03-03 14:30:00,228.01,228.79,227.43,228.04,4032259,0.03,-1.41,-0.61,-0.80,29.12,230.58,33.30
2021-03-03 15:30:00,228.03,228.30,227.32,227.63,4528806,0.07,-1.60,-0.81,-0.79,30.89,229.99,32.36
2021-03-04 09:30:00,226.95,229.18,226.05,227.76,7832262,0.12,-1.71,-0.99,-0.72,32.89,229.54,32.98
2021-03-04 10:30:00,227.74,231.74,227.63,230.49,5510720,0.34,-1.56,-1.10,-0.46,32.55,229.73,44.98
2021-03-04 11:30:00,230.51,232.49,228.00,228.52,4824881,0.22,-1.59,-1.20,-0.39,31.70,229.49,39.51
2021-03-04 12:30:00,228.38,229.01,226.01,227.42,5731318,0.17,-1.68,-1.30,-0.38,31.72,229.08,36.79
2021-03-04 13:30:00,227.40,227.42,224.26,226.37,5859792,0.13,-1.81,-1.40,-0.41,32.31,228.53,34.38
2021-03-04 14:30:00,226.36,227.80,225.21,226.11,4845358,0.14,-1.92,-1.50,-0.41,32.59,228.05,33.79
2021-03-04 15:30:00,226.10,227.18,225.35,226.90,4792408,0.23,-1.91,-1.58,-0.33,32.85,227.82,37.32
2021-03-05 09:30:00,229.84,229.84,226.92,226.95,7263773,0.26,-1.89,-1.65,-0.24,31.34,227.64,37.52
2021-03-05 10:30:00,226.96,228.38,226.50,227.06,4643543,0.29,-1.83,-1.68,-0.15,30.13,227.53,38.08
