datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2021-02-25 11:30:00,714.81,715.60,687.49,691.00,6612687,0.21,-10.33,-12.16,1.83,41.84,717.18,35.34
2021-02-25 12:30:00,690.37,704.48,683.61,701.87,6438480,0.37,-10.89,-11.91,1.01,42.17,714.12,40.25
2021-02-25 13:30:00,701.21,705.78,694.23,702.33,3484094,0.39,-11.18,-11.76,0.59,42.37,711.76,40.45
2021-02-25 14:30:00,702.09,702.21,680.77,683.77,4354714,0.17,-12.75,-11.96,-0.79,42.96,706.16,35.18
2021-02-25 15:30:00,683.39,689.29,670.58,682.60,41349692,0.17,-13.93,-12.36,-1.58,43.78,701.45,34.87
2021-02-26 09:30:00,700.00,706.70,659.55,660.43,13377227,-0.04,-16.47,-13.18,-3.29,43.16,693.24,29.57
2021-02-26 10:30:00,660.89,688.65,660.59,682.97,6768945,0.22,-16.47,-13.84,-2.63,42.58,691.19,39.62
2021-02-26 11:30:00,682.92,696.50,682.56,688.48,4180402,0.29,-15.84,-14.24,-1.61,41.45,690.65,41.80
2021-02-26 12:30:00,688.66,691.16,675.81,682.49,3258418,0.23,-15.65,-14.52,-1.13,40.69,689.02,40.10
2021-02-26 13:30:00,682.98,683.20,670.71,678.20,3098391,0.21,-15.66,-14.75,-0.91,40.18,686.85,38.88
2021-02-26 14:30:00,677.79,687.31,677.02,678.07,3157376,0.23,-15.50,-14.90,-0.60,39.38,685.10,38.84
2021-02-26 15:30:00,678.40,689.07,670.60,675.50,3478436,0.23,-15.41,-15.00,-0.41,38.92,683.18,38.04
2021-03-01 09:30:00,689.91,708.34,685.05,703.76,8750276,0.53,-12.90,-14.58,1.68,37.04,687.29,50.22
2021-03-01 10:30:00,703.55,717.00,701.21,711.50,5070267,0.63,-10.18,-13.70,3.53,34.74,692.13,52.95
2021-03-01 11:30:00,711.88,716.00,710.40,714.53,2774253,0.68,-7.68,-12.50,4.82,32.60,696.61,54.01
2021-03-01 12:30:00,714.59,718.00,707.56,709.48,2318426,0.64,-6.04,-11.21,5.16,30.79,699.19,51.90
2021-03-01 13:30:00,709.67,712.20,704.86,710.84,2246082,0.69,-4.58,-9.88,5.30,29.28,701.52,52.44
2021-03-01 14:30:00,710.88,715.50,708.74,712.64,2351280,0.76,-3.24,-8.55,5.31,27.62,703.74,53.19
2021-03-01 15:30:00,712.53,718.85,711.68,718.73,2371387,0.86,-1.67,-7.18,5.51,25.82,706.74,55.72
2021-03-02 09:30:00,718.28,721.11,702.25,709.11,6962449,0.72,-1.18,-5.98,4.79,24.80,707.21,51.03
2021-03-02 10:30:00,709.03,712.75,702.90,705.55,3506943,0.65,-1.07,-5.00,3.92,23.86,706.88,49.37
2021-03-02 11:30:00,705.73,707.49,698.60,704.15,3320038,0.63,-1.09,-4.21,3.13,23.28,706.34,48.70
2021-03-02 12:30:00,704.32,706.39,698.50,699.73,1710100,0.56,-1.44,-3.66,2.22,22.76,705.01,46.56
2021-03-02 13:30:00,699.46,702.56,690.12,691.33,2554718,0.43,-2.37,-3.40,1.03,22.85,702.28,42.71
2021-03-02 14:30:00,691.84,697.43,686.68,687.02,2707362,0.35,-3.41,-3.40,-0.01,23.15,699.23,40.84
2021-03-02 15:30:00,686.72,690.00,685.00,686.31,2072098,0.30,-4.25,-3.57,-0.68,23.55,696.64,40.52
2021-03-03 09:30:00,688.00,700.54,674.06,679.29,8029939,0.18,-5.42,-3.94,-1.47,24.57,693.17,37.46
2021-03-03 10:30:00,679.01,694.64,673.89,693.29,4426421,0.42,-5.15,-4.18,-0.97,25.53,693.20,46.21
2021-03-03 11:30:00,693.20,693.88,679.27,680.03,2490946,0.19,-5.94,-4.53,-1.41,26.42,690.56,40.44
2021-03-03 12:30:00,680.65,683.86,676.50,680.56,2001321,0.19,-6.45,-4.92,-1.53,27.42,688.56,40.75
2021-03-03 13:30:00,680.26,680.47,664.49,666.89,3448549,-0.01,-7.87,-5.51,-2.36,29.01,684.23,35.49
2021-03-03 14:30:00,666.30,671.57,655.60,657.35,4558112,-0.08,-9.65,-6.34,-3.31,30.88,678.85,32.34
2021-03-03 15:30:00,656.85,661.15,652.04,652.22,3628079,-0.04,-11.35,-7.34,-4.01,32.75,673.53,30.77
2021-03-04 09:30:00,658.72,668.45,617.41,635.83,15341134,-0.10,-13.85,-8.64,-5.21,35.48,665.99,26.34
2021-03-04 10:30:00,635.14,654.89,633.41,639.40,8466057,0.02,-15.37,-9.99,-5.39,38.01,660.67,28.75
2021-03-04 11:30:00,639.28,646.22,621.02,624.98,6112578,-0.03,-17.54,-11.50,-6.04,40.61,653.53,25.17
2021-03-04 12:30:00,624.65,628.97,606.02,618.70,10538910,0.00,-19.54,-13.11,-6.43,43.26,646.57,23.79
2021-03-04 13:30:00,618.29,618.48,600.00,613.23,10461663,0.03,-21.32,-14.75,-6.57,45.81,639.90,22.62
2021-03-04 14:30:00,611.93,626.31,606.83,616.39,7645748,0.10,-22.22,-16.24,-5.97,47.27,635.20,24.91
2021-03-04 15:30:00,616.09,622.22,614.69,621.49,3618196,0.17,-22.26,-17.45,-4.82,48.63,632.46,28.59
2021-03-05 09:30:00,625.00,625.79,578.31,580.07,21620767,-0.05,-25.35,-19.03,-6.32,50.56,621.98,20.01
2021-03-05 10:30:00,580.31,583.65,539.49,546.80,19122209,-0.13,-30.13,-21.25,-8.88,52.77,606.94,15.89
2021-03-05 11:30:00,550.51,584.79,546.14,581.85,15116386,0.13,-30.74,-23.15,-7.59,54.72,601.92,31.83
2021-03-05 12:30:00,581.86,598.90,579.00,598.02,10999198,0.25,-29.57,-24.43,-5.14,55.36,601.14,37.69
2021-03-05 13:30:00,598.21,606.11,582.46,592.37,7431689,0.24,-28.78,-25.30,-3.48,55.39,599.39,36.51
2021-03-05 14:30:00,592.11,604.71,592.00,596.07,5657245,0.29,-27.53,-25.75,-1.78,55.42,598.72,37.88
2021-03-05 15:30:00,596.28,603.26,595.26,597.95,4161589,0.32,-26.08,-25.81,-0.27,55.44,598.57,38.61
2021-03-08 09:30:00,600.25,620.09,584.11,608.14,16513474,0.41,-23.84,-25.42,1.57,54.10,600.48,42.54
2021-03-08 10:30:00,608.15,612.89,590.00,590.52,6770006,0.30,-23.22,-24.98,1.76,52.86,598.49,38.01
2021-03-08 11:30:00,588.90,593.80,579.51,592.73,6155488,0.34,-22.30,-24.44,2.15,52.07,597.34,38.89
2021-03-08 12:30:00,592.62,594.64,582.53,585.16,3485315,0.29,-21.92,-23.94,2.02,51.27,594.90,36.96
2021-03-08 13:30:00,584.78,585.16,565.00,578.20,6833217,0.24,-21.93,-23.54,1.61,51.10,591.56,35.23
2021-03-08 14:30:00,578.20,580.00,558.80,560.56,6107981,0.09,-23.09,-23.45,0.35,51.12,585.36,31.23
2021-03-08 15:30:00,560.61,572.64,560.61,562.14,4405771,0.14,-23.62,-23.48,-0.14,51.14,580.72,31.97
2021-03-09 09:30:00,608.50,633.69,595.21,631.43,14812917,0.91,-18.23,-22.43,4.20,47.70,590.86,54.98
2021-03-09 10:30:00,631.17,644.76,623.35,643.65,8725348,1.00,-12.83,-20.51,7.68,44.96,601.42,57.70
2021-03-09 11:30:00,643.50,648.00,638.50,644.29,6490304,0.96,-8.40,-18.09,9.69,42.54,609.99,57.84
2021-03-09 12:30:00,644.53,672.92,643.49,668.67,10134214,1.08,-2.89,-15.05,12.16,41.21,621.73,63.00
2021-03-09 13:30:00,668.89,678.09,657.40,660.88,10245315,0.95,0.84,-11.87,12.71,40.15,629.56,60.45
2021-03-09 14:30:00,660.85,674.91,660.82,672.22,6767757,0.97,4.66,-8.56,13.22,39.16,638.09,62.81
2021-03-09 15:30:00,672.20,675.23,664.00,673.59,5081497,0.92,7.71,-5.31,13.02,38.25,645.19,63.09
2021-03-10 09:30:00,703.15,717.85,677.72,678.50,22296298,0.91,10.40,-2.17,12.57,38.68,651.85,64.15
2021-03-10 10:30:00,678.70,692.99,670.00,684.77,10713148,0.90,12.89,0.84,12.04,38.61,658.44,65.52
