datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-12 10:40:00,145.97,146.08,145.93,146.05,89657,0.63,-0.02,-0.03,0.01,6.47,146.01,51.17
2023-12-12 10:41:00,146.05,146.07,145.96,146.07,79815,0.70,-0.01,-0.03,0.01,6.18,146.02,52.27
2023-12-12 10:42:00,146.07,146.17,146.06,146.12,88194,0.85,-0.01,-0.02,0.02,6.61,146.04,54.99
2023-12-12 10:43:00,146.13,146.13,146.00,146.02,86096,0.51,-0.01,-0.02,0.01,6.35,146.03,48.98
2023-12-12 10:44:00,146.00,146.07,145.94,146.07,45406,0.71,-0.00,-0.02,0.01,6.29,146.04,51.82
2023-12-12 10:45:00,146.07,146.12,146.05,146.07,60606,0.71,0.00,-0.01,0.01,5.96,146.05,51.82
2023-12-12 10:46:00,146.06,146.06,145.96,146.05,44992,0.66,0.00,-0.01,0.01,6.28,146.05,50.51
2023-12-12 10:47:00,146.04,146.13,146.00,146.06,60663,0.71,0.00,-0.01,0.01,5.86,146.05,51.17
2023-12-12 10:48:00,146.07,146.07,145.98,146.03,47210,0.57,0.00,-0.01,0.01,5.66,146.05,49.06
2023-12-12 10:49:00,146.03,146.03,145.97,145.99,61450,0.40,-0.00,-0.01,0.00,5.58,146.04,46.31
2023-12-12 10:50:00,145.99,146.00,145.84,145.96,101879,0.31,-0.01,-0.01,-0.00,6.65,146.02,44.62
2023-12-12 10:51:00,145.96,145.99,145.87,145.87,44232,-0.04,-0.02,-0.01,-0.01,7.65,145.99,38.58
2023-12-12 10:52:00,145.87,145.97,145.87,145.95,42289,0.26,-0.02,-0.01,-0.01,8.57,145.98,45.36
2023-12-12 10:53:00,145.96,145.97,145.91,145.93,44877,0.18,-0.03,-0.01,-0.01,9.43,145.97,44.30
2023-12-12 10:54:00,145.94,145.97,145.91,145.95,43225,0.22,-0.03,-0.02,-0.01,10.23,145.97,45.27
2023-12-12 10:55:00,145.94,146.06,145.94,146.02,60674,0.53,-0.02,-0.02,-0.00,9.69,145.98,50.99
2023-12-12 10:56:00,146.01,146.04,145.98,145.99,59821,0.39,-0.02,-0.02,-0.00,9.20,145.98,48.50
2023-12-12 10:57:00,145.98,146.04,145.98,146.02,34864,0.54,-0.02,-0.02,0.00,8.74,145.99,51.07
2023-12-12 10:58:00,146.02,146.13,146.02,146.11,91221,0.88,-0.01,-0.02,0.01,9.09,146.01,57.13
2023-12-12 10:59:00,146.11,146.20,146.08,146.10,119874,0.81,0.00,-0.01,0.01,10.11,146.03,56.30
2023-12-12 11:00:00,146.09,146.23,146.09,146.22,70541,1.12,0.02,-0.01,0.02,11.28,146.07,63.28
2023-12-12 11:01:00,146.23,146.32,146.18,146.28,102369,1.13,0.04,0.00,0.03,13.13,146.11,66.13
2023-12-12 11:02:00,146.28,146.32,146.22,146.32,83323,1.10,0.05,0.01,0.04,14.84,146.15,67.95
2023-12-12 11:03:00,146.30,146.35,146.29,146.29,82982,0.96,0.06,0.02,0.04,16.66,146.18,65.13
2023-12-12 11:04:00,146.29,146.39,146.27,146.38,73295,1.03,0.07,0.03,0.04,18.64,146.22,69.25
2023-12-12 11:05:00,146.38,146.47,146.31,146.37,202459,0.95,0.08,0.04,0.04,20.98,146.25,68.28
2023-12-12 11:06:00,146.37,146.46,146.35,146.44,85013,0.97,0.10,0.05,0.04,23.15,146.29,71.23
2023-12-12 11:07:00,146.44,146.47,146.34,146.37,152977,0.83,0.10,0.06,0.04,24.95,146.30,64.33
2023-12-12 11:08:00,146.35,146.42,146.34,146.35,68203,0.78,0.10,0.07,0.03,26.61,146.31,62.98
