datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-12 10:40:00,329.60,329.65,329.47,329.52,39354,0.25,0.01,0.09,-0.09,18.18,329.70,46.55
2023-12-12 10:41:00,329.55,329.55,329.29,329.48,41914,0.23,-0.01,0.07,-0.09,17.76,329.66,45.99
2023-12-12 10:42:00,329.45,329.53,329.33,329.36,26046,0.15,-0.04,0.05,-0.09,17.36,329.60,43.90
2023-12-12 10:43:00,329.36,329.40,329.14,329.17,24797,0.07,-0.08,0.02,-0.10,17.46,329.51,41.03
2023-12-12 10:44:00,329.22,329.22,328.98,329.18,36728,0.12,-0.10,-0.00,-0.10,17.93,329.45,41.26
2023-12-12 10:45:00,329.22,329.53,329.20,329.42,29841,0.32,-0.10,-0.02,-0.08,17.32,329.44,46.49
2023-12-12 10:46:00,329.40,329.40,328.97,329.06,30267,0.09,-0.13,-0.04,-0.09,17.31,329.36,40.64
2023-12-12 10:47:00,329.04,329.34,328.97,329.19,40817,0.22,-0.14,-0.06,-0.08,17.31,329.33,43.41
2023-12-12 10:48:00,329.15,329.21,328.91,329.01,40992,0.13,-0.16,-0.08,-0.08,17.46,329.27,40.59
2023-12-12 10:49:00,329.08,329.17,328.95,329.17,17976,0.26,-0.16,-0.10,-0.06,17.59,329.25,44.07
2023-12-12 10:50:00,329.18,329.68,328.98,329.65,48277,0.66,-0.12,-0.10,-0.02,16.65,329.33,52.92
2023-12-12 10:51:00,329.63,329.69,329.38,329.57,50297,0.62,-0.10,-0.10,0.00,15.81,329.37,51.42
2023-12-12 10:52:00,329.61,330.13,329.46,330.13,53850,1.05,-0.03,-0.09,0.06,16.15,329.53,59.90
2023-12-12 10:53:00,330.12,330.18,329.98,329.99,28763,0.88,0.01,-0.07,0.08,16.59,329.62,57.23
2023-12-12 10:54:00,329.96,329.96,329.44,329.71,21063,0.66,0.02,-0.05,0.07,15.45,329.64,52.18
2023-12-12 10:55:00,329.71,329.86,329.71,329.79,15665,0.70,0.03,-0.03,0.07,14.40,329.67,53.54
2023-12-12 10:56:00,329.78,329.93,329.76,329.79,28585,0.68,0.04,-0.02,0.06,13.52,329.69,53.46
2023-12-12 10:57:00,329.80,329.81,329.55,329.55,10990,0.53,0.03,-0.01,0.04,13.00,329.66,49.05
2023-12-12 10:58:00,329.57,329.88,329.57,329.80,44495,0.74,0.04,0.00,0.04,12.31,329.69,53.29
2023-12-12 10:59:00,329.80,329.95,329.80,329.91,381391,0.81,0.06,0.01,0.05,11.44,329.73,55.18
2023-12-12 11:00:00,329.92,330.00,329.71,329.71,28809,0.64,0.06,0.02,0.03,10.91,329.73,51.37
2023-12-12 11:01:00,329.73,329.88,329.56,329.77,25209,0.67,0.06,0.03,0.03,10.88,329.74,52.37
2023-12-12 11:02:00,329.75,329.83,329.73,329.73,6863,0.63,0.05,0.03,0.02,10.84,329.74,51.54
2023-12-12 11:03:00,329.87,329.97,329.83,329.88,18838,0.72,0.06,0.04,0.02,10.28,329.77,54.46
2023-12-12 11:04:00,329.88,330.29,329.79,330.16,30198,0.90,0.09,0.05,0.04,10.37,329.84,59.38
2023-12-12 11:05:00,330.17,330.45,330.15,330.37,47950,0.98,0.13,0.07,0.06,10.91,329.95,62.63
2023-12-12 11:06:00,330.36,330.50,330.29,330.39,32736,0.94,0.16,0.08,0.07,11.53,330.04,62.86
2023-12-12 11:07:00,330.40,330.40,329.95,330.04,23097,0.68,0.15,0.10,0.05,10.87,330.04,54.57
2023-12-12 11:08:00,330.04,330.04,329.83,329.83,14917,0.48,0.13,0.10,0.03,10.33,329.99,50.14
2023-12-12 11:09:00,329.84,329.97,329.80,329.92,17383,0.54,0.12,0.11,0.01,9.91,329.98,51.99
2023-12-12 11:10:00,329.96,330.01,329.84,329.90,16111,0.50,0.10,0.11,-0.00,9.38,329.96,51.56
2023-12-12 11:11:00,329.93,329.95,329.78,329.79,12458,0.36,0.08,0.10,-0.02,9.09,329.93,49.12
2023-12-12 11:12:00,329.80,329.80,329.60,329.66,26504,0.24,0.06,0.09,-0.04,9.44,329.88,46.34
2023-12-12 11:13:00,329.65,329.70,329.52,329.68,25586,0.28,0.04,0.08,-0.04,10.02,329.84,46.83
2023-12-12 11:14:00,329.70,329.70,329.61,329.66,10046,0.26,0.02,0.07,-0.05,10.53,329.80,46.37
2023-12-12 11:15:00,329.64,329.69,329.58,329.66,18813,0.27,0.01,0.06,-0.05,11.11,329.77,46.37
2023-12-12 11:16:00,329.66,329.80,329.42,329.42,23025,0.07,-0.02,0.04,-0.07,12.17,329.70,40.84
2023-12-12 11:17:00,329.46,329.59,329.43,329.54,19658,0.19,-0.04,0.03,-0.06,13.16,329.67,44.34
2023-12-12 11:18:00,329.54,329.54,329.48,329.48,4638,0.16,-0.05,0.01,-0.06,14.07,329.63,42.92
2023-12-12 11:19:00,329.34,329.37,329.33,329.37,4127,0.10,-0.07,-0.01,-0.07,15.43,329.58,40.35
2023-12-12 11:20:00,329.38,329.39,329.33,329.39,49349,0.16,-0.09,-0.02,-0.06,16.54,329.54,41.09
2023-12-12 11:21:00,329.40,329.80,329.40,329.70,22643,0.43,-0.07,-0.03,-0.04,15.40,329.57,50.57
2023-12-12 11:22:00,329.66,330.06,329.64,330.01,30674,0.69,-0.03,-0.03,-0.00,15.24,329.66,57.92
2023-12-12 11:23:00,330.01,330.23,329.77,329.86,26865,0.56,-0.02,-0.03,0.01,15.65,329.70,53.61
2023-12-12 11:24:00,329.86,330.10,329.86,330.07,16362,0.75,0.01,-0.02,0.04,16.03,329.77,58.22
2023-12-12 11:25:00,330.09,330.15,329.92,329.92,21043,0.65,0.03,-0.01,0.04,16.55,329.80,54.18
2023-12-12 11:26:00,329.88,329.90,329.67,329.68,24550,0.44,0.02,-0.01,0.02,15.84,329.78,48.38
2023-12-12 11:27:00,329.64,329.93,329.63,329.83,17670,0.65,0.02,-0.00,0.02,15.00,329.79,51.96
2023-12-12 11:28:00,329.81,329.86,329.58,329.59,9638,0.35,0.00,0.00,0.00,13.99,329.75,46.48
2023-12-12 11:29:00,329.61,329.61,329.33,329.48,26448,0.25,-0.02,-0.00,-0.01,13.93,329.70,44.28
2023-12-12 11:30:00,329.50,329.71,329.49,329.66,17916,0.48,-0.02,-0.01,-0.01,13.39,329.69,48.61
2023-12-12 11:31:00,329.70,329.73,329.35,329.35,17445,0.12,-0.05,-0.01,-0.03,13.43,329.62,42.32
2023-12-12 11:32:00,329.35,329.61,329.30,329.60,23713,0.44,-0.05,-0.02,-0.03,13.64,329.62,48.17
2023-12-12 11:33:00,329.65,329.65,329.45,329.46,33330,0.29,-0.06,-0.03,-0.03,13.64,329.59,45.44
