datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-11 10:40:00,368.91,369.02,368.75,368.91,48239,0.87,0.06,0.02,0.04,17.50,368.78,54.72
2023-12-11 10:41:00,368.90,369.10,368.89,369.08,62098,1.06,0.08,0.03,0.05,19.12,368.84,57.95
2023-12-11 10:42:00,369.06,369.08,368.77,369.04,42287,0.94,0.09,0.04,0.05,19.79,368.88,56.92
2023-12-11 10:43:00,369.06,369.28,369.04,369.20,66900,1.05,0.11,0.06,0.05,21.05,368.94,59.89
2023-12-11 10:44:00,369.20,369.30,369.11,369.19,46952,0.97,0.13,0.07,0.06,22.28,368.99,59.75
2023-12-11 10:45:00,369.17,369.70,369.16,369.60,109468,1.20,0.17,0.09,0.08,24.40,369.12,66.76
2023-12-11 10:46:00,369.66,369.83,369.32,369.38,92558,0.93,0.18,0.11,0.07,26.62,369.17,60.65
2023-12-11 10:47:00,369.42,370.09,369.42,370.09,74508,1.24,0.25,0.14,0.11,29.11,369.35,70.17
2023-12-11 10:48:00,370.07,370.20,369.97,370.05,64419,1.08,0.30,0.17,0.13,31.58,369.49,69.23
2023-12-11 10:49:00,370.06,370.20,369.99,370.00,53572,0.97,0.32,0.20,0.12,33.88,369.59,67.78
2023-12-11 10:50:00,370.02,370.37,369.88,370.24,65431,1.00,0.36,0.23,0.13,36.25,369.72,70.67
2023-12-11 10:51:00,370.29,370.33,370.02,370.14,58622,0.90,0.38,0.26,0.12,38.45,369.81,67.97
2023-12-11 10:52:00,370.17,370.44,370.17,370.21,56562,0.88,0.39,0.29,0.11,40.65,369.89,68.86
2023-12-11 10:53:00,370.20,370.56,370.12,370.40,65674,0.91,0.42,0.31,0.10,42.85,369.99,71.24
2023-12-11 10:54:00,370.38,370.40,370.17,370.30,44719,0.83,0.42,0.34,0.09,44.90,370.05,68.28
2023-12-11 10:55:00,370.32,370.42,370.21,370.26,47901,0.79,0.42,0.35,0.07,46.82,370.09,67.09
2023-12-11 10:56:00,370.29,370.33,370.15,370.21,43552,0.74,0.40,0.36,0.04,48.09,370.12,65.53
2023-12-11 10:57:00,370.21,370.44,370.20,370.32,51386,0.76,0.40,0.37,0.03,49.47,370.16,67.32
2023-12-11 10:58:00,370.32,370.32,370.10,370.11,44134,0.65,0.37,0.37,0.00,49.90,370.15,60.83
2023-12-11 10:59:00,370.11,370.14,369.78,369.80,54957,0.49,0.32,0.36,-0.04,48.14,370.08,52.74
2023-12-11 11:00:00,369.80,369.97,369.49,369.95,54536,0.54,0.30,0.35,-0.05,45.10,370.05,55.90
2023-12-11 11:01:00,370.00,370.27,369.90,370.23,31992,0.68,0.29,0.34,-0.05,43.29,370.09,60.97
2023-12-11 11:02:00,370.21,370.28,369.98,370.02,25634,0.53,0.27,0.32,-0.06,41.65,370.08,55.74
2023-12-11 11:03:00,370.02,370.15,369.89,370.08,41566,0.54,0.25,0.31,-0.06,39.70,370.08,56.81
2023-12-11 11:04:00,370.09,370.17,369.90,369.98,45888,0.41,0.23,0.29,-0.07,37.95,370.06,54.33
2023-12-11 11:05:00,369.96,369.96,369.58,369.62,41665,0.03,0.18,0.27,-0.09,35.54,369.97,46.47
2023-12-11 11:06:00,369.58,369.77,369.38,369.52,61135,-0.14,0.13,0.24,-0.11,33.99,369.88,44.42
2023-12-11 11:07:00,369.53,369.80,369.52,369.65,44697,0.08,0.10,0.21,-0.11,32.41,369.83,47.58
2023-12-11 11:08:00,369.65,369.72,369.11,369.22,52268,-0.16,0.04,0.18,-0.14,32.13,369.71,39.81
2023-12-11 11:09:00,369.23,369.25,368.89,368.90,56199,-0.18,-0.03,0.13,-0.17,32.40,369.55,35.27
2023-12-11 11:10:00,368.91,368.92,368.47,368.47,49682,-0.20,-0.12,0.08,-0.21,33.43,369.33,30.15
2023-12-11 11:11:00,368.46,368.60,368.46,368.54,86619,-0.05,-0.19,0.03,-0.22,34.40,369.17,31.74
2023-12-11 11:12:00,368.54,368.84,368.46,368.46,62213,0.01,-0.24,-0.03,-0.22,34.24,369.03,30.93
2023-12-11 11:13:00,368.46,368.55,368.15,368.28,51822,0.02,-0.30,-0.08,-0.22,34.69,368.88,28.81
2023-12-11 11:14:00,368.23,368.28,368.10,368.27,36762,0.07,-0.34,-0.13,-0.21,35.19,368.76,28.64
2023-12-11 11:15:00,368.25,368.41,368.23,368.33,41636,0.14,-0.36,-0.18,-0.18,35.10,368.67,30.56
2023-12-11 11:16:00,368.33,368.58,368.30,368.58,38362,0.25,-0.35,-0.21,-0.14,34.31,368.65,37.54
2023-12-11 11:17:00,368.57,368.65,368.37,368.37,40743,0.21,-0.36,-0.24,-0.12,33.31,368.60,34.41
2023-12-11 11:18:00,368.36,368.54,368.29,368.54,28112,0.29,-0.35,-0.26,-0.09,32.59,368.58,38.73
2023-12-11 11:19:00,368.54,368.58,368.17,368.34,73265,0.24,-0.35,-0.28,-0.07,32.25,368.54,35.73
2023-12-11 11:20:00,368.35,368.40,368.26,368.32,24434,0.26,-0.35,-0.29,-0.06,31.93,368.49,35.43
2023-12-11 11:21:00,368.27,368.38,368.09,368.14,35826,0.22,-0.36,-0.31,-0.05,32.07,368.42,32.74
2023-12-11 11:22:00,368.15,368.30,368.09,368.27,39085,0.29,-0.36,-0.32,-0.04,32.21,368.39,36.35
2023-12-11 11:23:00,368.26,368.52,368.17,368.42,30849,0.37,-0.33,-0.32,-0.01,31.23,368.40,40.61
2023-12-11 11:24:00,368.42,368.68,368.42,368.60,33565,0.48,-0.30,-0.32,0.02,29.67,368.44,45.22
2023-12-11 11:25:00,368.63,368.82,368.63,368.79,26663,0.62,-0.25,-0.30,0.05,27.66,368.51,49.61
2023-12-11 11:26:00,368.75,368.79,368.59,368.70,24911,0.60,-0.22,-0.29,0.07,25.95,368.55,47.55
2023-12-11 11:27:00,368.68,368.80,368.68,368.72,21306,0.71,-0.19,-0.27,0.08,24.31,368.58,48.16
2023-12-11 11:28:00,368.70,368.70,368.32,368.50,32159,0.53,-0.19,-0.25,0.07,24.04,368.56,43.37
2023-12-11 11:29:00,368.52,368.57,368.33,368.44,32521,0.48,-0.18,-0.24,0.06,23.78,368.54,42.14
2023-12-11 11:30:00,368.49,368.54,368.40,368.42,17780,0.45,-0.18,-0.23,0.05,23.54,368.52,41.71
2023-12-11 11:31:00,368.43,368.47,368.09,368.22,64500,0.19,-0.19,-0.22,0.03,24.25,368.46,37.62
2023-12-11 11:32:00,368.20,368.35,367.95,368.33,91618,0.36,-0.19,-0.21,0.02,25.26,368.43,41.04
2023-12-11 11:33:00,368.26,368.29,367.82,367.96,43020,-0.07,-0.22,-0.21,-0.00,26.49,368.34,34.24
2023-12-11 11:34:00,367.97,368.43,367.95,368.33,48131,0.39,-0.20,-0.21,0.01,26.89,368.34,44.20
2023-12-11 11:35:00,368.34,368.36,367.98,367.99,43926,0.03,-0.22,-0.21,-0.01,27.26,368.27,38.44
2023-12-11 11:36:00,367.98,368.10,367.96,368.05,29994,0.14,-0.22,-0.22,-0.01,27.66,368.22,39.81
2023-12-11 11:37:00,368.03,368.30,368.03,368.26,29964,0.38,-0.21,-0.21,0.01,26.95,368.23,44.95
2023-12-11 11:38:00,368.27,368.50,368.19,368.48,25361,0.63,-0.18,-0.21,0.03,25.34,368.28,49.67
2023-12-11 11:39:00,368.47,368.47,368.32,368.34,23569,0.47,-0.16,-0.20,0.04,23.86,368.29,46.92
2023-12-11 11:40:00,368.35,368.44,368.17,368.17,20641,0.30,-0.16,-0.19,0.03,23.08,368.27,43.73
2023-12-11 11:41:00,368.18,368.18,367.88,368.02,46484,0.15,-0.17,-0.19,0.02,23.30,368.22,41.08
2023-12-11 11:42:00,368.04,368.32,368.04,368.07,24717,0.22,-0.17,-0.18,0.01,22.86,368.19,42.34
2023-12-11 11:43:00,368.04,368.20,367.95,368.20,39791,0.37,-0.16,-0.18,0.02,22.74,368.19,45.58
2023-12-11 11:44:00,368.20,368.21,367.98,368.14,28670,0.33,-0.15,-0.17,0.02,22.58,368.18,44.34
2023-12-11 11:45:00,368.16,368.25,367.95,368.08,46096,0.28,-0.15,-0.17,0.02,22.22,368.16,43.01
2023-12-11 11:46:00,368.07,368.11,367.97,368.10,33167,0.32,-0.15,-0.17,0.02,21.89,368.15,43.54
2023-12-11 11:47:00,368.10,368.17,367.97,368.08,34463,0.31,-0.15,-0.16,0.02,21.26,368.13,43.19
2023-12-11 11:48:00,368.10,368.23,368.08,368.09,22711,0.34,-0.14,-0.16,0.02,20.31,368.12,43.52
2023-12-11 11:49:00,368.10,368.26,368.01,368.21,23363,0.56,-0.12,-0.15,0.03,19.78,368.14,47.44
2023-12-11 11:50:00,368.20,368.37,368.17,368.28,27636,0.70,-0.11,-0.14,0.04,18.66,368.17,49.54
2023-12-11 11:51:00,368.30,368.33,368.23,368.24,21187,0.64,-0.09,-0.13,0.04,17.62,368.18,48.55
2023-12-11 11:52:00,368.25,368.34,368.23,368.34,33509,0.81,-0.07,-0.12,0.05,16.59,368.22,51.68
2023-12-11 11:53:00,368.33,368.33,368.20,368.29,23257,0.70,-0.06,-0.11,0.05,15.80,368.23,49.96
2023-12-11 11:54:00,368.29,368.31,368.19,368.27,16302,0.66,-0.05,-0.10,0.04,15.13,368.24,49.08
2023-12-11 11:55:00,368.25,368.29,368.16,368.25,20837,0.61,-0.05,-0.09,0.04,14.70,368.24,48.53
2023-12-11 11:56:00,368.25,368.28,368.12,368.24,23414,0.58,-0.04,-0.08,0.04,14.56,368.24,48.33
2023-12-11 11:57:00,368.25,368.42,368.23,368.42,35790,0.92,-0.03,-0.07,0.04,13.65,368.28,55.13
2023-12-11 11:58:00,368.47,368.58,368.39,368.43,37632,0.97,-0.01,-0.06,0.05,13.78,368.31,55.49
2023-12-11 11:59:00,368.40,368.57,368.33,368.54,22116,1.09,0.01,-0.04,0.05,13.47,368.35,59.36
2023-12-11 12:00:00,368.52,368.52,368.20,368.26,33675,0.56,0.00,-0.03,0.04,12.69,368.34,47.94
2023-12-11 12:01:00,368.26,368.34,368.03,368.33,46774,0.68,0.01,-0.03,0.03,12.91,368.34,50.68
2023-12-11 12:02:00,368.34,368.42,368.19,368.24,26495,0.48,-0.00,-0.02,0.02,12.58,368.32,47.41
2023-12-11 12:03:00,368.25,368.56,368.23,368.48,48188,0.91,0.01,-0.01,0.03,11.91,368.35,55.42
2023-12-11 12:04:00,368.53,368.55,368.44,368.55,26929,0.97,0.03,-0.01,0.03,11.30,368.39,57.49
2023-12-11 12:05:00,368.56,368.78,368.54,368.78,27955,1.18,0.06,0.01,0.05,11.89,368.47,63.48
2023-12-11 12:06:00,368.79,369.05,368.79,368.89,41870,1.16,0.09,0.02,0.07,13.46,368.55,65.95
2023-12-11 12:07:00,368.93,369.04,368.73,368.99,46838,1.13,0.12,0.04,0.08,14.52,368.64,68.17
2023-12-11 12:08:00,369.01,369.03,368.64,368.69,24718,0.78,0.12,0.06,0.06,14.95,368.65,56.64
2023-12-11 12:09:00,368.69,368.74,368.64,368.64,20488,0.71,0.12,0.07,0.05,15.35,368.65,55.16
2023-12-11 12:10:00,368.64,368.68,368.53,368.55,26524,0.59,0.11,0.08,0.03,15.00,368.63,52.15
2023-12-11 12:11:00,368.57,368.72,368.57,368.65,22439,0.68,0.10,0.08,0.02,14.87,368.63,54.94
2023-12-11 12:12:00,368.68,368.86,368.59,368.83,31762,0.84,0.11,0.09,0.02,15.36,368.67,59.64
2023-12-11 12:13:00,368.84,368.94,368.73,368.76,29327,0.73,0.11,0.09,0.02,16.18,368.69,56.97
2023-12-11 12:14:00,368.78,368.93,368.76,368.80,16539,0.76,0.12,0.10,0.02,16.94,368.71,58.13
2023-12-11 12:15:00,368.79,368.82,368.54,368.63,29174,0.55,0.10,0.10,0.00,16.21,368.70,52.23
2023-12-11 12:16:00,368.65,368.65,368.39,368.39,26896,0.25,0.07,0.10,-0.02,15.37,368.63,45.18
2023-12-11 12:17:00,368.39,368.49,368.34,368.34,20466,0.20,0.05,0.09,-0.04,14.84,368.58,43.85
2023-12-11 12:18:00,368.35,368.35,368.19,368.23,26817,0.11,0.01,0.07,-0.06,15.03,368.51,41.11
2023-12-11 12:19:00,368.26,368.37,368.25,368.36,26545,0.27,0.00,0.06,-0.06,15.09,368.48,45.47
2023-12-11 12:20:00,368.36,368.41,368.21,368.36,21159,0.25,-0.01,0.04,-0.05,14.88,368.45,45.47
2023-12-11 12:21:00,368.35,368.41,368.31,368.39,21675,0.28,-0.02,0.03,-0.05,14.70,368.44,46.57
2023-12-11 12:22:00,368.40,368.55,368.33,368.54,32059,0.43,-0.01,0.02,-0.03,13.66,368.46,51.81
2023-12-11 12:23:00,368.53,368.54,368.42,368.43,27001,0.30,-0.01,0.02,-0.03,12.69,368.45,48.09
2023-12-11 12:24:00,368.43,368.49,368.40,368.42,48398,0.30,-0.02,0.01,-0.03,11.92,368.45,47.75
2023-12-11 12:25:00,368.43,368.44,368.27,368.36,35556,0.26,-0.02,0.00,-0.03,12.00,368.43,45.85
2023-12-11 12:26:00,368.37,368.38,368.17,368.26,41477,0.17,-0.04,-0.01,-0.03,12.60,368.40,42.39
2023-12-11 12:27:00,368.26,368.70,368.26,368.60,61636,0.63,-0.02,-0.01,-0.01,12.20,368.44,54.40
2023-12-11 12:28:00,368.62,368.64,368.51,368.51,30400,0.51,-0.01,-0.01,-0.00,11.83,368.45,51.35
2023-12-11 12:29:00,368.52,368.63,368.44,368.52,22954,0.53,-0.01,-0.01,0.00,11.06,368.47,51.67
2023-12-11 12:30:00,368.53,368.56,368.44,368.48,13448,0.48,-0.01,-0.01,0.00,10.35,368.47,50.23
2023-12-11 12:31:00,368.47,368.66,368.47,368.63,24988,0.71,0.01,-0.00,0.01,10.28,368.50,55.27
2023-12-11 12:32:00,368.64,368.64,368.48,368.54,20260,0.60,0.01,-0.00,0.01,10.21,368.51,51.70
2023-12-11 12:33:00,368.52,368.56,368.39,368.50,19453,0.57,0.01,0.00,0.01,9.53,368.51,50.41
2023-12-11 12:34:00,368.50,368.53,368.33,368.33,14554,0.25,-0.00,-0.00,-0.00,9.19,368.47,44.58
2023-12-11 12:35:00,368.36,368.41,368.27,368.35,19166,0.32,-0.01,-0.00,-0.01,9.25,368.45,45.38
2023-12-11 12:36:00,368.35,368.53,368.33,368.36,19790,0.33,-0.02,-0.01,-0.01,8.71,368.43,45.59
2023-12-11 12:37:00,368.37,368.45,368.36,368.45,22843,0.55,-0.02,-0.01,-0.01,8.20,368.43,49.59
2023-12-11 12:38:00,368.46,368.55,368.45,368.45,15662,0.53,-0.02,-0.01,-0.01,8.40,368.44,49.75
2023-12-11 12:39:00,368.45,368.59,368.42,368.58,18474,0.83,-0.00,-0.01,0.01,8.80,368.47,54.88
2023-12-11 12:40:00,368.60,368.67,368.58,368.66,30663,0.96,0.01,-0.00,0.02,9.65,368.50,57.76
2023-12-11 12:41:00,368.65,368.69,368.45,368.48,19884,0.51,0.01,-0.00,0.01,9.42,368.50,49.74
2023-12-11 12:42:00,368.48,368.56,368.29,368.30,38873,0.13,-0.01,-0.00,-0.00,9.32,368.46,43.58
2023-12-11 12:43:00,368.27,368.35,368.16,368.26,23976,0.08,-0.02,-0.01,-0.02,9.92,368.42,42.13
2023-12-11 12:44:00,368.26,368.52,368.25,368.48,45956,0.56,-0.02,-0.01,-0.01,9.39,368.43,51.07
2023-12-11 12:45:00,368.48,368.65,368.42,368.63,50362,0.83,0.00,-0.01,0.01,9.25,368.47,55.71
2023-12-11 12:46:00,368.65,368.66,368.57,368.58,16682,0.70,0.01,-0.00,0.01,9.17,368.49,53.63
2023-12-11 12:47:00,368.60,368.63,368.52,368.55,13325,0.64,0.01,-0.00,0.01,8.79,368.50,52.48
2023-12-11 12:48:00,368.55,368.62,368.43,368.46,18042,0.46,0.01,0.00,0.01,8.44,368.49,49.26
2023-12-11 12:49:00,368.45,368.57,368.45,368.55,19881,0.66,0.01,0.00,0.01,8.11,368.51,52.58
2023-12-11 12:50:00,368.56,368.70,368.56,368.70,23862,0.93,0.03,0.01,0.02,8.07,368.54,57.56
2023-12-11 12:51:00,368.69,368.69,368.60,368.65,18108,0.82,0.04,0.01,0.02,8.03,368.57,55.47
2023-12-11 12:52:00,368.65,368.80,368.65,368.80,18777,1.03,0.05,0.02,0.03,8.64,368.61,60.15
2023-12-11 12:53:00,368.82,368.85,368.70,368.79,26615,0.94,0.07,0.03,0.03,9.48,368.65,59.70
2023-12-11 12:54:00,368.79,368.90,368.76,368.90,22815,1.03,0.08,0.04,0.04,10.52,368.70,63.01
2023-12-11 12:55:00,368.92,368.92,368.82,368.84,19344,0.89,0.09,0.05,0.04,11.60,368.73,60.09
2023-12-11 12:56:00,368.82,368.93,368.79,368.89,22049,0.91,0.10,0.06,0.04,12.34,368.76,61.66
2023-12-11 12:57:00,368.89,368.91,368.79,368.83,17729,0.79,0.10,0.07,0.03,12.98,368.77,58.68
2023-12-11 12:58:00,368.81,368.94,368.81,368.92,16687,0.87,0.11,0.08,0.03,13.77,368.80,61.67
2023-12-11 12:59:00,368.93,369.08,368.89,369.05,36288,0.96,0.12,0.09,0.04,15.30,368.85,65.56
2023-12-11 13:00:00,369.02,369.08,368.97,369.08,44144,0.93,0.14,0.10,0.04,16.72,368.90,66.40
2023-12-11 13:01:00,369.08,369.26,368.92,368.98,74551,0.79,0.14,0.10,0.03,18.88,368.91,61.02
2023-12-11 13:02:00,369.02,369.60,369.01,369.58,60118,1.22,0.18,0.12,0.06,21.90,369.05,74.42
2023-12-11 13:03:00,369.58,369.81,369.56,369.64,56838,1.14,0.22,0.14,0.08,25.12,369.17,75.33
2023-12-11 13:04:00,369.65,369.90,369.61,369.86,47308,1.14,0.27,0.17,0.10,28.27,369.31,78.44
